date,O/N,depsoit_rate,2W,1M,3M,6M,9M,1Y
2017-01-03,2.209,2.589,2.817,3.3126,3.2813,3.3037,3.331,3.3833
2017-01-04,2.172,2.545,2.805,3.3223,3.2912,3.3094,3.3391,3.3904
2017-01-05,2.13,2.474,2.792,3.3578,3.3384,3.345,3.367,3.4311
2017-01-06,2.112,2.441,2.782,3.4101,3.4388,3.438,3.4413,3.4882
2017-01-09,2.094,2.41,2.765,3.4738,3.5152,3.5093,3.4962,3.5329
2017-01-10,2.096,2.399,2.762,3.5314,3.5526,3.5481,3.5247,3.5533
2017-01-11,2.104,2.39,2.753,3.5662,3.5853,3.5809,3.5495,3.5674
2017-01-12,2.103,2.394,2.743,3.6387,3.6536,3.6201,3.572,3.5838
2017-01-13,2.104,2.398,2.7626,3.6718,3.6874,3.6461,3.5872,3.6014
2017-01-16,2.142,2.4239,2.7815,3.6852,3.7018,3.6617,3.5968,3.6102
2017-01-17,2.2563,2.4666,2.8076,3.7116,3.7222,3.6812,3.6117,3.6321
2017-01-18,2.328,2.5042,2.855,3.7502,3.7491,3.6982,3.6272,3.6513
2017-01-19,2.364,2.538,2.9544,3.7951,3.803,3.7369,3.6398,3.6602
2017-01-20,2.376,2.593,3.0077,3.8196,3.8213,3.7427,3.647,3.6691
2017-01-22,2.189,2.607,3.0131,3.808,3.8301,3.7628,3.6557,3.677
2017-01-23,2.175,2.637,3.0215,3.8118,3.8401,3.774,3.6666,3.6847
2017-01-24,2.164,2.662,3.0385,3.8142,3.8401,3.7802,3.6787,3.6905
2017-01-25,2.165,2.684,3.0672,3.8295,3.8551,3.8146,3.7005,3.7136
2017-01-26,2.5293,2.691,3.1763,3.851,3.8706,3.8377,3.7233,3.7396
2017-02-03,2.218,2.652,3.0675,3.8761,3.9175,3.878,3.7705,3.786
2017-02-04,2.2571,2.648,3.0434,3.8907,3.9348,3.9039,3.8092,3.8214
2017-02-06,2.278,2.628,3.0562,3.9031,3.9497,3.9195,3.847,3.8542
2017-02-07,2.281,2.6283,3.067,3.9304,4.016,3.9429,3.8751,3.882
2017-02-08,2.2765,2.633,3.0856,3.9601,4.1094,3.9722,3.8882,3.9019
2017-02-09,2.272,2.634,3.0919,3.9839,4.144,4.0045,3.9084,3.9168
2017-02-10,2.2678,2.6233,3.0911,3.9938,4.1727,4.0217,3.9288,3.9352
2017-02-13,2.264,2.623,3.097,4.0052,4.2029,4.07,3.9503,3.953
2017-02-14,2.261,2.6208,3.0988,4.016,4.2148,4.1012,3.9668,3.968
2017-02-15,2.2658,2.627,3.1033,4.0312,4.2394,4.1381,3.9835,3.9846
2017-02-16,2.333,2.6435,3.1098,4.0516,4.2518,4.1463,3.9924,3.9906
2017-02-17,2.36,2.664,3.1132,4.0652,4.2567,4.1567,4.0007,4.0005
2017-02-20,2.4086,2.675,3.1295,4.075,4.2622,4.1665,4.0057,4.0064
2017-02-21,2.483,2.691,3.1388,4.082,4.2704,4.1755,4.0091,4.0102
2017-02-22,2.4845,2.706,3.142,4.085,4.2778,4.1824,4.0155,4.0225
2017-02-23,2.5271,2.716,3.146,4.093,4.284,4.1881,4.0245,4.0305
2017-02-24,2.4756,2.725,3.15,4.091,4.2829,4.19,4.0334,4.0362
2017-02-27,2.4338,2.711,3.15,4.082,4.2804,4.1922,4.0353,4.0407
2017-02-28,2.493,2.728,3.158,4.08,4.2841,4.196,4.0437,4.0467
2017-03-01,2.4943,2.729,3.163,4.0763,4.2881,4.1998,4.0454,4.0497
2017-03-02,2.4611,2.732,3.167,4.083,4.2904,4.2,4.0487,4.0492
2017-03-03,2.369,2.659,3.138,4.0851,4.2905,4.2002,4.0499,4.051
2017-03-06,2.4033,2.646,3.137,4.0951,4.2925,4.201,4.051,4.0511
2017-03-07,2.4041,2.644,3.14,4.1016,4.2918,4.201,4.0516,4.0527
2017-03-08,2.4061,2.655,3.156,4.1052,4.2932,4.201,4.0527,4.0536
2017-03-09,2.4076,2.659,3.159,4.1126,4.2943,4.201,4.0567,4.0539
2017-03-10,2.4019,2.655,3.161,4.1153,4.2942,4.2031,4.0604,4.0551
2017-03-13,2.379,2.649,3.163,4.1226,4.2925,4.2054,4.0648,4.0614
2017-03-14,2.3761,2.652,3.168,4.1343,4.2925,4.2146,4.0764,4.0678
2017-03-15,2.3869,2.656,3.1825,4.1537,4.2933,4.2205,4.0837,4.0818
2017-03-16,2.441,2.6938,3.2137,4.2218,4.3267,4.2581,4.1094,4.1052
2017-03-17,2.633,2.725,3.236,4.2775,4.3507,4.2909,4.134,4.1246
2017-03-20,2.6325,2.7471,3.269,4.3172,4.3711,4.3091,4.1504,4.1435
2017-03-21,2.6477,2.768,3.307,4.3558,4.3846,4.3218,4.1621,4.1559
2017-03-22,2.6507,2.791,3.3372,4.3959,4.4077,4.346,4.1713,4.1649
2017-03-23,2.657,2.807,3.365,4.4475,4.4396,4.3592,4.1772,4.1717
2017-03-24,2.604,2.784,3.362,4.4581,4.4516,4.3663,4.1788,4.1835
2017-03-27,2.482,2.7993,3.3378,4.4296,4.4364,4.3597,4.1829,4.1874
2017-03-28,2.448,2.791,3.3341,4.4105,4.423,4.356,4.1883,4.1918
2017-03-29,2.521,2.81,3.3544,4.3955,4.4135,4.353,4.1919,4.1952
2017-03-30,2.507,2.821,3.383,4.3843,4.3995,4.349,4.1942,4.2006
2017-03-31,2.5384,2.85,3.405,4.3501,4.393,4.35,4.195,4.2
2017-04-01,2.497,2.778,3.356,4.317,4.3642,4.351,4.197,4.2
2017-04-05,2.4868,2.74,3.3053,4.2525,4.3355,4.347,4.197,4.2
2017-04-06,2.537,2.7506,3.2754,4.1783,4.3183,4.345,4.197,4.2
2017-04-07,2.4957,2.741,3.249,4.118,4.301,4.339,4.197,4.2
2017-04-10,2.442,2.707,3.2203,4.0746,4.2906,4.332,4.1977,4.201
