ÈÕÆÚ           O/N         1W          2W          1M          3M          6M          9M          1Y          
===========================================================================================================================================
2017-01-03     2.2090      2.5890      2.8170      3.3126      3.2813      3.3037      3.3310      3.3833      
2017-01-04     2.1720      2.5450      2.8050      3.3223      3.2912      3.3094      3.3391      3.3904      
2017-01-05     2.1300      2.4740      2.7920      3.3578      3.3384      3.3450      3.3670      3.4311      
2017-01-06     2.1120      2.4410      2.7820      3.4101      3.4388      3.4380      3.4413      3.4882      
2017-01-09     2.0940      2.4100      2.7650      3.4738      3.5152      3.5093      3.4962      3.5329      
2017-01-10     2.0960      2.3990      2.7620      3.5314      3.5526      3.5481      3.5247      3.5533      
2017-01-11     2.1040      2.3900      2.7530      3.5662      3.5853      3.5809      3.5495      3.5674      
2017-01-12     2.1030      2.3940      2.7430      3.6387      3.6536      3.6201      3.5720      3.5838      
2017-01-13     2.1040      2.3980      2.7626      3.6718      3.6874      3.6461      3.5872      3.6014      
2017-01-16     2.1420      2.4239      2.7815      3.6852      3.7018      3.6617      3.5968      3.6102      
2017-01-17     2.2563      2.4666      2.8076      3.7116      3.7222      3.6812      3.6117      3.6321      
2017-01-18     2.3280      2.5042      2.8550      3.7502      3.7491      3.6982      3.6272      3.6513      
2017-01-19     2.3640      2.5380      2.9544      3.7951      3.8030      3.7369      3.6398      3.6602      
2017-01-20     2.3760      2.5930      3.0077      3.8196      3.8213      3.7427      3.6470      3.6691      
2017-01-22     2.1890      2.6070      3.0131      3.8080      3.8301      3.7628      3.6557      3.6770      
2017-01-23     2.1750      2.6370      3.0215      3.8118      3.8401      3.7740      3.6666      3.6847      
2017-01-24     2.1640      2.6620      3.0385      3.8142      3.8401      3.7802      3.6787      3.6905      
2017-01-25     2.1650      2.6840      3.0672      3.8295      3.8551      3.8146      3.7005      3.7136      
2017-01-26     2.5293      2.6910      3.1763      3.8510      3.8706      3.8377      3.7233      3.7396      
2017-02-03     2.2180      2.6520      3.0675      3.8761      3.9175      3.8780      3.7705      3.7860      
2017-02-04     2.2571      2.6480      3.0434      3.8907      3.9348      3.9039      3.8092      3.8214      
2017-02-06     2.2780      2.6280      3.0562      3.9031      3.9497      3.9195      3.8470      3.8542      
2017-02-07     2.2810      2.6283      3.0670      3.9304      4.0160      3.9429      3.8751      3.8820      
2017-02-08     2.2765      2.6330      3.0856      3.9601      4.1094      3.9722      3.8882      3.9019      
2017-02-09     2.2720      2.6340      3.0919      3.9839      4.1440      4.0045      3.9084      3.9168      
2017-02-10     2.2678      2.6233      3.0911      3.9938      4.1727      4.0217      3.9288      3.9352      
2017-02-13     2.2640      2.6230      3.0970      4.0052      4.2029      4.0700      3.9503      3.9530      
2017-02-14     2.2610      2.6208      3.0988      4.0160      4.2148      4.1012      3.9668      3.9680      
2017-02-15     2.2658      2.6270      3.1033      4.0312      4.2394      4.1381      3.9835      3.9846      
2017-02-16     2.3330      2.6435      3.1098      4.0516      4.2518      4.1463      3.9924      3.9906      
2017-02-17     2.3600      2.6640      3.1132      4.0652      4.2567      4.1567      4.0007      4.0005      
2017-02-20     2.4086      2.6750      3.1295      4.0750      4.2622      4.1665      4.0057      4.0064      
2017-02-21     2.4830      2.6910      3.1388      4.0820      4.2704      4.1755      4.0091      4.0102      
2017-02-22     2.4845      2.7060      3.1420      4.0850      4.2778      4.1824      4.0155      4.0225      
2017-02-23     2.5271      2.7160      3.1460      4.0930      4.2840      4.1881      4.0245      4.0305      
2017-02-24     2.4756      2.7250      3.1500      4.0910      4.2829      4.1900      4.0334      4.0362      
2017-02-27     2.4338      2.7110      3.1500      4.0820      4.2804      4.1922      4.0353      4.0407      
2017-02-28     2.4930      2.7280      3.1580      4.0800      4.2841      4.1960      4.0437      4.0467      
2017-03-01     2.4943      2.7290      3.1630      4.0763      4.2881      4.1998      4.0454      4.0497      
2017-03-02     2.4611      2.7320      3.1670      4.0830      4.2904      4.2000      4.0487      4.0492      
2017-03-03     2.3690      2.6590      3.1380      4.0851      4.2905      4.2002      4.0499      4.0510      
2017-03-06     2.4033      2.6460      3.1370      4.0951      4.2925      4.2010      4.0510      4.0511      
2017-03-07     2.4041      2.6440      3.1400      4.1016      4.2918      4.2010      4.0516      4.0527      
2017-03-08     2.4061      2.6550      3.1560      4.1052      4.2932      4.2010      4.0527      4.0536      
2017-03-09     2.4076      2.6590      3.1590      4.1126      4.2943      4.2010      4.0567      4.0539      
2017-03-10     2.4019      2.6550      3.1610      4.1153      4.2942      4.2031      4.0604      4.0551      
2017-03-13     2.3790      2.6490      3.1630      4.1226      4.2925      4.2054      4.0648      4.0614      
2017-03-14     2.3761      2.6520      3.1680      4.1343      4.2925      4.2146      4.0764      4.0678      
2017-03-15     2.3869      2.6560      3.1825      4.1537      4.2933      4.2205      4.0837      4.0818      
2017-03-16     2.4410      2.6938      3.2137      4.2218      4.3267      4.2581      4.1094      4.1052      
2017-03-17     2.6330      2.7250      3.2360      4.2775      4.3507      4.2909      4.1340      4.1246      
2017-03-20     2.6325      2.7471      3.2690      4.3172      4.3711      4.3091      4.1504      4.1435      
2017-03-21     2.6477      2.7680      3.3070      4.3558      4.3846      4.3218      4.1621      4.1559      
2017-03-22     2.6507      2.7910      3.3372      4.3959      4.4077      4.3460      4.1713      4.1649      
2017-03-23     2.6570      2.8070      3.3650      4.4475      4.4396      4.3592      4.1772      4.1717      
2017-03-24     2.6040      2.7840      3.3620      4.4581      4.4516      4.3663      4.1788      4.1835      
2017-03-27     2.4820      2.7993      3.3378      4.4296      4.4364      4.3597      4.1829      4.1874      
2017-03-28     2.4480      2.7910      3.3341      4.4105      4.4230      4.3560      4.1883      4.1918      
2017-03-29     2.5210      2.8100      3.3544      4.3955      4.4135      4.3530      4.1919      4.1952      
2017-03-30     2.5070      2.8210      3.3830      4.3843      4.3995      4.3490      4.1942      4.2006      
2017-03-31     2.5384      2.8500      3.4050      4.3501      4.3930      4.3500      4.1950      4.2000      
2017-04-01     2.4970      2.7780      3.3560      4.3170      4.3642      4.3510      4.1970      4.2000      
2017-04-05     2.4868      2.7400      3.3053      4.2525      4.3355      4.3470      4.1970      4.2000      
2017-04-06     2.5370      2.7506      3.2754      4.1783      4.3183      4.3450      4.1970      4.2000      
2017-04-07     2.4957      2.7410      3.2490      4.1180      4.3010      4.3390      4.1970      4.2000      
2017-04-10     2.4420      2.7070      3.2203      4.0746      4.2906      4.3320      4.1977      4.2010      
2017-04-11     2.4080      2.6870      3.1897      4.0382      4.2774      4.3220      4.1975      4.2010      
2017-04-12     2.3885      2.6631      3.1637      4.0132      4.2653      4.3160      4.1968      4.2011      
2017-04-13     2.4130      2.6566      3.1553      4.0016      4.2631      4.3166      4.1987      4.2022      
2017-04-14     2.4290      2.6740      3.1617      3.9972      4.2634      4.3177      4.1989      4.2013      
2017-04-17     2.4440      2.6900      3.1735      3.9972      4.2609      4.3148      4.1989      4.2022      
2017-04-18     2.4860      2.7175      3.1880      3.9978      4.2621      4.3145      4.1999      4.2023      
2017-04-19     2.5750      2.7520      3.2125      4.0008      4.2661      4.3225      4.2069      4.2113      
2017-04-20     2.5987      2.7580      3.2275      4.0050      4.2725      4.3242      4.2096      4.2121      
2017-04-21     2.6163      2.7600      3.2290      4.0095      4.2781      4.3254      4.2139      4.2145      
2017-04-24     2.7157      2.7900      3.2410      4.0100      4.2789      4.3276      4.2164      4.2175      
2017-04-25     2.7514      2.8140      3.2680      4.0100      4.2839      4.3288      4.2217      4.2228      
2017-04-26     2.7590      2.8203      3.2799      4.0110      4.2884      4.3309      4.2232      4.2243      
2017-04-27     2.7920      2.8449      3.2935      4.0161      4.2917      4.3331      4.2244      4.2255      
2017-04-28     2.8190      2.8699      3.3038      4.0237      4.2974      4.3364      4.2265      4.2296      
2017-05-02     2.8175      2.8730      3.3170      4.0270      4.3002      4.3397      4.2317      4.2330      
2017-05-03     2.8451      2.9130      3.3490      4.0361      4.3309      4.3500      4.2412      4.2453      
2017-05-04     2.8506      2.9270      3.3650      4.0436      4.3476      4.3602      4.2449      4.2503      
2017-05-05     2.8348      2.9186      3.3660      4.0469      4.3608      4.3664      4.2466      4.2512      
2017-05-08     2.8180      2.9091      3.3683      4.0447      4.3731      4.3744      4.2510      4.2555      
2017-05-09     2.8199      2.9233      3.3752      4.0441      4.3848      4.3799      4.2557      4.2612      
2017-05-10     2.8270      2.9300      3.3805      4.0463      4.3933      4.3857      4.2623      4.2674      
2017-05-11     2.8130      2.9294      3.3846      4.0507      4.4083      4.3920      4.2644      4.2715      
2017-05-12     2.7911      2.9107      3.3872      4.0468      4.4088      4.3952      4.2665      4.2724      
2017-05-15     2.7160      2.8833      3.3890      4.0462      4.4184      4.3996      4.2679      4.2739      
2017-05-16     2.7460      2.8827      3.3930      4.0477      4.4278      4.4020      4.2727      4.2784      
2017-05-17     2.7525      2.8820      3.3970      4.0495      4.4349      4.4021      4.2765      4.2831      
2017-05-18     2.7641      2.8867      3.4134      4.0525      4.4439      4.4043      4.2814      4.2864      
2017-05-19     2.7150      2.8800      3.4190      4.0571      4.4641      4.4130      4.2850      4.2925      
2017-05-22     2.6745      2.8679      3.4366      4.0610      4.4744      4.4148      4.2881      4.3024      
2017-05-23     2.6540      2.8571      3.4489      4.0624      4.4956      4.4215      4.2965      4.3137      
2017-05-24     2.6230      2.8426      3.4513      4.0643      4.5177      4.4262      4.3107      4.3220      
2017-05-25     2.6110      2.8430      3.4576      4.0646      4.5338      4.4368      4.3251      4.3342      
2017-05-26     2.6090      2.8530      3.4644      4.0655      4.5424      4.4437      4.3346      4.3435      
2017-05-27     2.6010      2.8540      3.4664      4.0685      4.5528      4.4481      4.3414      4.3544      
2017-05-31     2.6365      2.8560      3.4711      4.0763      4.5641      4.4499      4.3443      4.3579      
2017-06-01     2.6525      2.8660      3.4738      4.1013      4.5779      4.4510      4.3487      4.3700      
2017-06-02     2.7953      2.8840      3.4840      4.1892      4.6012      4.4490      4.3529      4.3773      
2017-06-05     2.8167      2.8940      3.4930      4.2830      4.6225      4.4542      4.3623      4.3862      
2017-06-06     2.8419      2.8959      3.4992      4.3633      4.6577      4.4631      4.3668      4.3922      
