用户序号,日期,基金代码,基金名称,配置比例
1,2017-07-01,001826,国寿安保增金宝,1
1,2017-11-25,001826,国寿安保增金宝,1
2,2017-07-01,001826,国寿安保增金宝,1
2,2017-11-25,001826,国寿安保增金宝,1
3,2017-07-01,001826,国寿安保增金宝,1
4,2017-07-01,001826,国寿安保增金宝,1
5,2017-07-01,001826,国寿安保增金宝,1
5,2017-11-25,001826,国寿安保增金宝,1
6,2017-07-01,001826,国寿安保增金宝,1
6,2017-11-25,001826,国寿安保增金宝,1
7,2017-07-01,050002,博时裕富沪深300A,0.236 
7,2017-07-01,050011,博时信用债券A,0.618 
7,2017-07-01,000929,博时黄金ETF D,0.146 
7,2017-11-08,050002,博时裕富沪深300A,0.236 
7,2017-11-08,050011,博时信用债券A,0.618 
7,2017-11-08,000929,博时黄金ETF D,0.146 
8,2017-07-01,050002,博时裕富沪深300A,0.146 
8,2017-07-01,050011,博时信用债券A,0.618 
8,2017-07-01,000929,博时黄金ETF D,0.236 
8,2017-11-23,050002,博时裕富沪深300A,0.146 
8,2017-11-23,050011,博时信用债券A,0.618 
8,2017-11-23,000929,博时黄金ETF D,0.236 
9,2017-07-01,001826,国寿安保增金宝,1
9,2017-11-25,001826,国寿安保增金宝,1
10,2017-07-01,050002,博时裕富沪深300A,0.146 
10,2017-07-01,050011,博时信用债券A,0.618 
10,2017-07-01,000929,博时黄金ETF D,0.236 
10,2017-11-23,050002,博时裕富沪深300A,0.146 
10,2017-11-23,050011,博时信用债券A,0.618 
10,2017-11-23,000929,博时黄金ETF D,0.236 
10,2017-11-27,050002,博时裕富沪深300A,0.146 
10,2017-11-27,050011,博时信用债券A,0.618 
10,2017-11-27,000929,博时黄金ETF D,0.236 
11,2017-07-01,050002,博时裕富沪深300A,0.146 
11,2017-07-01,050011,博时信用债券A,0.618 
11,2017-07-01,000929,博时黄金ETF D,0.236 
11,2017-11-23,050002,博时裕富沪深300A,0.146 
11,2017-11-23,050011,博时信用债券A,0.618 
11,2017-11-23,000929,博时黄金ETF D,0.236 
12,2017-07-01,050002,博时裕富沪深300A,0.146 
12,2017-07-01,050011,博时信用债券A,0.618 
12,2017-07-01,000929,博时黄金ETF D,0.236 
12,2017-11-23,050002,博时裕富沪深300A,0.146 
12,2017-11-23,050011,博时信用债券A,0.618 
12,2017-11-23,000929,博时黄金ETF D,0.236 
13,2017-07-01,050002,博时裕富沪深300A,0.146 
13,2017-07-01,050011,博时信用债券A,0.618 
13,2017-07-01,000929,博时黄金ETF D,0.236 
13,2017-11-23,050002,博时裕富沪深300A,0.146 
13,2017-11-23,050011,博时信用债券A,0.618 
13,2017-11-23,000929,博时黄金ETF D,0.236 
13,2017-11-27,050002,博时裕富沪深300A,0.146 
13,2017-11-27,050011,博时信用债券A,0.618 
13,2017-11-27,000929,博时黄金ETF D,0.236 
14,2017-07-01,050002,博时裕富沪深300A,0.236 
14,2017-07-01,050011,博时信用债券A,0.618 
14,2017-07-01,000929,博时黄金ETF D,0.146 
14,2017-11-08,050002,博时裕富沪深300A,0.236 
14,2017-11-08,050011,博时信用债券A,0.618 
14,2017-11-08,000929,博时黄金ETF D,0.146 
14,2017-11-27,050002,博时裕富沪深300A,0.236 
14,2017-11-27,050011,博时信用债券A,0.618 
14,2017-11-27,000929,博时黄金ETF D,0.146 
15,2017-07-01,050002,博时裕富沪深300A,0.146 
15,2017-07-01,050011,博时信用债券A,0.618 
15,2017-07-01,000929,博时黄金ETF D,0.236 
15,2017-11-23,050002,博时裕富沪深300A,0.146 
15,2017-11-23,050011,博时信用债券A,0.618 
15,2017-11-23,000929,博时黄金ETF D,0.236 
16,2017-07-01,001826,国寿安保增金宝,1
17,2017-07-01,050002,博时裕富沪深300A,0.223 
17,2017-07-01,050011,博时信用债券A,0.470 
17,2017-07-01,000929,博时黄金ETF D,0.307 
17,2017-07-07,050002,博时裕富沪深300A,0.208 
17,2017-07-07,050011,博时信用债券A,0.406 
17,2017-07-07,000929,博时黄金ETF D,0.386 
17,2017-07-19,050002,博时裕富沪深300A,0.252 
17,2017-07-19,050011,博时信用债券A,0.445 
17,2017-07-19,000929,博时黄金ETF D,0.303 
17,2017-08-11,050002,博时裕富沪深300A,0.204 
17,2017-08-11,050011,博时信用债券A,0.520 
17,2017-08-11,000929,博时黄金ETF D,0.276 
17,2017-09-05,050002,博时裕富沪深300A,0.166 
17,2017-09-05,050011,博时信用债券A,0.617 
17,2017-09-05,000929,博时黄金ETF D,0.217 
17,2017-09-28,050002,博时裕富沪深300A,0.289 
17,2017-09-28,050011,博时信用债券A,0.564 
17,2017-09-28,000929,博时黄金ETF D,0.147 
17,2017-11-07,050002,博时裕富沪深300A,0.265 
17,2017-11-07,050011,博时信用债券A,0.426 
17,2017-11-07,000929,博时黄金ETF D,0.309 
17,2017-11-24,050002,博时裕富沪深300A,0.202 
17,2017-11-24,050011,博时信用债券A,0.398 
17,2017-11-24,000929,博时黄金ETF D,0.401 
17,2017-11-27,050002,博时裕富沪深300A,0.146 
17,2017-11-27,050011,博时信用债券A,0.385 
17,2017-11-27,000929,博时黄金ETF D,0.469 
17,2017-12-21,050002,博时裕富沪深300A,0.145 
17,2017-12-21,050011,博时信用债券A,0.459 
17,2017-12-21,000929,博时黄金ETF D,0.396 
17,2018-01-02,050002,博时裕富沪深300A,0.145 
17,2018-01-02,050011,博时信用债券A,0.543 
17,2018-01-02,000929,博时黄金ETF D,0.312 
17,2018-01-15,050002,博时裕富沪深300A,0.154 
17,2018-01-15,050011,博时信用债券A,0.468 
17,2018-01-15,000929,博时黄金ETF D,0.377 
18,2017-07-01,050002,博时裕富沪深300A,0.618 
18,2017-07-01,050011,博时信用债券A,0.236 
18,2017-07-01,000929,博时黄金ETF D,0.146 
18,2017-10-26,050002,博时裕富沪深300A,0.618 
18,2017-10-26,050011,博时信用债券A,0.236 
18,2017-10-26,000929,博时黄金ETF D,0.146 
18,2017-11-27,050002,博时裕富沪深300A,0.618 
18,2017-11-27,050011,博时信用债券A,0.236 
18,2017-11-27,000929,博时黄金ETF D,0.146 
19,2017-07-01,050002,博时裕富沪深300A,0.236 
19,2017-07-01,050011,博时信用债券A,0.618 
19,2017-07-01,000929,博时黄金ETF D,0.146 
19,2017-11-08,050002,博时裕富沪深300A,0.236 
19,2017-11-08,050011,博时信用债券A,0.618 
19,2017-11-08,000929,博时黄金ETF D,0.146 
20,2017-07-01,001826,国寿安保增金宝,1
21,2017-07-01,001826,国寿安保增金宝,1
21,2017-11-25,001826,国寿安保增金宝,1
22,2017-07-01,050002,博时裕富沪深300A,0.223 
22,2017-07-01,050011,博时信用债券A,0.470 
22,2017-07-01,000929,博时黄金ETF D,0.307 
22,2017-07-07,050002,博时裕富沪深300A,0.208 
22,2017-07-07,050011,博时信用债券A,0.406 
22,2017-07-07,000929,博时黄金ETF D,0.386 
22,2017-07-19,050002,博时裕富沪深300A,0.252 
22,2017-07-19,050011,博时信用债券A,0.445 
22,2017-07-19,000929,博时黄金ETF D,0.303 
22,2017-08-11,050002,博时裕富沪深300A,0.204 
22,2017-08-11,050011,博时信用债券A,0.520 
22,2017-08-11,000929,博时黄金ETF D,0.276 
22,2017-09-05,050002,博时裕富沪深300A,0.166 
22,2017-09-05,050011,博时信用债券A,0.617 
22,2017-09-05,000929,博时黄金ETF D,0.217 
22,2017-09-28,050002,博时裕富沪深300A,0.289 
22,2017-09-28,050011,博时信用债券A,0.564 
22,2017-09-28,000929,博时黄金ETF D,0.147 
22,2017-11-07,050002,博时裕富沪深300A,0.265 
22,2017-11-07,050011,博时信用债券A,0.426 
22,2017-11-07,000929,博时黄金ETF D,0.309 
22,2017-11-24,050002,博时裕富沪深300A,0.202 
22,2017-11-24,050011,博时信用债券A,0.398 
22,2017-11-24,000929,博时黄金ETF D,0.401 
22,2017-11-29,001826,国寿安保增金宝,1
23,2017-07-01,050002,博时裕富沪深300A,0.236 
23,2017-07-01,050011,博时信用债券A,0.618 
23,2017-07-01,000929,博时黄金ETF D,0.146 
23,2017-11-08,050002,博时裕富沪深300A,0.236 
23,2017-11-08,050011,博时信用债券A,0.618 
23,2017-11-08,000929,博时黄金ETF D,0.146 
24,2017-07-01,050002,博时裕富沪深300A,0.236 
24,2017-07-01,050011,博时信用债券A,0.618 
24,2017-07-01,000929,博时黄金ETF D,0.146 
24,2017-11-08,050002,博时裕富沪深300A,0.236 
24,2017-11-08,050011,博时信用债券A,0.618 
24,2017-11-08,000929,博时黄金ETF D,0.146 
25,2017-07-01,001826,国寿安保增金宝,1
25,2017-11-25,001826,国寿安保增金宝,1
26,2017-07-01,001826,国寿安保增金宝,1
26,2017-11-25,001826,国寿安保增金宝,1
27,2017-07-01,050002,博时裕富沪深300A,0.146 
27,2017-07-01,050011,博时信用债券A,0.618 
27,2017-07-01,000929,博时黄金ETF D,0.236 
27,2017-11-23,050002,博时裕富沪深300A,0.146 
27,2017-11-23,050011,博时信用债券A,0.618 
27,2017-11-23,000929,博时黄金ETF D,0.236 
28,2017-07-01,050002,博时裕富沪深300A,0.236 
28,2017-07-01,050011,博时信用债券A,0.618 
28,2017-07-01,000929,博时黄金ETF D,0.146 
28,2017-11-08,050002,博时裕富沪深300A,0.236 
28,2017-11-08,050011,博时信用债券A,0.618 
28,2017-11-08,000929,博时黄金ETF D,0.146 
29,2017-07-01,050002,博时裕富沪深300A,0.236 
29,2017-07-01,050011,博时信用债券A,0.618 
29,2017-07-01,000929,博时黄金ETF D,0.146 
29,2017-11-08,050002,博时裕富沪深300A,0.236 
29,2017-11-08,050011,博时信用债券A,0.618 
29,2017-11-08,000929,博时黄金ETF D,0.146 
29,2017-11-27,050002,博时裕富沪深300A,0.236 
29,2017-11-27,050011,博时信用债券A,0.618 
29,2017-11-27,000929,博时黄金ETF D,0.146 
30,2017-07-01,050002,博时裕富沪深300A,0.146 
30,2017-07-01,050011,博时信用债券A,0.618 
30,2017-07-01,000929,博时黄金ETF D,0.236 
30,2017-11-23,050002,博时裕富沪深300A,0.146 
30,2017-11-23,050011,博时信用债券A,0.618 
30,2017-11-23,000929,博时黄金ETF D,0.236 
30,2017-11-27,050002,博时裕富沪深300A,0.146 
30,2017-11-27,050011,博时信用债券A,0.618 
30,2017-11-27,000929,博时黄金ETF D,0.236 
31,2017-07-01,050002,博时裕富沪深300A,0.146 
31,2017-07-01,050011,博时信用债券A,0.618 
31,2017-07-01,000929,博时黄金ETF D,0.236 
31,2017-11-23,050002,博时裕富沪深300A,0.146 
31,2017-11-23,050011,博时信用债券A,0.618 
31,2017-11-23,000929,博时黄金ETF D,0.236 
32,2017-07-01,050002,博时裕富沪深300A,0.146 
32,2017-07-01,050011,博时信用债券A,0.618 
32,2017-07-01,000929,博时黄金ETF D,0.236 
32,2017-11-23,050002,博时裕富沪深300A,0.146 
32,2017-11-23,050011,博时信用债券A,0.618 
32,2017-11-23,000929,博时黄金ETF D,0.236 
33,2017-07-01,050002,博时裕富沪深300A,0.618 
33,2017-07-01,050011,博时信用债券A,0.236 
