用户,日期,基金代码,基金名称,配置比例
1,2017-11-13,50003,博时现金收益货币A,1
2,2017-11-13,50003,博时现金收益货币A,1
3,2017-11-13,50003,博时现金收益货币A,1
4,2017-11-13,50003,博时现金收益货币A,1
5,2017-11-13,50003,博时现金收益货币A,1
6,2017-11-13,50003,博时现金收益货币A,1
7,2017-11-13,50006,博时稳定价值债券B,0.5
7,2017-11-13,50012,博时策略配置混合,0.0567
7,2017-11-13,50013,博时上证超大盘ETF联接,0.0922
7,2017-11-13,50021,博时深证基本面200ETF联接,0.0709
7,2017-11-13,50025,博时标普500ETF联接QDII,0.2317
7,2017-11-13,50106,博时稳定价值债券A,0.0486
8,2017-11-13,50006,博时稳定价值债券B,0.2681
8,2017-11-13,50012,博时策略配置混合,0.0845
8,2017-11-13,50013,博时上证超大盘ETF联接,0.1293
8,2017-11-13,50021,博时深证基本面200ETF联接,0.105
8,2017-11-13,50025,博时标普500ETF联接QDII,0.3523
8,2017-11-13,50106,博时稳定价值债券A,0.0608
9,2017-11-13,50006,博时稳定价值债券B,0.2681
9,2017-11-13,50012,博时策略配置混合,0.0846
9,2017-11-13,50013,博时上证超大盘ETF联接,0.1293
9,2017-11-13,50021,博时深证基本面200ETF联接,0.105
9,2017-11-13,50025,博时标普500ETF联接QDII,0.3523
9,2017-11-13,50106,博时稳定价值债券A,0.0607
10,2017-11-13,50006,博时稳定价值债券B,0.5
10,2017-11-13,50012,博时策略配置混合,0.0567
10,2017-11-13,50013,博时上证超大盘ETF联接,0.0922
10,2017-11-13,50021,博时深证基本面200ETF联接,0.0709
10,2017-11-13,50025,博时标普500ETF联接QDII,0.2317
10,2017-11-13,50106,博时稳定价值债券A,0.0486
11,2017-11-13,50006,博时稳定价值债券B,0.5
11,2017-11-13,50012,博时策略配置混合,0.0567
11,2017-11-13,50013,博时上证超大盘ETF联接,0.0922
11,2017-11-13,50021,博时深证基本面200ETF联接,0.0709
11,2017-11-13,50025,博时标普500ETF联接QDII,0.2317
11,2017-11-13,50106,博时稳定价值债券A,0.0486
12,2017-11-13,50006,博时稳定价值债券B,0.5
12,2017-11-13,50012,博时策略配置混合,0.0567
12,2017-11-13,50013,博时上证超大盘ETF联接,0.0922
12,2017-11-13,50021,博时深证基本面200ETF联接,0.0709
