客户ID,日期,基金代码,基金名称,配置比例
1,2017-11-24,050003,博时现金收益A,1
2,2017-11-24,050003,博时现金收益A,1
3,2017-11-24,050003,博时现金收益A,1
4,2017-11-24,050003,博时现金收益A,1
5,2017-11-24,050003,博时现金收益A,1
6,2017-11-24,050003,博时现金收益A,1
7,2017-11-24,050003,博时现金收益A,0.1371
7,2017-11-24,001661,博时信用债纯债C,0.3873
7,2017-11-24,050111,博时信用债券C,0.1318
7,2017-11-24,002385,博时裕富沪深300C,0.1006
7,2017-11-24,050015,博时大中华人民币,0.06
7,2017-11-24,050025,博时标普500ETF联接,0.1832
8,2017-11-24,050003,博时现金收益A,0.0885
8,2017-11-24,001661,博时信用债纯债C,0.1687
8,2017-11-24,050111,博时信用债券C,0.2352
8,2017-11-24,002385,博时裕富沪深300C,0.1135
8,2017-11-24,050015,博时大中华人民币,0.1275
8,2017-11-24,050025,博时标普500ETF联接,0.1204
8,2017-11-24,160505,博时主题行业,0.1463
9,2017-11-24,050003,博时现金收益A,0.0885
9,2017-11-24,001661,博时信用债纯债C,0.1687
9,2017-11-24,050111,博时信用债券C,0.2352
9,2017-11-24,002385,博时裕富沪深300C,0.1135
9,2017-11-24,050015,博时大中华人民币,0.1275
9,2017-11-24,050025,博时标普500ETF联接,0.1204
9,2017-11-24,160505,博时主题行业,0.1463
10,2017-11-24,050003,博时现金收益A,0.1371
10,2017-11-24,001661,博时信用债纯债C,0.3995
10,2017-11-24,050111,博时信用债券C,0.1276
10,2017-11-24,002385,博时裕富沪深300C,0.1046
10,2017-11-24,050015,博时大中华人民币,0.06
10,2017-11-24,050025,博时标普500ETF联接,0.1713
11,2017-11-24,050003,博时现金收益A,0.1371
11,2017-11-24,001661,博时信用债纯债C,0.3995
11,2017-11-24,050111,博时信用债券C,0.1276
11,2017-11-24,002385,博时裕富沪深300C,0.1046
11,2017-11-24,050015,博时大中华人民币,0.06
11,2017-11-24,050025,博时标普500ETF联接,0.1713
12,2017-11-24,050003,博时现金收益A,0.1371
12,2017-11-24,001661,博时信用债纯债C,0.3995
12,2017-11-24,050111,博时信用债券C,0.1276
