ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-13",1.1644,4.147,"2017-09-14","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-12",1.1268,4.102,"2017-09-13","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-11",1.1,4.1,"2017-09-12","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-10",2.2286,4.089,"2017-09-11","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-08",1.0814,4.126,"2017-09-09","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-07",1.0924,4.142,"2017-09-08","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-06",1.0806,4.135,"2017-09-07","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-05",1.1227,4.13,"2017-09-06","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-04",1.0804,4.128,"2017-09-05","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-03",2.2969,4.127,"2017-09-04","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-09-01",1.1101,4.102,"2017-09-02","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-31",1.0807,4.102,"2017-09-01","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-30",1.0714,4.121,"2017-08-31","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-29",1.1183,4.138,"2017-08-30","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-28",1.0797,4.121,"2017-08-29","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-27",2.2504,4.132,"2017-08-28","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-25",1.1097,4.106,"2017-08-26","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-24",1.1152,4.106,"2017-08-25","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-23",1.1026,4.093,"2017-08-24","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-22",1.087,4.096,"2017-08-23","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-21",1.1007,4.099,"2017-08-22","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-20",2.2029,4.114,"2017-08-21","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-18",1.1083,4.138,"2017-08-19","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-17",1.0925,4.147,"2017-08-18","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-16",1.1071,4.145,"2017-08-17","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-15",1.094,4.156,"2017-08-16","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-14",1.1284,4.171,"2017-08-15","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-13",2.2467,4.168,"2017-08-14","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-11",1.1253,4.203,"2017-08-12","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-10",1.0887,4.162,"2017-08-11","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-09",1.1273,4.198,"2017-08-10","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-08",1.1204,4.213,"2017-08-09","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-07",1.1241,4.225,"2017-08-08","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-06",2.3102,4.242,"2017-08-07","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-04",1.0506,4.236,"2017-08-05","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-03",1.155,4.291,"2017-08-04","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-02",1.155,4.29,"2017-08-03","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-08-01",1.1424,4.292,"2017-08-02","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-31",1.1549,4.295,"2017-08-01","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-30",2.2998,4.294,"2017-07-31","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-28",1.1511,4.298,"2017-07-29","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-27",1.1525,4.3,"2017-07-28","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-26",1.1591,4.309,"2017-07-27","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-25",1.1484,4.305,"2017-07-26","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-24",1.1535,4.302,"2017-07-25","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-23",2.3059,4.297,"2017-07-24","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-21",1.1547,4.287,"2017-07-22","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-20",1.1705,4.282,"2017-07-21","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-19",1.1517,4.264,"2017-07-20","CNY"
"000647.OFCN","000647","易方达财富快线货币-A","2017-07-18",1.1417,4.258,"2017-07-19","CNY"
