ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"001010.OFCN","001010","易方达增金宝货币","2017-09-19",1.0989,4.162,"2017-09-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-18",1.112,4.196,"2017-09-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-17",2.199,4.26,"2017-09-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-15",1.0983,4.297,"2017-09-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-14",1.1598,4.316,"2017-09-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-13",1.1521,4.27,"2017-09-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-12",1.162,4.238,"2017-09-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-11",1.229,4.283,"2017-09-12","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-10",2.2672,4.246,"2017-09-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-08",1.1343,4.292,"2017-09-09","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-07",1.0753,4.313,"2017-09-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-06",1.0937,4.363,"2017-09-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-05",1.2439,4.388,"2017-09-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-04",1.1611,4.318,"2017-09-05","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-03",2.3509,4.31,"2017-09-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-09-01",1.1745,4.227,"2017-09-02","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-31",1.1666,4.177,"2017-09-01","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-30",1.1391,4.138,"2017-08-31","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-29",1.1157,4.117,"2017-08-30","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-28",1.1454,4.125,"2017-08-29","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-27",2.1989,4.099,"2017-08-28","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-25",1.0826,4.093,"2017-08-26","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-24",1.0951,4.095,"2017-08-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-23",1.1004,4.099,"2017-08-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-22",1.1294,4.094,"2017-08-23","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-21",1.0979,4.077,"2017-08-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-20",2.1885,4.075,"2017-08-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-18",1.0862,4.06,"2017-08-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-17",1.1031,4.054,"2017-08-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-16",1.0908,4.039,"2017-08-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-15",1.0974,4.032,"2017-08-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-14",1.0943,4.04,"2017-08-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-13",2.1604,4.068,"2017-08-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-11",1.0762,4.125,"2017-08-12","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-10",1.0754,4.154,"2017-08-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-09",1.0785,4.181,"2017-08-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-08",1.1113,4.209,"2017-08-09","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-07",1.1458,4.226,"2017-08-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-06",2.2662,4.233,"2017-08-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-04",1.1296,4.248,"2017-08-05","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-03",1.1243,4.252,"2017-08-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-02",1.1307,4.253,"2017-08-03","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-08-01",1.1428,4.256,"2017-08-02","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-31",1.1572,4.263,"2017-08-01","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-30",2.2951,4.273,"2017-07-31","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-28",1.1363,4.271,"2017-07-29","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-27",1.1264,4.273,"2017-07-28","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-26",1.1354,4.28,"2017-07-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-25",1.1568,4.278,"2017-07-26","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-24",1.1753,4.221,"2017-07-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-23",2.2905,4.211,"2017-07-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-21",1.14,4.218,"2017-07-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-20",1.1404,4.226,"2017-07-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-19",1.1309,4.214,"2017-07-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-18",1.0516,4.203,"2017-07-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-17",1.1583,4.232,"2017-07-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-16",2.3022,4.223,"2017-07-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-14",1.1547,4.193,"2017-07-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-13",1.1189,4.179,"2017-07-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-12",1.1114,4.174,"2017-07-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-11",1.1033,4.17,"2017-07-12","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-10",1.1425,4.157,"2017-07-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-09",2.2475,4.182,"2017-07-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-07",1.1284,4.208,"2017-07-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-06",1.1097,4.215,"2017-07-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-05",1.1042,4.246,"2017-07-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-04",1.0783,4.315,"2017-07-05","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-03",1.189,4.361,"2017-07-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-07-02",2.2951,4.549,"2017-07-03","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-30",1.1415,4.551,"2017-07-01","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-29",1.1668,4.52,"2017-06-30","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-28",1.2314,4.476,"2017-06-29","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-27",1.1638,4.424,"2017-06-28","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-26",1.5329,4.413,"2017-06-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-25",2.2985,4.124,"2017-06-26","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-23",1.0858,4.18,"2017-06-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-22",1.086,4.245,"2017-06-23","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-21",1.1358,4.315,"2017-06-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-20",1.1428,4.371,"2017-06-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-19",1.0024,4.41,"2017-06-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-18",2.4014,4.483,"2017-06-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-16",1.2043,4.359,"2017-06-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-15",1.2151,4.29,"2017-06-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-14",1.2384,4.2,"2017-06-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-13",1.2144,4.107,"2017-06-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-12",1.1373,4.044,"2017-06-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-11",2.1733,4.023,"2017-06-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-09",1.0779,4.04,"2017-06-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-08",1.0487,4.034,"2017-06-09","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-07",1.0687,4.038,"2017-06-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-06",1.0969,4.051,"2017-06-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-05",1.0982,4.036,"2017-06-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-04",2.2055,4.021,"2017-06-05","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-02",1.0671,3.99,"2017-06-03","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-06-01",1.0553,3.982,"2017-06-02","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-31",1.0926,3.98,"2017-06-01","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-30",4.2878,3.969,"2017-06-01","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-26",1.0527,3.815,"2017-05-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-25",1.0512,3.761,"2017-05-26","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-24",1.0728,3.702,"2017-05-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-23",1.0778,3.643,"2017-05-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-22",0.8956,3.61,"2017-05-23","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-21",2.0307,3.688,"2017-05-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-19",0.953,3.717,"2017-05-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-18",0.9414,3.755,"2017-05-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-17",0.964,3.812,"2017-05-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-16",1.0178,3.849,"2017-05-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-15",1.0397,3.822,"2017-05-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-14",2.0838,3.835,"2017-05-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-12",1.023,3.845,"2017-05-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-11",1.0471,3.855,"2017-05-12","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-10",1.0328,3.852,"2017-05-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-09",0.9673,3.867,"2017-05-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-08",1.063,3.918,"2017-05-09","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-07",2.1023,3.917,"2017-05-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-05",1.0418,3.925,"2017-05-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-04",1.0414,3.936,"2017-05-05","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-03",1.0617,3.942,"2017-05-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-02",1.0616,3.939,"2017-05-03","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-05-01",3.1774,3.945,"2017-05-03","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-28",1.0615,3.911,"2017-04-29","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-27",1.053,3.906,"2017-04-28","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-26",1.0569,3.862,"2017-04-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-25",1.0714,3.82,"2017-04-26","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-24",1.0543,3.782,"2017-04-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-23",2.0608,3.754,"2017-04-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-21",1.0523,3.71,"2017-04-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-20",0.9716,3.684,"2017-04-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-19",0.9793,3.746,"2017-04-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-18",1.0015,3.739,"2017-04-19","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-17",1.002,3.736,"2017-04-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-16",1.979,3.741,"2017-04-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-14",1.0053,3.78,"2017-04-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-13",1.0857,3.802,"2017-04-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-12",0.9672,3.804,"2017-04-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-11",0.9946,3.88,"2017-04-12","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-10",1.0128,3.935,"2017-04-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-09",2.0513,3.98,"2017-04-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-07",1.0455,4.056,"2017-04-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-06",1.0885,4.036,"2017-04-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-05",1.1084,3.975,"2017-04-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-04-04",4.3839,3.929,"2017-04-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-31",1.0071,4.009,"2017-04-01","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-30",0.9776,3.977,"2017-03-31","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-29",1.0229,4.026,"2017-03-30","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-28",1.0515,3.962,"2017-03-29","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-27",1.3173,4.007,"2017-03-28","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-26",2.1629,4.633,"2017-03-27","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-24",0.9475,4.55,"2017-03-25","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-23",1.0689,4.583,"2017-03-24","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-22",0.9049,4.55,"2017-03-23","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-21",1.1342,4.579,"2017-03-22","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-20",2.4677,4.501,"2017-03-21","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-19",2.0101,3.719,"2017-03-20","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-17",1.0083,3.753,"2017-03-18","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-16",1.0079,3.773,"2017-03-17","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-15",0.9589,3.775,"2017-03-16","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-14",0.9912,3.772,"2017-03-15","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-13",1.0272,3.76,"2017-03-14","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-12",2.0723,3.732,"2017-03-13","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-10",1.0452,3.668,"2017-03-11","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-09",1.0112,3.642,"2017-03-10","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-08",0.9536,3.645,"2017-03-09","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-07",0.969,3.686,"2017-03-08","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-06",0.9767,3.73,"2017-03-07","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-05",1.9528,3.797,"2017-03-06","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-03",0.9976,3.907,"2017-03-04","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-02",1.0166,3.968,"2017-03-03","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-03-01",1.0304,3.981,"2017-03-02","CNY"
"001010.OFCN","001010","易方达增金宝货币","2017-02-28",1.0502,3.985,"2017-03-01","CNY"
