ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"002960.OFCN","002960","博时合利货币市","2017-09-30",1.1985,4.473,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-29",1.1985,4.473,"2017-09-30","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-28",1.1989,4.473,"2017-09-29","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-27",1.1991,4.475,"2017-09-28","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-26",1.2093,4.441,"2017-09-27","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-25",1.1896,4.439,"2017-09-26","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-24",1.1983,4.449,"2017-09-26","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-23",1.1985,4.453,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-22",1.1985,4.459,"2017-09-23","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-21",1.202,4.465,"2017-09-22","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-20",1.138,4.465,"2017-09-21","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-19",1.2049,4.501,"2017-09-20","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-18",1.2075,4.5,"2017-09-19","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-17",1.2071,4.496,"2017-09-19","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-16",1.2088,4.492,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-15",1.2088,4.486,"2017-09-16","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-14",1.2034,4.481,"2017-09-15","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-13",1.2038,4.482,"2017-09-14","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-12",1.2033,4.479,"2017-09-13","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-11",1.1992,4.48,"2017-09-12","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-10",1.1993,4.484,"2017-09-12","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-09",1.1994,4.487,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-08",1.1996,4.49,"2017-09-09","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-07",1.2051,4.494,"2017-09-08","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-06",1.198,4.507,"2017-09-07","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-05",1.2053,4.524,"2017-09-06","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-04",1.2059,4.531,"2017-09-05","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-03",1.2047,4.538,"2017-09-05","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-02",1.2048,4.546,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-09-01",1.2073,4.554,"2017-09-02","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-31",1.2294,4.561,"2017-09-01","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-30",1.2281,4.553,"2017-08-31","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-29",1.219,4.542,"2017-08-30","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-28",1.2191,4.548,"2017-08-29","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-27",1.2193,4.552,"2017-08-29","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-26",1.2194,4.559,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-25",1.2193,4.565,"2017-08-26","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-24",1.215,4.572,"2017-08-25","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-23",1.2074,4.58,"2017-08-24","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-22",1.2311,4.594,"2017-08-23","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-21",1.2265,4.576,"2017-08-22","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-20",1.2312,4.576,"2017-08-22","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-19",1.2313,4.575,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-18",1.2313,4.573,"2017-08-19","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-17",1.2308,4.572,"2017-08-18","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-16",1.2316,4.571,"2017-08-17","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-15",1.1988,4.569,"2017-08-16","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-14",1.2274,4.585,"2017-08-15","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-13",1.2284,4.589,"2017-08-15","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-12",1.2285,4.588,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-11",1.2286,4.587,"2017-08-12","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-10",1.2284,4.586,"2017-08-11","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-09",1.2291,4.585,"2017-08-10","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-08",1.228,4.584,"2017-08-09","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-07",1.2349,4.582,"2017-08-08","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-06",1.2267,4.578,"2017-08-08","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-05",1.2268,4.582,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-04",1.2269,4.586,"2017-08-05","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-03",1.2261,4.59,"2017-08-04","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-02",1.2268,4.594,"2017-08-03","CNY"
"002960.OFCN","002960","博时合利货币市","2017-08-01",1.2236,4.602,"2017-08-02","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-31",1.2282,4.612,"2017-08-01","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-30",1.2339,4.62,"2017-08-01","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-29",1.234,4.63,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-28",1.234,4.64,"2017-07-29","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-27",1.2332,4.65,"2017-07-28","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-26",1.2424,4.659,"2017-07-27","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-25",1.2419,4.664,"2017-07-26","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-24",1.2437,4.655,"2017-07-25","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-23",1.2518,4.654,"2017-07-25","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-22",1.252,4.651,"","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-21",1.2521,4.647,"2017-07-22","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-20",1.2504,4.644,"2017-07-21","CNY"
"002960.OFCN","002960","博时合利货币市","2017-07-19",1.2505,4.639,"2017-07-20","CNY"
