ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"002855.OFCN","002855","博时现金宝货币-C","2017-09-19",1.1838,4.406,"2017-09-20","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-18",1.1735,4.419,"2017-09-19","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-17",1.1721,4.433,"2017-09-19","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-16",1.1722,4.446,"","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-15",1.1851,4.459,"2017-09-16","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-14",1.2002,4.466,"2017-09-15","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-13",1.1818,4.465,"2017-09-14","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-12",1.2076,4.473,"2017-09-13","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-11",1.1992,4.464,"2017-09-12","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-10",1.1964,4.462,"2017-09-12","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-09",1.1965,4.458,"","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-08",1.1973,4.454,"2017-09-09","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-07",1.1995,4.45,"2017-09-08","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-06",1.1959,4.431,"2017-09-07","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-05",1.1921,4.418,"2017-09-06","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-04",1.1945,4.408,"2017-09-05","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-03",1.1892,4.399,"2017-09-05","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-02",1.1893,4.397,"","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-09-01",1.19,4.394,"2017-09-02","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-31",1.1646,4.391,"2017-09-01","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-30",1.1723,4.387,"2017-08-31","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-29",1.1724,4.382,"2017-08-30","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-28",1.1796,4.375,"2017-08-29","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-27",1.1842,4.359,"2017-08-29","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-26",1.1843,4.334,"","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-25",1.1848,4.309,"2017-08-26","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-24",1.1569,4.284,"2017-08-25","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-23",1.1634,4.28,"2017-08-24","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-22",1.1598,4.268,"2017-08-23","CNY"
"002855.OFCN","002855","博时现金宝货币-C","2017-08-21",1.1498,4.259,"2017-08-22","CNY"
