secID,ticker,secShortName,endDate,dailyProfit,weeklyYield,publishDate,currencyCd
"004060.OFCN","004060","博时兴盛货币","2017-09-30",1.2154,4.507,"","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-29",1.2155,4.498,"2017-09-30","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-28",1.2148,4.489,"2017-09-29","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-27",1.2147,4.482,"2017-09-28","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-26",1.1985,4.472,"2017-09-27","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-25",1.1984,4.464,"2017-09-26","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-24",1.1985,4.483,"2017-09-26","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-23",1.1985,4.485,"","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-22",1.1983,4.487,"2017-09-23","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-21",1.2028,4.489,"2017-09-22","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-20",1.1957,4.496,"2017-09-21","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-19",1.1833,4.536,"2017-09-20","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-18",1.2333,4.563,"2017-09-19","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-17",1.2024,4.562,"2017-09-19","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-16",1.2024,4.578,"","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-15",1.2021,4.594,"2017-09-16","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-14",1.215,4.611,"2017-09-15","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-13",1.2694,4.821,"2017-09-14","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-12",1.233,5.171,"2017-09-13","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-11",1.2317,5.254,"2017-09-12","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-10",1.232,5.352,"2017-09-12","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-09",1.2321,5.35,"","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-08",1.232,5.348,"2017-09-09","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-07",1.5993,5.349,"2017-09-08","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-06",1.9097,5.15,"2017-09-07","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-05",1.3848,4.78,"2017-09-06","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-04",1.4099,4.699,"2017-09-05","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-03",1.2283,4.603,"2017-09-05","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-02",1.2284,4.607,"","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-09-01",1.2346,4.61,"2017-09-02","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-31",1.2354,4.61,"2017-09-01","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-30",1.2348,4.608,"2017-08-31","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-29",1.2349,4.607,"2017-08-30","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-28",1.2347,4.606,"2017-08-29","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-27",1.2348,4.606,"2017-08-29","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-26",1.2349,4.605,"","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-25",1.2348,4.604,"2017-08-26","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-24",1.2322,4.603,"2017-08-25","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-23",1.232,4.602,"2017-08-24","CNY"
"004060.OFCN","004060","博时兴盛货币","2017-08-22",1.2335,4.601,"2017-08-23","CNY"
