data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20050711,20050711 00:00,21:00:15,399004,11078,15974103.14,42839299.89,20050711
20050718,20050718 00:00,21:00:31,399004,11118,16060156.69,43060535.79,20050718
20050708,20050708 00:00,21:00:26,399004,11070,16072299.34,43159100.74,20050708
20050719,20050719 00:00,21:00:28,399004,11126,16125641.01,43166002.51,20050719
20050715,20050715 00:00,21:00:30,399004,11110,16251695.73,43542500.63,20050715
20050603,20050603 00:00,21:00:19,399004,10862,16251744.18,43455041.45,20050603
20050602,20050602 00:00,21:00:34,399004,10854,16287673.8,43670622.71,20050602
20050720,20050720 00:00,21:00:15,399004,11134,16288004.59,43628783.27,20050720
20050721,20050721 00:00,21:00:15,399004,11142,16288444.81,43662192.56,20050721
20050706,20050706 00:00,21:00:36,399004,11054,16349358.81,43827038.8,20050706
20050713,20050713 00:00,21:00:38,399004,11094,16397540.82,43933269.06,20050713
20050707,20050707 00:00,21:00:25,399004,11062,16400813.01,44009030.57,20050707
20050714,20050714 00:00,21:00:31,399004,11102,16442750.18,44069318.37,20050714
20050705,20050705 00:00,21:00:32,399004,11046,16477104.96,44161382.4,20050705
20050712,20050712 00:00,21:00:29,399004,11086,16487017.17,44127870.34,20050712
20050725,20050725 00:00,21:00:44,399004,11158,16516850.24,44201244.59,20050725
20050722,20050722 00:00,21:00:25,399004,11150,16592239.99,44458836.68,20050722
20050704,20050704 00:00,21:00:30,399004,11038,16619099.38,44592405.27,20050704
20050701,20050701 00:00,21:00:22,399004,11030,16639304.31,44658777.42,20050701
20050601,20050601 00:00,21:00:23,399004,10846,16700887.14,44623519.17,20050601
20050607,20050607 00:00,21:00:17,399004,10878,16733358.16,44636205.68,20050607
20050606,20050606 00:00,21:00:23,399004,10870,16769526.95,44792483.17,20050606
20050726,20050726 00:00,21:00:27,399004,11166,16922955.16,45268649.25,20050726
20051205,20051205 00:00,21:00:13,399004,11882,17009122.32,42930370,20051205
20051115,20051115 00:00,21:00:11,399004,11770,17020911.28,45086409.8,20051115
20050630,20050630 00:00,21:00:14,399004,11022,17030176.78,45695723.86,20050630
20050527,20050527 00:00,21:00:28,399004,10822,17080667.16,45510121.19,20050527
20050615,20050615 00:00,21:00:16,399004,10934,17093330.24,45668027.3,20050615
20051206,20051206 00:00,21:00:14,399004,11890,17115087.43,43241675.36,20051206
20041015,20041015 00:00,15:52:51,399004,6903,17116211.11,45173634.06,20030102
20041015,20041015 00:00,15:52:59,399004,6909,17122809.68,45175992.91,20030103
20050530,20050530 00:00,21:00:26,399004,10830,17144314.87,45755219.21,20050530
20051116,20051116 00:00,21:00:15,399004,11778,17146737.76,45352137.84,20051116
20051114,20051114 00:00,21:00:08,399004,11762,17153501.94,45331667.4,20051114
20051129,20051129 00:00,21:00:13,399004,11850,17155154.95,43577962.12,20051129
20050531,20050531 00:00,21:00:23,399004,10838,17158853.35,45808838.89,20050531
20051117,20051117 00:00,21:00:13,399004,11786,17164181.59,45431682.81,20051117
20051110,20051110 00:00,21:00:20,399004,11746,17176424.85,45323996.98,20051110
20051122,20051122 00:00,21:00:13,399004,11810,17187799.56,43795611.94,20051122
20051130,20051130 00:00,21:00:14,399004,11858,17189430.24,43665984.14,20051130
20051111,20051111 00:00,21:00:16,399004,11754,17211388.57,45492295.53,20051111
20051202,20051202 00:00,21:00:16,399004,11874,17215419.39,43512145.52,20051202
20050729,20050729 00:00,21:00:44,399004,11190,17227965.69,46073196.7,20050729
20050617,20050617 00:00,21:00:23,399004,10950,17228706.66,46095804.89,20050617
20051028,20051028 00:00,21:00:13,399004,11674,17249953.52,45808396.7,20051028
20051201,20051201 00:00,21:00:15,399004,11866,17258769.76,43766172.59,20051201
20051207,20051207 00:00,21:00:20,399004,11898,17266991.5,43653295.43,20051207
20050801,20050801 00:00,21:02:37,399004,11198,17268462.05,46231187.32,20050801
20050728,20050728 00:00,21:00:17,399004,11182,17282282.13,46243790.77,20050728
20050616,20050616 00:00,21:00:21,399004,10942,17285041.7,46153188.55,20050616
20050526,20050526 00:00,21:00:52,399004,10814,17288207.27,45993307.85,20050526
20051123,20051123 00:00,21:00:22,399004,11818,17297023.37,44037647.91,20051123
20051128,20051128 00:00,21:00:15,399004,11842,17304995.38,43930051.62,20051128
20050516,20050516 00:00,21:00:47,399004,10750,17320267.37,44775568.67,20050516
20050727,20050727 00:00,21:00:27,399004,11174,17326670.86,46376117.78,20050727
20041015,20041015 00:00,15:53:19,399004,6921,17338001.58,45734689.83,20030107
20051124,20051124 00:00,21:00:15,399004,11826,17348737.15,44165688.43,20051124
20051208,20051208 00:00,21:00:14,399004,11906,17349731.1,43883015.84,20051208
20041015,20041015 00:00,15:53:07,399004,6915,17367835.09,45795185.85,20030106
20050523,20050523 00:00,21:00:41,399004,10790,17368292.38,46143414.39,20050523
20050520,20050520 00:00,21:00:26,399004,10782,17373126.17,44710777.26,20050520
20051101,20051101 00:00,21:00:17,399004,11690,17394579.21,46194180.56,20051101
20051125,20051125 00:00,21:00:12,399004,11834,17396172.61,44251427.79,20051125
20050519,20050519 00:00,21:00:43,399004,10774,17412775.55,44800909.85,20050519
20050517,20050517 00:00,21:00:29,399004,10758,17436485.33,44998259.16,20050517
20051121,20051121 00:00,21:00:09,399004,11802,17445077.52,44448440.07,20051121
20051031,20051031 00:00,21:00:14,399004,11682,17445080.86,46218873.22,20051031
20051103,20051103 00:00,21:00:10,399004,11706,17450409.25,46323764.24,20051103
20050518,20050518 00:00,21:00:50,399004,10766,17451290.15,44959241.82,20050518
20051027,20051027 00:00,21:00:12,399004,11666,17479782.46,46695275.16,20051027
20050525,20050525 00:00,21:00:39,399004,10806,17502989.49,46590987,20050525
20051107,20051107 00:00,21:00:13,399004,11722,17512051.06,46234335.58,20051107
20050524,20050524 00:00,21:00:57,399004,10798,17515544.73,46550214.35,20050524
20051104,20051104 00:00,21:00:20,399004,11714,17529401.08,46489599.65,20051104
20050614,20050614 00:00,21:00:35,399004,10926,17532391.71,46829588.66,20050614
20051026,20051026 00:00,21:00:12,399004,11658,17539761.85,46733808.63,20051026
20051109,20051109 00:00,21:00:09,399004,11738,17540917.11,46285140.32,20051109
