date,中证500,创业板综,S&P 500,MSCI新兴市场,COMEX黄金
2017-01-01,6263.6256,2600.7960,2238.8267,862.2748,1152.0000
2017-01-02,6263.6256,2600.7960,2238.8267,861.8818,1152.0000
2017-01-03,6320.7626,2613.6773,2257.8280,868.4405,1159.4000
2017-01-04,6394.6694,2651.0271,2270.7525,871.4538,1164.2000
2017-01-05,6399.2841,2642.3276,2268.9985,881.7174,1180.9000
2017-01-06,6371.6168,2612.6448,2276.9814,881.1121,1172.9000
2017-01-07,6371.6168,2612.6448,2276.9814,881.1121,1172.9000
2017-01-08,6371.6168,2612.6448,2276.9814,881.1121,1172.9000
2017-01-09,6415.4176,2611.1307,2268.9042,878.4401,1181.2000
2017-01-10,6393.9283,2600.9068,2268.8995,885.7013,1187.6000
2017-01-11,6331.9638,2573.6609,2275.3159,886.7324,1191.5000
2017-01-12,6272.8510,2555.2404,2270.4429,896.6378,1195.1000
2017-01-13,6194.6575,2507.2773,2274.6377,895.9757,1197.1000
2017-01-14,6194.6575,2507.2773,2274.6377,895.9757,1197.1000
2017-01-15,6194.6575,2507.2773,2274.6377,895.9757,1197.1000
2017-01-16,6031.2414,2397.3484,2274.6377,889.1055,1202.6000
2017-01-17,6082.0657,2441.2155,2267.8886,894.8714,1216.7000
2017-01-18,6068.5930,2409.8843,2271.8894,897.8853,1203.7000
2017-01-19,6043.6750,2405.8696,2263.6868,894.5181,1204.3000
2017-01-20,6121.9983,2455.6183,2271.3147,893.2843,1210.2000
2017-01-21,6121.9983,2455.6183,2271.3147,893.2843,1210.2000
2017-01-22,6121.9983,2455.6183,2271.3147,893.2843,1210.2000
2017-01-23,6172.1671,2476.6203,2265.2002,902.1390,1217.8000
2017-01-24,6165.2642,2451.8334,2280.0742,908.6310,1208.6000
2017-01-25,6179.5681,2465.9950,2298.3674,912.1594,1203.0000
2017-01-26,6223.7061,2487.7285,2296.6808,916.7283,1190.8000
2017-01-27,6223.7061,2487.7285,2294.6897,915.9209,1193.7000
2017-01-28,6223.7061,2487.7285,2294.6897,915.9209,1193.7000
2017-01-29,6223.7061,2487.7285,2294.6897,915.9209,1193.7000
2017-01-30,6223.7061,2487.7285,2280.8963,913.0889,1197.4000
2017-01-31,6223.7061,2487.7285,2278.8669,909.2282,1212.4000
2017-02-01,6223.7061,2487.7285,2279.5543,912.9992,1211.7000
2017-02-02,6223.7061,2487.7285,2280.8504,915.2076,1217.5000
2017-02-03,6207.0921,2474.8814,2297.4159,918.8725,1222.0000
2017-02-04,6207.0921,2474.8814,2297.4159,918.8725,1222.0000
2017-02-05,6207.0921,2474.8814,2297.4159,918.8725,1222.0000
2017-02-06,6259.2471,2507.7403,2292.5584,922.9855,1237.3000
2017-02-07,6255.9270,2497.9129,2293.0811,919.8049,1235.5000
2017-02-08,6291.5977,2522.4051,2294.6686,921.6765,1243.1000
2017-02-09,6331.1771,2541.8125,2307.8746,925.5739,1229.4000
2017-02-10,6337.1081,2524.5618,2316.0971,930.1587,1234.7000
2017-02-11,6337.1081,2524.5618,2316.0971,930.1587,1234.7000
2017-02-12,6337.1081,2524.5618,2316.0971,930.1587,1234.7000
2017-02-13,6369.6526,2542.5458,2328.2533,935.4480,1226.1000
2017-02-14,6374.8852,2536.5586,2337.5846,934.0784,1229.2000
2017-02-15,6311.6959,2515.0872,2349.2474,941.7791,1234.7000
2017-02-16,6359.3361,2522.6949,2347.2235,945.6181,1240.1000
2017-02-17,6307.1627,2498.5999,2351.1617,939.0326,1236.0000
2017-02-18,6307.1627,2498.5999,2351.1617,939.0326,1236.0000
2017-02-19,6307.1627,2498.5999,2351.1617,939.0326,1236.0000
2017-02-20,6385.0625,2509.7064,2351.1617,943.5820,1236.0000
2017-02-21,6434.4383,2546.0309,2365.3827,945.6404,1236.7000
2017-02-22,6474.2250,2549.3407,2362.8215,950.9534,1238.2000
2017-02-23,6473.9930,2558.5541,2363.8067,952.1171,1250.7000
2017-02-24,6476.1655,2577.9068,2367.3442,943.5154,1258.0000
2017-02-25,6476.1655,2577.9068,2367.3442,943.5154,1258.0000
2017-02-26,6476.1655,2577.9068,2367.3442,943.5154,1258.0000
2017-02-27,6424.2549,2563.8497,2369.7503,940.3171,1253.4000
2017-02-28,6450.9701,2570.2402,2363.6382,936.3714,1248.8000
2017-03-01,6467.6385,2577.3322,2395.9571,938.4684,1250.0000
2017-03-02,6434.6262,2561.3322,2381.9182,936.3733,1234.4000
2017-03-03,6452.8390,2578.4543,2383.1170,931.0679,1234.9000
2017-03-04,6452.8390,2578.4543,2383.1170,931.0679,1234.9000
2017-03-05,6452.8390,2578.4543,2383.1170,931.0679,1234.9000
2017-03-06,6517.3235,2622.4686,2375.3111,934.4233,1225.5000
2017-03-07,6523.1868,2636.2559,2368.3942,936.5013,1215.9000
2017-03-08,6497.0878,2621.5500,2362.9770,934.9017,1208.1000
2017-03-09,6439.3822,2611.4119,2364.8698,922.9379,1200.9000
2017-03-10,6447.9165,2609.1662,2372.5978,926.1435,1204.5000
2017-03-11,6447.9165,2609.1662,2372.5978,926.1435,1204.5000
2017-03-12,6447.9165,2609.1662,2372.5978,926.1435,1204.5000
2017-03-13,6507.8964,2636.5375,2373.4730,938.5027,1203.6000
2017-03-14,6493.4846,2627.9995,2365.4549,939.9665,1198.5000
2017-03-15,6486.0616,2627.4853,2385.2645,943.5155,1219.6000
2017-03-16,6543.3407,2651.5087,2381.3822,963.2016,1226.1000
2017-03-17,6483.2463,2631.8230,2378.2531,965.5672,1228.9000
2017-03-18,6483.2463,2631.8230,2378.2531,965.5672,1228.9000
2017-03-19,6483.2463,2631.8230,2378.2531,965.5672,1228.9000
2017-03-20,6498.3416,2640.9716,2373.4716,972.3523,1234.0000
2017-03-21,6515.9458,2648.1809,2344.0171,973.0829,1244.6000
2017-03-22,6499.7928,2633.1264,2348.4488,966.9701,1248.6000
2017-03-23,6512.1874,2633.1993,2345.9622,967.9231,1248.1000
2017-03-24,6546.6150,2644.1834,2343.9781,969.1260,1246.4000
2017-03-25,6546.6150,2644.1834,2343.9781,969.1260,1246.4000
2017-03-26,6546.6150,2644.1834,2343.9781,969.1260,1246.4000
2017-03-27,6516.0326,2627.9152,2341.5906,965.7081,1257.3000
2017-03-28,6498.6902,2620.9778,2358.5665,970.3210,1254.8000
2017-03-29,6480.5430,2587.2092,2361.1330,971.8641,1256.3000
2017-03-30,6375.7437,2523.7774,2368.0606,969.4674,1244.8000
2017-03-31,6401.6479,2535.4918,2362.7182,958.3686,1251.6000
2017-04-01,6401.6479,2535.4918,2362.7182,958.3686,1251.6000
2017-04-02,6401.6479,2535.4918,2362.7182,958.3686,1251.6000
2017-04-03,6401.6479,2535.4918,2358.8351,965.1469,1255.4000
2017-04-04,6401.6479,2535.4918,2360.1557,965.1720,1258.0000
2017-04-05,6539.9665,2587.2051,2352.9482,969.2220,1257.6000
2017-04-06,6559.6526,2595.8329,2357.4891,963.2914,1253.6000
2017-04-07,6578.7260,2594.4732,2355.5450,961.6128,1256.1000
2017-04-08,6578.7260,2594.4732,2355.5450,961.6128,1256.1000
2017-04-09,6578.7260,2594.4732,2355.5450,961.6128,1256.1000
2017-04-10,6566.5441,2543.3467,2357.1634,958.0014,1256.4000
2017-04-11,6629.1661,2558.9146,2353.7770,954.4395,1276.5000
2017-04-12,6576.4761,2523.0968,2344.9263,958.2038,1288.9000
2017-04-13,6615.7042,2537.7114,2328.9533,962.8532,1290.1000
2017-04-14,6528.1624,2504.9046,2328.9533,960.4273,1290.1000
2017-04-15,6528.1624,2504.9046,2328.9533,960.4273,1290.1000
2017-04-16,6528.1624,2504.9046,2328.9533,960.4273,1290.1000
2017-04-17,6456.5980,2463.5125,2328.9533,962.7085,1286.3000
2017-04-18,6418.2114,2433.1126,2328.9533,957.6973,1291.5000
2017-04-19,6350.6465,2423.8226,2338.1660,952.9235,1282.0000
