用户序号,日期,基金代码,基金名称,配置比例
1,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
1,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
1,2017-11-13,202212,南方保本混合型证券投资基金,0.08
2,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
2,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
2,2017-11-13,202212,南方保本混合型证券投资基金,0.08
3,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
3,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
3,2017-11-13,202212,南方保本混合型证券投资基金,0.08
4,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
4,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
4,2017-11-13,202212,南方保本混合型证券投资基金,0.08
5,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
5,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
5,2017-11-13,202212,南方保本混合型证券投资基金,0.08
6,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
6,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
6,2017-11-13,202212,南方保本混合型证券投资基金,0.08
7,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
7,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.2
7,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.13
7,2017-11-13,040026,华安信用四季红债券型证券投资基金,0.12
7,2017-11-13,090013,大成竞争优势混合型证券投资基金,0.1
7,2017-11-13,020023,国泰事件驱动策略混合型证券投资基金,0.04
7,2017-11-13,519183,万家双引擎灵活配置混合型证券投资基金,0.16
7,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.2
8,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
8,2017-11-13,217008,招商安本增利债券型证券投资基金,0.15
8,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.15
8,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.05
8,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.6
9,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
9,2017-11-13,217008,招商安本增利债券型证券投资基金,0.15
9,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.15
9,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.05
9,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.6
10,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
10,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.2
10,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.13
10,2017-11-13,040026,华安信用四季红债券型证券投资基金,0.12
10,2017-11-13,090013,大成竞争优势混合型证券投资基金,0.1
10,2017-11-13,020023,国泰事件驱动策略混合型证券投资基金,0.04
10,2017-11-13,519183,万家双引擎灵活配置混合型证券投资基金,0.16
10,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.2
11,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
11,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.2
11,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.13
11,2017-11-13,040026,华安信用四季红债券型证券投资基金,0.12
11,2017-11-13,090013,大成竞争优势混合型证券投资基金,0.1
11,2017-11-13,020023,国泰事件驱动策略混合型证券投资基金,0.04
11,2017-11-13,519183,万家双引擎灵活配置混合型证券投资基金,0.16
11,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.2
12,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
12,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.2
12,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.13
12,2017-11-13,040026,华安信用四季红债券型证券投资基金,0.12
12,2017-11-13,090013,大成竞争优势混合型证券投资基金,0.1
12,2017-11-13,020023,国泰事件驱动策略混合型证券投资基金,0.04
12,2017-11-13,519183,万家双引擎灵活配置混合型证券投资基金,0.16
12,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.2
13,2017-11-13,001826,国寿安保增金宝货币市场基金,0.5
13,2017-11-13,001013,华夏希望债券型证券投资基金C类,0.4
13,2017-11-13,000199,国泰策略收益灵活配置混合型证券投资基金,0.1
14,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
14,2017-11-13,217008,招商安本增利债券型证券投资基金,0.15
14,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.15
14,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.05
14,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.6
15,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
15,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.2
15,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.13
15,2017-11-13,040026,华安信用四季红债券型证券投资基金,0.12
15,2017-11-13,090013,大成竞争优势混合型证券投资基金,0.1
15,2017-11-13,020023,国泰事件驱动策略混合型证券投资基金,0.04
15,2017-11-13,519183,万家双引擎灵活配置混合型证券投资基金,0.16
15,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.2
16,2017-11-13,001826,国寿安保增金宝货币市场基金,0.75
16,2017-11-13,020022,国泰策略价值灵活配置混合型证券投资基金,0.17
16,2017-11-13,202212,南方保本混合型证券投资基金,0.08
17,2017-11-13,001826,国寿安保增金宝货币市场基金,0.5
17,2017-11-13,001013,华夏希望债券型证券投资基金C类,0.4
17,2017-11-13,000199,国泰策略收益灵活配置混合型证券投资基金,0.1
18,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
18,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.15
18,2017-11-13,270007,广发大盘成长混合型证券投资基金,0.1
18,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.7
19,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
19,2017-11-13,070020,嘉实稳固收益债券型证券投资基金,0.2
19,2017-11-13,000178,博时灵活配置混合型证券投资基金A类,0.13
19,2017-11-13,040026,华安信用四季红债券型证券投资基金,0.12
19,2017-11-13,090013,大成竞争优势混合型证券投资基金,0.1
19,2017-11-13,020023,国泰事件驱动策略混合型证券投资基金,0.04
19,2017-11-13,519183,万家双引擎灵活配置混合型证券投资基金,0.16
19,2017-11-13,110023,易方达医疗保健行业混合型证券投资基金,0.2
20,2017-11-13,001826,国寿安保增金宝货币市场基金,0.05
