客户ID,日期,基金代码,基金名称,配置比例
1,2017-07-01,070008,嘉实货币,1
2,2017-07-01,070008,嘉实货币,1
3,2017-07-01,070008,嘉实货币,1
4,2017-07-01,070008,嘉实货币,1
5,2017-07-01,070008,嘉实货币,1
6,2017-07-01,070008,嘉实货币,1
7,2017-07-01,070008,嘉实货币,0.1371
7,2017-07-01,519153,新华纯债添利C,0.1547
7,2017-07-01,050111,博时信用债券C,0.174
7,2017-07-01,050002,博时沪深300指数,0.267
7,2017-07-01,050025,博时标普500ETF联接,0.093
7,2017-07-01,160121,南方金砖四国,0.1742
8,2017-07-01,070008,嘉实货币,0.0971
8,2017-07-01,519153,新华纯债添利C,0.0847
8,2017-07-01,050111,博时信用债券C,0.1882
8,2017-07-01,050002,博时沪深300指数,0.2259
8,2017-07-01,040018,华安香港精选,0.144
8,2017-07-01,050025,博时标普500ETF联接,0.0649
8,2017-07-01,160121,南方金砖四国,0.0833
8,2017-07-01,160416,华安标普全球石油,0.1119
9,2017-07-01,070008,嘉实货币,0.0971
9,2017-07-01,519153,新华纯债添利C,0.0847
9,2017-07-01,050111,博时信用债券C,0.1882
9,2017-07-01,050002,博时沪深300指数,0.2259
9,2017-07-01,040018,华安香港精选,0.144
9,2017-07-01,050025,博时标普500ETF联接,0.0649
9,2017-07-01,160121,南方金砖四国,0.0833
9,2017-07-01,160416,华安标普全球石油,0.1119
9,2017-11-24,070008,嘉实货币,0.0971
9,2017-11-24,519153,新华纯债添利C,0.2624
9,2017-11-24,050111,博时信用债券C,0.0941
9,2017-11-24,050002,博时沪深300指数,0.1532
9,2017-11-24,040018,华安香港精选,0.13535
9,2017-11-24,050025,博时标普500ETF联接,0.06045
9,2017-11-24,160121,南方金砖四国,0.10395
9,2017-11-24,160416,华安标普全球石油,0.09345
10,2017-07-01,070008,嘉实货币,0.1371
10,2017-07-01,519153,新华纯债添利C,0.1531
10,2017-07-01,050111,博时信用债券C,0.1738
10,2017-07-01,050002,博时沪深300指数,0.2754
10,2017-07-01,050025,博时标普500ETF联接,0.093
10,2017-07-01,160121,南方金砖四国,0.1676
11,2017-07-01,070008,嘉实货币,0.1371
11,2017-07-01,519153,新华纯债添利C,0.1531
11,2017-07-01,050111,博时信用债券C,0.1738
11,2017-07-01,050002,博时沪深300指数,0.2754
11,2017-07-01,050025,博时标普500ETF联接,0.093
11,2017-07-01,160121,南方金砖四国,0.1676
12,2017-07-01,070008,嘉实货币,0.1371
12,2017-07-01,519153,新华纯债添利C,0.1531
12,2017-07-01,050111,博时信用债券C,0.1738
12,2017-07-01,050002,博时沪深300指数,0.2754
12,2017-07-01,050025,博时标普500ETF联接,0.093
12,2017-07-01,160121,南方金砖四国,0.1676
13,2017-07-01,070008,嘉实货币,0.3036
13,2017-07-01,519153,新华纯债添利C,0.4402
13,2017-07-01,050111,博时信用债券C,0.0777
13,2017-07-01,050002,博时沪深300指数,0.1236
13,2017-07-01,050025,博时标普500ETF联接,0.0549
14,2017-07-01,070008,嘉实货币,0.0971
14,2017-07-01,519153,新华纯债添利C,0.0847
14,2017-07-01,050111,博时信用债券C,0.1882
14,2017-07-01,050002,博时沪深300指数,0.2259
14,2017-07-01,040018,华安香港精选,0.144
14,2017-07-01,050025,博时标普500ETF联接,0.0649
14,2017-07-01,160121,南方金砖四国,0.0833
14,2017-07-01,160416,华安标普全球石油,0.1119
15,2017-07-01,070008,嘉实货币,0.1371
15,2017-07-01,519153,新华纯债添利C,0.1563
15,2017-07-01,050111,博时信用债券C,0.1715
15,2017-07-01,050002,博时沪深300指数,0.2838
15,2017-07-01,050025,博时标普500ETF联接,0.093
15,2017-07-01,160121,南方金砖四国,0.1583
16,2017-07-01,070008,嘉实货币,1
17,2017-07-01,070008,嘉实货币,0.3036
17,2017-07-01,519153,新华纯债添利C,0.4402
17,2017-07-01,050111,博时信用债券C,0.0777
17,2017-07-01,050002,博时沪深300指数,0.1236
17,2017-07-01,050025,博时标普500ETF联接,0.0549
17,2017-11-24,070008,嘉实货币,0.297028571
17,2017-11-24,519153,新华纯债添利C,0.562580952
17,2017-11-24,050111,博时信用债券C,0.084271429
17,2017-11-24,050002,博时沪深300指数,0.005885714
17,2017-11-24,050025,博时标普500ETF联接,0.050233333
18,2017-07-01,070008,嘉实货币,0.0721
18,2017-07-01,519153,新华纯债添利C,0.0331
18,2017-07-01,050111,博时信用债券C,0.2086
18,2017-07-01,050002,博时沪深300指数,0.25
18,2017-07-01,040018,华安香港精选,0.1106
18,2017-07-01,050025,博时标普500ETF联接,0.0736
18,2017-07-01,160121,南方金砖四国,0.054
18,2017-07-01,160416,华安标普全球石油,0.198
18,2017-11-24,070008,嘉实货币,0.0721
18,2017-11-24,519153,新华纯债添利C,0.189685366
18,2017-11-24,050111,博时信用债券C,0.2086
18,2017-11-24,050002,博时沪深300指数,0.08795122
18,2017-11-24,040018,华安香港精选,0.236843902
18,2017-11-24,050025,博时标普500ETF联接,0.05057561
18,2017-11-24,160121,南方金砖四国,0.076243902
18,2017-11-24,160416,华安标普全球石油,0.078
19,2017-07-01,070008,嘉实货币,0.1371
19,2017-07-01,519153,新华纯债添利C,0.1563
19,2017-07-01,050111,博时信用债券C,0.1715
19,2017-07-01,050002,博时沪深300指数,0.2838
19,2017-07-01,050025,博时标普500ETF联接,0.093
19,2017-07-01,160121,南方金砖四国,0.1583
20,2017-07-01,070008,嘉实货币,0.1371
20,2017-07-01,519153,新华纯债添利C,0.1563
20,2017-07-01,050111,博时信用债券C,0.1715
20,2017-07-01,050002,博时沪深300指数,0.2838
20,2017-07-01,050025,博时标普500ETF联接,0.093
20,2017-07-01,160121,南方金砖四国,0.1583
21,2017-07-01,070008,嘉实货币,0.2968
21,2017-07-01,519153,新华纯债添利C,0.4462
21,2017-07-01,050111,博时信用债券C,0.0784
21,2017-07-01,050002,博时沪深300指数,0.1236
21,2017-07-01,050025,博时标普500ETF联接,0.055
21,2017-11-24,070008,嘉实货币,0.291163636
21,2017-11-24,519153,新华纯债添利C,0.563018182
21,2017-11-24,050111,博时信用债券C,0.084127273
21,2017-11-24,050002,博时沪深300指数,0.011236364
21,2017-11-24,050025,博时标普500ETF联接,0.050454545
22,2017-07-01,070008,嘉实货币,0.2968
22,2017-07-01,519153,新华纯债添利C,0.4462
22,2017-07-01,050111,博时信用债券C,0.0784
22,2017-07-01,050002,博时沪深300指数,0.1236
22,2017-07-01,050025,博时标普500ETF联接,0.055
23,2017-07-01,070008,嘉实货币,0.0971
23,2017-07-01,519153,新华纯债添利C,0.0847
23,2017-07-01,050111,博时信用债券C,0.1882
23,2017-07-01,050002,博时沪深300指数,0.2259
23,2017-07-01,040018,华安香港精选,0.144
23,2017-07-01,050025,博时标普500ETF联接,0.0649
23,2017-07-01,160121,南方金砖四国,0.0833
23,2017-07-01,160416,华安标普全球石油,0.1119
24,2017-07-01,070008,嘉实货币,0.1041
24,2017-07-01,519153,新华纯债添利C,0.0331
24,2017-07-01,050111,博时信用债券C,0.1766
24,2017-07-01,050002,博时沪深300指数,0.25
24,2017-07-01,040018,华安香港精选,0.1106
24,2017-07-01,050025,博时标普500ETF联接,0.0736
24,2017-07-01,160121,南方金砖四国,0.054
24,2017-07-01,160416,华安标普全球石油,0.198
25,2017-07-01,070008,嘉实货币,0.1371
25,2017-07-01,519153,新华纯债添利C,0.1547
25,2017-07-01,050111,博时信用债券C,0.174
25,2017-07-01,050002,博时沪深300指数,0.267
25,2017-07-01,050025,博时标普500ETF联接,0.093
25,2017-07-01,160121,南方金砖四国,0.1742
26,2017-07-01,070008,嘉实货币,1
27,2017-07-01,070008,嘉实货币,0.1371
27,2017-07-01,519153,新华纯债添利C,0.1547
27,2017-07-01,050111,博时信用债券C,0.174
27,2017-07-01,050002,博时沪深300指数,0.267
27,2017-07-01,050025,博时标普500ETF联接,0.093
27,2017-07-01,160121,南方金砖四国,0.1742
28,2017-07-01,070008,嘉实货币,0.0971
28,2017-07-01,519153,新华纯债添利C,0.0847
28,2017-07-01,050111,博时信用债券C,0.1882
28,2017-07-01,050002,博时沪深300指数,0.2259
28,2017-07-01,040018,华安香港精选,0.144
28,2017-07-01,050025,博时标普500ETF联接,0.0649
28,2017-07-01,160121,南方金砖四国,0.0833
28,2017-07-01,160416,华安标普全球石油,0.1119
29,2017-07-01,070008,嘉实货币,0.0971
29,2017-07-01,519153,新华纯债添利C,0.0847
29,2017-07-01,050111,博时信用债券C,0.1882
29,2017-07-01,050002,博时沪深300指数,0.2259
29,2017-07-01,040018,华安香港精选,0.144
29,2017-07-01,050025,博时标普500ETF联接,0.0649
29,2017-07-01,160121,南方金砖四国,0.0833
29,2017-07-01,160416,华安标普全球石油,0.1119
30,2017-07-01,070008,嘉实货币,0.0971
30,2017-07-01,519153,新华纯债添利C,0.0847
30,2017-07-01,050111,博时信用债券C,0.1882
30,2017-07-01,050002,博时沪深300指数,0.2259
30,2017-07-01,040018,华安香港精选,0.144
30,2017-07-01,050025,博时标普500ETF联接,0.0649
30,2017-07-01,160121,南方金砖四国,0.0833
30,2017-07-01,160416,华安标普全球石油,0.1119
31,2017-07-01,070008,嘉实货币,0.1371
31,2017-07-01,519153,新华纯债添利C,0.1531
31,2017-07-01,050111,博时信用债券C,0.1738
31,2017-07-01,050002,博时沪深300指数,0.2754
31,2017-07-01,050025,博时标普500ETF联接,0.093
31,2017-07-01,160121,南方金砖四国,0.1676
32,2017-07-01,070008,嘉实货币,0.0971
32,2017-07-01,519153,新华纯债添利C,0.0847
32,2017-07-01,050111,博时信用债券C,0.1882
32,2017-07-01,050002,博时沪深300指数,0.2259
32,2017-07-01,040018,华安香港精选,0.144
32,2017-07-01,050025,博时标普500ETF联接,0.0649
32,2017-07-01,160121,南方金砖四国,0.0833
32,2017-07-01,160416,华安标普全球石油,0.1119
