userid,date,ticker,name,percent
1,2017-07-01,202302,202302,1
2,2017-07-01,202302,202302,1
3,2017-07-01,202302,202302,1
4,2017-07-01,202302,202302,1
5,2017-07-01,202302,202302,1
6,2017-07-01,202302,202302,1
7,2017-07-01,040018,040018,0
7,2017-07-01,070012,070012,0.484776071
7,2017-07-01,110022,110022,0
7,2017-07-01,110030,110030,3.68049E-16
7,2017-07-01,160121,160121,0.055223929
7,2017-07-01,270023,270023,0
7,2017-07-01,202302,202302,0.46
7,2017-08-09,020023,020023,0
7,2017-08-09,040020,040020,5.27884E-17
7,2017-08-09,050024,050024,0.54
7,2017-08-09,110022,110022,0
7,2017-08-09,110025,110025,0
7,2017-08-09,460002,460002,5.56038E-17
7,2017-08-09,202302,202302,0.46
8,2017-07-01,040018,040018,0
8,2017-07-01,070012,070012,0.556594748
8,2017-07-01,110022,110022,0
8,2017-07-01,110030,110030,4.22575E-16
8,2017-07-01,160121,160121,0.063405252
8,2017-07-01,270023,270023,0
8,2017-07-01,202302,202302,0.38
8,2017-08-09,020023,020023,0
8,2017-08-09,040020,040020,6.06089E-17
8,2017-08-09,050024,050024,0.62
8,2017-08-09,110022,110022,0
8,2017-08-09,110025,110025,0
8,2017-08-09,460002,460002,6.38414E-17
8,2017-08-09,202302,202302,0.38
9,2017-07-01,040018,040018,0
9,2017-07-01,070012,070012,0.565572082
9,2017-07-01,110022,110022,0
9,2017-07-01,110030,110030,4.2939E-16
9,2017-07-01,160121,160121,0.064427918
9,2017-07-01,270023,270023,0
9,2017-07-01,202302,202302,0.37
9,2017-08-09,020023,020023,0
9,2017-08-09,040020,040020,6.15865E-17
9,2017-08-09,050024,050024,0.63
9,2017-08-09,110022,110022,0
9,2017-08-09,110025,110025,0
9,2017-08-09,460002,460002,6.48711E-17
9,2017-08-09,202302,202302,0.37
10,2017-07-01,040018,040018,0
10,2017-07-01,070012,070012,0.529662744
10,2017-07-01,110022,110022,0
10,2017-07-01,110030,110030,4.02127E-16
10,2017-07-01,160121,160121,0.060337256
10,2017-07-01,270023,270023,0
10,2017-07-01,202302,202302,0.41
10,2017-08-09,020023,020023,0
10,2017-08-09,040020,040020,5.76762E-17
10,2017-08-09,050024,050024,0.59
10,2017-08-09,110022,110022,0
10,2017-08-09,110025,110025,0
10,2017-08-09,460002,460002,6.07523E-17
10,2017-08-09,202302,202302,0.41
11,2017-07-01,040018,040018,0
11,2017-07-01,070012,070012,0.484776071
11,2017-07-01,110022,110022,0
11,2017-07-01,110030,110030,3.68049E-16
11,2017-07-01,160121,160121,0.055223929
11,2017-07-01,270023,270023,0
11,2017-07-01,202302,202302,0.46
11,2017-08-09,020023,020023,0
11,2017-08-09,040020,040020,5.27884E-17
11,2017-08-09,050024,050024,0.54
11,2017-08-09,110022,110022,0
11,2017-08-09,110025,110025,0
11,2017-08-09,460002,460002,5.56038E-17
11,2017-08-09,202302,202302,0.46
12,2017-07-01,040018,040018,0
12,2017-07-01,070012,070012,0.403980059
12,2017-07-01,110022,110022,0
12,2017-07-01,110030,110030,3.06707E-16
12,2017-07-01,160121,160121,0.046019941
12,2017-07-01,270023,270023,0
12,2017-07-01,202302,202302,0.55
12,2017-08-09,020023,020023,0
12,2017-08-09,040020,040020,4.39903E-17
12,2017-08-09,050024,050024,0.45
12,2017-08-09,110022,110022,0
12,2017-08-09,110025,110025,0
12,2017-08-09,460002,460002,4.63365E-17
12,2017-08-09,202302,202302,0.55
13,2017-07-01,040018,040018,0
13,2017-07-01,070012,070012,0.350116051
13,2017-07-01,110022,110022,0
13,2017-07-01,110030,110030,2.65813E-16
13,2017-07-01,160121,160121,0.039883949
13,2017-07-01,270023,270023,0
13,2017-07-01,202302,202302,0.61
13,2017-08-09,020023,020023,0
13,2017-08-09,040020,040020,3.8125E-17
13,2017-08-09,050024,050024,0.39
13,2017-08-09,110022,110022,0
13,2017-08-09,110025,110025,0
13,2017-08-09,460002,460002,4.01583E-17
13,2017-08-09,202302,202302,0.61
14,2017-07-01,040018,040018,0
14,2017-07-01,070012,070012,0.646368094
14,2017-07-01,110022,110022,0
14,2017-07-01,110030,110030,4.90732E-16
14,2017-07-01,160121,160121,0.073631906
14,2017-07-01,270023,270023,0
14,2017-07-01,202302,202302,0.28
14,2017-08-09,020023,020023,0
14,2017-08-09,040020,040020,7.03845E-17
14,2017-08-09,050024,050024,0.72
14,2017-08-09,110022,110022,0
14,2017-08-09,110025,110025,0
14,2017-08-09,460002,460002,7.41384E-17
14,2017-08-09,202302,202302,0.28
15,2017-07-01,040018,040018,0
15,2017-07-01,070012,070012,0.448866732
15,2017-07-01,110022,110022,0
15,2017-07-01,110030,110030,3.40786E-16
15,2017-07-01,160121,160121,0.051133268
15,2017-07-01,270023,270023,0
15,2017-07-01,202302,202302,0.5
15,2017-08-09,020023,020023,0
15,2017-08-09,040020,040020,4.88782E-17
15,2017-08-09,050024,050024,0.5
15,2017-08-09,110022,110022,0
15,2017-08-09,110025,110025,0
15,2017-08-09,460002,460002,5.1485E-17
15,2017-08-09,202302,202302,0.5
16,2017-07-01,202302,202302,1
17,2017-07-01,040018,040018,0
17,2017-07-01,070012,070012,0.359093386
17,2017-07-01,110022,110022,0
17,2017-07-01,110030,110030,2.72629E-16
17,2017-07-01,160121,160121,0.040906614
17,2017-07-01,270023,270023,0
17,2017-07-01,202302,202302,0.6
17,2017-08-09,020023,020023,0
17,2017-08-09,040020,040020,3.91025E-17
17,2017-08-09,050024,050024,0.4
17,2017-08-09,110022,110022,0
17,2017-08-09,110025,110025,0
17,2017-08-09,460002,460002,4.1188E-17
17,2017-08-09,202302,202302,0.6
18,2017-07-01,040018,040018,0
18,2017-07-01,070012,070012,0.736141441
18,2017-07-01,110022,110022,0
18,2017-07-01,110030,110030,5.58889E-16
18,2017-07-01,160121,160121,0.083858559
18,2017-07-01,270023,270023,0
18,2017-07-01,202302,202302,0.18
18,2017-08-09,020023,020023,0
18,2017-08-09,040020,040020,8.01602E-17
