客户风险能力类型,新老客户种类,性别,浮动利率存款,增金宝一号,增金宝二号,增金宝三号
C5进取型(81-100),新客户,男,20.00%,21.00%,27.00%,32.00%
C5进取型(81-100),新客户,女,21.00%,20.74%,26.66%,31.60%
C5进取型(81-100),增1老客户,男,3.80%,67.34%,12.03%,16.84%
C5进取型(81-100),增1老客户,女,4.30%,66.99%,11.96%,16.75%
C5进取型(81-100),增2老客户,男,3.80%,12.03%,67.34%,16.84%
C5进取型(81-100),增2老客户,女,4.30%,11.96%,66.99%,16.75%
C4成长型(61-80),新客户,男,22.00%,20.48%,26.33%,31.20%
C4成长型(61-80),新客户,女,23.00%,20.21%,25.99%,30.80%
C4成长型(61-80),增1老客户,男,4.10%,67.13%,11.99%,16.78%
C4成长型(61-80),增1老客户,女,4.60%,66.78%,11.93%,16.70%
C4成长型(61-80),增2老客户,男,4.10%,11.99%,67.13%,16.78%
C4成长型(61-80),增2老客户,女,4.60%,11.93%,66.78%,16.70%
C3平衡性(41-60),新客户,男,24.00%,19.95%,25.65%,30.40%
C3平衡性(41-60),新客户,女,25.00%,19.69%,25.31%,30.00%
C3平衡性(41-60),增1老客户,男,4.40%,66.92%,11.95%,16.73%
C3平衡性(41-60),增1老客户,女,4.90%,66.57%,11.89%,16.64%
C3平衡性(41-60),增2老客户,男,4.40%,11.95%,66.92%,16.73%
C3平衡性(41-60),增2老客户,女,4.90%,11.89%,66.57%,16.64%
C2稳健型(25-40),新客户,男,26.00%,19.43%,24.98%,29.60%
C2稳健型(25-40),新客户,女,27.00%,19.16%,24.64%,29.20%
C2稳健型(25-40),增1老客户,男,4.70%,66.71%,11.91%,16.68%
C2稳健型(25-40),增1老客户,女,5.20%,66.36%,11.85%,16.59%
C2稳健型(25-40),增2老客户,男,4.70%,11.91%,66.71%,16.68%
C2稳健型(25-40),增2老客户,女,5.20%,11.85%,66.36%,16.59%
C1保守型(0-25),新客户,男,28.00%,18.90%,24.30%,28.80%
C1保守型(0-25),新客户,女,29.00%,18.64%,23.96%,28.40%
C1保守型(0-25),增1老客户,男,5.00%,66.50%,11.88%,16.63%
C1保守型(0-25),增1老客户,女,5.50%,66.15%,11.81%,16.54%
C1保守型(0-25),增2老客户,男,5.00%,11.88%,66.50%,16.63%
C1保守型(0-25),增2老客户,女,5.50%,11.81%,66.15%,16.54%
