,kmrd_std_total,kmrd_year_rate,kmrd_maxdown,nofee_kmrd_std_total,nofee_kmrd_year_rate,nofee_kmrd_maxdown,betago_std_total,betago_year_rate,betago_maxdown,nofee_betago_std_total,nofee_betago_year_rate,nofee_betago_maxdown,sz_std_total,sz_year_rate,sz_maxdown,nofee_sz_std_total,nofee_sz_year_rate,nofee_sz_maxdown
0,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
1,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
2,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
3,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
4,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
5,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
6,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
7,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
8,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
9,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
10,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
11,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
12,0.022067957,-0.010090025,0.009423325,0.020344816,0.00427063,0.009378372,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.035516139,0.144221593,0.00844277,0.034749527,0.154274052,0.008414763
13,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
14,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
15,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
16,0.022067957,-0.010090025,0.009423325,0.020344816,0.00427063,0.009378372,0.045433141,-0.002121232,0.019846837,0.036347735,0.111332027,0.011991577,0.035516139,0.144221593,0.00844277,0.034749527,0.154274052,0.008414763
17,0.069779435,0.177415266,0.025437555,0.068801104,0.191775922,0.02531712,0.058864638,0.177644133,0.021615616,0.05651413,0.218493003,0.021514814,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
