,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08
0,1000.1919,1000.3171640335561,1000.5798973366894,1000.8914879225191,1000.9906762689723,1001.1668205982753,1001.3366385143852,1001.4269490658128,1001.562352003596,1001.653604349487,1001.7490218718373,1001.8585531098887,1001.9667738707956,1002.0771906092762,1002.1825890881844,1002.3090144217979,1002.388317111019,1002.4674155731223,1002.5447358848854,1002.7587090078654,1002.8662548794065,1002.952772151215,1003.0351145738085,1003.1185169435853,1003.2961892953064,1003.4168657609548,1003.5163043723517,1003.607714672517,1003.6991433353237,1003.8833622760915,1004.00054558097,1004.0923815108742,1004.1915657563198,1004.2915531105222,1004.4615294558861,1004.5694287133803,1004.6794692486015,1004.7897629607356,1004.9004104094329,1005.0102962693112,1005.1201941452083,1005.2342953896476,1005.3457557683205,1005.4561728926765,1005.5702217863677,1005.682302643288,1005.791881786984,1005.8981537572137,1006.0059055674442,1006.1144435445958,1006.2237276954536,1006.3307194644194,1006.437511280369,1006.55180232415,1006.6633987224736,1006.77500749349,1006.8865782998204,1006.996147697271,1007.1059807671004,1007.2184745051521,1007.3327434410847,1007.4471865140671,1007.5582676408521,1007.6693610154422,1007.7842252459043,1007.8991025697401,1008.013992988442,1008.1288965035028,1008.2438131164153,1008.3608803055562,1008.4798971402587,1008.5976472530488,1008.7094402162703,1008.8211043513022,1008.9540568846446,1009.0654555020652,1009.1959579374253,1009.3061015842746,1009.4239481646956,1009.5797830338133,1009.6893931108573,1009.7967836747085,1009.905619572053,1010.0161335440027,1010.127427221758,1010.2425514446385,1010.3565270092924,1010.4698384937965,1010.5892760287064,1010.7100515530847,1010.8257172113844,1010.9409513431465,1011.0551977800578,1011.1688808264962,1011.2839417334454,1011.3986820094746,1011.5109371491908,1011.6238217697767,1011.7368909643359,1011.8503774913953,1011.9622679061383,1012.0727438269256,1012.183343136371,1012.2945213547812,1012.6315493479052,1012.7443159972406,1012.8573281354628,1012.9695223417003,1013.0840689352867,1013.2010598835674,1013.3178414377296,1013.4359334989707,1013.5545865780648,1013.6705777649528
1,2000.3838,2000.6343280671122,2001.1597946733789,2001.7829758450382,2001.9813525379445,2002.3336411965506,2002.6732770287704,2002.8538981316256,2003.124704007192,2003.307208698974,2003.4980437436745,2003.7171062197774,2003.9335477415912,2004.1543812185523,2004.3651781763688,2004.6180288435958,2004.776634222038,2004.9348311462445,2005.0894717697709,2005.5174180157308,2005.732509758813,2005.90554430243,2006.070229147617,2006.2370338871706,2006.5923785906127,2006.8337315219096,2007.0326087447033,2007.215429345034,2007.3982866706474,2007.766724552183,2008.00109116194,2008.1847630217485,2008.3831315126397,2008.5831062210443,2008.9230589117722,2009.1388574267605,2009.358938497203,2009.5795259214713,2009.8008208188658,2010.0205925386224,2010.2403882904166,2010.4685907792953,2010.691511536641,2010.912345785353,2011.1404435727354,2011.364605286576,2011.583763573968,2011.7963075144273,2012.0118111348884,2012.2288870891916,2012.4474553909072,2012.6614389288388,2012.875022560738,2013.1036046483,2013.3267974449473,2013.55001498698,2013.7731565996407,2013.992295394542,2014.2119615342008,2014.4369490103043,2014.6654868821695,2014.8943730281342,2015.1165352817043,2015.3387220308844,2015.5684504918086,2015.7982051394802,2016.027985976884,2016.2577930070056,2016.4876262328305,2016.7217606111124,2016.9597942805174,2017.1952945060975,2017.4188804325406,2017.6422087026044,2017.9081137692892,2018.1309110041304,2018.3919158748506,2018.6122031685493,2018.8478963293912,2019.1595660676267,2019.3787862217146,2019.593567349417,2019.811239144106,2020.0322670880055,2020.254854443516,2020.485102889277,2020.713054018585,2020.939676987593,2021.1785520574128,2021.4201031061693,2021.6514344227687,2021.881902686293,2022.1103955601156,2022.3377616529924,2022.5678834668909,2022.797364018949,2023.0218742983816,2023.2476435395533,2023.4737819286718,2023.7007549827906,2023.9245358122766,2024.1454876538512,2024.366686272742,2024.5890427095624,2025.2630986958104,2025.4886319944812,2025.7146562709256,2025.9390446834007,2026.1681378705734,2026.4021197671348,2026.6356828754592,2026.8718669979414,2027.1091731561296,2027.3411555299056
2,5000.9595,5001.58582016778,5002.899486683447,5004.457439612595,5004.953381344861,5005.834102991376,5006.683192571926,5007.134745329065,5007.81176001798,5008.268021747435,5008.745109359187,5009.292765549444,5009.833869353979,5010.3859530463815,5010.912945440923,5011.54507210899,5011.941585555095,5012.337077865612,5012.723679424427,5013.793545039327,5014.331274397033,5014.763860756075,5015.175572869043,5015.592584717927,5016.480946476532,5017.0843288047745,5017.581521861759,5018.038573362585,5018.495716676619,5019.416811380458,5020.002727904851,5020.461907554372,5020.9578287816,5021.457765552612,5022.307647279432,5022.847143566903,5023.3973462430085,5023.948814803679,5024.502052047165,5025.051481346557,5025.600970726042,5026.171476948239,5026.728778841602,5027.280864463382,5027.851108931838,5028.41151321644,5028.95940893492,5029.490768786069,5030.029527837221,5030.57221772298,5031.118638477269,5031.653597322098,5032.1875564018455,5032.75901162075,5033.316993612369,5033.87503746745,5034.432891499102,5034.980738486355,5035.5299038355015,5036.09237252576,5036.6637172054225,5037.235932570335,5037.79133820426,5038.34680507721,5038.92112622952,5039.495512848699,5040.069964942209,5040.644482517512,5041.219065582074,5041.804401527779,5042.399485701291,5042.9882362652415,5043.547201081349,5044.105521756509,5044.770284423222,5045.327277510325,5045.979789687125,5046.530507921371,5047.119740823477,5047.898915169065,5048.446965554284,5048.98391837354,5049.528097860262,5050.080667720011,5050.637136108787,5051.212757223189,5051.782635046459,5052.34919246898,5052.9463801435295,5053.550257765421,5054.12858605692,5054.70475671573,5055.275988900286,5055.844404132478,5056.419708667225,5056.99341004737,5057.554685745951,5058.11910884888,5058.684454821677,5059.251887456974,5059.811339530689,5060.363719134626,5060.916715681853,5061.472606773904,5062.0384794113415,5062.602188016409,5063.167123794569,5063.727970816872,5064.300577175812,5064.885402606464,5065.469181297968,5066.059511076357,5066.652645323914,5067.232473052645
3,10001.919,10003.17164033556,10005.798973366895,10008.91487922519,10009.906762689721,10011.668205982753,10013.366385143852,10014.26949065813,10015.62352003596,10016.53604349487,10017.490218718374,10018.585531098888,10019.667738707958,10020.771906092763,10021.825890881846,10023.09014421798,10023.88317111019,10024.674155731223,10025.447358848854,10027.587090078654,10028.662548794066,10029.52772151215,10030.351145738086,10031.185169435854,10032.961892953064,10034.168657609549,10035.163043723518,10036.07714672517,10036.991433353238,10038.833622760916,10040.005455809702,10040.923815108745,10041.9156575632,10042.915531105224,10044.615294558864,10045.694287133805,10046.794692486017,10047.897629607358,10049.00410409433,10050.102962693114,10051.201941452084,10052.342953896477,10053.457557683205,10054.561728926765,10055.702217863676,10056.82302643288,10057.91881786984,10058.981537572137,10060.059055674443,10061.14443544596,10062.237276954538,10063.307194644196,10064.375112803691,10065.5180232415,10066.633987224737,10067.7500749349,10068.865782998204,10069.96147697271,10071.059807671003,10072.18474505152,10073.327434410845,10074.47186514067,10075.58267640852,10076.69361015442,10077.84225245904,10078.991025697398,10080.139929884417,10081.288965035024,10082.438131164148,10083.608803055558,10084.798971402583,10085.976472530483,10087.094402162698,10088.211043513018,10089.540568846443,10090.65455502065,10091.95957937425,10093.061015842743,10094.239481646953,10095.79783033813,10096.893931108569,10097.96783674708,10099.056195720525,10100.161335440022,10101.274272217574,10102.425514446379,10103.565270092919,10104.69838493796,10105.892760287059,10107.100515530841,10108.25717211384,10109.40951343146,10110.551977800573,10111.688808264957,10112.83941733445,10113.98682009474,10115.109371491902,10116.23821769776,10117.368909643354,10118.503774913948,10119.622679061378,10120.727438269252,10121.833431363706,10122.945213547808,10124.076958822683,10125.204376032818,10126.334247589139,10127.455941633743,10128.601154351623,10129.770805212927,10130.938362595936,10132.119022152714,10133.305290647828,10134.46494610529
4,15002.8785,15004.75746050334,15008.698460050342,15013.372318837786,15014.860144034583,15017.502308974128,15020.049577715776,15021.40423598719,15023.435280053936,15024.804065242302,15026.235328077557,15027.878296648329,15029.501608061933,15031.157859139143,15032.738836322767,15034.63521632697,15035.824756665284,15037.011233596833,15038.17103827328,15041.38063511798,15042.993823191096,15044.291582268223,15045.526718607127,15046.77775415378,15049.442839429596,15051.252986414322,15052.744565585275,15054.115720087755,15055.487150029856,15058.250434141373,15060.00818371455,15061.385722663113,15062.873486344799,15064.373296657834,15066.922941838293,15068.541430700705,15070.192038729025,15071.846444411036,15073.506156141495,15075.154444039668,15076.802912178124,15078.514430844714,15080.186336524806,15081.842593390147,15083.553326795516,15085.23453964932,15086.87822680476,15088.472306358204,15090.08858351166,15091.716653168936,15093.355915431803,15094.96079196629,15096.562669205534,15098.277034862249,15099.950980837104,15101.62511240235,15103.298674497306,15104.942215459065,15106.589711506505,15108.277117577281,15109.99115161627,15111.707797711006,15113.374014612782,15115.040415231633,15116.763378688565,15118.486538546102,15120.20989482663,15121.933447552541,15123.657196746228,15125.413204583341,15127.198457103877,15128.96470879573,15130.641603244052,15132.316565269532,15134.310853269668,15135.981832530977,15137.939369061378,15139.591523764117,15141.359222470432,15143.696745507197,15145.340896662858,15146.951755120626,15148.584293580794,15150.242003160041,15151.91140832637,15153.638271669577,15155.347905139386,15157.047577406947,15158.839140430597,15160.65077329627,15162.385758170765,15164.114270147196,15165.827966700866,15167.533212397442,15169.259126001682,15170.980230142117,15172.66405723786,15174.357326546648,15176.053364465035,15177.755662370928,15179.434018592074,15181.091157403884,15182.750147045565,15184.417820321716,15189.473240218576,15191.164739958607,15192.85992203194,15194.542835125503,15196.2610340293,15198.015898253509,15199.767621565941,15201.539002484558,15203.318798670969,15205.05866647429
5,20003.838,20006.34328067112,20011.59794673379,20017.82975845038,20019.813525379443,20023.336411965505,20026.732770287705,20028.53898131626,20031.24704007192,20033.07208698974,20034.98043743675,20037.171062197776,20039.335477415916,20041.543812185526,20043.651781763692,20046.18028843596,20047.76634222038,20049.348311462447,20050.89471769771,20055.174180157308,20057.32509758813,20059.0554430243,20060.702291476173,20062.370338871708,20065.92378590613,20068.337315219098,20070.326087447036,20072.15429345034,20073.982866706476,20077.667245521832,20080.010911619403,20081.84763021749,20083.8313151264,20085.831062210447,20089.230589117728,20091.38857426761,20093.589384972034,20095.795259214716,20098.00820818866,20100.205925386228,20102.403882904167,20104.685907792955,20106.91511536641,20109.12345785353,20111.404435727352,20113.64605286576,20115.83763573968,20117.963075144275,20120.118111348886,20122.28887089192,20124.474553909076,20126.614389288392,20128.750225607382,20131.036046483,20133.267974449474,20135.5001498698,20137.731565996408,20139.92295394542,20142.119615342006,20144.36949010304,20146.65486882169,20148.94373028134,20151.16535281704,20153.38722030884,20155.68450491808,20157.982051394796,20160.279859768834,20162.57793007005,20164.876262328296,20167.217606111117,20169.597942805165,20171.952945060966,20174.188804325397,20176.422087026036,20179.081137692887,20181.3091100413,20183.9191587485,20186.122031685485,20188.478963293906,20191.59566067626,20193.787862217137,20195.93567349416,20198.11239144105,20200.322670880043,20202.548544435147,20204.851028892757,20207.130540185837,20209.39676987592,20211.785520574118,20214.201031061682,20216.51434422768,20218.81902686292,20221.103955601146,20223.377616529913,20225.6788346689,20227.97364018948,20230.218742983805,20232.47643539552,20234.737819286707,20237.007549827897,20239.245358122756,20241.454876538504,20243.666862727412,20245.890427095615,20252.630986958095,20254.886319944802,20257.146562709244,20259.390446833997,20261.681378705725,20264.02119767134,20266.356828754582,20268.718669979404,20271.091731561286,20273.411555299044
6,29827.50951,29825.157376762476,30043.090276821855,30101.82284969786,30124.235167982166,29887.669064855985,29915.329982966872,29964.029058391952,30000.03826807676,30039.805008863634,29918.4421267622,29951.075809564267,30271.3625977577,30408.400351382865,30484.28186210361,30531.605640659534,30393.017200150152,30251.380746651637,30306.838815243693,30399.768818688844,30465.568027887504,30492.820280243926,30472.04095566162,30269.6052903166,30212.127673447692,30285.57249096621,30297.689083669087,30321.995481534213,30320.48906107088,30200.866452650633,30411.442100638975,30442.845235822144,30424.81594020493,30446.207695469406,30447.917303381986,30464.359591448218,30424.39306496332,30419.49068845872,30372.21969320364,30454.215418619493,30701.986557490665,30778.297169477013,30758.133708684512,30752.40490631258,30786.56032360777,30922.246604920907,30906.36568396613,30894.166784445475,30851.04552976546,30866.300388029376,30925.086886457895,30895.944527397718,30937.650185312134,30864.383042312027,30891.488285918644,30957.513980059495,30893.89549331297,30931.431552619633,30878.10936893299,30897.726243227025,30802.824397386168,30821.35543560251,30874.851898408964,30874.851898408964,31000.87818231578,31000.87818231578,31000.87818231578,31000.87818231578,31000.87818231578,31085.13353525032,31057.508366680362,31164.56427449515,31250.00079349898,31369.631341320728,31377.716249807243,31380.83920133849,31497.605636713502,31440.567357720294,31357.114599743345,31490.355670974288,31204.83443641786,31295.14870250216,31285.686204049784,31293.73075647542,31266.960024988646,31340.147306792842,31265.82615508902,31206.61114148252,31135.516797348497,31375.754952766798,31435.23498043081,31379.608285930346,31549.838877313738,31894.775790090327,32012.486878634554,31859.735745018883,31723.588448814116,31840.759529566134,31714.523195772137,31829.7228380196,31937.098878142442,31747.90567272303,31199.836384436287,31166.871156593952,30935.56232873785,31025.099717434467,30973.441408637944,30839.893452780656,30720.63214251302,30781.165417548593,30704.698343100616,30619.219942313204,30486.675391528643,30659.742699862945
7,49720.2311,49681.1281451719,49974.79294860931,50067.573000187185,50077.576577274165,49689.514647036696,49786.55503166389,49831.47984777518,49922.56158817502,49960.605791508075,49892.72794201726,49940.59764379788,50341.26995807343,50520.040036162194,50660.79923430781,50748.92099108644,50553.18933845957,50339.00008942689,50458.68926088111,50571.37863041312,50683.78958923762,50765.842263465536,50751.17789573102,50449.56299012722,50426.96512049028,50460.40642913499,50473.66000911802,50502.06015916548,50524.079492564786,50383.083688182734,50645.92247100773,50645.00997707426,50612.186513289955,50701.99048975849,50746.05087137969,50742.42561509254,50685.12987892634,50683.43755298118,50616.709165558685,50747.352845981884,51111.0746569834,51278.47467055311,51147.6155899402,51139.46319846353,51210.22890833871,51428.370245707854,51405.65132271646,51414.020107919074,51338.489154305855,51368.07172791312,51408.08254687647,51317.3801808901,51375.720564135714,51254.112566755146,51307.15359320648,51343.04435144923,51250.478197748984,51300.04022547477,51198.296252192704,51230.48713506315,51093.689137973,51192.12770824812,51190.03029490653,51190.03029490653,51343.96132830348,51343.96132830348,51343.96132830348,51343.96132830348,51343.96132830348,51425.99926647793,51385.52732836942,51512.05693330488,51668.31188002462,51797.64796251116,51854.65019001798,51826.06384214833,51948.35982055366,51854.72480910312,51751.81913354759,51880.230119997104,52014.06214823317,52109.643685665505,52101.30160698209,52094.13034329118,52043.804575041824,52149.28174708608,52038.153543889515,51960.352721629744,51878.00055350956,52164.37739996041,51688.36931441808,51618.06831324624,51849.79751684232,52315.509852410505,52417.33291605789,52236.1842514497,52059.47451554529,52183.66427292507,52085.33839740197,52212.88288578977,52333.80483683946,52085.24267813369,51392.71222687158,51350.45057159989,51066.08359019554,51159.92765849258,51105.71101783538,50972.256776834205,50693.62354680953,50759.50812523241,50688.59080029803,50550.327833375486,50346.1880066815,50545.55673495728
8,100019.19,100031.7164033556,100057.98973366895,100089.14879225192,100099.06762689723,100116.68205982754,100133.66385143853,100142.6949065813,100156.23520035962,100165.36043494873,100174.90218718376,100185.8553109889,100196.6773870796,100207.71906092766,100218.25890881849,100230.90144217983,100238.83171110194,100246.74155731227,100254.47358848859,100275.87090078658,100286.62548794069,100295.27721512153,100303.5114573809,100311.85169435857,100329.61892953067,100341.68657609551,100351.6304372352,100360.77146725173,100369.9143335324,100388.33622760918,100400.05455809702,100409.23815108745,100419.15657563202,100429.15531105225,100446.15294558865,100456.94287133806,100467.94692486018,100478.9762960736,100490.04104094332,100501.02962693115,100512.01941452085,100523.42953896479,100534.57557683207,100545.61728926767,100557.02217863679,100568.23026432883,100579.18817869843,100589.81537572139,100600.59055674443,100611.4443544596,100622.37276954539,100633.07194644197,100643.75112803692,100655.18023241502,100666.3398722474,100677.50074934903,100688.65782998207,100699.61476972712,100710.59807671006,100721.84745051523,100733.27434410849,100744.71865140673,100755.82676408523,100766.93610154424,100778.42252459045,100789.91025697404,100801.39929884423,100812.8896503503,100824.38131164155,100836.08803055565,100847.9897140259,100859.7647253049,100870.94402162706,100882.11043513025,100895.4056884645,100906.54555020656,100919.59579374257,100930.6101584275,100942.3948164696,100957.97830338137,100968.93931108578,100979.6783674709,100990.56195720534,101001.61335440032,101012.74272217584,101024.25514446388,101035.65270092928,101046.98384937969,101058.92760287068,101071.0051553085,101082.57172113848,101094.09513431469,101105.51977800582,101116.88808264966,101128.39417334458,101139.86820094749,101151.09371491912,101162.3821769777,101173.68909643362,101185.03774913956,101196.22679061386,101207.27438269259,101218.33431363713,101229.45213547813,101263.15493479054,101274.43159972408,101285.73281354629,101296.95223417005,101308.40689352869,101320.10598835675,101331.78414377297,101343.59334989708,101355.45865780649,101367.05777649529
9,198880.9244,198724.5125806876,199899.17179443725,200270.29200074874,200310.30630909666,198758.05858814679,199146.22012665556,199325.91939110073,199690.24635270008,199842.4231660323,199570.91176806905,199762.39057519153,201365.07983229373,202080.16014464878,202643.19693723123,202995.68396434575,202212.75735383827,201356.00035770755,201834.75704352444,202285.51452165248,202735.15835695047,203063.36905386214,203004.7115829241,201798.25196050887,201707.8604819611,201841.62571653997,201894.6400364721,202008.2406366619,202096.31797025914,201532.33475273094,202583.68988403093,202580.03990829704,202448.74605315982,202807.96195903397,202984.20348551875,202969.70246037017,202740.51951570535,202733.75021192472,202466.83666223474,202989.41138392754,204444.2986279336,205113.89868221243,204590.4623597608,204557.8527938541,204840.91563335483,205713.48098283142,205622.60529086585,205656.0804316763,205353.95661722342,205472.28691165248,205632.33018750587,205269.5207235604,205502.88225654286,205016.45026702058,205228.61437282592,205372.17740579692,205001.91279099594,205200.16090189907,204793.18500877082,204921.9485402526,204374.756551892,204768.51083299247,204760.12117962612,204760.12117962612,205375.8453132139,205375.8453132139,205375.8453132139,205375.8453132139,205375.8453132139,205703.9970659117,205542.10931347767,206048.2277332195,206673.2475200985,207190.59185004464,207418.60076007192,207304.25536859332,207793.43928221465,207418.8992364125,207007.27653419037,207520.92047998842,208056.24859293268,208438.57474266202,208405.20642792835,208376.52137316472,208175.2183001673,208597.12698834433,208152.61417555806,207841.41088651898,207512.00221403825,208657.50959984164,206753.47725767232,206472.27325298497,207399.1900673693,209262.03940964202,209669.33166423155,208944.7370057988,208237.89806218116,208734.65709170027,208341.35358960787,208851.53154315907,209335.21934735784,208340.97071253476,205570.84890748633,205401.80228639956,201932.41510988006,202306.87962496557,202091.67476711242,201559.28998954635,200460.23547355327,200722.16159464946,200438.97551398046,199891.02757820344,199081.23177308534,199871.12031817247
