,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-22,2017-07-23,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-29,2017-07-30,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-05,2017-08-06,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-12,2017-08-13,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-19,2017-08-20,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-26,2017-08-27,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-02,2017-09-03,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-09,2017-09-10,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-16,2017-09-17,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-23,2017-09-24,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-01,2017-10-02,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-07,2017-10-08,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-14,2017-10-15,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-21,2017-10-22,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-28
0,1000.0,1000.4758565964099,1000.6678479132908,1000.7931715545634,1001.0560298810722,1001.3677687393374,1001.4670042852194,1001.6630314366382,1001.8590969584117,1002.0353941037034,1002.2053593472513,1002.2957482486108,1002.4312686567315,1002.5226001696188,1002.7057810991219,1002.8889954994443,1002.9845307051555,1003.0941970337428,1003.2025512689064,1003.3131041900563,1003.418632662355,1003.6368360782137,1003.8550869445872,1003.9817232638053,1004.0611582977499,1004.1403887637512,1004.2178381119365,1004.4321683251247,1004.6503209477632,1004.8685209509699,1004.9762930998419,1005.0629924046476,1005.1455080763241,1005.2290859253206,1005.4071321010198,1005.5969529675605,1005.7868096722807,1005.907785709748,1006.0074711713119,1006.0991083918609,1006.1907640206354,1006.3754402734637,1006.5720659069843,1006.7687299572212,1006.8862500710692,1006.9783499563632,1007.0778192777719,1007.1780940162374,1007.3485589086497,1007.5656425230945,1007.7827729190583,1007.8910289445253,1008.0014333278358,1008.1120917251865,1008.2231050287272,1008.3333542252622,1008.5620845633346,1008.7908667865969,1008.90117806788,1009.0157085296142,1009.127588191376,1009.2384206743872,1009.3528985884443,1009.5815069264456,1009.8101670419494,1009.922720483168,1010.0327616627918,1010.1394817243892,1010.2476878656714,1010.3566834887152,1010.5755671606263,1010.794498251496,1010.9042907498961,1011.0117802031315,1011.1190687732467,1011.2338914546966,1011.3460069562421,1011.5648824590676,1011.7838053309293,1011.8959818014264,1012.0081201141296,1012.1182468377605,1012.228638574943,1012.3417045138718,1012.5674870842296,1012.793320010874,1012.9082214130293,1013.023297916064,1013.1349938648923,1013.250481122843,1013.3659815451862,1014.4000303264147,1015.4351342613601,1016.4712944267117,1017.5085119002576,1018.5467877608858,1019.5861230885848,1020.6265189644456,1021.6679764706621,1022.7104966905325,1022.8292436063033,1022.9499681419261,1023.0694077802063,1023.1828047933647,1023.2960711298552,1023.5189961789509,1023.7419697922685,1023.8768887464674,1023.989934993754,1024.1223676120467,1024.2341403272478,1024.3537299054724,1024.5824066321366,1024.811134408593,1024.969344751523,1025.0806256732828,1025.1896532486294,1025.3001481894564,1025.4123467846728,1025.6382451246695
1,2000.0,2000.9517131928199,2001.3356958265815,2001.5863431091268,2002.1120597621443,2002.7355374786748,2002.934008570439,2003.3260628732764,2003.7181939168233,2004.0707882074068,2004.4107186945025,2004.5914964972217,2004.862537313463,2005.0452003392377,2005.4115621982437,2005.7779909988885,2005.969061410311,2006.1883940674857,2006.4051025378128,2006.6262083801125,2006.83726532471,2007.2736721564274,2007.7101738891745,2007.9634465276106,2008.1223165954998,2008.2807775275023,2008.435676223873,2008.8643366502495,2009.3006418955265,2009.7370419019398,2009.9525861996838,2010.1259848092952,2010.2910161526481,2010.4581718506413,2010.8142642020396,2011.193905935121,2011.5736193445614,2011.815571419496,2012.0149423426237,2012.1982167837218,2012.3815280412707,2012.7508805469274,2013.1441318139687,2013.5374599144425,2013.7725001421384,2013.9566999127264,2014.1556385555439,2014.3561880324748,2014.6971178172994,2015.131285046189,2015.5655458381166,2015.7820578890505,2016.0028666556716,2016.224183450373,2016.4462100574544,2016.6667084505243,2017.1241691266691,2017.5817335731938,2017.80235613576,2018.0314170592285,2018.255176382752,2018.4768413487743,2018.7057971768886,2019.1630138528913,2019.6203340838988,2019.845440966336,2020.0655233255836,2020.2789634487783,2020.4953757313428,2020.7133669774305,2021.1511343212526,2021.588996502992,2021.8085814997921,2022.023560406263,2022.2381375464934,2022.4677829093932,2022.6920139124843,2023.1297649181352,2023.5676106618587,2023.7919636028528,2024.0162402282592,2024.236493675521,2024.457277149886,2024.6834090277437,2025.1349741684592,2025.586640021748,2025.8164428260586,2026.046595832128,2026.2699877297846,2026.500962245686,2026.7319630903723,2028.8000606528294,2030.8702685227202,2032.9425888534233,2035.0170238005153,2037.0935755217715,2039.1722461771697,2041.2530379288912,2043.3359529413242,2045.420993381065,2045.6584872126066,2045.8999362838522,2046.1388155604127,2046.3656095867293,2046.5921422597105,2047.0379923579019,2047.483939584537,2047.753777492935,2047.979869987508,2048.2447352240933,2048.4682806544956,2048.707459810945,2049.164813264273,2049.622268817186,2049.938689503046,2050.1612513465657,2050.3793064972588,2050.600296378913,2050.8246935693455,2051.276490249339
2,5000.0,5002.37928298205,5003.339239566455,5003.965857772819,5005.280149405363,5006.838843696689,5007.335021426099,5008.315157183193,5009.29548479206,5010.176970518519,5011.026796736258,5011.478741243055,5012.156343283658,5012.613000848095,5013.52890549561,5014.444977497223,5014.922653525779,5015.470985168716,5016.012756344534,5016.565520950283,5017.093163311776,5018.18418039107,5019.275434722938,5019.908616319029,5020.305791488752,5020.701943818759,5021.089190559685,5022.160841625627,5023.251604738819,5024.342604754852,5024.881465499212,5025.314962023241,5025.727540381623,5026.145429626606,5027.035660505101,5027.9847648378045,5028.934048361406,5029.538928548743,5030.037355856562,5030.495541959306,5030.953820103178,5031.87720136732,5032.860329534923,5033.843649786108,5034.431250355347,5034.891749781817,5035.389096388861,5035.890470081188,5036.742794543249,5037.828212615474,5038.913864595293,5039.455144722628,5040.0071666391805,5040.560458625934,5041.1155251436385,5041.666771126313,5042.810422816675,5043.954333932987,5044.505890339402,5045.078542648073,5045.637940956883,5046.192103371938,5046.764492942224,5047.907534632231,5049.0508352097495,5049.613602415842,5050.163808313961,5050.697408621948,5051.238439328359,5051.783417443578,5052.877835803133,5053.972491257481,5054.521453749481,5055.058901015658,5055.595343866234,5056.169457273483,5056.7300347812115,5057.824412295339,5058.919026654648,5059.479909007134,5060.04060057065,5060.591234188804,5061.143192874717,5061.708522569361,5062.837435421149,5063.966600054371,5064.541107065147,5065.11648958032,5065.674969324462,5066.252405614216,5066.829907725932,5072.000151632074,5077.175671306802,5082.35647213356,5087.542559501289,5092.73393880443,5097.930615442926,5103.13259482223,5108.3398823533125,5113.552483452665,5114.146218031518,5114.749840709633,5115.347038901034,5115.914023966825,5116.480355649278,5117.594980894756,5118.7098489613445,5119.384443732339,5119.949674968771,5120.611838060235,5121.170701636241,5121.768649527364,5122.912033160685,5124.055672042968,5124.846723757618,5125.403128366416,5125.948266243149,5126.500740947285,5127.061733923367,5128.19122562335
3,10000.0,10004.7585659641,10006.67847913291,10007.931715545637,10010.560298810726,10013.677687393378,10014.670042852198,10016.630314366386,10018.59096958412,10020.353941037038,10022.053593472516,10022.95748248611,10024.312686567317,10025.22600169619,10027.05781099122,10028.889954994445,10029.845307051559,10030.941970337431,10032.025512689068,10033.131041900566,10034.186326623552,10036.36836078214,10038.550869445877,10039.817232638057,10040.611582977504,10041.403887637518,10042.17838111937,10044.321683251253,10046.503209477638,10048.685209509704,10049.762930998424,10050.629924046481,10051.455080763246,10052.290859253211,10054.071321010202,10055.969529675609,10057.868096722812,10059.077857097485,10060.074711713123,10060.991083918612,10061.907640206357,10063.75440273464,10065.720659069846,10067.687299572215,10068.862500710695,10069.783499563635,10070.778192777721,10071.780940162376,10073.485589086498,10075.656425230947,10077.827729190585,10078.910289445255,10080.014333278361,10081.120917251868,10082.231050287277,10083.333542252625,10085.62084563335,10087.908667865973,10089.011780678804,10090.157085296147,10091.275881913765,10092.384206743876,10093.528985884448,10095.815069264461,10098.101670419499,10099.227204831685,10100.327616627923,10101.394817243896,10102.476878656718,10103.566834887157,10105.755671606266,10107.944982514962,10109.042907498962,10110.117802031316,10111.190687732467,10112.338914546966,10113.460069562423,10115.648824590678,10117.838053309297,10118.959818014268,10120.0812011413,10121.182468377609,10122.286385749434,10123.417045138722,10125.674870842298,10127.933200108742,10129.082214130294,10130.23297916064,10131.349938648924,10132.504811228431,10133.659815451863,10144.000303264149,10154.351342613603,10164.71294426712,10175.085119002579,10185.46787760886,10195.861230885852,10206.26518964446,10216.679764706625,10227.10496690533,10228.292436063037,10229.499681419265,10230.694077802067,10231.82804793365,10232.960711298556,10235.189961789512,10237.419697922689,10238.768887464677,10239.899349937543,10241.22367612047,10242.341403272481,10243.537299054728,10245.82406632137,10248.111344085935,10249.693447515236,10250.806256732832,10251.896532486298,10253.00148189457,10254.123467846734,10256.3824512467
4,15000.0,15007.13784894615,15010.017718699362,15011.897573318452,15015.840448216084,15020.516531090063,15022.005064278294,15024.945471549576,15027.886454376177,15030.530911555554,15033.080390208772,15034.436223729164,15036.469029850974,15037.839002544284,15040.586716486829,15043.334932491665,15044.767960577334,15046.412955506143,15048.038269033597,15049.696562850844,15051.279489935325,15054.552541173207,15057.82630416881,15059.725848957081,15060.917374466251,15062.10583145627,15063.26757167905,15066.482524876874,15069.754814216452,15073.027814264551,15074.644396497632,15075.944886069718,15077.182621144864,15078.436288879813,15081.1069815153,15083.95429451341,15086.802145084215,15088.616785646225,15090.112067569682,15091.486625877917,15092.861460309534,15095.63160410196,15098.58098860477,15101.530949358325,15103.293751066043,15104.675249345453,15106.167289166584,15107.671410243567,15110.22838362975,15113.484637846423,15116.741593785879,15118.365434167883,15120.021499917542,15121.681375877803,15123.346575430915,15125.000313378938,15128.431268450026,15131.86300179896,15133.517671018206,15135.23562794422,15136.913822870645,15138.576310115812,15140.293478826668,15143.722603896687,15147.152505629243,15148.840807247521,15150.49142494188,15152.09222586584,15153.715317985074,15155.35025233073,15158.633507409395,15161.91747377244,15163.564361248442,15165.176703046973,15166.7860315987,15168.508371820448,15170.190104343632,15173.473236886013,15176.75707996394,15178.439727021396,15180.121801711944,15181.773702566406,15183.429578624146,15185.125567708077,15188.512306263443,15191.899800163108,15193.623321195437,15195.349468740958,15197.024907973382,15198.757216842641,15200.489723177789,15216.000454896217,15231.527013920399,15247.069416400673,15262.627678503863,15278.201816413284,15293.79184632877,15309.397784466682,15325.01964705993,15340.657450357985,15342.438654094545,15344.249522128888,15346.041116703092,15347.742071900468,15349.441066947827,15352.784942684262,15356.129546884025,15358.153331197009,15359.849024906307,15361.835514180699,15363.512104908716,15365.305948582085,15368.736099482046,15372.167016128895,15374.540171272845,15376.20938509924,15377.84479872944,15379.502222841847,15381.185201770093,15384.573676870043
5,20000.0,20009.5171319282,20013.35695826582,20015.863431091275,20021.12059762145,20027.355374786755,20029.340085704396,20033.260628732773,20037.18193916824,20040.707882074075,20044.10718694503,20045.91496497222,20048.625373134633,20050.45200339238,20054.11562198244,20057.77990998889,20059.690614103118,20061.883940674863,20064.051025378136,20066.26208380113,20068.372653247105,20072.73672156428,20077.101738891753,20079.634465276114,20081.22316595501,20082.807775275036,20084.35676223874,20088.643366502507,20093.006418955276,20097.370419019408,20099.525861996848,20101.259848092963,20102.91016152649,20104.581718506422,20108.142642020404,20111.939059351218,20115.736193445624,20118.15571419497,20120.149423426246,20121.982167837225,20123.815280412713,20127.50880546928,20131.441318139692,20135.37459914443,20137.72500142139,20139.56699912727,20141.556385555443,20143.561880324753,20146.971178172997,20151.312850461894,20155.65545838117,20157.82057889051,20160.028666556722,20162.241834503737,20164.462100574554,20166.66708450525,20171.2416912667,20175.817335731947,20178.023561357608,20180.314170592294,20182.55176382753,20184.768413487753,20187.057971768896,20191.630138528923,20196.203340838998,20198.45440966337,20200.655233255846,20202.78963448779,20204.953757313437,20207.133669774314,20211.511343212533,20215.889965029924,20218.085814997925,20220.235604062633,20222.381375464935,20224.677829093933,20226.920139124846,20231.297649181357,20235.676106618594,20237.919636028535,20240.1624022826,20242.364936755217,20244.572771498868,20246.834090277443,20251.349741684597,20255.866400217485,20258.16442826059,20260.46595832128,20262.699877297848,20265.009622456862,20267.319630903727,20288.000606528298,20308.702685227207,20329.42588853424,20350.170238005157,20370.93575521772,20391.722461771704,20412.53037928892,20433.35952941325,20454.20993381066,20456.584872126074,20458.99936283853,20461.388155604134,20463.6560958673,20465.92142259711,20470.379923579025,20474.839395845378,20477.537774929355,20479.798699875086,20482.44735224094,20484.682806544963,20487.074598109455,20491.64813264274,20496.22268817187,20499.38689503047,20501.612513465665,20503.793064972597,20506.00296378914,20508.246935693467,20512.7649024934
6,30000.0,30000.0,30000.0,29997.78281987199,30278.71395051534,30360.88717368349,30379.64512921653,30379.64512921653,30379.64512921653,30107.295766869367,30154.173170503193,30172.332797192823,30246.984904982754,30310.207290851722,30310.207290851722,30310.207290851722,30183.915488853618,30216.714114345094,30585.2467290079,30753.9635354044,30841.69282698576,30841.69282698576,30841.69282698576,30908.48800249371,30726.687618941243,30561.19066103208,30620.63297775422,30733.43923747993,30733.43923747993,30733.43923747993,30818.814807160234,30884.649978461985,30879.147875642375,30629.366071224726,30563.62006229675,30563.62006229675,30563.62006229675,30641.60393517334,30661.524081446976,30666.67397294894,30661.198299145475,29396.231691871024,29396.231691871024,29396.231691871024,29646.67981074005,29690.020695523508,29664.202841125487,29689.32393309096,29694.73288812465,29694.73288812465,29694.73288812465,29715.234398270688,29678.922234537058,29670.11058385212,29607.14251271585,29731.990306216092,29731.990306216092,29731.990306216092,30038.94037023056,30126.993799547905,30083.97448527114,30078.215693319315,30108.59678954367,30108.59678954367,30108.59678954367,30256.475731886174,30252.097711623253,30232.00528979217,30184.85480261224,30204.018935056505,30204.018935056505,30204.018935056505,30251.70739212171,30207.167852979263,30245.234142932353,30152.345655080768,30191.118742068655,30191.118742068655,30191.118742068655,30257.729233017395,30178.33869643996,30219.948972616374,30178.03972088192,30190.0179842946,30190.0179842946,30190.0179842946,30079.17914593343,30089.786672259455,30147.74721647425,30297.70897874143,30297.70897874143,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30401.87057753642,30366.381876235926,30508.861168312997,30625.496906809894,30745.922178498775,30745.922178498775,30745.922178498775,30761.585718706854,30768.72290794807,30905.59052145283,30836.719456388942,30741.179000912252,30741.179000912252,30741.179000912252,30883.093323530804,31899.5236256102,32020.366085106914,31998.93828700176,32027.067222205944,32027.067222205944
7,50000.0,50000.0,50000.0,49961.03619173962,50359.25963915614,50491.05978828677,50494.820271399025,50494.820271399025,50494.820271399025,50047.58657454793,50176.816455022796,50170.4514358483,50326.12861815994,50403.20837977552,50403.20837977552,50403.20837977552,50327.77327428153,50375.81304408936,50855.932479877374,51087.16740871264,51247.568071837486,51247.568071837486,51247.568071837486,51368.14215686948,51100.62886384156,50846.9866168232,50973.25901830656,51118.8181557951,51118.8181557951,51118.8181557951,51263.78966798118,51410.37594120191,51421.36422147516,51041.229838143685,51005.15629385351,51005.15629385351,51005.15629385351,51045.752879527994,51072.00285154212,51068.275348660885,51083.726912760794,49734.57037088429,49734.57037088429,49734.57037088429,50063.27237546029,50082.094110884536,50036.28971579888,50132.41408989088,50182.76394767605,50182.76394767605,50182.76394767605,50185.79922506679,50134.74658287531,50126.54833054973,50033.73439468657,50235.78865799692,50235.78865799692,50235.78865799692,50697.6559509756,50884.589204416305,50715.31299471075,50707.12968177458,50771.52861183706,50771.52861183706,50771.52861183706,51009.6670109696,51006.233956173266,51001.51358496631,50919.353019134694,50955.44151912239,50955.44151912239,50955.44151912239,50976.58390959383,50860.10520976173,50912.217959762354,50758.00302683096,50830.49998950456,50830.49998950456,50830.49998950456,50866.99371620742,50748.26471041778,50804.5027325512,50721.95186308572,50741.31642195228,50741.31642195228,50741.31642195228,50578.185504745525,50663.50399715158,50668.48455719103,50861.945892222386,50861.945892222386,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50976.88451981285,50923.35434675426,51108.684660789426,51316.9097149038,51447.0652160669,51447.0652160669,51447.0652160669,51516.8319246586,51494.85972827761,51650.25738558565,51536.99636988563,51414.20185767493,51414.20185767493,51414.20185767493,51556.50595848082,51716.609063914526,51845.18405514134,51817.4015009654,51842.63618333861,51842.63618333861
8,100000.0,100047.58565964099,100066.78479132908,100079.31715545635,100105.60298810723,100136.77687393376,100146.70042852197,100166.30314366386,100185.9096958412,100203.53941037037,100220.53593472517,100229.57482486112,100243.12686567318,100252.26001696191,100270.57810991221,100288.89954994446,100298.45307051559,100309.41970337433,100320.25512689068,100331.31041900566,100341.86326623554,100363.68360782141,100385.50869445877,100398.17232638058,100406.11582977504,100414.03887637517,100421.7838111937,100443.21683251252,100465.03209477638,100486.85209509704,100497.62930998424,100506.29924046481,100514.55080763245,100522.9085925321,100540.71321010201,100559.69529675608,100578.68096722811,100590.77857097484,100600.74711713122,100609.91083918612,100619.07640206357,100637.5440273464,100657.20659069846,100676.87299572215,100688.62500710694,100697.83499563634,100707.7819277772,100717.80940162376,100734.85589086499,100756.56425230947,100778.27729190585,100789.10289445255,100800.1433327836,100811.20917251868,100822.31050287276,100833.33542252624,100856.2084563335,100879.08667865973,100890.11780678804,100901.57085296146,100912.75881913764,100923.84206743875,100935.28985884445,100958.15069264459,100981.01670419496,100992.27204831681,101003.27616627919,101013.94817243892,101024.76878656715,101035.66834887154,101057.55671606264,101079.44982514961,101090.42907498962,101101.17802031316,101111.90687732468,101123.38914546967,101134.60069562423,101156.48824590679,101178.38053309296,101189.59818014267,101200.81201141299,101211.82468377607,101222.86385749433,101234.17045138721,101256.74870842298,101279.33200108742,101290.82214130294,101302.32979160642,101313.49938648925,101325.0481122843,101336.59815451862,101440.00303264147,101543.513426136,101647.12944267117,101750.85119002576,101854.67877608858,101958.61230885849,102062.65189644457,102166.79764706623,102271.04966905327,102282.92436063035,102294.99681419264,102306.94077802067,102318.2804793365,102329.60711298557,102351.89961789513,102374.1969792269,102387.68887464679,102398.99349937544,102412.23676120472,102423.41403272485,102435.3729905473,102458.24066321371,102481.11344085936,102496.93447515236,102508.06256732832,102518.96532486298,102530.0148189457,102541.23467846733,102563.82451246699
9,200000.0,200000.0,200000.0,199844.1447669585,201437.03855662455,201964.2391531471,201979.2810855961,201979.2810855961,201979.2810855961,200190.34629819173,200707.26582009118,200681.8057433932,201304.51447263977,201612.83351910207,201612.83351910207,201612.83351910207,201311.0930971261,201503.25217635743,203423.7299195095,204348.66963485055,204990.27228734994,204990.27228734994,204990.27228734994,205472.56862747791,204402.51545536623,203387.9464672928,203893.03607322625,204475.2726231804,204475.2726231804,204475.2726231804,205055.15867192473,205641.50376480765,205685.45688590064,204164.91935257474,204020.62517541405,204020.62517541405,204020.62517541405,204183.01151811198,204288.0114061685,204273.10139464354,204334.90765104318,198938.28148353717,198938.28148353717,198938.28148353717,200253.08950184117,200328.37644353815,200145.1588631955,200529.65635956352,200731.0557907042,200731.0557907042,200731.0557907042,200743.19690026715,200538.98633150125,200506.19332219893,200134.9375787463,200943.15463198768,200943.15463198768,200943.15463198768,202790.6238039024,203538.35681766522,202861.251978843,202828.51872709833,203086.11444734823,203086.11444734823,203086.11444734823,204038.6680438784,204024.93582469306,204006.05433986525,203677.41207653878,203821.76607648956,203821.76607648956,203821.76607648956,203906.3356383753,203440.4208390469,203648.87183904942,203032.01210732383,203321.99995801825,203321.99995801825,203321.99995801825,203467.97486482968,202993.05884167113,203218.0109302048,202887.80745234288,202965.26568780912,202965.26568780912,202965.26568780912,202312.7420189821,202654.01598860632,202673.9382287641,203447.78356888954,203447.78356888954,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203907.5380792514,203693.41738701705,204434.7386431577,205267.6388596152,205788.2608642676,205788.2608642676,205788.2608642676,206067.3276986344,205979.43891311044,206601.0295423426,206147.98547954252,205656.80743069973,205656.80743069973,205656.80743069973,206226.02383392327,206866.4362556581,207380.73622056536,207269.6060038616,207370.54473335444,207370.54473335444
