,2017-07-01-2017-07-31-std,2017-07-01-2017-07-31-year_rate,2017-08-01-2017-08-31-std,2017-08-01-2017-08-31-year_rate,2017-09-01-2017-09-30-std,2017-09-01-2017-09-30-year_rate,2017-10-01-2017-10-31-std,2017-10-01-2017-10-31-year_rate,2017-07-01-2017-10-31-std,2017-07-01-2017-10-31-year_rate
0,0.003096565966054792,0.04576866516978704,0.0032306970217609796,0.04920346530076111,0.0034713374669404465,0.05004145968889076,0.012796442174669428,0.09450861914409078,0.009011429363827202,0.07398126461970629
1,0.0030965659660539277,0.04576866516978705,0.003230697021760028,0.04920346530076111,0.0034713374669391615,0.05004145968889076,0.012796442174669005,0.09450861914408804,0.009011429363827336,0.07398126461970699
2,0.0030965659660549985,0.04576866516979007,0.0032306970217611014,0.04920346530076192,0.0034713374669402236,0.05004145968888649,0.012796442174668578,0.09450861914409374,0.009011429363827487,0.0739812646197073
3,0.0030965659660554625,0.04576866516979008,0.0032306970217604613,0.049203465300761924,0.0034713374669402236,0.05004145968888649,0.012796442174668077,0.09450861914409155,0.009011429363827657,0.07398126461970785
4,0.0030965659660539837,0.04576866516978861,0.0032306970217605892,0.0492034653007634,0.0034713374669396017,0.05004145968888575,0.012796442174667176,0.09450861914409087,0.00901142936382722,0.07398126461970642
5,0.0030965659660553272,0.04576866516979229,0.0032306970217599686,0.04920346530076192,0.0034713374669391893,0.05004145968888649,0.012796442174669825,0.09450861914409155,0.00901142936382795,0.07398126461970785
6,0.09545005439116286,0.2974503574224168,0.18944702043550202,-0.3154172652309608,0.04395086998149177,0.079054004294531,0.15440154702621653,0.6503950404318012,0.12935086260826206,0.2021528787172594
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
