,2017-07-01-2017-07-31-std,2017-07-01-2017-07-31-year_rate,2017-08-01-2017-08-31-std,2017-08-01-2017-08-31-year_rate,2017-09-01-2017-09-30-std,2017-09-01-2017-09-30-year_rate,2017-10-01-2017-10-31-std,2017-10-01-2017-10-31-year_rate,2017-07-01-2017-10-31-std,2017-07-01-2017-10-31-year_rate
0,0.0014116217004180435,0.030955551981853943,0.0014747554096844666,0.03423328702641804,0.0015302404737758749,0.0356021011871947,0.0015401534642443704,0.03022433765255438,0.001499753856863585,0.03509562516035891
1,0.0014116217004182551,0.030955551981851178,0.0014747554096847808,0.03423328702641805,0.0015302404737765067,0.0356021011871947,0.0015401534642447714,0.03022433765255849,0.0014997538568638097,0.03509562516035959
2,0.001411621700417581,0.03095555198185228,0.0014747554096842593,0.03423328702642136,0.001530240473776803,0.03560210118718929,0.001540153464244079,0.030224337652556298,0.0014997538568635026,0.03509562516035864
3,0.0014116217004175595,0.03095555198185228,0.0014747554096856052,0.03423328702642136,0.0015302404737780068,0.03560210118718929,0.0015401534642442221,0.030224337652556298,0.0014997538568639868,0.03509562516035864
4,0.0014116217004183085,0.030955551981850807,0.0014747554096834117,0.034233287026417675,0.001530240473778599,0.035602101187193855,0.0015401534642456253,0.030224337652559233,0.001499753856864402,0.03509562516035865
5,0.0014116217004191045,0.03095555198184564,0.0014747554096844278,0.03423328702642136,0.0015302404737778615,0.035602101187187006,0.0015401534642455366,0.03022433765255411,0.0014997538568643325,0.035095625160357545
6,0.03198198499595004,0.10842922967640987,0.05399237998621475,0.007822269042132499,0.034129493372805825,0.05433342223484586,0.04598946510573312,0.059184378658017546,0.04448069429403026,0.0970629428698027
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
