,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.0,999.4704008743173,1000.2182151963518,1000.5771301150736,1000.7045191756155,1000.3965480972697,1000.5004975008667,1000.5474139771426,1000.9973403889162,1001.1174297297572,1000.3656499485686,1000.6471658035119,1001.5079342375839,1001.6838100743641,1001.7164728811149,1002.0155336695224,1001.831394420728,1001.8198123784066,1002.1440064467471,1002.4231572684763,1002.7952069925101,1003.1238499455117,1002.7517135271493,1002.6757944354756,1002.6544444924449,1002.9200854375059,1003.156164567469,1003.2723885031738,1003.125529561654,1002.4655151819375,1001.5124549372681,1001.5124549372681,1001.5124549372681,1001.5124549372681,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786,996.13632341786
1,2000.0,1998.9408017486346,2000.4364303927036,2001.1542602301472,2001.409038351231,2000.7930961945394,2001.0009950017334,2001.0948279542852,2001.9946807778324,2002.2348594595144,2000.7312998971372,2001.2943316070239,2003.0158684751677,2003.3676201487283,2003.4329457622298,2004.0310673390447,2003.662788841456,2003.6396247568132,2004.2880128934942,2004.8463145369526,2005.5904139850202,2006.2476998910233,2005.5034270542985,2005.3515888709512,2005.3088889848898,2005.8401708750118,2006.312329134938,2006.5447770063477,2006.251059123308,2004.931030363875,2003.0249098745362,2003.0249098745362,2003.0249098745362,2003.0249098745362,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572,1992.27264683572
2,5000.0,4997.352004371585,5001.091075981758,5002.8856505753665,5003.522595878076,5001.982740486347,5002.502487504332,5002.737069885712,5004.986701944581,5005.587148648786,5001.828249742843,5003.23582901756,5007.53967118792,5008.419050371821,5008.5823644055745,5010.0776683476115,5009.156972103639,5009.099061892033,5010.720032233735,5012.1157863423805,5013.976034962549,5015.619249727558,5013.758567635746,5013.378972177377,5013.272222462224,5014.600427187529,5015.780822837344,5016.3619425158695,5015.62764780827,5012.327575909688,5007.562274686341,5007.562274686341,5007.562274686341,5007.562274686341,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301,4980.681617089301
3,10000.0,9994.70400874317,10002.182151963516,10005.771301150733,10007.045191756151,10003.965480972694,10005.004975008664,10005.474139771424,10009.973403889162,10011.174297297572,10003.656499485685,10006.47165803512,10015.07934237584,10016.838100743642,10017.164728811149,10020.155336695223,10018.313944207279,10018.198123784066,10021.44006446747,10024.231572684761,10027.952069925099,10031.238499455116,10027.517135271491,10026.757944354755,10026.544444924448,10029.200854375058,10031.561645674688,10032.723885031739,10031.25529561654,10024.655151819376,10015.124549372682,10015.124549372682,10015.124549372682,10015.124549372682,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601,9961.363234178601
4,15000.0,14992.056013114758,15003.273227945276,15008.656951726103,15010.567787634232,15005.948221459046,15007.507462513002,15008.21120965714,15014.960105833745,15016.76144594636,15005.484749228532,15009.707487052683,15022.61901356376,15025.257151115466,15025.747093216725,15030.233005042839,15027.470916310924,15027.297185676103,15032.160096701211,15036.347359027148,15041.928104887655,15046.857749182678,15041.275702907244,15040.136916532138,15039.816667386676,15043.801281562592,15047.342468512037,15049.085827547611,15046.882943424813,15036.982727729064,15022.686824059025,15022.686824059025,15022.686824059025,15022.686824059025,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903,14942.044851267903
5,20000.0,19989.40801748634,20004.364303927032,20011.542602301466,20014.090383512303,20007.93096194539,20010.009950017327,20010.94827954285,20019.946807778324,20022.348594595143,20007.31299897137,20012.94331607024,20030.15868475168,20033.676201487284,20034.329457622298,20040.310673390446,20036.627888414558,20036.396247568133,20042.88012893494,20048.463145369522,20055.904139850198,20062.47699891023,20055.034270542983,20053.51588870951,20053.088889848896,20058.401708750116,20063.123291349377,20065.447770063478,20062.51059123308,20049.31030363875,20030.249098745364,20030.249098745364,20030.249098745364,20030.249098745364,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203,19922.726468357203
6,30000.0,29801.888616031538,29920.625746565092,29918.128751873606,29915.501916200825,29866.36690828042,29833.248354197953,29816.382072363187,29856.367962968172,29863.88405182304,29676.87453435704,29717.225739555917,29863.39249504396,29938.23474691691,29961.555001531928,30009.037872328827,29947.999149842002,29934.32084494925,29972.84638592564,30046.804707467192,30100.977540356,30161.166008626922,30108.84632029881,30061.82550095224,29977.402313009217,30041.615605217932,30064.60842840944,30110.683274509665,30095.029611976817,29998.429833180766,29799.562110569015,29799.562110569015,29799.562110569015,29799.562110569015,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339,29451.69308621339
7,50000.0,49526.25532803311,49850.738410230304,49862.064594791256,49866.363426106676,49682.9833937503,49662.41220062259,49576.52284406534,49656.08733630441,49747.35259562628,49326.65033166262,49351.22742918836,49761.03133795904,49872.76420915383,49960.973747004915,49953.73159673254,49856.34244274812,49777.71616474564,49735.4006687995,50017.843759955416,50257.54051138688,50320.54782027633,50171.78182235271,50083.965728900854,49967.05205563303,50268.86726065859,50319.95432246562,50610.677337212495,50519.75030128669,50224.60479444271,50360.5066379011,50360.5066379011,50360.5066379011,50360.5066379011,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469,50118.79652781469
8,100000.0,99052.51065606622,99701.47682046061,99724.12918958251,99732.72685221335,99365.9667875006,99324.82440124518,99153.04568813067,99312.17467260882,99494.70519125256,98653.30066332524,98702.45485837672,99522.06267591807,99745.52841830766,99921.94749400983,99907.46319346508,99712.68488549624,99555.43232949128,99470.801337599,100035.68751991083,100515.08102277375,100641.09564055267,100343.56364470541,100167.93145780171,99934.10411126606,100537.73452131718,100639.90864493125,101221.35467442499,101039.50060257337,100449.20958888542,100721.0132758022,100721.0132758022,100721.0132758022,100721.0132758022,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938,100237.59305562938
9,200000.0,198679.2574402103,199470.83831043393,199454.19167915737,199436.67944133884,199109.11272186943,198888.3223613197,198775.88048242123,199042.4530864545,199092.56034548697,197845.830229047,198114.83826370613,199089.28330029306,199588.23164611272,199743.70001021287,200060.2524821922,199653.32766561335,199562.13896632832,199818.97590617093,200312.03138311463,200673.18360237338,201074.44005751284,200725.6421353254,200412.1700063483,199849.3487533948,200277.43736811957,200430.72285606296,200737.88849673115,200633.53074651212,199989.53222120515,198663.74740379344,198663.74740379344,198663.74740379344,198663.74740379344,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559,196344.6205747559
