,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.09011,1000.1812482117243,1000.2722747071241,1000.3644397945156,1000.4470398863094,1000.5387208530447,1000.6305302860701,1000.7226783516041,1000.8149049536411,1000.9936404875167,1001.0844806603909,1001.173717330997,1001.2642134233065,1001.3543672530832,1001.445130012931,1001.5366821267169,1001.6279521645591,1001.715314154547,1001.8053583441363,1001.8953505194763,1001.9854309304416,1002.074888189715,1002.1654356766119,1002.258166044375,1002.351526392542,1002.4478724212589,1002.5445885919901,1002.6417351626246,1002.7389312524313,1002.8362470657094,1002.9326396857773,1003.0303052662299,1003.1288229028131,1003.2270191832871,1003.3244626236603,1003.4222767255216,1003.5206522455318,1003.6175321292995,1003.7155955983638,1003.8144113987505,1003.9121628461326,1004.0102551035643,1004.1084975070262,1004.2058659080294,1004.3036353911342,1004.4013641778942,1004.5000767439656,1004.5969306413652,1004.6942559920058,1004.7906262650405,1004.8844335179086,1004.9799879786918,1005.0759233683443,1005.1717473068783,1005.2681834843149,1005.3648098621114,1005.4616667078935,1005.5598198757975,1005.6601948570176,1005.7598356691241,1005.8610352237891,1005.9639649835236,1006.0624287364162,1006.160902126941,1006.2609547670485,1006.3610173563906,1006.4610898959564,1006.5611723867357,1006.6612648297179,1006.760612229944,1006.861620522169,1006.9602224806667,1007.0598309858746,1007.1589156026453,1007.2595609930814,1007.3602869491807,1007.4616173204449,1007.564056017694,1007.6605202004172,1007.7568525461484,1007.8541917805358,1007.9520443440157,1008.0506422129935,1008.1473949136331
1,2000.18022,2000.3624964234486,2000.5445494142482,2000.7288795890313,2000.8940797726189,2001.0774417060893,2001.2610605721402,2001.4453567032083,2001.6298099072822,2001.9872809750334,2002.1689613207818,2002.347434661994,2002.528426846613,2002.7087345061664,2002.890260025862,2003.0733642534337,2003.2559043291183,2003.430628309094,2003.6107166882725,2003.7907010389526,2003.9708618608831,2004.14977637943,2004.3308713532238,2004.51633208875,2004.703052785084,2004.8957448425178,2005.0891771839802,2005.2834703252493,2005.4778625048625,2005.6724941314187,2005.8652793715546,2006.0606105324598,2006.2576458056262,2006.4540383665742,2006.6489252473207,2006.844553451043,2007.0413044910636,2007.235064258599,2007.4311911967277,2007.628822797501,2007.8243256922651,2008.0205102071286,2008.2169950140524,2008.4117318160588,2008.6072707822684,2008.8027283557883,2009.0001534879311,2009.1938612827305,2009.3885119840115,2009.581252530081,2009.7688670358173,2009.9599759573837,2010.1518467366886,2010.3434946137565,2010.5363669686299,2010.7296197242229,2010.923333415787,2011.119639751595,2011.3203897140352,2011.5196713382481,2011.7220704475783,2011.9279299670472,2012.1248574728324,2012.321804253882,2012.521909534097,2012.7220347127811,2012.9221797919129,2013.1223447734715,2013.3225296594358,2013.521224459888,2013.723241044338,2013.9204449613335,2014.119661971749,2014.3178312052905,2014.5191219861629,2014.7205738983614,2014.9232346408899,2015.128112035388,2015.3210404008344,2015.5137050922967,2015.7083835610715,2015.9040886880314,2016.101284425987,2016.2947898272662
2,5000.45055,5000.906241058621,5001.36137353562,5001.822198972578,5002.235199431547,5002.693604265222,5003.15265143035,5003.61339175802,5004.074524768204,5004.9682024375825,5005.422403301954,5005.868586654984,5006.321067116532,5006.771836265415,5007.2256500646545,5007.683410633584,5008.139760822794,5008.576570772733,5009.02679172068,5009.47675259738,5009.927154652206,5010.3744409485735,5010.827178383058,5011.290830221874,5011.757631962709,5012.239362106293,5012.722942959949,5013.208675813122,5013.694656262155,5014.181235328545,5014.663198428885,5015.1515263311485,5015.644114514064,5016.135095916434,5016.622313118301,5017.111383627606,5017.603261227657,5018.087660646495,5018.5779779918175,5019.072056993751,5019.560814230661,5020.05127551782,5020.542487535129,5021.029329540145,5021.518176955669,5022.006820889469,5022.5003837198265,5022.984653206825,5023.4712799600275,5023.953131325201,5024.4221675895415,5024.8999398934575,5025.379616841719,5025.858736534389,5026.340917421572,5026.824049310555,5027.308333539466,5027.799099378986,5028.300974285086,5028.799178345618,5029.305176118944,5029.819824917616,5030.312143682078,5030.804510634702,5031.304773835239,5031.805086781949,5032.305449479779,5032.805861933675,5033.306324148586,5033.803061149716,5034.308102610841,5034.80111240333,5035.299154929369,5035.794578013223,5036.297804965404,5036.8014347459,5037.308086602221,5037.8202800884665,5038.302601002082,5038.784262730738,5039.270958902675,5039.760221720076,5040.2532110649645,5040.736974568163
3,10000.9011,10001.812482117242,10002.72274707124,10003.644397945156,10004.470398863094,10005.387208530445,10006.3053028607,10007.22678351604,10008.149049536409,10009.936404875165,10010.844806603907,10011.737173309968,10012.642134233063,10013.54367253083,10014.451300129309,10015.366821267167,10016.279521645589,10017.153141545466,10018.05358344136,10018.95350519476,10019.854309304412,10020.748881897147,10021.654356766116,10022.581660443748,10023.515263925417,10024.478724212586,10025.445885919899,10026.417351626244,10027.38931252431,10028.36247065709,10029.32639685777,10030.303052662297,10031.288229028129,10032.270191832868,10033.244626236601,10034.222767255213,10035.206522455313,10036.17532129299,10037.155955983635,10038.144113987502,10039.121628461322,10040.10255103564,10041.084975070258,10042.05865908029,10043.036353911339,10044.013641778938,10045.000767439653,10045.96930641365,10046.942559920055,10047.906262650402,10048.844335179083,10049.799879786915,10050.759233683439,10051.717473068778,10052.681834843144,10053.64809862111,10054.616667078932,10055.598198757973,10056.601948570173,10057.598356691236,10058.610352237887,10059.639649835231,10060.624287364157,10061.609021269403,10062.609547670478,10063.610173563899,10064.610898959558,10065.61172386735,10066.612648297172,10067.606122299432,10068.616205221682,10069.60222480666,10070.598309858739,10071.589156026446,10072.595609930808,10073.6028694918,10074.616173204442,10075.640560176933,10076.605202004164,10077.568525461476,10078.54191780535,10079.520443440151,10080.506422129929,10081.473949136325
4,15001.35165,15002.718723175865,15004.084120606862,15005.466596917735,15006.705598294642,15008.08081279567,15009.457954291052,15010.840175274063,15012.223574304617,15014.904607312752,15016.267209905865,15017.605759964956,15018.9632013496,15020.31550879625,15021.676950193967,15023.050231900754,15024.419282468387,15025.729712318203,15027.080375162044,15028.430257792144,15029.781463956622,15031.123322845724,15032.481535149176,15033.872490665624,15035.27289588813,15036.718086318884,15038.168828879852,15039.62602743937,15041.08396878647,15042.543705985641,15043.989595286661,15045.45457899345,15046.932343542197,15048.405287749307,15049.866939354906,15051.334150882823,15052.809783682977,15054.262981939493,15055.733933975458,15057.216170981257,15058.682442691987,15060.153826553462,15061.627462605391,15063.08798862044,15064.554530867012,15066.02046266841,15067.50115115948,15068.953959620476,15070.413839880084,15071.859393975605,15073.266502768627,15074.699819680376,15076.138850525163,15077.576209603172,15079.022752264722,15080.47214793167,15081.925000618403,15083.397298136962,15084.902922855263,15086.39753503686,15087.915528356836,15089.459474752854,15090.936431046242,15092.413531904112,15093.914321505725,15095.415260345855,15096.916348439345,15098.417585801033,15099.918972445765,15101.409183449156,15102.92430783253,15104.403337209997,15105.897464788113,15107.383734039673,15108.893414896216,15110.404304237705,15111.924259806668,15113.460840265405,15114.907803006252,15116.35278819222,15117.81287670803,15119.28066516023,15120.759633194895,15122.21092370449
5,20001.8022,20003.624964234485,20005.44549414248,20007.288795890312,20008.940797726187,20010.77441706089,20012.6106057214,20014.45356703208,20016.298099072817,20019.87280975033,20021.689613207815,20023.474346619936,20025.284268466126,20027.08734506166,20028.902600258618,20030.733642534335,20032.559043291178,20034.306283090933,20036.10716688272,20037.90701038952,20039.708618608824,20041.497763794294,20043.30871353223,20045.163320887496,20047.030527850835,20048.95744842517,20050.891771839797,20052.834703252487,20054.77862504862,20056.72494131418,20058.65279371554,20060.606105324594,20062.576458056257,20064.540383665735,20066.489252473202,20068.445534510425,20070.413044910627,20072.35064258598,20074.31191196727,20076.288227975005,20078.243256922644,20080.20510207128,20082.169950140516,20084.11731816058,20086.072707822677,20088.027283557876,20090.001534879306,20091.9386128273,20093.88511984011,20095.812525300804,20097.688670358166,20099.59975957383,20101.518467366877,20103.434946137557,20105.36366968629,20107.29619724222,20109.233334157863,20111.196397515945,20113.203897140345,20115.196713382473,20117.220704475774,20119.279299670463,20121.248574728314,20123.218042538807,20125.219095340955,20127.220347127797,20129.221797919115,20131.2234477347,20133.225296594344,20135.212244598864,20137.232410443365,20139.20444961332,20141.196619717477,20143.178312052893,20145.191219861616,20147.2057389836,20149.232346408884,20151.281120353866,20153.21040400833,20155.137050922953,20157.0838356107,20159.040886880302,20161.012844259858,20162.94789827265
6,29855.999999999996,29802.788417956017,29908.908755441927,29889.265323518404,29911.011943319834,29916.530576006255,29952.903388418643,30000.510116409896,30072.883734930885,30121.484561176152,29983.681235999367,29995.03166670902,30107.847763377005,30142.362350933283,30143.895530888494,30158.892359058304,30140.321599515028,30107.659037989968,30082.398262109356,30101.371330733567,30099.355452052492,30120.549066190804,30102.86152209675,30048.14091337539,30034.136784113813,30032.697545374627,29998.425977733645,30018.745966474307,29874.48622277134,29811.34102499624,29962.99648140938,29977.812003497816,29958.188093597855,29868.89251059646,29867.174803412603,29891.319520926696,29942.312034476032,29904.793913076195,29818.67533199034,29918.15509091397,29956.52793713294,29934.887112399967,29915.892372803624,29927.003635755696,29937.70551345684,29962.56595268588,29827.27503498993,29854.042435882864,29860.577893626836,29842.860024805967,29873.0101600433,29923.31519926448,29942.61491382828,29946.602052881484,29962.03557718363,29979.785538513748,29976.354776608478,30025.06022594179,30015.121412065597,30011.996101979406,29983.942071251728,30002.164224556596,29995.064450661215,30057.59573578673,30156.34728383351,30156.34728383351,30156.34728383351,30156.34728383351,30156.34728383351,30290.988056746944,30296.41644335656,30277.488534939937,30244.78913777099,30263.468702028138,30213.976505467715,30189.474398115057,30240.33907299971,30235.04372903675,30266.32118445113,30260.980959998913,30318.919962963515,30267.85579795094,30307.395930054554,30383.993429539896
7,49760.00000000001,49655.33265398088,49873.35838675216,49755.51315711077,49836.97815193651,49870.828227277605,49936.080031417725,50042.18648677045,50176.021400297606,50298.07541326052,50026.21359227015,50089.67282806429,50338.322317816586,50400.34231675228,50366.741782556426,50397.93267377317,50382.90109414074,50327.41854108382,50241.44850769129,50283.8172731833,50290.65323750149,50357.11382336475,50320.65685342853,50190.751274934955,50160.219823963904,50233.047378101306,50164.01342251501,50188.29422051897,49793.187605027146,49578.662758825616,49914.49527354916,49950.88548762394,49947.623164928336,49701.88161970101,49694.77240795138,49768.19191697476,49939.50112838936,49863.62565868945,49691.43415678469,49908.279137782745,49988.41653633739,49956.09452113944,49968.080878078785,50004.03046778695,50029.547166919256,50086.34605778699,49771.1275422781,49820.55538447557,49782.61677924655,49695.12576832439,49840.02090075239,49991.66567286543,50058.906754744865,50069.17302352264,50107.76443572525,50168.63057204089,50167.88013070914,50286.5695699689,50264.13387174041,50258.27647655614,50157.84771165418,50221.94203013848,50222.62784147624,50387.45790088854,50574.654225909646,50574.654225909646,50574.654225909646,50574.654225909646,50574.654225909646,50948.26928880434,50957.30962182327,50900.8162276756,50854.778541189,50902.05830133499,50843.48364748624,50841.969378726535,50964.70810234454,50940.384179391796,51025.09507750499,51006.683025189406,51146.13366470618,51087.61630329515,51197.04922299005,51451.83964709828
8,99520.00000000001,99310.66530796175,99746.71677350432,99511.02631422154,99673.95630387303,99741.65645455521,99872.16006283545,100084.3729735409,100352.04280059521,100596.15082652104,100052.4271845403,100179.34565612859,100676.64463563317,100800.68463350456,100733.48356511285,100795.86534754634,100765.80218828148,100654.83708216764,100482.89701538258,100567.6345463666,100581.30647500297,100714.2276467295,100641.31370685706,100381.50254986991,100320.43964792781,100466.09475620261,100328.02684503002,100376.58844103794,99586.37521005429,99157.32551765123,99828.99054709832,99901.77097524788,99895.24632985667,99403.76323940202,99389.54481590276,99536.38383394953,99879.00225677872,99727.2513173789,99382.86831356939,99816.55827556549,99976.83307267478,99912.18904227889,99936.16175615757,100008.0609355739,100059.09433383851,100172.69211557398,99542.2550845562,99641.11076895114,99565.2335584931,99390.25153664878,99680.04180150478,99983.33134573085,100117.81350948973,100138.34604704528,100215.5288714505,100337.26114408179,100335.76026141828,100573.1391399378,100528.26774348081,100516.55295311227,100315.69542330837,100443.88406027696,100445.25568295248,100774.91580177708,101149.30845181929,101149.30845181929,101149.30845181929,101149.30845181929,101149.30845181929,101896.53857760868,101914.61924364654,101801.6324553512,101709.557082378,101804.11660266998,101686.96729497248,101683.93875745307,101929.41620468909,101880.76835878359,102050.19015500999,102013.36605037881,102292.26732941237,102175.2326065903,102394.0984459801,102903.67929419655
9,199040.00000000003,198685.2561197068,199392.72503627956,199261.76882345608,199406.74628879895,199443.53717337505,199686.02258945766,200003.40077606603,200485.89156620597,200809.89707450775,199891.20823999585,199966.87777806018,200718.98508918006,200949.0823395553,200959.30353925665,201059.28239372207,200935.47733010023,200717.7269199332,200549.32174739576,200675.80887155718,200662.36968034998,200803.66044127205,200685.74348064503,200320.93942250262,200227.57856075876,200217.9836358309,199989.50651822434,200124.97310982874,199163.2414851423,198742.273499975,199753.30987606256,199852.0800233188,199721.2539573191,199125.95007064313,199114.4986894174,199275.46347284465,199615.41356317358,199365.29275384135,198791.16887993566,199454.36727275985,199710.18624755298,199565.91408266648,199439.28248535754,199513.3575717047,199584.70342304563,199750.43968457257,198848.50023326624,199026.9495725525,199070.5192908456,198952.40016537314,199153.40106695538,199488.76799509657,199617.43275885526,199644.01368587662,199746.90384789094,199865.23692342502,199842.3651773899,200167.06817294532,200100.8094137707,200079.9740131961,199892.94714167825,200014.4281637107,199967.0963377415,200383.9715719116,201042.31522555678,201042.31522555678,201042.31522555678,201042.31522555678,201042.31522555678,201939.92037831302,201976.10962237712,201849.92356626634,201631.92758513996,201756.45801352095,201426.51003645148,201263.16265410042,201602.2604866648,201566.95819357838,201775.4745630076,201739.87306665946,202126.13308642348,201785.70531967297,202049.30620036373,202559.95619693268
