,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1009.3755027560668,1009.4724936481266,1009.563972045501,1009.6557716974792,1009.7583325307681
1,2018.751005512133,2018.9449872962525,2019.1279440910014,2019.3115433949577,2019.5166650615356
2,5046.877513780338,5047.362468240637,5047.819860227509,5048.2788584874,5048.7916626538445
3,10093.755027560675,10094.724936481274,10095.639720455018,10096.5577169748,10097.583325307689
4,15140.632541340996,15142.087404721893,15143.45958068251,15144.836575462181,15146.374987961517
5,20187.510055121358,20189.449872962556,20191.279440910042,20193.115433949606,20195.166650615385
6,31239.744112988763,31228.644744325735,31096.111142185175,31219.692117409242,31131.857066787794
7,53036.276584775165,52956.34721038513,52636.4589712677,52954.498540050015,52782.40287496623
8,106072.61997051662,105912.62759140746,105272.85071026265,105909.10550608144,105564.84719432596
9,208237.51630884802,208194.15164222367,207311.6026092205,208135.82210780354,207521.22674512482
10,208237.51630884802,208194.15164222367,207311.6026092205,208135.82210780354,207521.22674512482
11,104130.55462281064,104093.56576243574,103651.80262119713,104063.93322258216,103771.15105967892
12,51060.74313931709,51055.85620573672,50915.790008041564,51025.4217954745,50923.33623799321
13,31821.874559483418,31773.87671216052,31581.943113617308,31772.820083621846,31669.542302647
14,20826.70513701933,20819.333371595254,20730.97822246245,20813.37228376509,20754.82728930947
15,15140.632541340996,15142.087404721893,15143.45958068251,15144.836575462181,15146.374987961517
16,10212.148627863411,10211.1817822336,10183.164248396217,10205.098176222777,10184.687373475219
17,5467.6926800460205,5442.493410950019,5397.5633034163875,5445.61761120427,5434.30291296285
18,2089.7930838118273,2088.8363365897208,2079.1618864218635,2088.566820914833,2082.1005953377007
19,1046.0175051274277,1045.617128667182,1040.6060885439792,1045.2092572566212,1041.9323878918385
20,1028.6076275916837,1027.1819822755817,1025.8183233034977,1028.18535877073,1025.984908143133
21,2047.696128980076,2047.5525019248628,2041.5074405878127,2046.3812159309462,2041.8554140146293
22,5303.594518122442,5296.960505911128,5265.010009383197,5296.801058364647,5278.315333688021
23,10935.351759378264,10884.954901301006,10795.076917704084,10891.180508218808,10868.591128914662
24,15620.155033265559,15614.576683954492,15548.33276868102,15610.120214984354,15566.25717806597
25,20187.510055121358,20189.449872962556,20191.279440910042,20193.115433949606,20195.166650615385
26,31239.744112988763,31228.644744325735,31096.111142185175,31219.692117409242,31131.857066787794
27,53036.276584775165,52956.34721038513,52636.4589712677,52954.498540050015,52782.40287496623
28,106072.61997051662,105912.62759140746,105272.85071026265,105909.10550608144,105564.84719432596
29,211938.10163341675,211706.59779700125,210431.4064869055,211701.89482988635,210930.82340921435
30,208237.51630884802,208194.15164222367,207311.6026092205,208135.82210780354,207521.22674512482
31,106072.61997051662,105912.62759140746,105272.85071026265,105909.10550608144,105564.84719432596
32,54033.72276704657,53824.045228276045,53393.132271389186,53912.55944684213,53832.808045509315
33,32420.54472793141,32296.84584072243,32025.800028375117,32331.742605226304,32278.092205525798
34,21214.45212718241,21182.455944155037,21054.50219287979,21181.75232380178,21112.901291857343
35,15620.155033265559,15614.576683954492,15548.33276868102,15610.120214984354,15566.25717806597
36,10413.697440116859,10409.998943388578,10365.801985585633,10406.992917653708,10377.751345891258
37,5467.6926800460205,5442.493410950019,5397.5633034163875,5445.61761120427,5434.30291296285
38,2187.0621575071937,2176.9835070912104,2159.0039459069358,2178.2244473328565,2173.713932419254
39,1046.0175051274277,1045.617128667182,1040.6060885439792,1045.2092572566212,1041.9323878918385
40,1046.0175051274277,1045.617128667182,1040.6060885439792,1045.2092572566212,1041.9323878918385
41,2089.7930838118273,2088.8363365897208,2079.1618864218635,2088.566820914833,2082.1005953377007
42,5467.6926800460205,5442.493410950019,5397.5633034163875,5445.61761120427,5434.30291296285
43,10935.351759378264,10884.954901301006,10795.076917704084,10891.180508218808,10868.591128914662
44,16210.175030897626,16148.333757441625,16012.815622304359,16165.750793673476,16138.913632645912
45,20187.510055121358,20189.449872962556,20191.279440910042,20193.115433949606,20195.166650615385
46,31821.874559483418,31773.87671216052,31581.943113617308,31772.820083621846,31669.542302647
47,54033.72276704657,53824.045228276045,53393.132271389186,53912.55944684213,53832.808045509315
48,106072.61997051662,105912.62759140746,105272.85071026265,105909.10550608144,105564.84719432596
49,211938.10163341675,211706.59779700125,210431.4064869055,211701.89482988635,210930.82340921435
50,208237.51630884802,208194.15164222367,207311.6026092205,208135.82210780354,207521.22674512482
51,104130.55462281064,104093.56576243574,103651.80262119713,104063.93322258216,103771.15105967892
52,53036.276584775165,52956.34721038513,52636.4589712677,52954.498540050015,52782.40287496623
53,32420.54472793141,32296.84584072243,32025.800028375117,32331.742605226304,32278.092205525798
54,21613.366254683402,21529.49571590217,21357.09279186514,21564.87656143537,21532.933941119914
55,15620.155033265559,15614.576683954492,15548.33276868102,15610.120214984354,15566.25717806597
56,10413.697440116859,10409.998943388578,10365.801985585633,10406.992917653708,10377.751345891258
57,5467.6926800460205,5442.493410950019,5397.5633034163875,5445.61761120427,5434.30291296285
58,2187.0621575071937,2176.9835070912104,2159.0039459069358,2178.2244473328565,2173.713932419254
59,1028.6076275916837,1027.1819822755817,1025.8183233034977,1028.18535877073,1025.984908143133
60,1028.6076275916837,1027.1819822755817,1025.8183233034977,1028.18535877073,1025.984908143133
61,2047.696128980076,2047.5525019248628,2041.5074405878127,2046.3812159309462,2041.8554140146293
62,5467.6926800460205,5442.493410950019,5397.5633034163875,5445.61761120427,5434.30291296285
63,10935.351759378264,10884.954901301006,10795.076917704084,10891.180508218808,10868.591128914662
64,15318.256865866371,15316.725826317592,15274.599573438805,15307.546795983244,15276.982617547668
65,20187.510055121358,20189.449872962556,20191.279440910042,20193.115433949606,20195.166650615385
66,31239.744112988763,31228.644744325735,31096.111142185175,31219.692117409242,31131.857066787794
67,54033.72276704657,53824.045228276045,53393.132271389186,53912.55944684213,53832.808045509315
68,106072.61997051662,105912.62759140746,105272.85071026265,105909.10550608144,105564.84719432596
69,215652.855207356,214829.86328392243,213027.39719187818,215062.36328424152,214706.55107608152
70,208237.51630884802,208194.15164222367,207311.6026092205,208135.82210780354,207521.22674512482
71,102121.48627863415,102111.6375874395,101831.3492054836,102050.67090988361,101846.58453131696
72,53036.276584775165,52956.34721038513,52636.4589712677,52954.498540050015,52782.40287496623
73,32420.54472793141,32296.84584072243,32025.800028375117,32331.742605226304,32278.092205525798
74,20826.70513701933,20819.333371595254,20730.97822246245,20813.37228376509,20754.82728930947
75,15140.632541340996,15142.087404721893,15143.45958068251,15144.836575462181,15146.374987961517
76,10212.148627863411,10211.1817822336,10183.164248396217,10205.098176222777,10184.687373475219
77,5467.6926800460205,5442.493410950019,5397.5633034163875,5445.61761120427,5434.30291296285
78,2122.364944582735,2119.8474546064062,2106.9361756147714,2119.682486660903,2112.004382042491
