,客户风险能力类型,新老客户种类,性别,存款比例,基金1比例,基金2比例,基金3比例
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.21000000 ,0.27000000 ,0.32000000 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.05475499 ,0.74524501 ,0.00000000 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.36232163 ,0.14949812 ,0.28818025 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.19354058 ,0.00000000 ,0.60645942 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.00659252 ,0.04790679 ,0.74550069 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.00000015 ,0.21851492 ,0.58148493 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.00000000 ,0.47791500 ,0.32208500 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.03652333 ,0.00370774 ,0.75976893 
0.00000000 ,C5进取型(81-100),新客户,男,0.20000000 ,0.00000000 ,0.00000000 ,0.80000000 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.20740000 ,0.26660000 ,0.31600000 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.05407055 ,0.73592944 ,0.00000000 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.35779261 ,0.14762939 ,0.28457800 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.19112132 ,0.00000000 ,0.59887868 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.00651012 ,0.04730795 ,0.73618193 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.00000014 ,0.21578348 ,0.57421637 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.00000000 ,0.47194106 ,0.31805894 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.03606679 ,0.00366139 ,0.75027182 
0.00000000 ,C5进取型(81-100),新客户,女,0.21000000 ,0.00000000 ,0.00000000 ,0.79000000 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.67340000 ,0.12030000 ,0.16840000 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.06584288 ,0.89615712 ,0.00000000 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.43569176 ,0.17977148 ,0.34653675 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.23273255 ,0.00000000 ,0.72926745 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.00792751 ,0.05760791 ,0.89646458 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.00000017 ,0.26276419 ,0.69923563 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.00000000 ,0.57469279 ,0.38730721 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.04391930 ,0.00445856 ,0.91362214 
0.00000000 ,C5进取型(81-100),增1老客户,男,0.03800000 ,0.00000000 ,0.00000000 ,0.96200000 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.66990000 ,0.11960000 ,0.16750000 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.06550066 ,0.89149934 ,0.00000000 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.43342725 ,0.17883712 ,0.34473563 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.23152292 ,0.00000000 ,0.72547708 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.00788630 ,0.05730849 ,0.89180520 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.00000017 ,0.26139847 ,0.69560135 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.00000000 ,0.57170582 ,0.38529418 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.04369103 ,0.00443538 ,0.90887358 
0.00000000 ,C5进取型(81-100),增1老客户,女,0.04300000 ,0.00000000 ,0.00000000 ,0.95700000 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.12030000 ,0.67340000 ,0.16840000 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.06584288 ,0.89615712 ,0.00000000 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.43569176 ,0.17977148 ,0.34653675 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.23273255 ,0.00000000 ,0.72926745 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.00792751 ,0.05760791 ,0.89646458 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.00000017 ,0.26276419 ,0.69923563 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.00000000 ,0.57469279 ,0.38730721 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.04391930 ,0.00445856 ,0.91362214 
0.00000000 ,C5进取型(81-100),增2老客户,男,0.03800000 ,0.00000000 ,0.00000000 ,0.96200000 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.11960000 ,0.66990000 ,0.16750000 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.06550066 ,0.89149934 ,0.00000000 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.43342725 ,0.17883712 ,0.34473563 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.23152292 ,0.00000000 ,0.72547708 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.00788630 ,0.05730849 ,0.89180520 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.00000017 ,0.26139847 ,0.69560135 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.00000000 ,0.57170582 ,0.38529418 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.04369103 ,0.00443538 ,0.90887358 
0.00000000 ,C5进取型(81-100),增2老客户,女,0.04300000 ,0.00000000 ,0.00000000 ,0.95700000 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.20480000 ,0.26330000 ,0.31200000 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.05338612 ,0.72661388 ,0.00000000 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.35326359 ,0.14576066 ,0.28097575 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.18870206 ,0.00000000 ,0.59129794 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00642771 ,0.04670912 ,0.72686317 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00000014 ,0.21305205 ,0.56694781 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00000000 ,0.46596713 ,0.31403287 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.03561024 ,0.00361505 ,0.74077471 
0.00000000 ,C4成长型(61-80),新客户,男,0.22000000 ,0.00000000 ,0.00000000 ,0.78000000 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.20210000 ,0.25990000 ,0.30800000 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.05270168 ,0.71729832 ,0.00000000 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.34873457 ,0.14389194 ,0.27737349 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.18628281 ,0.00000000 ,0.58371719 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00634530 ,0.04611028 ,0.71754442 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00000014 ,0.21032061 ,0.55967925 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00000000 ,0.45999319 ,0.31000681 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.03515370 ,0.00356870 ,0.73127760 
0.00000000 ,C4成长型(61-80),新客户,女,0.23000000 ,0.00000000 ,0.00000000 ,0.77000000 
0.00000000 ,C4成长型(61-80),增1老客户,男,0.04100000 ,0.67130000 ,0.11990000 ,0.16780000 
