,基金1,基金2,基金3,C5进取型(81-100)-增2老客户-男-fixcombination_profit,C5进取型(81-100)-增2老客户-男-dyncombination_profit,C5进取型(81-100)-增2老客户-女-fixcombination_profit,C5进取型(81-100)-增2老客户-女-dyncombination_profit,C4成长型(61-80)-增2老客户-男-fixcombination_profit,C4成长型(61-80)-增2老客户-男-dyncombination_profit,C4成长型(61-80)-增2老客户-女-fixcombination_profit,C4成长型(61-80)-增2老客户-女-dyncombination_profit,C3平衡性(41-60)-增2老客户-男-fixcombination_profit,C3平衡性(41-60)-增2老客户-男-dyncombination_profit,C3平衡性(41-60)-增2老客户-女-fixcombination_profit,C3平衡性(41-60)-增2老客户-女-dyncombination_profit,C2稳健型(25-40)-增2老客户-男-fixcombination_profit,C2稳健型(25-40)-增2老客户-男-dyncombination_profit,C2稳健型(25-40)-增2老客户-女-fixcombination_profit,C2稳健型(25-40)-增2老客户-女-dyncombination_profit,C1保守型(0-25)-增2老客户-男-fixcombination_profit,C1保守型(0-25)-增2老客户-男-dyncombination_profit,C1保守型(0-25)-增2老客户-女-fixcombination_profit,C1保守型(0-25)-增2老客户-女-dyncombination_profit
2017/1/1,1.225,1.0499,0.8797,1.006155476,1.006155476,1.001311048,1.001311048,1.003220537,1.003220537,0.998586579,0.998586579,1.000373568,1.000373568,0.99565164,0.99565164,0.997526599,0.997526599,0.992804671,0.992804671,0.994802131,0.994802131,0.989957703,0.989957703
2017/1/2,1.225,1.0499,0.8796,1.006138636,1.006138636,1.001294298,1.001294298,1.003203757,1.003203757,0.998569879,0.998569879,1.000356838,1.000356838,0.995635,0.995635,0.997509919,0.997509919,0.992788081,0.992788081,0.994785501,0.994785501,0.989941163,0.989941163
2017/1/3,0.7006,1.0932,0.9136,0.977937136,0.977937136,0.973277728,0.973277728,0.975100687,0.975100687,0.970602699,0.970602699,0.972355598,0.972355598,0.96776625,0.96776625,0.969610509,0.969610509,0.965021161,0.965021161,0.966935481,0.966935481,0.962276073,0.962276073
2017/1/4,0.9606,1.0929,0.8353,0.995827396,0.995827396,0.991057508,0.991057508,0.992934557,0.992934557,0.988344259,0.988344259,0.990125248,0.990125248,0.98545142,0.98545142,0.987315939,0.987315939,0.982642111,0.982642111,0.984602691,0.984602691,0.979832803,0.979832803
2017/1/5,1.0638,1.0931,0.8409,1.009320076,1.009320076,1.004472208,1.004472208,1.006382177,1.006382177,1.001724779,1.001724779,1.003528368,1.003528368,0.99878688,0.99878688,1.000674559,1.000674559,0.995933071,0.995933071,0.997927131,0.997927131,0.993079263,0.993079263
2017/1/6,1.1535,1.0623,0.8301,0.997551546,0.997551546,0.992758408,0.992758408,0.994648927,0.994648927,0.990054149,0.990054149,0.991829318,0.991829318,0.98715153,0.98715153,0.989009709,0.989009709,0.984331921,0.984331921,0.986305451,0.986305451,0.981512313,0.981512313
2017/1/7,1.15255,1.05995,0.8071,0.991981571,0.991981571,0.987218023,0.987218023,0.989098067,0.989098067,0.984530484,0.984530484,0.986295273,0.986295273,0.98164698,0.98164698,0.983492479,0.983492479,0.978844186,0.978844186,0.980804941,0.980804941,0.976041393,0.976041393
2017/1/8,1.15255,1.05995,0.7941,0.989792371,0.989792371,0.985040523,0.985040523,0.986916667,0.986916667,0.982359484,0.982359484,0.984120373,0.984120373,0.97948378,0.97948378,0.981324079,0.981324079,0.976687486,0.976687486,0.978643041,0.978643041,0.973891193,0.973891193
2017/1/9,1.1425,1.0573,0.7917,0.986394686,0.986394686,0.981661308,0.981661308,0.983530007,0.983530007,0.978990049,0.978990049,0.980744498,0.980744498,0.97612537,0.97612537,0.977958989,0.977958989,0.973339861,0.973339861,0.975287731,0.975287731,0.970554353,0.970554353
2017/1/10,0.934,1.0344,0.7893,0.945487116,0.897514782,0.940981998,0.893348336,0.942755367,0.895014914,0.938422579,0.890848467,0.940102548,0.892515046,0.93569083,0.888348599,0.937449729,0.890015178,0.933038011,0.885848731,0.934890311,0.88751531,0.930385193,0.883348863
2017/1/11,0.6631,1.0431,0.7996,0.920490946,0.808806176,0.916135738,0.805100793,0.917843107,0.806582946,0.913634169,0.802877563,0.915275228,0.804359716,0.91098633,0.800654333,0.912707349,0.802136486,0.908418451,0.798431102,0.910205781,0.799913256,0.905850573,0.796207872
2017/1/12,1.1125,1.0795,0.8005,0.999217086,0.978266879,0.994419088,0.973680723,0.996312507,0.975515185,0.991705809,0.970929029,0.993487978,0.972763491,0.98880123,0.968177335,0.990663449,0.970011798,0.985976701,0.965425641,0.987950171,0.967260104,0.983152173,0.962673948
2017/1/13,0.9789,1.0734,0.8012,0.979155146,0.929770033,0.974471388,0.92543594,0.976316397,0.927169577,0.971810649,0.922835484,0.973557768,0.924569121,0.9689719,0.920235027,0.970799139,0.921968665,0.966213271,0.917634571,0.968138401,0.919368209,0.963454643,0.915034115
2017/1/14,0.9634,1.0669,0.8014,0.972947076,0.922188126,0.968296738,0.917893439,0.970128057,0.919611314,0.965654199,0.915316627,0.967389178,0.917034502,0.96283518,0.912739815,0.964650299,0.91445769,0.960096301,0.910163003,0.962007761,0.911880878,0.957357423,0.907586191
2017/1/15,0.9634,1.0669,0.8014,0.972947076,0.922188126,0.968296738,0.917893439,0.970128057,0.919611314,0.965654199,0.915316627,0.967389178,0.917034502,0.96283518,0.912739815,0.964650299,0.91445769,0.960096301,0.910163003,0.962007761,0.911880878,0.957357423,0.907586191
2017/1/16,1.0204,1.0671,0.7994,0.979602056,0.941595192,0.974912918,0.937199637,0.976761017,0.938957859,0.972253859,0.934562304,0.973999918,0.936320526,0.96941282,0.931924971,0.971238819,0.933683193,0.966651721,0.929287638,0.968579761,0.93104586,0.963890623,0.926650305
2017/1/17,1.0549,1.0588,0.7866,0.976007666,0.947321488,0.971334948,0.94289617,0.973177937,0.944666297,0.968689369,0.94024098,0.970426868,0.942011107,0.96585964,0.93758579,0.967675799,0.939355917,0.963108571,0.934930599,0.965030221,0.936700726,0.960357503,0.932275409
2017/1/18,0.8908,1.0437,0.7944,0.947411616,0.887017541,0.942899598,0.882905653,0.944674557,0.884550408,0.940331059,0.880438521,0.942016938,0.882083276,0.937594,0.877971389,0.939359319,0.879616144,0.934936381,0.875504256,0.936790781,0.877149011,0.932278763,0.873037124
2017/1/19,0.9556,1.0675,0.7276,0.959984856,0.899738589,0.955404298,0.895560584,0.957211977,0.897231786,0.952799739,0.89305378,0.954511858,0.894724982,0.95002686,0.890546977,0.951811739,0.892218179,0.947326741,0.888040174,0.949207181,0.889711376,0.944626623,0.885533371
2017/1/20,0.9295,0.9567,0.7702,0.889406146,0.864125088,0.885193318,0.860132184,0.886850827,0.861729345,0.882807969,0.857736442,0.884372528,0.859333603,0.88025265,0.855340699,0.881894229,0.856937861,0.877774351,0.852944957,0.879508881,0.854542119,0.875296053,0.850549215
2017/1/21,1.0604,0.9522,0.778,0.903436636,0.910339223,0.899140908,0.906106121,0.900833727,0.907799362,0.896721839,0.90356626,0.898308618,0.905259501,0.89411893,0.901026399,0.895783509,0.90271964,0.891593821,0.898486538,0.893364441,0.900179779,0.889068713,0.895946677
2017/1/22,1.0604,0.9522,0.778,0.903436636,0.910339223,0.899140908,0.906106121,0.900833727,0.907799362,0.896721839,0.90356626,0.898308618,0.905259501,0.89411893,0.901026399,0.895783509,0.90271964,0.891593821,0.898486538,0.893364441,0.900179779,0.889068713,0.895946677
2017/1/23,1.0563,0.9839,0.9215,0.948455586,0.958549305,0.943922628,0.954065631,0.945701647,0.9558591,0.941366469,0.951375426,0.943039858,0.953168896,0.93861253,0.948685222,0.940378069,0.950478691,0.935950741,0.945995017,0.937821911,0.947788487,0.933288953,0.943304813
2017/1/24,1.073,0.9444,0.7698,0.898319016,0.909842052,0.894049148,0.905611534,0.895732367,0.907303741,0.891646779,0.903073224,0.893222698,0.904765431,0.88906013,0.900534913,0.890713029,0.90222712,0.886550461,0.897996602,0.888310661,0.899688809,0.884040793,0.895458291
2017/1/25,0.9754,0.9044,0.7702,0.859709096,0.862187134,0.855647188,0.858204302,0.857245247,0.859797435,0.853357899,0.855814604,0.854858418,0.857407736,0.85089405,0.853424905,0.852471589,0.855018037,0.848507221,0.851035206,0.850182301,0.852628339,0.846120393,0.848645507
2017/1/26,0.9984,0.6869,0.7751,0.716836656,0.796901893,0.713515488,0.793258382,0.714817417,0.794715787,0.711673599,0.791072276,0.712875688,0.79252968,0.70965436,0.788886169,0.710933959,0.790343574,0.707712631,0.786700063,0.709092071,0.788157467,0.705770903,0.784513956
2017/1/27,1.031042857,0.643328571,0.7776,0.691843591,0.794010842,0.688649823,0.790382357,0.689901295,0.791833751,0.686888392,0.788205266,0.68803676,0.78965666,0.684946096,0.786028176,0.686172224,0.787479569,0.68308156,0.783851085,0.684410792,0.785302479,0.681217024,0.781673994
2017/1/28,1.031042857,0.643328571,0.7775,0.691826751,0.793983829,0.688633073,0.790355485,0.689884515,0.791806823,0.686871692,0.788178479,0.68802003,0.789629816,0.684929456,0.786001472,0.686155544,0.78745281,0.68306497,0.783824466,0.684394162,0.785275803,0.681200484,0.781647459
2017/1/29,1.031042857,0.643328571,0.7775,0.691826751,0.793983829,0.688633073,0.790355485,0.689884515,0.791806823,0.686871692,0.788178479,0.68802003,0.789629816,0.684929456,0.786001472,0.686155544,0.78745281,0.68306497,0.783824466,0.684394162,0.785275803,0.681200484,0.781647459
2017/1/30,1.031042857,0.643328571,0.7774,0.691809911,0.793956817,0.688616323,0.790328613,0.689867735,0.791779895,0.686854992,0.788151691,0.6880033,0.789602972,0.684912816,0.785974769,0.686138864,0.78742605,0.68304838,0.783797846,0.684377532,0.785249128,0.681183944,0.781620924
2017/1/31,1.031042857,0.643328571,0.7774,0.691809911,0.793956817,0.688616323,0.790328613,0.689867735,0.791779895,0.686854992,0.788151691,0.6880033,0.789602972,0.684912816,0.785974769,0.686138864,0.78742605,0.68304838,0.783797846,0.684377532,0.785249128,0.681183944,0.781620924
2017/2/1,1.031042857,0.643328571,0.7612,0.689081831,0.789580804,0.685902823,0.785975344,0.687149375,0.787417528,0.684149592,0.783812069,0.68529304,0.785254252,0.682217136,0.781648793,0.683436704,0.783090977,0.6803608,0.779485517,0.681683472,0.780927701,0.678504464,0.777322242
2017/2/2,1.031042857,0.643328571,0.7612,0.689081831,0.789580804,0.685902823,0.785975344,0.687149375,0.787417528,0.684149592,0.783812069,0.68529304,0.785254252,0.682217136,0.781648793,0.683436704,0.783090977,0.6803608,0.779485517,0.681683472,0.780927701,0.678504464,0.777322242
2017/2/3,1.0467,0.8981,0.7909,0.867529946,0.890482807,0.863421548,0.886352909,0.865038387,0.888004868,0.861113749,0.88387497,0.862625918,0.885526929,0.85862219,0.881397031,0.860213449,0.88304899,0.856209721,0.878919092,0.857905651,0.880571052,0.853797253,0.876441153
2017/2/4,1.0537,0.89515,0.7884,0.865964516,0.891236515,0.861863793,0.887102699,0.863477852,0.888756226,0.859561339,0.88462241,0.861070028,0.886275936,0.857074675,0.882142121,0.858662204,0.883795647,0.854666851,0.879661832,0.856359751,0.881315358,0.852259028,0.877181542
2017/2/5,1.0537,0.89515,0.7741,0.863556396,0.887373738,0.859468543,0.883259999,0.861078312,0.884905495,0.857173239,0.880791756,0.858677638,0.882437251,0.854695155,0.878323513,0.856276964,0.879969008,0.852294481,0.87585527,0.853981661,0.877500765,0.849893808,0.873387026
2017/2/6,1.4176,0.6178,0.7861,0.722586876,0.922358758,0.719204218,0.918063184,0.720538467,0.919781413,0.717376179,0.91548584,0.718568668,0.917204069,0.71532777,0.912908496,0.716598869,0.914626725,0.713357971,0.910331152,0.714770831,0.912049381,0.711388173,0.907753808
2017/2/7,1.0381,0.6299,0.7812,0.684256006,0.792836758,0.681101058,0.789214375,0.682336927,0.790663328,0.679363909,0.787040946,0.680495968,0.788489899,0.67744483,0.784867517,0.678655009,0.78631647,0.675603871,0.782694087,0.676917861,0.78414304,0.673762913,0.780520658
2017/2/8,0.9584,0.8014,0.7978,0.792951636,0.828371773,0.789237288,0.824564697,0.790694327,0.826087527,0.787155599,0.822280452,0.788516798,0.823803282,0.78489829,0.819996206,0.786339269,0.821519037,0.782720761,0.817711961,0.784257581,0.819234791,0.780543233,0.815427715
2017/2/9,0.9233,0.8054,0.824,0.795834786,0.824580448,0.792107428,0.820793078,0.793567397,0.822308026,0.790014769,0.818520655,0.791382408,0.820035603,0.78774738,0.816248233,0.789197419,0.817763181,0.785562391,0.813975811,0.787104761,0.815490759,0.783377403,0.811703389
2017/2/10,0.9849,0.8192,0.843,0.815737786,0.855930894,0.811901908,0.851980579,0.813405377,0.853560705,0.809752289,0.849610391,0.811157268,0.851190516,0.80741988,0.847240202,0.808909159,0.848820328,0.805171771,0.844870013,0.806759541,0.846450139,0.802923663,0.842499825
2017/2/11,1.0259,0.82455,0.844,0.824441176,0.872335453,0.820556973,0.868299876,0.822080532,0.869914107,0.818383319,0.86587853,0.819804288,0.86749276,0.816022675,0.863457183,0.817528044,0.865071414,0.813746431,0.861035837,0.815354391,0.862650068,0.811470188,0.858614491
2017/2/12,1.0259,0.82455,0.8298,0.822049896,0.868499688,0.818178473,0.864484048,0.819697772,0.866090304,0.816011919,0.862074663,0.817428628,0.863680919,0.813659795,0.859665279,0.815159484,0.861271535,0.811390651,0.857255894,0.812992931,0.858862151,0.809121508,0.85484651
