,基金1,基金2,基金3,C5进取型(81-100)-增2老客户-男-fixcombination_profit,C5进取型(81-100)-增2老客户-男-dyncombination_profit,C5进取型(81-100)-增2老客户-女-fixcombination_profit,C5进取型(81-100)-增2老客户-女-dyncombination_profit,C4成长型(61-80)-增2老客户-男-fixcombination_profit,C4成长型(61-80)-增2老客户-男-dyncombination_profit,C4成长型(61-80)-增2老客户-女-fixcombination_profit,C4成长型(61-80)-增2老客户-女-dyncombination_profit,C3平衡性(41-60)-增2老客户-男-fixcombination_profit,C3平衡性(41-60)-增2老客户-男-dyncombination_profit,C3平衡性(41-60)-增2老客户-女-fixcombination_profit,C3平衡性(41-60)-增2老客户-女-dyncombination_profit,C2稳健型(25-40)-增2老客户-男-fixcombination_profit,C2稳健型(25-40)-增2老客户-男-dyncombination_profit,C2稳健型(25-40)-增2老客户-女-fixcombination_profit,C2稳健型(25-40)-增2老客户-女-dyncombination_profit,C1保守型(0-25)-增2老客户-男-fixcombination_profit,C1保守型(0-25)-增2老客户-男-dyncombination_profit,C1保守型(0-25)-增2老客户-女-fixcombination_profit,C1保守型(0-25)-增2老客户-女-dyncombination_profit
2017/1/1,1.2788,1.31235,0.8797,1.189361446,1.189361446,1.183560783,1.183560783,1.185853842,1.185853842,1.180269029,1.180269029,1.182434208,1.182434208,1.176761425,1.176761425,1.179014574,1.179014574,1.173341791,1.173341791,1.175722821,1.175722821,1.169922158,1.169922158
2017/1/2,1.2788,1.31235,0.8796,1.189344606,1.189344606,1.183544033,1.183544033,1.185837062,1.185837062,1.180252329,1.180252329,1.182417478,1.182417478,1.176744785,1.176744785,1.178997894,1.178997894,1.173325201,1.173325201,1.175706191,1.175706191,1.169905618,1.169905618
2017/1/3,0.5306,1.3116,0.9136,1.104556696,1.104556696,1.099251888,1.099251888,1.101329607,1.101329607,1.096169219,1.096169219,1.098193878,1.098193878,1.09294213,1.09294213,1.095058149,1.095058149,1.089806401,1.089806401,1.091975481,1.091975481,1.086670673,1.086670673
2017/1/4,0.7008,1.3114,0.8353,1.111711356,1.111711356,1.106358578,1.106358578,1.108463587,1.108463587,1.103264419,1.103264419,1.105299348,1.105299348,1.10001665,1.10001665,1.102135109,1.102135109,1.096852411,1.096852411,1.099040951,1.099040951,1.093688173,1.093688173
2017/1/5,0.7011,1.3112,0.8409,1.112555806,1.112555806,1.107198478,1.107198478,1.109304977,1.109304977,1.104101849,1.104101849,1.106138238,1.106138238,1.10085102,1.10085102,1.102971499,1.102971499,1.097684281,1.097684281,1.099874871,1.099874871,1.094517543,1.094517543
2017/1/6,0.9202,1.3111,0.8301,1.137027476,1.137027476,1.131526848,1.131526848,1.133695697,1.133695697,1.128370099,1.128370099,1.130446928,1.130446928,1.12503832,1.12503832,1.127198159,1.127198159,1.121789551,1.121789551,1.124041411,1.124041411,1.118540783,1.118540783
2017/1/7,1.25225,1.31105,0.8071,1.173066221,1.173066221,1.167354033,1.167354033,1.169615527,1.169615527,1.164109274,1.164109274,1.166245543,1.166245543,1.16065858,1.16065858,1.162875559,1.162875559,1.157288596,1.157288596,1.159630801,1.159630801,1.153918613,1.153918613
2017/1/8,1.25225,1.31105,0.7941,1.170877021,1.170877021,1.165176533,1.165176533,1.167434127,1.167434127,1.161938274,1.161938274,1.164070643,1.164070643,1.15849538,1.15849538,1.160707159,1.160707159,1.155131896,1.155131896,1.157468901,1.157468901,1.151768413,1.151768413
2017/1/9,1.0029,1.3105,0.7917,1.140105686,1.140105686,1.134583828,1.134583828,1.136765127,1.136765127,1.131422729,1.131422729,1.133503738,1.133503738,1.12808217,1.12808217,1.130242349,1.130242349,1.124820781,1.124820781,1.127081251,1.127081251,1.121559393,1.121559393
2017/1/10,1.0837,1.2501,0.7893,1.108748406,1.108748406,1.103383548,1.103383548,1.105503807,1.105503807,1.100326249,1.100326249,1.102338138,1.102338138,1.09708165,1.09708165,1.099172469,1.099172469,1.093915981,1.093915981,1.096115171,1.096115171,1.090750313,1.090750313
