,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,997.12,996.0573785514263,999.1634427593773,999.6928840321258,999.195460157158,1000.0659722208169,999.1549872151218,999.8739412374322,1000.4793333866218,1000.3991301351589,994.0684780126177,995.089541946819,1000.8859579469383,1001.035663355312,1000.8066808799515,1001.6769798847243,1000.9554602204377,1000.1943874210665,1002.352676316773,1003.752758496321,1005.683175379305,1006.3252345848567,1004.8455630586009,1003.2531174803443,1000.6000020021125,1003.4806842171872,1003.2542982547486,1005.7183791671304,1004.2794645807766,1001.7418474756232,1006.9726016090906,1008.4518406692791,1008.4912441732627,1008.6820486472841,1008.7587433643731,1010.3516351126635,1010.16352600144,1009.0273285827326,1007.740075054587,1010.242921337068,1013.6170672731479,1012.6709281586863,1015.6662313441207,1015.4019008303585,1016.881181447863,1018.0192352073549,1018.9303343509822,1019.2343567273961,1017.4162393622006,1017.9095878639902,1020.2967299415174,1020.410605350859,1020.9416622901941,1019.918905020259,1018.782583975794,1020.2990205636814,1019.0493283272856,1019.7327479581073,1018.1054237337074,1017.8042274088291,1015.3813262188814,1015.8014258469254,1018.1902149935048,1018.2296008006596,1021.3013389251765,1021.3413603545822,1021.3813857637191,1021.4214151529824,1021.4614485227684,1025.025483136241,1025.4448680873159,1026.3558691511166,1026.7744788747,1028.5573983408553,1028.5596628129026,1028.8652338732443,1030.4593704802166,1029.5150236258164,1030.9937821702124,1034.4431791080108,1033.610439777929,1036.3784004716383,1036.3798998496798,1036.7218179670451
1,1994.24,1992.1147571028525,1998.3268855187546,1999.3857680642516,1998.390920314316,2000.1319444416338,1998.3099744302435,1999.7478824748644,2000.9586667732435,2000.7982602703178,1988.1369560252353,1990.179083893638,2001.7719158938767,2002.071326710624,2001.613361759903,2003.3539597694487,2001.9109204408753,2000.388774842133,2004.705352633546,2007.505516992642,2011.36635075861,2012.6504691697135,2009.6911261172017,2006.5062349606885,2001.200004004225,2006.9613684343744,2006.5085965094972,2011.4367583342607,2008.5589291615531,2003.4836949512464,2013.9452032181812,2016.9036813385583,2016.9824883465253,2017.3640972945682,2017.5174867287462,2020.703270225327,2020.32705200288,2018.0546571654652,2015.480150109174,2020.485842674136,2027.2341345462958,2025.3418563173725,2031.3324626882413,2030.803801660717,2033.762362895726,2036.0384704147098,2037.8606687019644,2038.4687134547921,2034.8324787244012,2035.8191757279803,2040.5934598830347,2040.821210701718,2041.8833245803883,2039.837810040518,2037.565167951588,2040.5980411273629,2038.0986566545712,2039.4654959162146,2036.2108474674149,2035.6084548176582,2030.7626524377629,2031.6028516938509,2036.3804299870096,2036.4592016013191,2042.602677850353,2042.6827207091644,2042.7627715274382,2042.8428303059648,2042.9228970455367,2050.050966272482,2050.8897361746317,2052.7117383022332,2053.5489577494,2057.1147966817107,2057.1193256258052,2057.7304677464886,2060.9187409604333,2059.030047251633,2061.987564340425,2068.8863582160216,2067.220879555858,2072.7568009432766,2072.7597996993595,2073.4436359340903
2,4985.6,4980.286892757132,4995.817213796887,4998.464420160629,4995.97730078579,5000.3298611040855,4995.774936075609,4999.369706187162,5002.396666933109,5001.995650675794,4970.342390063089,4975.447709734095,5004.429789734691,5005.17831677656,5004.033404399757,5008.384899423621,5004.777301102189,5000.971937105333,5011.763381583864,5018.763792481606,5028.415876896525,5031.626172924283,5024.227815293005,5016.265587401722,5003.0000100105635,5017.403421085937,5016.271491273744,5028.591895835652,5021.397322903884,5008.709237378117,5034.863008045454,5042.259203346396,5042.456220866315,5043.410243236422,5043.793716821866,5051.758175563319,5050.817630007201,5045.136642913665,5038.700375272936,5051.21460668534,5068.085336365741,5063.354640793432,5078.331156720605,5077.009504151793,5084.405907239317,5090.096176036775,5094.651671754912,5096.171783636982,5087.081196811004,5089.547939319951,5101.483649707588,5102.053026754295,5104.708311450971,5099.594525101295,5093.912919878971,5101.495102818408,5095.246641636429,5098.663739790538,5090.527118668538,5089.021137044147,5076.906631094408,5079.007129234627,5090.951074967525,5091.148004003298,5106.506694625883,5106.7068017729125,5106.9069288185965,5107.107075764913,5107.307242613842,5125.127415681205,5127.224340436579,5131.779345755584,5133.8723943735,5142.786991704277,5142.798314064514,5144.3261693662225,5152.296852401085,5147.5751181290825,5154.968910851063,5172.215895540055,5168.052198889647,5181.892002358193,5181.8994992483995,5183.609089835227
3,9971.2,9960.573785514263,9991.634427593774,9996.928840321258,9991.95460157158,10000.659722208171,9991.549872151218,9998.739412374323,10004.793333866219,10003.991301351589,9940.684780126177,9950.89541946819,10008.859579469383,10010.35663355312,10008.066808799515,10016.769798847243,10009.554602204378,10001.943874210667,10023.526763167729,10037.527584963213,10056.83175379305,10063.252345848567,10048.45563058601,10032.531174803444,10006.000020021127,10034.806842171874,10032.542982547488,10057.183791671305,10042.794645807768,10017.418474756234,10069.726016090908,10084.518406692792,10084.91244173263,10086.820486472843,10087.587433643732,10103.516351126638,10101.635260014402,10090.27328582733,10077.400750545872,10102.42921337068,10136.170672731481,10126.709281586864,10156.66231344121,10154.019008303587,10168.811814478633,10180.19235207355,10189.303343509824,10192.343567273963,10174.162393622008,10179.095878639902,10202.967299415175,10204.10605350859,10209.416622901943,10199.18905020259,10187.825839757941,10202.990205636816,10190.493283272857,10197.327479581076,10181.054237337075,10178.042274088293,10153.813262188816,10158.014258469255,10181.90214993505,10182.296008006597,10213.013389251766,10213.413603545825,10213.813857637193,10214.214151529826,10214.614485227685,10250.25483136241,10254.448680873158,10263.558691511167,10267.744788747,10285.573983408554,10285.596628129028,10288.652338732445,10304.59370480217,10295.150236258165,10309.937821702126,10344.43179108011,10336.104397779294,10363.784004716386,10363.798998496799,10367.218179670454
4,14956.8,14940.860678271392,14987.451641390657,14995.393260481886,14987.931902357366,15000.989583312252,14987.324808226824,14998.109118561479,15007.190000799324,15005.986952027384,14911.027170189265,14926.343129202281,15013.289369204072,15015.534950329677,15012.10021319927,15025.15469827086,15014.331903306564,15002.915811315997,15035.29014475159,15056.291377444813,15085.247630689573,15094.878518772848,15072.68344587901,15048.796762205162,15009.000030031688,15052.210263257808,15048.814473821229,15085.775687506954,15064.19196871165,15026.12771213435,15104.589024136361,15126.777610039186,15127.36866259894,15130.230729709263,15131.381150465597,15155.274526689955,15152.452890021601,15135.409928740992,15116.101125818806,15153.64382005602,15204.25600909722,15190.063922380294,15234.993470161811,15231.028512455377,15253.217721717945,15270.288528110323,15283.955015264733,15288.515350910942,15261.243590433009,15268.643817959852,15304.45094912276,15306.159080262883,15314.124934352913,15298.783575303885,15281.738759636912,15304.485308455223,15285.739924909289,15295.991219371614,15271.581356005614,15267.063411132436,15230.719893283225,15237.021387703882,15272.853224902574,15273.444012009897,15319.520083877649,15320.120405318736,15320.720786455788,15321.321227294738,15321.921727841527,15375.382247043615,15381.673021309736,15395.338037266749,15401.6171831205,15428.360975112832,15428.394942193538,15432.978508098666,15456.89055720325,15442.725354387247,15464.906732553187,15516.647686620163,15504.156596668938,15545.676007074577,15545.698497745198,15550.827269505677
5,19942.4,19921.147571028527,19983.268855187547,19993.857680642515,19983.90920314316,20001.319444416342,19983.099744302435,19997.478824748647,20009.586667732437,20007.982602703178,19881.369560252355,19901.79083893638,20017.719158938766,20020.71326710624,20016.13361759903,20033.539597694486,20019.109204408756,20003.887748421334,20047.053526335458,20075.055169926425,20113.6635075861,20126.504691697133,20096.91126117202,20065.062349606887,20012.000040042254,20069.61368434375,20065.085965094975,20114.36758334261,20085.589291615535,20034.836949512468,20139.452032181816,20169.036813385585,20169.82488346526,20173.640972945686,20175.174867287464,20207.032702253277,20203.270520028804,20180.54657165466,20154.801501091744,20204.85842674136,20272.341345462963,20253.418563173727,20313.32462688242,20308.038016607174,20337.623628957266,20360.3847041471,20378.60668701965,20384.687134547927,20348.324787244015,20358.191757279805,20405.93459883035,20408.21210701718,20418.833245803886,20398.37810040518,20375.651679515882,20405.98041127363,20380.986566545715,20394.65495916215,20362.10847467415,20356.084548176586,20307.626524377632,20316.02851693851,20363.8042998701,20364.592016013194,20426.026778503532,20426.82720709165,20427.627715274386,20428.428303059653,20429.22897045537,20500.50966272482,20508.897361746316,20527.117383022334,20535.489577494,20571.14796681711,20571.193256258055,20577.30467746489,20609.18740960434,20590.30047251633,20619.87564340425,20688.86358216022,20672.20879555859,20727.568009432773,20727.597996993598,20734.436359340907
6,29877.6,29803.375674283052,29997.580683279426,29980.11959091007,30018.23960343967,30031.859117839238,29948.505558492754,30020.700446151248,30061.089530622263,30090.977705372705,29698.61012985668,29796.21914116334,30143.13240488556,30177.166147037122,30136.95451370642,30145.092556084943,30135.666530041883,30091.86289827359,30139.496308470574,30213.98076042167,30347.541796107238,30341.06041833193,30274.883937172788,30217.851266283928,30108.664903442506,30245.266636944012,30226.54999077975,30268.11945833581,30051.941189435478,29924.63089995872,30270.91985856786,30366.5636913658,30413.635680185824,30300.877012768582,30282.90469765406,30349.50943602327,30397.709850491236,30314.18287463101,30207.40012380287,30378.583338529483,30530.488152872822,30497.04770342984,30630.93887099038,30656.66359128389,30730.362703093782,30786.44938600996,30698.139203919105,30717.402316721647,30628.825858129145,30597.667950412717,30763.105838297328,30837.378801279123,30887.95708874557,30847.76076773009,30822.600099715684,30922.5662636274,30897.054375673593,30994.932870849552,30929.91435569619,30928.9415560584,30795.47733219326,30823.287679150053,30904.542837393834,30978.20757307036,31150.748848255826,31151.19908933664,31151.64937518943,31152.09970581864,31152.550081228736,31442.28800646324,31492.117978187925,31479.40001017948,31463.704344117876,31553.5224634883,31505.283701267086,31534.88445012544,31609.46303305879,31566.454159768055,31661.697546841096,31793.040337653172,31795.179016093738,31903.724729458758,31922.982400058077,32035.3445694364
7,49772.0,49583.50149314216,49980.86338065384,50098.92119481442,50091.548743109306,50015.51662921461,49946.462786208824,49980.99833244634,50022.251482995125,50141.107443925095,49764.54437928814,49924.76730493128,50447.913777315145,50506.04921300099,50350.456654172434,50343.895071620034,50320.600457074535,50276.57102920521,50331.72719441776,50453.70207546058,50699.04021672912,50752.030464673124,50666.77929628648,50555.43477423712,50360.55503035213,50492.77546257162,50476.20396036063,50427.428065459055,50173.359911894004,49924.29908783733,50316.782471317754,50485.59523798173,50567.788197587426,50431.92605593741,50445.68323985388,50522.04993766121,50578.811908695134,50537.651725383665,50357.61003174354,50690.624475696895,50991.86052064548,51023.30671782315,51198.69955956787,51213.55520898514,51284.01242901487,51343.62938342681,51377.23361373027,51289.84611350192,51132.3943657251,51022.28928927287,51204.99641415835,51398.20119231978,51537.306617256516,51428.110408623965,51440.14989323875,51721.182094598116,51692.071859665535,51870.786601807864,51843.968448372085,51855.04514172495,51748.2751558665,51750.898377973244,51800.698404820854,51882.30194983339,52215.41722521717,52215.66735915096,52215.91751795806,52216.16770164096,52216.41791020212,52678.626031989945,52810.493871875326,52889.87006303046,52923.71232263399,53032.30892153928,53012.58013846627,53093.47904482585,53303.1647239061,53248.16697102914,53239.70885841949,53388.266787971195,53453.232750277704,53641.869200434165,53712.777685337125,53989.878622047036
8,99544.0,99167.00298628432,99961.72676130768,100197.84238962884,100183.09748621861,100031.03325842922,99892.92557241765,99961.99666489268,100044.50296599025,100282.21488785019,99529.08875857628,99849.53460986256,100895.82755463029,101012.09842600198,100700.91330834487,100687.79014324007,100641.20091414907,100553.14205841042,100663.45438883553,100907.40415092115,101398.08043345824,101504.06092934625,101333.55859257295,101110.86954847423,100721.11006070426,100985.55092514324,100952.40792072126,100854.85613091811,100346.71982378801,99848.59817567466,100633.56494263551,100971.19047596346,101135.57639517485,100863.85211187482,100891.36647970777,101044.09987532243,101157.62381739027,101075.30345076733,100715.22006348708,101381.24895139379,101983.72104129096,102046.6134356463,102397.39911913573,102427.11041797028,102568.02485802973,102687.25876685361,102754.46722746054,102579.69222700383,102264.7887314502,102044.57857854574,102409.9928283167,102796.40238463956,103074.61323451303,102856.22081724793,102880.2997864775,103442.36418919623,103384.14371933107,103741.57320361573,103687.93689674417,103710.0902834499,103496.550311733,103501.79675594649,103601.39680964171,103764.60389966678,104430.83445043434,104431.33471830192,104431.83503591613,104432.33540328192,104432.83582040425,105357.25206397989,105620.98774375065,105779.74012606092,105847.42464526798,106064.61784307857,106025.16027693254,106186.9580896517,106606.3294478122,106496.33394205828,106479.41771683899,106776.53357594239,106906.46550055541,107283.73840086833,107425.55537067425,107979.75724409407
9,199184.0,198689.171161887,199983.87122186282,199867.4639394005,200121.5973562645,200212.39411892823,199656.70372328503,200138.00297434162,200407.26353748175,200606.51803581807,197990.73419904453,198641.46094108894,200954.2160325704,201181.10764691414,200913.03009137616,200967.28370723297,200904.44353361256,200612.41932182395,200929.97538980382,201426.5384028112,202316.9453073816,202273.7361222129,201832.55958115193,201452.34177522617,200724.43268961672,201635.11091296014,201510.333271865,201787.46305557207,200346.27459623653,199497.53933305817,201806.13239045237,202443.75794243868,202757.57120123884,202005.84675179058,201886.0313176937,202330.06290682184,202651.39900327494,202094.5524975401,201382.66749201913,202523.88892352988,203536.58768581878,203313.651356199,204206.2591399359,204377.757275226,204869.0846872919,205242.99590673312,204654.26135946077,204782.68211147768,204192.17238752765,203984.45300275146,205087.37225531554,205582.52534186086,205919.71392497048,205651.73845153395,205484.00066477127,206150.441757516,205980.36250449062,206632.8858056637,206199.42903797462,206192.94370705602,205303.18221462177,205488.58452766706,206030.28558262557,206521.38382046908,207671.6589883722,207674.66059557762,207677.66250126288,207680.66470545763,207683.66720819156,209615.25337642164,209947.45318791957,209862.66673452986,209758.0289607859,210356.81642325537,210035.2246751139,210232.5630008363,210729.75355372526,210443.02773178706,211077.98364560734,211953.6022510212,211967.86010729158,212691.49819639174,212819.88266705387,213568.96379624272
