,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,997.12,996.0573785514264,999.1634427593773,999.6928840321256,999.1954601571581,1000.0659722208168,999.1549872151218,999.8739412374324,1000.4793333866218,1000.3991301351587,994.0684780126177,995.089541946819,1000.8859579469383,1001.0356633553121,1000.8066808799516,1001.6769798847245,1000.9554602204377,1000.1943874210664,1002.3526763167732,1003.752758496321,1005.683175379305,1006.3252345848567,1004.8455630586008,1003.2531174803444,1000.6000020021124,1003.4806842171872,1003.2542982547487,1005.7183791671305,1004.2794645807768,1001.7418474756233,1006.9726016090906,1008.4518406692791,1008.4912441732628,1008.682048647284,1008.7587433643733,1010.3516351126635,1010.16352600144,1009.0273285827327,1007.7400750545868,1010.242921337068,1013.617067273148,1012.6709281586864,1015.6662313441208,1015.4019008303584,1016.881181447863,1018.0192352073548,1018.9303343509822,1019.234356727396,1017.4162393622006,1017.9095878639903,1020.2967299415174,1020.4106053508592,1020.9416622901939,1019.918905020259,1018.7825839757941,1020.2990205636812,1019.0493283272856,1019.7327479581073,1018.1054237337074,1017.8042274088292,1015.3813262188812,1015.8014258469252,1018.1902149935048,1018.2296008006597,1021.3013389251764,1021.3413603545822,1021.3813857637192,1021.4214151529824,1021.4614485227684,1025.025483136241,1025.444868087316,1026.3558691511166,1026.7744788747,1028.5573983408553,1028.5596628129026,1028.8652338732443,1030.4593704802166,1029.5150236258164,1030.9937821702124,1034.4431791080108,1033.6104397779288,1036.3784004716383,1036.3798998496798,1036.7218179670454,1033.7360591313002,1034.8761102983576,1034.1127068861383,1032.2973197241924,1030.970967500857,1028.0017711144544,1028.8770397233986,1028.396692887262,1028.5787334073377,1029.5592306565916,1026.5941000723003,1026.5698163010636,1024.5591553244428,1026.383297564409,1025.2966583933817
1,1994.24,1992.1147571028525,1998.3268855187546,1999.385768064252,1998.3909203143162,2000.1319444416336,1998.3099744302435,1999.7478824748648,2000.9586667732435,2000.7982602703173,1988.1369560252358,1990.179083893638,2001.7719158938767,2002.0713267106241,2001.613361759903,2003.353959769449,2001.9109204408755,2000.3887748421328,2004.7053526335465,2007.505516992642,2011.3663507586105,2012.6504691697128,2009.6911261172013,2006.5062349606885,2001.2000040042249,2006.9613684343744,2006.5085965094968,2011.436758334261,2008.5589291615527,2003.4836949512467,2013.945203218181,2016.9036813385583,2016.9824883465253,2017.364097294568,2017.5174867287467,2020.703270225327,2020.32705200288,2018.0546571654647,2015.4801501091736,2020.485842674136,2027.234134546296,2025.3418563173725,2031.3324626882413,2030.8038016607168,2033.762362895726,2036.0384704147089,2037.8606687019644,2038.468713454792,2034.8324787244007,2035.8191757279806,2040.5934598830347,2040.8212107017184,2041.8833245803885,2039.837810040518,2037.5651679515881,2040.5980411273624,2038.0986566545712,2039.4654959162146,2036.2108474674149,2035.6084548176584,2030.7626524377627,2031.6028516938507,2036.3804299870096,2036.4592016013198,2042.602677850353,2042.6827207091644,2042.7627715274384,2042.8428303059648,2042.9228970455367,2050.050966272482,2050.889736174632,2052.711738302233,2053.5489577494,2057.1147966817107,2057.119325625805,2057.7304677464886,2060.9187409604333,2059.030047251633,2061.9875643404253,2068.8863582160216,2067.2208795558577,2072.7568009432766,2072.7597996993595,2073.4436359340907,2067.4721182626004,2069.752220596716,2068.2254137722766,2064.594639448385,2061.9419350017133,2056.0035422289084,2057.7540794467973,2056.7933857745247,2057.1574668146754,2059.118461313183,2053.188200144601,2053.139632602128,2049.1183106488857,2052.766595128818,2050.593316786764
2,4985.6,4980.286892757132,4995.817213796887,4998.464420160629,4995.97730078579,5000.329861104086,4995.774936075609,4999.369706187162,5002.396666933109,5001.995650675794,4970.342390063089,4975.447709734095,5004.429789734691,5005.17831677656,5004.033404399757,5008.384899423621,5004.777301102189,5000.971937105333,5011.763381583864,5018.763792481606,5028.415876896525,5031.626172924282,5024.227815293005,5016.265587401722,5003.0000100105635,5017.403421085937,5016.271491273744,5028.5918958356515,5021.397322903884,5008.709237378117,5034.863008045454,5042.259203346396,5042.456220866315,5043.4102432364225,5043.793716821866,5051.758175563319,5050.817630007201,5045.136642913665,5038.700375272936,5051.21460668534,5068.085336365741,5063.354640793432,5078.331156720605,5077.009504151793,5084.405907239318,5090.0961760367745,5094.651671754912,5096.171783636982,5087.081196811004,5089.547939319951,5101.483649707588,5102.053026754295,5104.708311450971,5099.594525101295,5093.912919878971,5101.495102818408,5095.246641636429,5098.663739790538,5090.527118668539,5089.021137044147,5076.906631094408,5079.007129234627,5090.951074967525,5091.1480040032975,5106.506694625883,5106.706801772913,5106.9069288185965,5107.107075764913,5107.307242613842,5125.127415681205,5127.224340436579,5131.7793457555845,5133.872394373499,5142.786991704277,5142.798314064514,5144.326169366223,5152.296852401085,5147.575118129082,5154.968910851063,5172.215895540055,5168.052198889647,5181.892002358193,5181.8994992484,5183.609089835227,5168.680295656503,5174.3805514917885,5170.563534430692,5161.486598620962,5154.854837504284,5140.008855572271,5144.385198616994,5141.983464436311,5142.893667036688,5147.796153282958,5132.970500361504,5132.849081505319,5122.795776622215,5131.916487822046,5126.483291966909
3,9971.2,9960.573785514263,9991.634427593774,9996.928840321258,9991.95460157158,10000.659722208173,9991.549872151218,9998.739412374323,10004.793333866219,10003.991301351589,9940.684780126176,9950.89541946819,10008.859579469383,10010.35663355312,10008.066808799516,10016.769798847243,10009.554602204378,10001.943874210669,10023.526763167729,10037.527584963213,10056.83175379305,10063.252345848568,10048.45563058601,10032.531174803444,10006.000020021127,10034.806842171874,10032.542982547488,10057.183791671303,10042.794645807768,10017.418474756234,10069.726016090908,10084.518406692792,10084.91244173263,10086.820486472845,10087.587433643732,10103.516351126638,10101.635260014402,10090.273285827328,10077.400750545872,10102.42921337068,10136.17067273148,10126.709281586864,10156.66231344121,10154.019008303587,10168.811814478631,10180.192352073549,10189.303343509824,10192.343567273963,10174.162393622008,10179.095878639902,10202.967299415175,10204.10605350859,10209.416622901945,10199.18905020259,10187.82583975794,10202.990205636816,10190.493283272857,10197.327479581076,10181.054237337077,10178.042274088291,10153.813262188816,10158.014258469257,10181.90214993505,10182.296008006595,10213.013389251766,10213.413603545823,10213.813857637193,10214.214151529826,10214.614485227685,10250.25483136241,10254.448680873158,10263.558691511169,10267.744788746999,10285.573983408554,10285.596628129028,10288.652338732443,10304.59370480217,10295.150236258163,10309.937821702126,10344.43179108011,10336.104397779294,10363.784004716386,10363.7989984968,10367.218179670454,10337.360591313005,10348.76110298358,10341.127068861384,10322.973197241923,10309.709675008568,10280.017711144543,10288.770397233988,10283.966928872622,10285.787334073377,10295.592306565915,10265.941000723004,10265.698163010638,10245.59155324443,10263.832975644093,10252.966583933818
4,14956.8,14940.860678271392,14987.451641390657,14995.393260481887,14987.931902357366,15000.989583312252,14987.324808226824,14998.109118561479,15007.190000799324,15005.986952027382,14911.027170189265,14926.34312920228,15013.289369204072,15015.534950329675,15012.100213199268,15025.154698270859,15014.331903306565,15002.915811315996,15035.290144751592,15056.291377444812,15085.247630689573,15094.87851877285,15072.683445879009,15048.796762205162,15009.000030031688,15052.210263257808,15048.814473821229,15085.775687506954,15064.19196871165,15026.12771213435,15104.58902413636,15126.777610039187,15127.368662598941,15130.230729709265,15131.381150465595,15155.274526689956,15152.4528900216,15135.409928740992,15116.101125818806,15153.643820056019,15204.256009097217,15190.063922380294,15234.993470161811,15231.028512455376,15253.217721717945,15270.288528110324,15283.955015264732,15288.515350910942,15261.243590433009,15268.643817959852,15304.450949122758,15306.159080262883,15314.124934352913,15298.783575303883,15281.738759636912,15304.485308455225,15285.739924909287,15295.991219371614,15271.581356005612,15267.063411132436,15230.719893283225,15237.021387703882,15272.853224902574,15273.444012009895,15319.520083877649,15320.120405318736,15320.720786455788,15321.321227294738,15321.921727841529,15375.382247043615,15381.673021309736,15395.338037266749,15401.617183120501,15428.360975112832,15428.394942193538,15432.978508098668,15456.890557203247,15442.725354387248,15464.906732553189,15516.647686620163,15504.156596668938,15545.676007074575,15545.698497745198,15550.827269505677,15506.0408869695,15523.141654475363,15511.690603292069,15484.45979586288,15464.564512512849,15420.026566716811,15433.155595850982,15425.950393308933,15428.681001110066,15443.388459848871,15398.911501084507,15398.547244515958,15368.387329866642,15395.749463466138,15379.449875900726
5,19942.4,19921.147571028527,19983.268855187547,19993.857680642515,19983.90920314316,20001.319444416346,19983.099744302435,19997.478824748647,20009.586667732437,20007.982602703178,19881.369560252355,19901.79083893638,20017.719158938766,20020.71326710624,20016.13361759903,20033.539597694486,20019.10920440876,20003.887748421334,20047.053526335458,20075.055169926425,20113.6635075861,20126.50469169713,20096.91126117202,20065.062349606887,20012.00004004225,20069.61368434375,20065.085965094968,20114.36758334261,20085.58929161553,20034.836949512468,20139.452032181816,20169.036813385585,20169.82488346526,20173.64097294569,20175.174867287464,20207.03270225328,20203.270520028804,20180.546571654657,20154.801501091744,20204.85842674136,20272.341345462963,20253.418563173727,20313.32462688242,20308.038016607174,20337.623628957263,20360.384704147098,20378.606687019652,20384.687134547927,20348.324787244008,20358.191757279805,20405.93459883035,20408.21210701718,20418.833245803893,20398.37810040518,20375.65167951588,20405.98041127363,20380.986566545715,20394.65495916215,20362.10847467415,20356.084548176583,20307.626524377632,20316.02851693851,20363.8042998701,20364.5920160132,20426.02677850353,20426.82720709165,20427.627715274386,20428.428303059653,20429.22897045537,20500.50966272482,20508.89736174632,20527.11738302233,20535.489577493998,20571.14796681711,20571.193256258048,20577.30467746489,20609.18740960434,20590.30047251633,20619.87564340425,20688.86358216022,20672.208795558592,20727.568009432773,20727.5979969936,20734.436359340907,20674.72118262601,20697.52220596716,20682.254137722768,20645.946394483846,20619.41935001713,20560.035422289082,20577.54079446797,20567.93385774524,20571.57466814675,20591.184613131827,20531.882001446007,20531.39632602128,20491.18310648885,20527.665951288185,20505.93316786763
6,29877.6,29803.37567428305,29997.580683279422,29980.119590910068,30018.23960343967,30031.859117839238,29948.505558492754,30020.70044615125,30061.089530622266,30090.977705372705,29698.61012985668,29796.21914116334,30143.13240488556,30177.16614703712,30136.95451370642,30145.092556084946,30135.66653004189,30091.86289827359,30139.496308470567,30213.98076042167,30347.54179610724,30341.060418331934,30274.883937172788,30217.851266283928,30108.664903442506,30245.26663694401,30226.54999077975,30268.119458335805,30051.941189435478,29924.63089995872,30270.91985856786,30366.5636913658,30413.635680185824,30300.877012768586,30282.904697654063,30349.50943602326,30397.70985049124,30314.18287463101,30207.400123802872,30378.583338529483,30530.488152872822,30497.04770342984,30630.93887099038,30656.663591283886,30730.362703093786,30786.44938600996,30698.1392039191,30717.40231672165,30628.825858129145,30597.66795041272,30763.105838297328,30837.378801279126,30887.957088745567,30847.760767730088,30822.600099715684,30922.566263627403,30897.054375673593,30994.932870849552,30929.914355696183,30928.9415560584,30795.477332193263,30823.287679150053,30904.542837393838,30978.207573070362,31150.748848255826,31151.199089336635,31151.649375189434,31152.099705818637,31152.550081228736,31442.288006463237,31492.117978187925,31479.40001017948,31463.70434411788,31553.5224634883,31505.28370126709,31534.88445012544,31609.46303305879,31566.45415976805,31661.697546841093,31793.04033765317,31795.17901609373,31903.724729458765,31922.98240005808,32035.3445694364,31904.640363593106,31962.01722580331,31928.68103979788,31819.30161084862,31751.722036725387,31622.175010815547,31695.053926037184,31688.068569383628,31713.926133027955,31775.652113388365,31646.007452765738,31579.54228328134,31398.176109069303,31577.934191547094,31389.257233529683
7,49772.0,49583.50149314216,49980.863380653835,50098.921194814415,50091.548743109306,50015.51662921461,49946.46278620882,49980.99833244634,50022.251482995125,50141.107443925095,49764.544379288134,49924.76730493128,50447.913777315145,50506.04921300099,50350.456654172434,50343.89507162003,50320.60045707453,50276.57102920522,50331.72719441776,50453.702075460584,50699.04021672912,50752.03046467312,50666.779296286484,50555.43477423712,50360.55503035213,50492.77546257162,50476.20396036063,50427.428065459055,50173.359911894004,49924.29908783733,50316.78247131776,50485.59523798173,50567.78819758743,50431.92605593741,50445.683239853875,50522.04993766121,50578.811908695134,50537.65172538367,50357.610031743534,50690.624475696895,50991.86052064548,51023.306717823165,51198.69955956788,51213.555208985126,51284.01242901488,51343.629383426814,51377.23361373027,51289.84611350192,51132.3943657251,51022.28928927287,51204.99641415835,51398.201192319786,51537.30661725652,51428.110408623965,51440.14989323875,51721.182094598116,51692.071859665535,51870.78660180785,51843.96844837209,51855.04514172495,51748.275155866504,51750.89837797325,51800.69840482085,51882.30194983339,52215.41722521717,52215.66735915097,52215.91751795806,52216.16770164097,52216.41791020212,52678.626031989945,52810.49387187533,52889.87006303046,52923.71232263398,53032.308921539276,53012.58013846627,53093.47904482585,53303.164723906106,53248.16697102914,53239.70885841949,53388.2667879712,53453.2327502777,53641.86920043417,53712.77768533713,53989.87862204704,53743.684775530506,53848.2985411993,53782.27140520455,53687.83185561177,53603.36411814265,53358.93277776392,53603.361360430645,53490.54540518619,53628.46347546824,53802.725164058385,53557.38473731028,53390.96818097744,53159.829645252285,53441.387737513396,53253.44171100828
8,99544.0,99167.00298628432,99961.72676130767,100197.84238962883,100183.0974862186,100031.03325842922,99892.92557241763,99961.99666489268,100044.50296599024,100282.21488785019,99529.08875857627,99849.53460986256,100895.82755463028,101012.09842600198,100700.91330834488,100687.79014324008,100641.20091414909,100553.14205841043,100663.45438883553,100907.40415092117,101398.08043345824,101504.06092934623,101333.55859257297,101110.86954847423,100721.11006070426,100985.55092514324,100952.40792072126,100854.85613091812,100346.71982378801,99848.59817567466,100633.56494263552,100971.19047596346,101135.57639517484,100863.85211187482,100891.36647970775,101044.09987532244,101157.62381739027,101075.30345076733,100715.22006348707,101381.2489513938,101983.72104129096,102046.61343564633,102397.39911913572,102427.11041797027,102568.02485802972,102687.2587668536,102754.46722746054,102579.69222700383,102264.7887314502,102044.57857854574,102409.9928283167,102796.40238463957,103074.61323451305,102856.22081724793,102880.2997864775,103442.36418919623,103384.14371933107,103741.57320361573,103687.93689674416,103710.0902834499,103496.55031173301,103501.79675594649,103601.39680964172,103764.60389966678,104430.83445043434,104431.33471830194,104431.83503591613,104432.33540328193,104432.83582040425,105357.25206397989,105620.98774375065,105779.74012606092,105847.42464526797,106064.61784307855,106025.16027693254,106186.9580896517,106606.32944781221,106496.33394205828,106479.417716839,106776.5335759424,106906.4655005554,107283.73840086831,107425.55537067424,107979.75724409409,107487.369551061,107696.5970823986,107564.5428104091,107375.66371122352,107206.7282362853,106717.86555552784,107206.72272086127,106981.09081037238,107256.92695093648,107605.45032811676,107114.76947462055,106781.93636195484,106319.65929050457,106882.77547502678,106506.88342201653
9,199184.0,198689.171161887,199983.87122186282,199867.4639394005,200121.59735626448,200212.39411892823,199656.70372328503,200138.0029743416,200407.26353748172,200606.5180358181,197990.73419904453,198641.4609410889,200954.2160325704,201181.10764691414,200913.03009137613,200967.28370723297,200904.44353361253,200612.41932182395,200929.97538980388,201426.53840281122,202316.9453073816,202273.7361222129,201832.559581152,201452.34177522614,200724.43268961672,201635.1109129601,201510.333271865,201787.46305557207,200346.27459623653,199497.53933305817,201806.13239045237,202443.75794243868,202757.57120123887,202005.8467517905,201886.0313176937,202330.06290682184,202651.39900327488,202094.5524975401,201382.66749201913,202523.88892352988,203536.58768581878,203313.6513561989,204206.2591399359,204377.757275226,204869.0846872919,205242.99590673312,204654.26135946077,204782.68211147765,204192.17238752765,203984.45300275146,205087.37225531554,205582.52534186086,205919.71392497048,205651.73845153395,205484.0006647713,206150.441757516,205980.36250449065,206632.8858056637,206199.42903797465,206192.94370705602,205303.1822146217,205488.58452766703,206030.2855826256,206521.38382046905,207671.6589883722,207674.66059557762,207677.66250126288,207680.66470545766,207683.6672081916,209615.25337642164,209947.4531879196,209862.66673452983,209758.0289607859,210356.8164232553,210035.22467511392,210232.5630008363,210729.75355372528,210443.02773178704,211077.98364560734,211953.60225102122,211967.8601072916,212691.4981963917,212819.88266705387,213568.96379624272,212697.60242395406,213080.11483868878,212857.87359865254,212128.67740565765,211678.14691150267,210814.50007210366,211300.35950691468,211253.79046255755,211426.17422018645,211837.68075592245,210973.38301843827,210530.28188854226,209321.17406046198,210519.56127698068,209261.71489019788
