,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1038.395354126227,1038.3708619411423,1036.3429446007144,1038.1827424198632,1037.0867772405825
1,2076.790708252454,2076.7417238822845,2072.685889201429,2076.3654848397264,2074.173554481165
2,5191.976770631136,5191.854309705713,5181.7147230035725,5190.913712099317,5185.433886202914
3,10383.953541262272,10383.708619411425,10363.429446007145,10381.827424198635,10370.867772405829
4,15575.930311893404,15575.562929117134,15545.144169010713,15572.741136297947,15556.301658608736
5,20767.907082524544,20767.41723882285,20726.85889201429,20763.65484839727,20741.735544811658
6,32158.93967398833,32091.672781455545,31908.118913400394,32090.045292430703,31899.0924556769
7,54524.67880934912,54356.029186956606,54121.789111152866,54407.12529997783,54216.657313506206
8,109049.35761869821,108712.0583739132,108243.57822230572,108814.25059995566,108433.31462701238
9,214392.93115992215,213944.4852097036,212720.79275600263,213933.6352828713,212660.6163711793
10,214392.93115992215,213944.4852097036,212720.79275600263,213933.6352828713,212660.6163711793
11,107196.46557996108,106972.2426048518,106360.39637800131,106966.81764143566,106330.30818558965
12,52641.617136616085,52579.99087583816,52443.13207092121,52583.85387049299,52427.155287467656
13,32714.80728560947,32613.617512173965,32473.07346669172,32644.275179986704,32529.994388103725
14,21439.29311599221,21394.44852097035,21272.07927560026,21393.363528287126,21266.06163711792
15,15575.930311893404,15575.562929117134,15545.144169010713,15572.741136297947,15556.301658608736
16,10528.323427323212,10515.998175167624,10488.626414184233,10516.770774098593,10485.431057493526
17,5476.371429229176,5458.250382936009,5433.634083188151,5468.301237792829,5459.103188423992
18,2143.9293115992223,2139.4448520970363,2127.207927560027,2139.3363528287136,2126.6061637117937
19,1071.9646557996111,1069.7224260485182,1063.6039637800136,1069.6681764143568,1063.3030818558968
20,1052.8323427323216,1051.5998175167633,1048.8626414184243,1051.6770774098602,1048.5431057493533
21,2105.6646854646438,2103.199635033527,2097.7252828368487,2103.35415481972,2097.0862114987067
22,5452.467880934911,5435.60291869566,5412.178911115287,5440.712529997783,5421.66573135062
23,10952.742858458343,10916.500765872013,10867.268166376292,10936.602475585649,10918.206376847978
24,16079.469836994158,16045.836390727767,15954.059456700194,16045.022646215344,15949.546227838444
25,20767.907082524544,20767.41723882285,20726.85889201429,20763.65484839727,20741.735544811658
26,32158.93967398833,32091.672781455545,31908.118913400394,32090.045292430703,31899.0924556769
27,54524.67880934912,54356.029186956606,54121.789111152866,54407.12529997783,54216.657313506206
28,109049.35761869821,108712.0583739132,108243.57822230572,108814.25059995566,108433.31462701238
29,218098.71523739642,217424.1167478264,216487.15644461144,217628.50119991132,216866.62925402477
30,214392.93115992215,213944.4852097036,212720.79275600263,213933.6352828713,212660.6163711793
31,109049.35761869821,108712.0583739132,108243.57822230572,108814.25059995566,108433.31462701238
32,54763.71429229173,54582.50382936008,54336.34083188148,54683.012377928266,54591.03188423991
33,32858.228575375055,32749.502297616065,32601.804499128906,32809.807426756975,32754.619130543953
34,21809.871523739643,21742.41167478264,21648.715644461146,21762.850119991133,21686.66292540248
35,16079.469836994158,16045.836390727767,15954.059456700194,16045.022646215344,15949.546227838444
36,10719.646557996108,10697.224260485178,10636.039637800131,10696.681764143565,10633.030818558964
37,5476.371429229176,5458.250382936009,5433.634083188151,5468.301237792829,5459.103188423992
