,2017/11/24,2017/11/27,2017/11/28,2017/11/29,2017/11/30,2017/12/1,2017/12/4,2017/12/5,2017/12/6,2017/12/7,2017/12/8
0,1000,1000.1024,1000.205071,1000.310022,1000.415265,1000.520939,1000.625523,1000.728828,1000.831252,1000.931215,1001.033941
1,2000,2000.2048,2000.410141,2000.620044,2000.830529,2001.041877,2001.251046,2001.457655,2001.662504,2001.86243,2002.067881
2,5000,5000.512,5001.025353,5001.55011,5002.076323,5002.604693,5003.127615,5003.644138,5004.156261,5004.656076,5005.169704
3,10000,10001.024,10002.05071,10003.10022,10004.15265,10005.20939,10006.25523,10007.28828,10008.31252,10009.31215,10010.33941
4,15000,15001.536,15003.07606,15004.65033,15006.22897,15007.81408,15009.38284,15010.93241,15012.46878,15013.96823,15015.50911
5,20000,20002.048,20004.10141,20006.20044,20008.30529,20010.41877,20012.51046,20014.57655,20016.62504,20018.6243,20020.67881
6,29875.7424,29790.97651,29853.56678,29856.16001,29830.57261,29802.193,29835.58644,29815.35065,29740.83204,29727.55562,29765.23141
7,49781.216,49431.44009,49636.87255,49684.38407,49491.50965,49499.81544,49583.65947,49518.44697,49230.19278,49185.57009,49324.89604
8,99562.432,98862.88018,99273.7451,99368.76815,98983.0193,98999.63089,99167.31895,99036.89395,98460.38556,98371.14018,98649.79209
9,199171.52,198593.8958,198989.3101,199008.7398,198810.7317,198625.2946,198854.9581,198728.3343,198229.2223,198123.9488,198380.627
10,199171.52,198593.8958,198989.3101,199008.7398,198810.7317,198625.2946,198854.9581,198728.3343,198229.2223,198123.9488,198380.627
11,99585.76,99296.94789,99494.65504,99504.36988,99405.36584,99312.64732,99427.47904,99364.16714,99114.61114,99061.97438,99190.3135
12,49831.208,49793.72108,49782.79124,49776.62143,49795.38663,49785.39018,49818.24678,49823.15362,49848.76651,49850.66122,49861.97229
13,29867.6352,29653.73406,29777.70196,29805.76124,29688.31392,29693.27401,29744.15168,29706.64757,29531.85288,29503.03453,29589.2714
14,19917.1616,19858.17729,19895.52708,19897.6788,19875.1557,19856.9914,19880.64913,19868.80828,19818.67442,19806.49684,19832.69667
15,15000,15001.536,15003.07606,15004.65033,15006.22897,15007.81408,15009.38284,15010.93241,15012.46878,15013.96823,15015.50911
16,9966.2416,9958.744215,9956.558249,9955.324286,9959.077326,9957.078035,9963.649356,9964.630724,9969.753301,9970.132245,9972.394459
17,4977.5384,4933.652048,4958.623694,4965.957566,4938.561199,4941.807431,4951.788627,4942.438986,4905.150683,4900.127808,4916.574074
