,2017/11/24,2017/11/27,2017/11/28,2017/11/29,2017/11/30,2017/12/1,2017/12/4,2017/12/5,2017/12/6,2017/12/7,2017/12/8
0,1000,1000.1024,1000.205071,1000.310022,1000.415265,1000.520939,1000.625523,1000.728828,1000.831252,1000.931215,1001.033941
1,2000,2000.2048,2000.410141,2000.620044,2000.830529,2001.041877,2001.251046,2001.457655,2001.662504,2001.86243,2002.067881
2,5000,5000.512,5001.025353,5001.55011,5002.076323,5002.604693,5003.127615,5003.644138,5004.156261,5004.656076,5005.169704
3,10000,10001.024,10002.05071,10003.10022,10004.15265,10005.20939,10006.25523,10007.28828,10008.31252,10009.31215,10010.33941
4,15000,15001.536,15003.07606,15004.65033,15006.22897,15007.81408,15009.38284,15010.93241,15012.46878,15013.96823,15015.50911
5,20000,20002.048,20004.10141,20006.20044,20008.30529,20010.41877,20012.51046,20014.57655,20016.62504,20018.6243,20020.67881
6,30000,29915.23411,29977.82438,29980.41761,29954.83021,29926.4506,29959.84404,29939.60825,29865.08964,29851.81322,29889.48901
7,50000,49650.22409,49855.65655,49903.16807,49710.29365,49718.59944,49802.44347,49737.23097,49448.97678,49404.35409,49543.68004
8,100000,99300.44818,99711.3131,99806.33615,99420.5873,99437.19889,99604.88695,99474.46195,98897.95356,98808.70818,99087.36009
9,200000,199422.3758,199817.7901,199837.2198,199639.2117,199453.7746,199683.4381,199556.8143,199057.7023,198952.4288,199209.107
10,200000,199422.3758,199817.7901,199837.2198,199639.2117,199453.7746,199683.4381,199556.8143,199057.7023,198952.4288,199209.107
11,100000,99711.18789,99908.89504,99918.60988,99819.60584,99726.88732,99841.71904,99778.40714,99528.85114,99476.21438,99604.5535
12,50000,49962.51308,49951.58324,49945.41343,49964.17863,49954.18218,49987.03878,49991.94562,50017.55851,50019.45322,50030.76429
13,30000,29786.09886,29910.06676,29938.12604,29820.67872,29825.63881,29876.51648,29839.01237,29664.21768,29635.39933,29721.6362
14,20000,19941.01569,19978.36548,19980.5172,19957.9941,19939.8298,19963.48753,19951.64668,19901.51282,19889.33524,19915.53507
15,15000,15001.536,15003.07606,15004.65033,15006.22897,15007.81408,15009.38284,15010.93241,15012.46878,15013.96823,15015.50911
16,10000,9992.502615,9990.316649,9989.082686,9992.835726,9990.836435,9997.407756,9998.389124,10003.5117,10003.89064,10006.15286
17,5000,4956.113648,4981.085294,4988.419166,4961.022799,4964.269031,4974.250227,4964.900586,4927.612283,4922.589408,4939.035674
18,2000,1994.101569,1997.836548,1998.05172,1995.79941,1993.98298,1996.348753,1995.164668,1990.151282,1988.933524,1991.553507
