,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1009.375502948089,1009.4724938401673,1009.5639722375591,1009.6557718895547,1009.7583327228632
1,2018.7510058961773,2018.944987680334,2019.1279444751176,2019.3115437791087,2019.5166654457257
2,5046.877513739651,5047.362468199945,5047.8198601868135,5048.2788584467,5048.791662613141
3,10093.755029480892,10094.724938401674,10095.639722375592,10096.557718895549,10097.583327228635
4,15140.632544221335,15142.087407602508,15143.459583563385,15144.836578343318,15146.374990842947
5,20187.510058961783,20189.449876803348,20191.279444751184,20193.115437791097,20195.16665445727
6,31281.935509573646,31180.758283138413,31058.658401685203,31240.20920566495,31318.63014695684
7,52277.22677535365,52094.52176531749,51779.24064332455,52138.34925668981,52302.665351749776
8,104554.45353051963,104189.04351051789,103558.48126665375,104276.6984932456,104605.33068330208
9,208609.76203887752,207924.6067552921,207099.43545178886,208328.83053252596,208855.08246197735
10,208609.76203887752,207924.6067552921,207099.43545178886,208328.83053252596,208855.08246197735
11,104304.88101943876,103962.30337764605,103549.71772589443,104164.41526626298,104427.54123098867
12,51172.37935942086,51141.85458081462,51069.056828140005,51152.33230429583,51201.31544399348
13,31913.780534943573,31802.244251315053,31609.773970186106,31828.99970540721,31929.310072264212
14,20864.095965732948,20794.834355106068,20711.971104658685,20835.844022830643,20888.83093523543
15,15140.632544221335,15142.087407602508,15143.459583563385,15144.836578343318,15146.374990842947
16,10234.47587188417,10228.37091616292,10213.811365627997,10230.466460859163,10240.263088798692
17,5385.192538508725,5351.137032570168,5316.0155715447745,5342.392583936953,5353.735042717992
18,2086.409596573295,2079.4834355106063,2071.1971104658683,2083.5844022830643,2088.883093523543
19,1043.2047982866477,1039.7417177553034,1035.5985552329344,1041.7922011415324,1044.4415467617716
20,1023.543304636886,1022.9301153151611,1021.4709252887404,1023.135972371713,1024.1297868074698
21,2047.0866102758528,2045.860231631803,2042.9418515775333,2046.271945745109,2048.2595746175944
22,5318.963422490595,5300.374041885841,5268.2956616976835,5304.8332842345335,5321.551678710701
23,10771.479249101949,10704.335778794766,10633.489399265962,10685.809461637657,10708.061036832194
24,15640.96775478682,15590.379141569205,15529.329200842598,15620.10460283247,15659.315073478414
