,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,29924.035200000002,29865.385817194165,29960.030976147485,29936.097666431044,29912.97384539636,29913.616816857862,30010.014924106366,30062.20648043017,30129.219366052483,30192.09573807408,30145.756025599214,30167.418816539463,30260.243183859144,30284.45969155176,30267.00862480073,30293.117285307435,30288.13994710685,30300.039581566,30267.657935856314,30268.97309599848,30302.359385276457,30381.366751281195,30405.97612337416,30348.777635070892,30316.6492965763,30384.37107801932,30377.459648616445,30348.427490284845,30167.002269805736,30000.065011336366,30115.4205435053,30131.41240626362,30181.38209366976,30114.981476235123,29999.9788828935,29999.9788828935,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824,29940.330016954824
1,49811.784,49678.14301102321,49909.37893308873,49826.96574534805,49768.08930072045,49773.685361402044,49998.73031283887,50117.037893717585,50267.4483280077,50420.16708822965,50286.41382245866,50325.72858907407,50521.80257952399,50586.997606201716,50532.76327784633,50602.60075249987,50594.809742197016,50596.63164219237,50518.3682349291,50525.92491422752,50570.172596015735,50756.11531480073,50788.00483353091,50638.1263179749,50553.399271473005,50707.61866484422,50687.30241369381,50636.3564316446,50196.594342984296,49848.33722298182,50131.84008864287,50149.80566729385,50262.44246564756,50078.796969075185,49828.1930415075,49828.1930415075,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394,49677.09600299394
2,99623.568,99356.28602204642,99818.75786617746,99653.9314906961,99536.1786014409,99547.37072280409,99997.46062567773,100234.07578743517,100534.8966560154,100840.3341764593,100572.82764491731,100651.45717814814,101043.60515904798,101173.99521240343,101065.52655569266,101205.20150499974,101189.61948439403,101193.26328438474,101036.7364698582,101051.84982845504,101140.34519203147,101512.23062960146,101576.00966706182,101276.2526359498,101106.79854294601,101415.23732968845,101374.60482738762,101272.7128632892,100393.18868596859,99696.67444596364,100263.68017728574,100299.6113345877,100524.88493129512,100157.59393815037,99656.386083015,99656.386083015,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788,99354.19200598788
3,199491.05599999998,199091.41059725097,199730.31916305283,199570.82124334594,199417.20138446984,199418.25080033898,200076.9643733626,200427.37628109602,200890.0159414034,201305.18312740745,200999.42858774684,201134.01564498787,201763.4370552136,201920.75956085196,201794.8255963276,201968.99828984455,201937.34834784025,202017.2648494606,201800.91656297553,201794.0271213757,202022.4280100825,202565.32367555244,202734.3279645876,202346.18030713504,202135.87964390623,202593.65446213388,202550.2270161299,202334.66565906172,201102.98082443484,199970.06321010052,200755.285393931,200870.25723238313,201203.73605747358,200753.52948924847,199974.87686666485,199974.87686666485,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976
4,199491.05599999998,199091.41059725097,199730.31916305283,199570.82124334594,199417.20138446984,199418.25080033898,200076.9643733626,200427.37628109602,200890.0159414034,201305.18312740745,200999.42858774684,201134.01564498787,201763.4370552136,201920.75956085196,201794.8255963276,201968.99828984455,201937.34834784025,202017.2648494606,201800.91656297553,201794.0271213757,202022.4280100825,202565.32367555244,202734.3279645876,202346.18030713504,202135.87964390623,202593.65446213388,202550.2270161299,202334.66565906172,201102.98082443484,199970.06321010052,200755.285393931,200870.25723238313,201203.73605747358,200753.52948924847,199974.87686666485,199974.87686666485,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976,199577.19229462976
5,99746.78399999999,99551.28605731388,99866.76992049161,99786.9922214368,99709.91281798785,99712.05605619287,100033.38308035454,100207.35493476722,100430.73122017493,100640.31912691359,100485.85341866405,100558.0627217982,100867.47727953046,100948.19897183919,100890.02874933573,100977.05761769143,100960.46649035615,101000.13193855333,100892.19311952102,100896.57698666159,101007.86461758817,101271.22250427064,101353.25374458052,101162.59211690296,101055.49765525432,101281.23692673107,101258.19882872148,101161.42496761614,100556.6742326858,100000.21670445455,100384.73514501766,100438.04135421207,100604.60697889919,100383.27158745039,99999.92960964498,99999.92960964498,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715,99801.31967884715
6,49935.00000000001,49874.74489259818,49964.01940559598,49954.97939196351,49917.226384389855,49912.92546124106,50020.604591108284,50066.29295445987,50142.33919656242,50195.489825737735,50165.25518234298,50176.01330826423,50262.775228830404,50280.09852577892,50257.335351891736,50284.14664442384,50274.462669037304,50288.34711945594,50265.26099023865,50253.5562225869,50290.727499196546,50379.87327534116,50406.704865836036,50350.26644993377,50321.26614051252,50382.22543698127,50381.79282443314,50340.183558565266,50179.146037616534,50009.81540568847,50112.50436154121,50130.18256657303,50177.1192330511,50134.169605565134,50082.68294112639,50120.436249392704,50215.48216955753,50208.47141585607,50232.82211512615,50381.27791351033,50420.75402608323,50382.546790034416,50423.629393871575,50411.57719944212,50415.40753781099,50358.67166700082,50288.98882510497,50262.17388370647,50235.881590543526,50231.160905149314,50294.96634359138,50345.59816484741,50352.78449099472,50319.49373782419,50284.834792438094,50348.27893083973,50320.529927880874,50385.428408054446,50381.42004936364,50346.83140360293,50245.82258116003,50281.250512592465,50338.801293341516,50352.186210681495,50333.67906118304,50333.67906118304,50333.67906118304,50333.67906118304,50333.67906118304,50636.661407616615,50641.05218623553,50588.83487567497,50618.4945055472,50656.92953176409,50668.45969023947,50650.24013472123,50705.565480038356,50605.95183418802,50704.67623281057,50685.98820460073,50674.37159116559,50735.99691879511,50720.54673172347,50885.51420441043
7,29887.0704,29806.885806613926,29945.627359853243,29896.179447208833,29860.85358043227,29864.211216841228,29999.238187703322,30070.222736230553,30160.46899680462,30252.1002529378,30171.848293475192,30195.43715344444,30313.08154771439,30352.198563721035,30319.6579667078,30361.560451499925,30356.88584531821,30357.97898531542,30311.020940957456,30315.55494853652,30342.10355760944,30453.669188880434,30472.802900118542,30382.87579078494,30332.039562883805,30424.571198906535,30412.38144821629,30381.81385898676,30117.956605790583,29909.002333789096,30079.104053185718,30089.883400376308,30157.46547938854,30047.278181445115,29896.915824904496,29896.915824904496,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897,29806.214175797897
8,19949.3568,19910.257211462776,19973.353984098325,19957.398444287363,19941.982563597572,19942.411211238577,20006.67661607091,20041.47098695345,20086.14624403499,20128.06382538272,20097.17068373281,20111.612544359643,20173.495455906097,20189.639794367842,20178.005749867152,20195.411523538292,20192.093298071235,20200.026387710666,20178.438623904207,20179.31539733232,20201.572923517637,20254.244500854133,20270.65074891611,20232.518423380596,20211.099531050866,20256.247385346214,20251.639765744294,20232.28499352323,20111.33484653716,20000.043340890912,20076.947029003535,20087.608270842415,20120.921395779842,20076.654317490083,19999.985921929,19999.985921929,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455,19960.275879252455
9,15001.6608,15003.282029482656,15004.897732924412,15006.493803896263,15008.043974706205,15009.620719806187,15011.182170649668,15012.704304521772,15014.204073681794,15015.697236276923,15017.195352390187,15018.784472002377,15020.266675841918,15021.766599672168,15023.286502016723,15024.775459941937,15026.363428460298,15027.899423329955,15029.412131685907,15030.889673192572,15032.370817060968,15033.869694755138,15035.377742224218,15036.87842327667,15038.372337148023,15039.844744183552,15041.323160921906,15042.8387246436,15044.356547070916,15045.8092301391,15047.260849813625,15048.706891581292,15050.138926529095,15051.624224739753,15053.075502347503,15054.538661286331,15055.991273721758,15057.350679173862,15058.730534790102,15060.23550431975,15061.715473662758,15063.152813170409,15064.62659204165,15066.109704529636,15067.584977991903,15069.124885176654,15070.594426235457,15072.100882854304,15073.571015574416,15075.034056377188,15076.754419263701,15078.2589285872,15079.712321965326,15081.442417360026,15082.917533242868,15084.368962397091,15085.86533179816,15087.362905649648,15088.929879161029,15090.483888049284,15092.116074786616,15093.827218907176,15095.527085728569,15097.227143988963,15098.779591856179,15100.339748751405,15101.89961384745,15103.45964007756,15105.010765382596,15106.567034641754,15108.124521703025,15109.696522059508,15111.374302761318,15112.982152987131,15114.564179958907,15116.154685547564,15117.742184112642,15119.3761096879,15120.917076501,15122.424178306015,15123.956835996487,15125.612001832618,15127.096883162838,15128.586297121954
