,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.11072,1000.2188019655105,1000.3265155282942,1000.432920259751,1000.5362649804138,1000.6413813204126,1000.7454780433114,1000.846953634785,1000.9469382454531,1001.0464824184617,1001.1463568260126,1001.252298133492,1001.3511117227948,1001.4511066448115,1001.5524334677818,1001.6516973294629,1001.7575618973536,1001.8599615553308,1001.9608087790609,1002.059311546172,1002.1580544707318,1002.2579796503431,1002.3585161482819,1002.4585615517786,1002.5581558098688,1002.6563162789041,1002.7548773947943,1002.8559149762407,1002.9571031380618,1003.0539486759409,1003.1507233209092,1003.2471261054203,1003.3425951019404,1003.441614982651,1003.5383668231676,1003.6359107524229,1003.7327515814513,1003.8233786115916,1003.9153689860076,1004.015700287984,1004.1143649108514,1004.2101875446948,1004.3084394694441,1004.40731363531,1004.5056651994611,1004.6083256784444,1004.7062950823646,1004.806725523621,1004.9047343716286,1005.0022704251467,1005.1169612842476,1005.2172619058142,1005.3141547976893,1005.4294944906692,1005.5278355495253,1005.6245974931403,1005.7243554532116,1005.8241937099774,1005.9286586107361,1006.0322592032863,1006.1410716524417,1006.2551479271457,1006.3684723819052,1006.4818095992649,1006.585306123746,1006.6893165834277,1006.7933075898308,1006.8973093385048,1007.0007176921738,1007.1044689761176,1007.208301446869,1007.3131014706345,1007.4249535174217,1007.532143532476,1007.6376119972609,1007.7436457031714,1007.8494789408431,1007.958407312527,1008.0611384334003,1008.1616118870679,1008.2637890664327,1008.3741334555081,1008.4731255441894,1008.5724198081305
1,2000.22144,2000.437603931021,2000.6530310565884,2000.865840519502,2001.0725299608275,2001.2827626408252,2001.4909560866229,2001.69390726957,2001.8938764909062,2002.0929648369233,2002.2927136520252,2002.504596266984,2002.7022234455897,2002.902213289623,2003.1048669355637,2003.3033946589258,2003.5151237947073,2003.7199231106615,2003.9216175581219,2004.118623092344,2004.3161089414637,2004.5159593006863,2004.7170322965637,2004.9171231035573,2005.1163116197376,2005.3126325578082,2005.5097547895887,2005.7118299524814,2005.9142062761237,2006.1078973518818,2006.3014466418183,2006.4942522108406,2006.685190203881,2006.883229965302,2007.0767336463352,2007.2718215048458,2007.4655031629027,2007.6467572231832,2007.8307379720152,2008.031400575968,2008.2287298217027,2008.4203750893896,2008.6168789388882,2008.81462727062,2009.0113303989222,2009.2166513568889,2009.4125901647292,2009.613451047242,2009.8094687432572,2010.0045408502933,2010.2339225684952,2010.4345238116284,2010.6283095953786,2010.8589889813384,2011.0556710990506,2011.2491949862806,2011.4487109064232,2011.6483874199548,2011.8573172214722,2012.0645184065727,2012.2821433048834,2012.5102958542914,2012.7369447638105,2012.9636191985298,2013.170612247492,2013.3786331668555,2013.5866151796615,2013.7946186770096,2014.0014353843476,2014.2089379522351,2014.416602893738,2014.626202941269,2014.8499070348435,2015.064287064952,2015.2752239945219,2015.4872914063428,2015.6989578816863,2015.916814625054,2016.1222768668006,2016.3232237741358,2016.5275781328653,2016.7482669110161,2016.9462510883789,2017.144839616261
2,5000.5536,5001.094009827552,5001.632577641471,5002.164601298754,5002.681324902068,5003.206906602062,5003.727390216556,5004.234768173924,5004.734691227264,5005.232412092307,5005.731784130061,5006.261490667458,5006.755558613972,5007.255533224055,5007.762167338907,5008.258486647312,5008.787809486766,5009.2998077766515,5009.804043895302,5010.296557730858,5010.790272353656,5011.289898251713,5011.792580741407,5012.29280775889,5012.790779049341,5013.281581394518,5013.774386973969,5014.2795748812005,5014.785515690306,5015.269743379701,5015.753616604542,5016.235630527098,5016.7129755096985,5017.208074913252,5017.691834115835,5018.179553762111,5018.663757907254,5019.116893057955,5019.576844930035,5020.078501439917,5020.571824554254,5021.050937723471,5021.5421973472185,5022.036568176547,5022.528325997303,5023.0416283922195,5023.531475411821,5024.033627618103,5024.523671858141,5025.011352125732,5025.584806421236,5026.086309529069,5026.570773988445,5027.147472453345,5027.639177747626,5028.1229874657,5028.621777266057,5029.120968549886,5029.643293053679,5030.161296016431,5030.705358262208,5031.275739635728,5031.8423619095265,5032.409047996325,5032.926530618731,5033.4465829171395,5033.966537949155,5034.486546692526,5035.0035884608715,5035.522344880591,5036.0415072343485,5036.565507353176,5037.124767587113,5037.660717662384,5038.188059986309,5038.7182285158615,5039.24739470422,5039.79203656264,5040.305692167006,5040.808059435344,5041.318945332168,5041.870667277545,5042.365627720952,5042.862099040657
3,10001.1072,10002.188019655105,10003.265155282941,10004.329202597508,10005.362649804136,10006.413813204124,10007.454780433112,10008.469536347848,10009.469382454528,10010.464824184613,10011.463568260122,10012.522981334916,10013.511117227945,10014.51106644811,10015.524334677813,10016.516973294623,10017.575618973531,10018.599615553303,10019.608087790604,10020.593115461716,10021.580544707313,10022.579796503425,10023.585161482813,10024.58561551778,10025.581558098682,10026.563162789036,10027.548773947938,10028.559149762401,10029.571031380612,10030.539486759402,10031.507233209084,10032.471261054196,10033.425951019397,10034.416149826504,10035.38366823167,10036.359107524222,10037.327515814508,10038.23378611591,10039.15368986007,10040.157002879834,10041.143649108508,10042.101875446942,10043.084394694437,10044.073136353094,10045.056651994606,10046.083256784439,10047.062950823642,10048.067255236207,10049.047343716282,10050.022704251463,10051.169612842472,10052.172619058138,10053.14154797689,10054.29494490669,10055.278355495251,10056.2459749314,10057.243554532113,10058.241937099772,10059.286586107359,10060.322592032862,10061.410716524417,10062.551479271457,10063.684723819053,10064.81809599265,10065.853061237462,10066.893165834279,10067.93307589831,10068.973093385051,10070.007176921743,10071.044689761182,10072.083014468697,10073.131014706352,10074.249535174225,10075.321435324768,10076.376119972618,10077.436457031723,10078.49478940844,10079.58407312528,10080.611384334012,10081.616118870688,10082.637890664337,10083.74133455509,10084.731255441904,10085.724198081314
4,15001.6608,15003.282029482656,15004.897732924412,15006.493803896263,15008.043974706205,15009.620719806187,15011.182170649668,15012.704304521772,15014.204073681794,15015.697236276923,15017.195352390187,15018.784472002377,15020.266675841918,15021.766599672168,15023.286502016723,15024.775459941937,15026.363428460298,15027.899423329955,15029.412131685907,15030.889673192572,15032.370817060968,15033.869694755138,15035.377742224218,15036.87842327667,15038.372337148023,15039.844744183552,15041.323160921906,15042.8387246436,15044.356547070916,15045.8092301391,15047.260849813625,15048.706891581292,15050.138926529095,15051.624224739753,15053.075502347503,15054.538661286331,15055.991273721758,15057.350679173862,15058.730534790102,15060.23550431975,15061.715473662758,15063.152813170409,15064.62659204165,15066.109704529636,15067.584977991903,15069.124885176654,15070.594426235457,15072.100882854304,15073.571015574416,15075.034056377188,15076.754419263701,15078.2589285872,15079.712321965326,15081.442417360026,15082.917533242868,15084.368962397091,15085.86533179816,15087.362905649648,15088.929879161029,15090.483888049284,15092.116074786616,15093.827218907176,15095.527085728569,15097.227143988963,15098.779591856179,15100.339748751405,15101.89961384745,15103.45964007756,15105.010765382596,15106.567034641754,15108.124521703025,15109.696522059508,15111.374302761318,15112.982152987131,15114.564179958907,15116.154685547564,15117.742184112642,15119.3761096879,15120.917076501,15122.424178306015,15123.956835996487,15125.612001832618,15127.096883162838,15128.586297121954
5,20002.2144,20004.37603931021,20006.530310565882,20008.658405195016,20010.72529960827,20012.82762640825,20014.909560866225,20016.939072695695,20018.938764909057,20020.929648369227,20022.927136520244,20025.045962669832,20027.02223445589,20029.02213289622,20031.048669355627,20033.033946589247,20035.151237947062,20037.199231106606,20039.21617558121,20041.18623092343,20043.161089414625,20045.15959300685,20047.170322965627,20049.17123103556,20051.163116197364,20053.126325578072,20055.097547895875,20057.118299524802,20059.142062761224,20061.078973518805,20063.014466418168,20064.94252210839,20066.851902038794,20068.832299653008,20070.76733646334,20072.718215048444,20074.655031629016,20076.46757223182,20078.30737972014,20080.31400575967,20082.287298217016,20084.203750893885,20086.168789388874,20088.146272706188,20090.113303989212,20092.166513568878,20094.125901647283,20096.134510472413,20098.094687432564,20100.045408502927,20102.339225684944,20104.345238116275,20106.28309595378,20108.58988981338,20110.556710990502,20112.4919498628,20114.487109064226,20116.483874199545,20118.573172214717,20120.645184065725,20122.821433048834,20125.102958542913,20127.369447638106,20129.6361919853,20131.706122474923,20133.786331668558,20135.86615179662,20137.946186770103,20140.014353843486,20142.089379522364,20144.166028937394,20146.262029412705,20148.49907034845,20150.642870649535,20152.752239945235,20154.872914063446,20156.98957881688,20159.16814625056,20161.222768668023,20163.232237741377,20165.275781328673,20167.48266911018,20169.462510883808,20171.44839616263
6,29855.9856,29798.874499105652,29908.050343542112,29884.643208403402,29860.785700231474,29876.553572172314,29972.197648628593,29902.366754821924,29969.80353819862,30047.714894217937,30017.470141293805,30022.94392437305,30114.02419406631,30137.081484923066,30119.10582545365,30144.037329672654,30139.41530740935,30152.07423867752,30121.023223075554,30121.293811893607,30169.211970823882,30233.98956234413,30274.89874320503,30202.43275572212,30185.37535821112,30236.064678116712,30228.937982353356,30198.50691629366,30016.048645422423,29851.81228588773,29982.686823109983,29998.244365217786,30049.27529521221,29981.993076843646,29707.772730568726,29750.730218970493,29822.028615195773,29804.47978523453,29789.945418935356,29924.301091062032,29954.99729470649,29923.53165924249,29960.358541521433,29938.736964969594,29977.019006736442,29950.876353238637,29846.208479504683,29839.23462902993,29822.715883098605,29827.702023581558,29926.550356124695,29962.871133453984,30016.20628760258,29997.074200312447,29966.573866020095,30039.20317023457,30010.889737400612,30091.586959278426,30068.28114090789,30040.575460961092,29945.698142349724,29998.06013397943,30028.45150996493,30014.094392524337,30095.849841981813,30095.849841981813,30095.849841981813,30095.849841981813,30095.849841981813,30373.128252816034,30378.298567245223,30337.60837578263,30360.450569272587,30413.111437694482,30394.20782260294,30216.29385360612,30261.63265772615,30175.249299033538,30295.69887539873,30282.38646902728,30294.50007713706,30346.30798710184,30354.50931610231,30520.526087674425
7,49760.0,49632.10790118037,49868.700867415806,49798.47935233795,49760.69979383004,49783.399641999786,49986.0417757657,49992.915662434716,50133.53757167485,50305.44795349504,50193.374482316496,50242.23902399127,50457.86832818051,50521.202862614125,50488.95794006689,50545.65799600564,50539.281044661526,50565.45904342835,50483.561006695,50504.89341858543,50590.25593006208,50744.214462144286,50814.38139726373,50667.793010936504,50602.31134213023,50746.19322988018,50721.67237995993,50672.73153572956,50234.346727876764,49862.01112702266,50155.93225739478,50187.58455981545,50308.88934923157,50129.39036022094,49603.92212933955,49709.900146415406,49887.87205302174,49841.666618490344,49813.33059329111,50124.751529494715,50232.138553062505,50158.199813309664,50249.13518859221,50234.70982619519,50317.82075634693,50274.778995713365,50033.7125036908,50029.31840802497,49965.76533800278,49947.00961627698,50198.98319385209,50279.12984851238,50403.798143712964,50341.0387853081,50266.18835866817,50437.87775181833,50370.40072293347,50542.42676091668,50465.932254046726,50410.9886416637,50167.47712654431,50292.239001487236,50382.377285596776,50369.41135781417,50553.03126144056,50553.03126144056,50553.03126144056,50553.03126144056,50553.03126144056,51192.66443141089,51208.14453118646,51118.04029306824,51163.638748505924,51273.61938585788,51231.22644925888,51043.53175962188,51149.47330564445,50967.568332965246,51221.0159539303,51196.96302268474,51243.50487814366,51366.307324474124,51399.80628762336,51795.16024127839
8,99520.0,99264.21580236073,99737.40173483161,99596.9587046759,99521.39958766008,99566.79928399957,99972.0835515314,99985.83132486943,100267.0751433497,100610.89590699007,100386.74896463299,100484.47804798254,100915.73665636103,101042.40572522825,100977.91588013378,101091.31599201128,101078.56208932305,101130.9180868567,100967.12201339,101009.78683717086,101180.51186012416,101488.42892428857,101628.76279452746,101335.58602187301,101204.62268426047,101492.38645976035,101443.34475991986,101345.46307145912,100468.69345575353,99724.02225404533,100311.86451478956,100375.1691196309,100617.77869846314,100258.78072044188,99207.8442586791,99419.80029283081,99775.74410604348,99683.33323698069,99626.66118658222,100249.50305898943,100464.27710612501,100316.39962661933,100498.27037718442,100469.41965239038,100635.64151269387,100549.55799142673,100067.4250073816,100058.63681604994,99931.53067600555,99894.01923255395,100397.96638770417,100558.25969702475,100807.59628742593,100682.0775706162,100532.37671733634,100875.75550363665,100740.80144586693,101084.85352183336,100931.86450809345,100821.9772833274,100334.95425308862,100584.47800297447,100764.75457119355,100738.82271562834,101106.06252288113,101106.06252288113,101106.06252288113,101106.06252288113,101106.06252288113,102385.32886282179,102416.28906237292,102236.08058613648,102327.27749701185,102547.23877171575,102462.45289851776,102087.06351924376,102298.9466112889,101935.13666593049,102442.0319078606,102393.92604536947,102487.00975628733,102732.61464894825,102799.61257524672,103590.32048255678
9,199040.00000000003,198649.11055800595,199386.2763878212,199230.30130677976,199071.84884708986,199173.172977674,199829.65765147016,199367.02583412427,199835.24442773993,200349.97775921106,200152.07545020833,200177.05101327892,200796.67722040802,200945.56496300874,200814.4803112281,200980.8353124548,200951.8106087185,201036.90095725935,200829.3416862598,200812.79552014242,201139.08368045758,201589.92306507347,201868.45219083663,201377.3343529811,201268.16280117218,201613.47786830924,201569.07095350872,201340.39518190993,200097.98040389759,198979.59007674427,199871.0620700001,199984.5722020207,200325.20647326333,199867.83204173055,198025.6733725311,198311.94131702298,198787.02896430166,198669.9980872731,198572.89134031915,199468.11029575512,199672.6236628512,199462.9785131461,199708.4228924266,199564.51403863754,199819.76987016783,199645.73675778235,198947.7990210463,198901.47685612564,198791.42412478387,198824.51653112384,199483.50872295094,199725.64199454457,200081.2862602976,199953.90348727783,199750.68677474267,200234.64376475278,200046.04625741567,200583.87790645068,200428.4176350289,200243.9125254442,199611.79905163607,199960.75083959717,200163.16195446433,200067.8620949483,200612.86066815065,200612.86066815065,200612.86066815065,200612.86066815065,200612.86066815065,202460.52420437158,202494.97255274266,202223.78283577596,202375.8681718222,202726.90090724433,202600.7666184204,201414.70014461802,201716.83901650264,201141.48674977917,201944.13431008172,201855.4356894291,201936.35372892488,202281.45975326723,202336.23454996376,203442.6831565799
