,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.11072,1000.2188019655105,1000.3265155282942,1000.432920259751,1000.5362649804138,1000.6413813204126,1000.7454780433114,1000.846953634785,1000.9469382454531,1001.0464824184617,1001.1463568260126,1001.252298133492,1001.3511117227948,1001.4511066448115,1001.5524334677818,1001.6516973294629,1001.7575618973536,1001.8599615553308,1001.9608087790609,1002.059311546172,1002.1580544707318,1002.2579796503431,1002.3585161482819,1002.4585615517786,1002.5581558098688,1002.6563162789041,1002.7548773947943,1002.8559149762407,1002.9571031380618,1003.0539486759409,1003.1507233209092,1003.2471261054203,1003.3425951019404,1003.441614982651,1003.5383668231676,1003.6359107524229,1003.7327515814513,1003.8233786115916,1003.9153689860076,1004.015700287984,1004.1143649108514,1004.2101875446948,1004.3084394694441,1004.40731363531,1004.5056651994611,1004.6083256784444,1004.7062950823646,1004.806725523621,1004.9047343716286,1005.0022704251467,1005.1169612842476,1005.2172619058142,1005.3141547976893,1005.4294944906692,1005.5278355495253,1005.6245974931403,1005.7243554532116,1005.8241937099774,1005.9286586107361,1006.0322592032863,1006.1410716524417,1006.2551479271457,1006.3684723819052,1006.4818095992649,1006.585306123746,1006.6893165834277,1006.7933075898308,1006.8973093385048,1007.0007176921738,1007.1044689761176,1007.208301446869,1007.3131014706345,1007.4249535174217,1007.532143532476,1007.6376119972609,1007.7436457031714,1007.8494789408431,1007.958407312527,1008.0611384334003,1008.1616118870679,1008.2637890664327,1008.3741334555081,1008.4731255441894,1008.5724198081305
1,2000.22144,2000.437603931021,2000.6530310565884,2000.865840519502,2001.0725299608275,2001.2827626408252,2001.4909560866229,2001.69390726957,2001.8938764909062,2002.0929648369233,2002.2927136520252,2002.504596266984,2002.7022234455897,2002.902213289623,2003.1048669355637,2003.3033946589258,2003.5151237947073,2003.7199231106615,2003.9216175581219,2004.118623092344,2004.3161089414637,2004.5159593006863,2004.7170322965637,2004.9171231035573,2005.1163116197376,2005.3126325578082,2005.5097547895887,2005.7118299524814,2005.9142062761237,2006.1078973518818,2006.3014466418183,2006.4942522108406,2006.685190203881,2006.883229965302,2007.0767336463352,2007.2718215048458,2007.4655031629027,2007.6467572231832,2007.8307379720152,2008.031400575968,2008.2287298217027,2008.4203750893896,2008.6168789388882,2008.81462727062,2009.0113303989222,2009.2166513568889,2009.4125901647292,2009.613451047242,2009.8094687432572,2010.0045408502933,2010.2339225684952,2010.4345238116284,2010.6283095953786,2010.8589889813384,2011.0556710990506,2011.2491949862806,2011.4487109064232,2011.6483874199548,2011.8573172214722,2012.0645184065727,2012.2821433048834,2012.5102958542914,2012.7369447638105,2012.9636191985298,2013.170612247492,2013.3786331668555,2013.5866151796615,2013.7946186770096,2014.0014353843476,2014.2089379522351,2014.416602893738,2014.626202941269,2014.8499070348435,2015.064287064952,2015.2752239945219,2015.4872914063428,2015.6989578816863,2015.916814625054,2016.1222768668006,2016.3232237741358,2016.5275781328653,2016.7482669110161,2016.9462510883789,2017.144839616261
2,5000.5536,5001.094009827552,5001.632577641471,5002.164601298754,5002.681324902068,5003.206906602062,5003.727390216556,5004.234768173924,5004.734691227264,5005.232412092307,5005.731784130061,5006.261490667458,5006.755558613972,5007.255533224055,5007.762167338907,5008.258486647312,5008.787809486766,5009.2998077766515,5009.804043895302,5010.296557730858,5010.790272353656,5011.289898251713,5011.792580741407,5012.29280775889,5012.790779049341,5013.281581394518,5013.774386973969,5014.2795748812005,5014.785515690306,5015.269743379701,5015.753616604542,5016.235630527098,5016.7129755096985,5017.208074913252,5017.691834115835,5018.179553762111,5018.663757907254,5019.116893057955,5019.576844930035,5020.078501439917,5020.571824554254,5021.050937723471,5021.5421973472185,5022.036568176547,5022.528325997303,5023.0416283922195,5023.531475411821,5024.033627618103,5024.523671858141,5025.011352125732,5025.584806421236,5026.086309529069,5026.570773988445,5027.147472453345,5027.639177747626,5028.1229874657,5028.621777266057,5029.120968549886,5029.643293053679,5030.161296016431,5030.705358262208,5031.275739635728,5031.8423619095265,5032.409047996325,5032.926530618731,5033.4465829171395,5033.966537949155,5034.486546692526,5035.0035884608715,5035.522344880591,5036.0415072343485,5036.565507353176,5037.124767587113,5037.660717662384,5038.188059986309,5038.7182285158615,5039.24739470422,5039.79203656264,5040.305692167006,5040.808059435344,5041.318945332168,5041.870667277545,5042.365627720952,5042.862099040657
3,10001.1072,10002.188019655105,10003.265155282941,10004.329202597508,10005.362649804136,10006.413813204124,10007.454780433112,10008.469536347848,10009.469382454528,10010.464824184613,10011.463568260122,10012.522981334916,10013.511117227945,10014.51106644811,10015.524334677813,10016.516973294623,10017.575618973531,10018.599615553303,10019.608087790604,10020.593115461716,10021.580544707313,10022.579796503425,10023.585161482813,10024.58561551778,10025.581558098682,10026.563162789036,10027.548773947938,10028.559149762401,10029.571031380612,10030.539486759402,10031.507233209084,10032.471261054196,10033.425951019397,10034.416149826504,10035.38366823167,10036.359107524222,10037.327515814508,10038.23378611591,10039.15368986007,10040.157002879834,10041.143649108508,10042.101875446942,10043.084394694437,10044.073136353094,10045.056651994606,10046.083256784439,10047.062950823642,10048.067255236207,10049.047343716282,10050.022704251463,10051.169612842472,10052.172619058138,10053.14154797689,10054.29494490669,10055.278355495251,10056.2459749314,10057.243554532113,10058.241937099772,10059.286586107359,10060.322592032862,10061.410716524417,10062.551479271457,10063.684723819053,10064.81809599265,10065.853061237462,10066.893165834279,10067.93307589831,10068.973093385051,10070.007176921743,10071.044689761182,10072.083014468697,10073.131014706352,10074.249535174225,10075.321435324768,10076.376119972618,10077.436457031723,10078.49478940844,10079.58407312528,10080.611384334012,10081.616118870688,10082.637890664337,10083.74133455509,10084.731255441904,10085.724198081314
4,15001.6608,15003.282029482656,15004.897732924412,15006.493803896263,15008.043974706205,15009.620719806187,15011.182170649668,15012.704304521772,15014.204073681794,15015.697236276923,15017.195352390187,15018.784472002377,15020.266675841918,15021.766599672168,15023.286502016723,15024.775459941937,15026.363428460298,15027.899423329955,15029.412131685907,15030.889673192572,15032.370817060968,15033.869694755138,15035.377742224218,15036.87842327667,15038.372337148023,15039.844744183552,15041.323160921906,15042.8387246436,15044.356547070916,15045.8092301391,15047.260849813625,15048.706891581292,15050.138926529095,15051.624224739753,15053.075502347503,15054.538661286331,15055.991273721758,15057.350679173862,15058.730534790102,15060.23550431975,15061.715473662758,15063.152813170409,15064.62659204165,15066.109704529636,15067.584977991903,15069.124885176654,15070.594426235457,15072.100882854304,15073.571015574416,15075.034056377188,15076.754419263701,15078.2589285872,15079.712321965326,15081.442417360026,15082.917533242868,15084.368962397091,15085.86533179816,15087.362905649648,15088.929879161029,15090.483888049284,15092.116074786616,15093.827218907176,15095.527085728569,15097.227143988963,15098.779591856179,15100.339748751405,15101.89961384745,15103.45964007756,15105.010765382596,15106.567034641754,15108.124521703025,15109.696522059508,15111.374302761318,15112.982152987131,15114.564179958907,15116.154685547564,15117.742184112642,15119.3761096879,15120.917076501,15122.424178306015,15123.956835996487,15125.612001832618,15127.096883162838,15128.586297121954
5,20002.2144,20004.37603931021,20006.530310565882,20008.658405195016,20010.72529960827,20012.82762640825,20014.909560866225,20016.939072695695,20018.938764909057,20020.929648369227,20022.927136520244,20025.045962669832,20027.02223445589,20029.02213289622,20031.048669355627,20033.033946589247,20035.151237947062,20037.199231106606,20039.21617558121,20041.18623092343,20043.161089414625,20045.15959300685,20047.170322965627,20049.17123103556,20051.163116197364,20053.126325578072,20055.097547895875,20057.118299524802,20059.142062761224,20061.078973518805,20063.014466418168,20064.94252210839,20066.851902038794,20068.832299653008,20070.76733646334,20072.718215048444,20074.655031629016,20076.46757223182,20078.30737972014,20080.31400575967,20082.287298217016,20084.203750893885,20086.168789388874,20088.146272706188,20090.113303989212,20092.166513568878,20094.125901647283,20096.134510472413,20098.094687432564,20100.045408502927,20102.339225684944,20104.345238116275,20106.28309595378,20108.58988981338,20110.556710990502,20112.4919498628,20114.487109064226,20116.483874199545,20118.573172214717,20120.645184065725,20122.821433048834,20125.102958542913,20127.369447638106,20129.6361919853,20131.706122474923,20133.786331668558,20135.86615179662,20137.946186770103,20140.014353843486,20142.089379522364,20144.166028937394,20146.262029412705,20148.49907034845,20150.642870649535,20152.752239945235,20154.872914063446,20156.98957881688,20159.16814625056,20161.222768668023,20163.232237741377,20165.275781328673,20167.48266911018,20169.462510883808,20171.44839616263
6,30000.0,29942.888899105652,30052.064743542112,30028.657608403402,30004.800100231474,30020.567972172314,30116.212048628593,30046.381154821924,30113.81793819862,30191.729294217937,30161.484541293805,30166.95832437305,30258.03859406631,30281.095884923066,30263.12022545365,30288.051729672654,30283.42970740935,30296.08863867752,30265.037623075554,30265.308211893607,30313.226370823882,30378.00396234413,30418.91314320503,30346.44715572212,30329.38975821112,30380.079078116712,30372.952382353356,30342.52131629366,30160.063045422423,29995.82668588773,30126.701223109983,30142.258765217786,30193.28969521221,30126.007476843646,30062.91223433531,30106.17459414628,30177.978998598293,30160.305623727207,30145.668106315145,30280.977307258785,30311.891363371127,30280.202414743755,30317.290659218546,30295.51563327389,30334.069364575083,30307.741175378873,30202.330468594137,30195.307124359366,30178.67114407525,30183.692671442594,30283.242535466292,30319.821083139697,30373.534759502007,30354.26689084685,30323.55009418105,30396.69485214175,30368.180477481612,30449.450411514354,30425.979190603917,30398.076882083096,30302.526214472455,30355.25982173358,30385.866886810072,30371.407876200465,30453.743548106067,30453.743548106067,30453.743548106067,30453.743548106067,30453.743548106067,30732.98981746735,30738.196825872485,30697.217854118644,30720.222159779907,30773.256764976522,30754.218989998393,30575.042356808135,30620.702932652217,30533.70650701188,30655.010919948083,30641.604034773478,30653.803613756143,30705.97920700751,30714.238741243502,30881.433742013443
7,50000.0,49872.10790118037,50108.700867415806,50038.47935233795,50000.69979383004,50023.399641999786,50226.0417757657,50232.915662434716,50373.53757167485,50545.44795349504,50433.374482316496,50482.23902399127,50697.86832818051,50761.202862614125,50728.95794006689,50785.65799600564,50779.281044661526,50805.45904342835,50723.561006695,50744.89341858543,50830.25593006208,50984.214462144286,51054.38139726373,50907.793010936504,50842.31134213023,50986.19322988018,50961.67237995993,50912.73153572956,50474.346727876764,50102.01112702266,50395.93225739478,50427.58455981545,50548.88934923157,50369.39036022094,50251.78945223389,50358.63628944242,50538.0672304766,50491.48299840901,50462.91467117344,50776.888672499175,50885.15606739903,50810.61116924228,50902.29204332729,50887.74842012848,50971.540703369785,50928.14608136727,50685.10329815374,50680.67317917964,50616.59909368412,50597.68961036618,50851.72889669052,50932.53260296449,51058.22294337563,50994.94907643777,50919.48501727859,51092.58194007923,51024.55172664908,51197.988054136345,51120.86643638585,51065.472389866416,50819.96453897183,50945.749226302934,51036.62647456861,51023.55425059924,51208.679491591174,51208.679491591174,51208.679491591174,51208.679491591174,51208.679491591174,51853.556448819734,51869.163456257025,51778.32053309565,51824.29280998419,51935.17508141624,51892.43460258334,51703.20117001028,51810.01123717158,51626.61498633056,51882.1404004243,51857.89028044572,51904.81369145881,52028.622886553356,52062.396478105846,52460.99158954005
8,100000.0,99744.21580236073,100217.40173483161,100076.9587046759,100001.39958766008,100046.79928399957,100452.0835515314,100465.83132486943,100747.0751433497,101090.89590699007,100866.74896463299,100964.47804798254,101395.73665636103,101522.40572522825,101457.91588013378,101571.31599201128,101558.56208932305,101610.9180868567,101447.12201339,101489.78683717086,101660.51186012416,101968.42892428857,102108.76279452746,101815.58602187301,101684.62268426047,101972.38645976035,101923.34475991986,101825.46307145912,100948.69345575353,100204.02225404533,100791.86451478956,100855.1691196309,101097.77869846314,100738.78072044188,100503.57890446778,100717.27257888483,101076.1344609532,100982.96599681802,100925.82934234689,101553.77734499835,101770.31213479806,101621.22233848456,101804.58408665458,101775.49684025696,101943.08140673957,101856.29216273453,101370.20659630749,101361.34635835928,101233.19818736824,101195.37922073236,101703.45779338104,101865.06520592899,102116.44588675126,101989.89815287554,101838.97003455718,102185.16388015846,102049.10345329816,102395.97610827269,102241.7328727717,102130.94477973283,101639.92907794366,101891.49845260587,102073.25294913723,102047.10850119848,102417.35898318235,102417.35898318235,102417.35898318235,102417.35898318235,102417.35898318235,103707.11289763947,103738.32691251405,103556.6410661913,103648.58561996838,103870.35016283247,103784.86920516667,103406.40234002056,103620.02247434316,103253.22997266112,103764.2808008486,103715.78056089144,103809.62738291762,104057.24577310671,104124.79295621169,104921.9831790801
9,200000.0,199609.11055800592,200346.27638782118,200190.30130677973,200031.84884708983,200133.17297767397,200789.65765147013,200327.02583412424,200795.2444277399,201309.97775921103,201112.0754502083,201137.0510132789,201756.677220408,201905.5649630087,201774.48031122808,201940.83531245476,201911.81060871846,201996.90095725932,201789.34168625978,201772.7955201424,202099.08368045755,202549.92306507344,202828.4521908366,202337.33435298107,202228.16280117215,202573.47786830922,202529.0709535087,202300.3951819099,201057.98040389756,199939.59007674424,200831.06207000007,200944.57220202067,201285.2064732633,200827.83204173052,200392.91141793187,200681.2108147398,201159.66984159485,201041.80847463274,200944.01262598296,201845.58435215504,202051.54901396038,201840.41615271397,202087.6022867468,201942.67220798312,202199.73941958635,202024.47131049223,201321.58077600464,201274.9298936323,201164.09619159414,201197.42343262935,201861.09205169935,202104.9435813266,202463.11161679012,202334.82489334806,202130.1660875947,202617.55739697994,202427.62153915528,202969.26982002117,202812.7063509326,202626.89193187264,201990.29277112283,202341.72083675145,202545.5683280485,202449.5921891094,202998.4582530145,202998.4582530145,202998.4582530145,202998.4582530145,202998.4582530145,204859.23342273227,204893.92622801318,204620.8120588357,204773.97664288757,205127.50042307083,205000.47104348277,203805.98784845247,204110.27079801986,203530.83564071325,204339.17905441741,204249.850998923,204331.34325967517,204678.89827087036,204734.06176769824,205848.36210074
