,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.11072,1000.2188019655105,1000.3265155282942,1000.432920259751,1000.5362649804138,1000.6413813204126,1000.7454780433114,1000.846953634785,1000.9469382454531,1001.0464824184617,1001.1463568260126,1001.252298133492,1001.3511117227948,1001.4511066448115,1001.5524334677818,1001.6516973294629,1001.7575618973536,1001.8599615553308,1001.9608087790609,1002.059311546172,1002.1580544707318,1002.2579796503431,1002.3585161482819,1002.4585615517786,1002.5581558098688,1002.6563162789041,1002.7548773947943,1002.8559149762407,1002.9571031380618,1003.0539486759409,1003.1507233209092,1003.2471261054203,1003.3425951019404,1003.441614982651,1003.5383668231676,1003.6359107524229,1003.7327515814513,1003.8233786115916,1003.9153689860076,1004.015700287984,1004.1143649108514,1004.2101875446948,1004.3084394694441,1004.40731363531,1004.5056651994611,1004.6083256784444,1004.7062950823646,1004.806725523621,1004.9047343716286,1005.0022704251467,1005.1169612842476,1005.2172619058142,1005.3141547976893,1005.4294944906692,1005.5278355495253,1005.6245974931403,1005.7243554532116,1005.8241937099774,1005.9286586107361,1006.0322592032863,1006.1410716524417,1006.2551479271457,1006.3684723819052,1006.4818095992649,1006.585306123746,1006.6893165834277,1006.7933075898308,1006.8973093385048,1007.0007176921738,1007.1044689761176,1007.208301446869,1007.3131014706345,1007.4249535174217,1007.532143532476,1007.6376119972609,1007.7436457031714,1007.8494789408431,1007.958407312527,1008.0611384334003,1008.1616118870679,1008.2637890664327,1008.3741334555081,1008.4731255441894,1008.5724198081305
1,2000.22144,2000.437603931021,2000.6530310565884,2000.865840519502,2001.0725299608275,2001.2827626408252,2001.4909560866229,2001.69390726957,2001.8938764909062,2002.0929648369233,2002.2927136520252,2002.504596266984,2002.7022234455897,2002.902213289623,2003.1048669355637,2003.3033946589258,2003.5151237947073,2003.7199231106615,2003.9216175581219,2004.118623092344,2004.3161089414637,2004.5159593006863,2004.7170322965637,2004.9171231035573,2005.1163116197376,2005.3126325578082,2005.5097547895887,2005.7118299524814,2005.9142062761237,2006.1078973518818,2006.3014466418183,2006.4942522108406,2006.685190203881,2006.883229965302,2007.0767336463352,2007.2718215048458,2007.4655031629027,2007.6467572231832,2007.8307379720152,2008.031400575968,2008.2287298217027,2008.4203750893896,2008.6168789388882,2008.81462727062,2009.0113303989222,2009.2166513568889,2009.4125901647292,2009.613451047242,2009.8094687432572,2010.0045408502933,2010.2339225684952,2010.4345238116284,2010.6283095953786,2010.8589889813384,2011.0556710990506,2011.2491949862806,2011.4487109064232,2011.6483874199548,2011.8573172214722,2012.0645184065727,2012.2821433048834,2012.5102958542914,2012.7369447638105,2012.9636191985298,2013.170612247492,2013.3786331668555,2013.5866151796615,2013.7946186770096,2014.0014353843476,2014.2089379522351,2014.416602893738,2014.626202941269,2014.8499070348435,2015.064287064952,2015.2752239945219,2015.4872914063428,2015.6989578816863,2015.916814625054,2016.1222768668006,2016.3232237741358,2016.5275781328653,2016.7482669110161,2016.9462510883789,2017.144839616261
2,5000.5536,5001.094009827552,5001.632577641471,5002.164601298754,5002.681324902068,5003.206906602062,5003.727390216556,5004.234768173924,5004.734691227264,5005.232412092307,5005.731784130061,5006.261490667458,5006.755558613972,5007.255533224055,5007.762167338907,5008.258486647312,5008.787809486766,5009.2998077766515,5009.804043895302,5010.296557730858,5010.790272353656,5011.289898251713,5011.792580741407,5012.29280775889,5012.790779049341,5013.281581394518,5013.774386973969,5014.2795748812005,5014.785515690306,5015.269743379701,5015.753616604542,5016.235630527098,5016.7129755096985,5017.208074913252,5017.691834115835,5018.179553762111,5018.663757907254,5019.116893057955,5019.576844930035,5020.078501439917,5020.571824554254,5021.050937723471,5021.5421973472185,5022.036568176547,5022.528325997303,5023.0416283922195,5023.531475411821,5024.033627618103,5024.523671858141,5025.011352125732,5025.584806421236,5026.086309529069,5026.570773988445,5027.147472453345,5027.639177747626,5028.1229874657,5028.621777266057,5029.120968549886,5029.643293053679,5030.161296016431,5030.705358262208,5031.275739635728,5031.8423619095265,5032.409047996325,5032.926530618731,5033.4465829171395,5033.966537949155,5034.486546692526,5035.0035884608715,5035.522344880591,5036.0415072343485,5036.565507353176,5037.124767587113,5037.660717662384,5038.188059986309,5038.7182285158615,5039.24739470422,5039.79203656264,5040.305692167006,5040.808059435344,5041.318945332168,5041.870667277545,5042.365627720952,5042.862099040657
3,10001.1072,10002.188019655105,10003.265155282941,10004.329202597508,10005.362649804136,10006.413813204124,10007.454780433112,10008.469536347848,10009.469382454528,10010.464824184613,10011.463568260122,10012.522981334916,10013.511117227945,10014.51106644811,10015.524334677813,10016.516973294623,10017.575618973531,10018.599615553303,10019.608087790604,10020.593115461716,10021.580544707313,10022.579796503425,10023.585161482813,10024.58561551778,10025.581558098682,10026.563162789036,10027.548773947938,10028.559149762401,10029.571031380612,10030.539486759402,10031.507233209084,10032.471261054196,10033.425951019397,10034.416149826504,10035.38366823167,10036.359107524222,10037.327515814508,10038.23378611591,10039.15368986007,10040.157002879834,10041.143649108508,10042.101875446942,10043.084394694437,10044.073136353094,10045.056651994606,10046.083256784439,10047.062950823642,10048.067255236207,10049.047343716282,10050.022704251463,10051.169612842472,10052.172619058138,10053.14154797689,10054.29494490669,10055.278355495251,10056.2459749314,10057.243554532113,10058.241937099772,10059.286586107359,10060.322592032862,10061.410716524417,10062.551479271457,10063.684723819053,10064.81809599265,10065.853061237462,10066.893165834279,10067.93307589831,10068.973093385051,10070.007176921743,10071.044689761182,10072.083014468697,10073.131014706352,10074.249535174225,10075.321435324768,10076.376119972618,10077.436457031723,10078.49478940844,10079.58407312528,10080.611384334012,10081.616118870688,10082.637890664337,10083.74133455509,10084.731255441904,10085.724198081314
4,15001.6608,15003.282029482656,15004.897732924412,15006.493803896263,15008.043974706205,15009.620719806187,15011.182170649668,15012.704304521772,15014.204073681794,15015.697236276923,15017.195352390187,15018.784472002377,15020.266675841918,15021.766599672168,15023.286502016723,15024.775459941937,15026.363428460298,15027.899423329955,15029.412131685907,15030.889673192572,15032.370817060968,15033.869694755138,15035.377742224218,15036.87842327667,15038.372337148023,15039.844744183552,15041.323160921906,15042.8387246436,15044.356547070916,15045.8092301391,15047.260849813625,15048.706891581292,15050.138926529095,15051.624224739753,15053.075502347503,15054.538661286331,15055.991273721758,15057.350679173862,15058.730534790102,15060.23550431975,15061.715473662758,15063.152813170409,15064.62659204165,15066.109704529636,15067.584977991903,15069.124885176654,15070.594426235457,15072.100882854304,15073.571015574416,15075.034056377188,15076.754419263701,15078.2589285872,15079.712321965326,15081.442417360026,15082.917533242868,15084.368962397091,15085.86533179816,15087.362905649648,15088.929879161029,15090.483888049284,15092.116074786616,15093.827218907176,15095.527085728569,15097.227143988963,15098.779591856179,15100.339748751405,15101.89961384745,15103.45964007756,15105.010765382596,15106.567034641754,15108.124521703025,15109.696522059508,15111.374302761318,15112.982152987131,15114.564179958907,15116.154685547564,15117.742184112642,15119.3761096879,15120.917076501,15122.424178306015,15123.956835996487,15125.612001832618,15127.096883162838,15128.586297121954
5,20002.2144,20004.37603931021,20006.530310565882,20008.658405195016,20010.72529960827,20012.82762640825,20014.909560866225,20016.939072695695,20018.938764909057,20020.929648369227,20022.927136520244,20025.045962669832,20027.02223445589,20029.02213289622,20031.048669355627,20033.033946589247,20035.151237947062,20037.199231106606,20039.21617558121,20041.18623092343,20043.161089414625,20045.15959300685,20047.170322965627,20049.17123103556,20051.163116197364,20053.126325578072,20055.097547895875,20057.118299524802,20059.142062761224,20061.078973518805,20063.014466418168,20064.94252210839,20066.851902038794,20068.832299653008,20070.76733646334,20072.718215048444,20074.655031629016,20076.46757223182,20078.30737972014,20080.31400575967,20082.287298217016,20084.203750893885,20086.168789388874,20088.146272706188,20090.113303989212,20092.166513568878,20094.125901647283,20096.134510472413,20098.094687432564,20100.045408502927,20102.339225684944,20104.345238116275,20106.28309595378,20108.58988981338,20110.556710990502,20112.4919498628,20114.487109064226,20116.483874199545,20118.573172214717,20120.645184065725,20122.821433048834,20125.102958542913,20127.369447638106,20129.6361919853,20131.706122474923,20133.786331668558,20135.86615179662,20137.946186770103,20140.014353843486,20142.089379522364,20144.166028937394,20146.262029412705,20148.49907034845,20150.642870649535,20152.752239945235,20154.872914063446,20156.98957881688,20159.16814625056,20161.222768668023,20163.232237741377,20165.275781328673,20167.48266911018,20169.462510883808,20171.44839616263
6,29924.1024,29866.991299105655,29960.748538890948,29937.341403752234,29913.483895580306,29913.83316286999,30009.477239326272,30062.995182728897,30130.431966105596,30192.924717473754,30147.261359898454,30168.15374762886,30259.234017322124,30282.29130817888,30264.315648709464,30289.247152928467,30284.62513066516,30297.284061933336,30266.233046331366,30266.50363514942,30299.003189428528,30379.19938559994,30404.68996180968,30347.64257897793,30315.16657681577,30381.27450137252,30374.147805609166,30343.716739549476,30161.258468678236,29997.02210914354,30112.478041714632,30128.035583822442,30179.066513816855,30111.784295448295,29917.363145212435,29960.529599384812,30047.585057184002,30029.950861320038,30030.756024983137,30165.765267362785,30212.021024095986,30180.402324730738,30217.408350579775,30211.091828409655,30234.149860266472,30207.880036397735,30118.11324013408,30111.105465514956,30079.096132430437,30068.69629581373,30168.02547392656,30204.52293288939,30242.70730266664,30208.071915680954,30177.423213173977,30250.405821063512,30221.954658149632,30287.634197841104,30264.21500882259,30236.374555196613,30125.625475854795,30178.242181257083,30224.191627503795,30209.76467017681,30276.507585173043,30276.507585173043,30276.507585173043,30276.507585173043,30276.507585173043,30555.13481082277,30560.330276134366,30519.442148117945,30542.395456962702,30579.902260964955,30576.3169217197,30567.050046870383,30612.609400619687,30525.80583195232,30631.431100597365,30618.053936313852,30630.226470807553,30682.286399226672,30690.527623414182,30857.351979970805
7,49812.509999999995,49684.61790118036,49905.76435578789,49835.54284071004,49797.763282202126,49805.01661874399,50007.65875250989,50138.10473220216,50278.72664144229,50435.19051163457,50307.67052882812,50371.9815821308,50587.61088632005,50650.94542075366,50618.700498206425,50675.40055414516,50669.02360280107,50695.2016015679,50613.30356483454,50634.63597672497,50704.55197657371,50873.95702028382,50928.67744377536,50797.53556907603,50716.607388641874,50875.935788019706,50851.414938099464,50802.47409386908,50364.0892860163,49991.7536851622,50270.228303906406,50301.880606327075,50423.1853957432,50243.686406732566,49777.48710893559,49883.740988466074,50077.56034304054,50031.23463503225,50018.20903499159,50330.4406048177,50453.49134278665,50379.3601393248,50470.53222082749,50471.45349326432,50539.39657820142,50496.24277918416,50269.93297155038,50265.527437984034,50186.424754035055,50152.23602658861,50404.86549537148,50485.22077304149,50594.82939750594,50516.52249121817,50441.47722773384,50613.61353108988,50545.96085843159,50703.05049863217,50626.35687535096,50571.27024387589,50311.74068015081,50436.827312227506,50542.58441199659,50529.58473369889,50698.2984185583,50698.2984185583,50698.2984185583,50698.2984185583,50698.2984185583,51339.59656378679,51355.116958506915,51264.77817763173,51310.49532657012,51405.37806098027,51378.25895917715,51359.30172437812,51465.51903792061,51283.14056372043,51521.863728571145,51497.748187165125,51544.41119180994,51667.53329485049,51701.11945633064,52097.50252258014
8,99625.01999999999,99369.23580236072,99811.52871157578,99671.08568142008,99595.52656440425,99610.03323748798,100015.31750501978,100276.20946440432,100557.45328288458,100870.38102326915,100615.34105765625,100743.9631642616,101175.2217726401,101301.89084150732,101237.40099641285,101350.80110829032,101338.04720560214,101390.4032031358,101226.60712966908,101269.27195344993,101409.10395314742,101747.91404056764,101857.35488755073,101595.07113815207,101433.21477728375,101751.87157603941,101702.82987619893,101604.94818773816,100728.1785720326,99983.5073703244,100540.45660781281,100603.76121265415,100846.3707914864,100487.37281346513,99554.97421787117,99767.48197693215,100155.12068608108,100062.4692700645,100036.41806998318,100660.8812096354,100906.9826855733,100758.7202786496,100941.06444165498,100942.90698652864,101078.79315640284,100992.48555836832,100539.86594310075,100531.05487596807,100372.84950807011,100304.47205317722,100809.73099074296,100970.44154608298,101189.65879501188,101033.04498243635,100882.95445546768,101227.22706217977,101091.92171686317,101406.10099726434,101252.71375070192,101142.54048775179,100623.48136030162,100873.65462445501,101085.16882399318,101059.16946739778,101396.5968371166,101396.5968371166,101396.5968371166,101396.5968371166,101396.5968371166,102679.19312757358,102710.23391701383,102529.55635526346,102620.99065314024,102810.75612196054,102756.5179183543,102718.60344875624,102931.03807584122,102566.28112744086,103043.72745714229,102995.49637433025,103088.82238361987,103335.06658970097,103402.23891266128,104195.00504516027
9,199491.05599999998,199100.16655800593,199734.54169014673,199578.5666091053,199420.1141494154,199418.64758232512,200075.13225612126,200434.82602017076,200903.0446137864,201314.9872475831,201014.294240906,201142.06050165102,201761.68670878006,201910.57445138076,201779.48979960015,201945.8448008268,201916.82009709053,202001.91044563137,201794.35117463185,201777.80500851446,202001.3024711552,202554.9325534455,202730.6709815343,202342.34384135314,202130.3815918698,202578.48735668126,202534.0804418807,202305.40467028198,201062.98989226963,199944.5995651163,200733.28086069773,200846.7909927183,201187.42526396096,200730.05083242818,199419.93356586364,199707.5898411674,200287.72009943658,200170.12165074784,200175.2825093281,201074.84306179988,201383.08681957918,201172.42494122346,201419.05966682438,201377.19143958626,201530.9466506787,201356.06951947493,200757.48550220265,200710.9386859018,200497.61367528496,200428.12802190532,201090.31616767118,201333.62372750774,201588.25423263057,201357.51513379355,201153.31286898494,201639.61693422231,201450.10477424765,201887.8062277271,201731.5920113073,201546.19209623174,200808.27447386857,201158.91859423515,201465.04990436684,201369.28786340897,201814.19099891762,201814.19099891762,201814.19099891762,201814.19099891762,201814.19099891762,203670.81525975594,203705.4306743473,203432.92575235257,203585.74866577046,203835.74527574726,203811.73781584756,203750.04325377406,204053.6474266586,203475.50483955536,204179.30649790273,204090.17771023215,204171.488182795,204518.2678885124,204573.30832982418,205685.12294657849
