,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-22,2017-07-23,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-29,2017-07-30,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-05,2017-08-06,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-12,2017-08-13,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-19,2017-08-20,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-26,2017-08-27,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-02,2017-09-03,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-09,2017-09-10,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-16,2017-09-17,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-23,2017-09-24,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-01,2017-10-02,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-07,2017-10-08,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-14,2017-10-15,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-21,2017-10-22,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-28
0,1.0,1.00010998,1.00021995,1.00033067,1.00043874,1.00054643,1.0006528,1.0007561,1.00085881,1.00096151,1.00106657,1.0011706,1.001272,1.0013719,1.00147135,1.00156981,1.00166408,1.00176385,1.00186967,1.00196836,1.00206822,1.0021694,1.00226764,1.00236587,1.00246498,1.00257067,1.00267289,1.00277355,1.00287186,1.00297082,1.00306977,1.00316831,1.00326802,1.00336833,1.00346814,1.00356749,1.0036644,1.0037613,1.00385921,1.00395751,1.00405827,1.00415917,1.00425573,1.00435217,1.0044486,1.00454508,1.00464118,1.00473634,1.00483503,1.00493145,1.00502556,1.00511966,1.00521686,1.00531335,1.00540364,1.00549528,1.00559522,1.00569088,1.00578636,1.00588463,1.00598006,1.0060779,1.00617635,1.00627427,1.00637027,1.00646618,1.00656838,1.0066659,1.00676586,1.0068634,1.00696046,1.00705425,1.00714792,1.00726204,1.00736183,1.00745822,1.00757295,1.00767076,1.00776509,1.00785696,1.00795319,1.00805239,1.00815166,1.00825552,1.00835851,1.008459,1.00855926,1.00866742,1.0087808,1.00889342,1.00889342,1.00899625,1.00909958,1.0092029,1.00930621,1.00940951,1.00951281,1.00961552,1.0097182199999999,1.00981949,1.00992075,1.01002378,1.01012688,1.01023093,1.01034197,1.01044837,1.01055302,1.01065719,1.01076187,1.0108671,1.01097212,1.0110802,1.01118212,1.01128319,1.01138366,1.01148333,1.01158468,1.01169412,1.01179229,1.01189075
1,1.0,1.00010998,1.00021995,1.00033067,1.00043874,1.00054643,1.0006528,1.0007561,1.00085881,1.00096151,1.00106657,1.0011706,1.001272,1.0013719,1.00147135,1.00156981,1.00166408,1.00176385,1.00186967,1.00196836,1.00206822,1.0021694,1.00226764,1.00236587,1.00246498,1.00257067,1.00267289,1.00277355,1.00287186,1.00297082,1.00306977,1.00316831,1.00326802,1.00336833,1.00346814,1.00356749,1.0036644,1.0037613,1.00385921,1.00395751,1.00405827,1.00415917,1.00425573,1.00435217,1.0044486,1.00454508,1.00464118,1.00473634,1.00483503,1.00493145,1.00502556,1.00511966,1.00521686,1.00531335,1.00540364,1.00549528,1.00559522,1.00569088,1.00578636,1.00588463,1.00598006,1.0060779,1.00617635,1.00627427,1.00637027,1.00646618,1.00656838,1.0066659,1.00676586,1.0068634,1.00696046,1.00705425,1.00714792,1.00726204,1.00736183,1.00745822,1.00757295,1.00767076,1.00776509,1.00785696,1.00795319,1.00805239,1.00815166,1.00825552,1.00835851,1.008459,1.00855926,1.00866742,1.0087808,1.00889342,1.00889342,1.00899625,1.00909958,1.0092029,1.00930621,1.00940951,1.00951281,1.00961552,1.0097182199999999,1.00981949,1.00992075,1.01002378,1.01012688,1.01023093,1.01034197,1.01044837,1.01055302,1.01065719,1.01076187,1.0108671,1.01097212,1.0110802,1.01118212,1.01128319,1.01138366,1.01148333,1.01158468,1.01169412,1.01179229,1.01189075
2,1.0,1.00010998,1.00021995,1.00033067,1.00043874,1.00054643,1.0006528,1.0007561,1.00085881,1.00096151,1.00106657,1.0011706,1.001272,1.0013719,1.00147135,1.00156981,1.00166408,1.00176385,1.00186967,1.00196836,1.00206822,1.0021694,1.00226764,1.00236587,1.00246498,1.00257067,1.00267289,1.00277355,1.00287186,1.00297082,1.00306977,1.00316831,1.00326802,1.00336833,1.00346814,1.00356749,1.0036644,1.0037613,1.00385921,1.00395751,1.00405827,1.00415917,1.00425573,1.00435217,1.0044486,1.00454508,1.00464118,1.00473634,1.00483503,1.00493145,1.00502556,1.00511966,1.00521686,1.00531335,1.00540364,1.00549528,1.00559522,1.00569088,1.00578636,1.00588463,1.00598006,1.0060779,1.00617635,1.00627427,1.00637027,1.00646618,1.00656838,1.0066659,1.00676586,1.0068634,1.00696046,1.00705425,1.00714792,1.00726204,1.00736183,1.00745822,1.00757295,1.00767076,1.00776509,1.00785696,1.00795319,1.00805239,1.00815166,1.00825552,1.00835851,1.008459,1.00855926,1.00866742,1.0087808,1.00889342,1.00889342,1.00899625,1.00909958,1.0092029,1.00930621,1.00940951,1.00951281,1.00961552,1.0097182199999999,1.00981949,1.00992075,1.01002378,1.01012688,1.01023093,1.01034197,1.01044837,1.01055302,1.01065719,1.01076187,1.0108671,1.01097212,1.0110802,1.01118212,1.01128319,1.01138366,1.01148333,1.01158468,1.01169412,1.01179229,1.01189075
3,1.0,1.00010998,1.00021995,1.00033067,1.00043874,1.00054643,1.0006528,1.0007561,1.00085881,1.00096151,1.00106657,1.0011706,1.001272,1.0013719,1.00147135,1.00156981,1.00166408,1.00176385,1.00186967,1.00196836,1.00206822,1.0021694,1.00226764,1.00236587,1.00246498,1.00257067,1.00267289,1.00277355,1.00287186,1.00297082,1.00306977,1.00316831,1.00326802,1.00336833,1.00346814,1.00356749,1.0036644,1.0037613,1.00385921,1.00395751,1.00405827,1.00415917,1.00425573,1.00435217,1.0044486,1.00454508,1.00464118,1.00473634,1.00483503,1.00493145,1.00502556,1.00511966,1.00521686,1.00531335,1.00540364,1.00549528,1.00559522,1.00569088,1.00578636,1.00588463,1.00598006,1.0060779,1.00617635,1.00627427,1.00637027,1.00646618,1.00656838,1.0066659,1.00676586,1.0068634,1.00696046,1.00705425,1.00714792,1.00726204,1.00736183,1.00745822,1.00757295,1.00767076,1.00776509,1.00785696,1.00795319,1.00805239,1.00815166,1.00825552,1.00835851,1.008459,1.00855926,1.00866742,1.0087808,1.00889342,1.00889342,1.00899625,1.00909958,1.0092029,1.00930621,1.00940951,1.00951281,1.00961552,1.0097182199999999,1.00981949,1.00992075,1.01002378,1.01012688,1.01023093,1.01034197,1.01044837,1.01055302,1.01065719,1.01076187,1.0108671,1.01097212,1.0110802,1.01118212,1.01128319,1.01138366,1.01148333,1.01158468,1.01169412,1.01179229,1.01189075
4,1.0,1.00010998,1.00021995,1.00033067,1.00043874,1.00054643,1.0006528,1.0007561,1.00085881,1.00096151,1.00106657,1.0011706,1.001272,1.0013719,1.00147135,1.00156981,1.00166408,1.00176385,1.00186967,1.00196836,1.00206822,1.0021694,1.00226764,1.00236587,1.00246498,1.00257067,1.00267289,1.00277355,1.00287186,1.00297082,1.00306977,1.00316831,1.00326802,1.00336833,1.00346814,1.00356749,1.0036644,1.0037613,1.00385921,1.00395751,1.00405827,1.00415917,1.00425573,1.00435217,1.0044486,1.00454508,1.00464118,1.00473634,1.00483503,1.00493145,1.00502556,1.00511966,1.00521686,1.00531335,1.00540364,1.00549528,1.00559522,1.00569088,1.00578636,1.00588463,1.00598006,1.0060779,1.00617635,1.00627427,1.00637027,1.00646618,1.00656838,1.0066659,1.00676586,1.0068634,1.00696046,1.00705425,1.00714792,1.00726204,1.00736183,1.00745822,1.00757295,1.00767076,1.00776509,1.00785696,1.00795319,1.00805239,1.00815166,1.00825552,1.00835851,1.008459,1.00855926,1.00866742,1.0087808,1.00889342,1.00889342,1.00899625,1.00909958,1.0092029,1.00930621,1.00940951,1.00951281,1.00961552,1.0097182199999999,1.00981949,1.00992075,1.01002378,1.01012688,1.01023093,1.01034197,1.01044837,1.01055302,1.01065719,1.01076187,1.0108671,1.01097212,1.0110802,1.01118212,1.01128319,1.01138366,1.01148333,1.01158468,1.01169412,1.01179229,1.01189075
5,1.0,1.00010998,1.00021995,1.00033067,1.00043874,1.00054643,1.0006528,1.0007561,1.00085881,1.00096151,1.00106657,1.0011706,1.001272,1.0013719,1.00147135,1.00156981,1.00166408,1.00176385,1.00186967,1.00196836,1.00206822,1.0021694,1.00226764,1.00236587,1.00246498,1.00257067,1.00267289,1.00277355,1.00287186,1.00297082,1.00306977,1.00316831,1.00326802,1.00336833,1.00346814,1.00356749,1.0036644,1.0037613,1.00385921,1.00395751,1.00405827,1.00415917,1.00425573,1.00435217,1.0044486,1.00454508,1.00464118,1.00473634,1.00483503,1.00493145,1.00502556,1.00511966,1.00521686,1.00531335,1.00540364,1.00549528,1.00559522,1.00569088,1.00578636,1.00588463,1.00598006,1.0060779,1.00617635,1.00627427,1.00637027,1.00646618,1.00656838,1.0066659,1.00676586,1.0068634,1.00696046,1.00705425,1.00714792,1.00726204,1.00736183,1.00745822,1.00757295,1.00767076,1.00776509,1.00785696,1.00795319,1.00805239,1.00815166,1.00825552,1.00835851,1.008459,1.00855926,1.00866742,1.0087808,1.00889342,1.00889342,1.00899625,1.00909958,1.0092029,1.00930621,1.00940951,1.00951281,1.00961552,1.0097182199999999,1.00981949,1.00992075,1.01002378,1.01012688,1.01023093,1.01034197,1.01044837,1.01055302,1.01065719,1.01076187,1.0108671,1.01097212,1.0110802,1.01118212,1.01128319,1.01138366,1.01148333,1.01158468,1.01169412,1.01179229,1.01189075
6,1.12169481,1.12169481,1.12169481,1.12093603,1.12374968,1.12174244,1.12217368,1.12300904,1.12300904,1.12300904,1.1255761799999997,1.12330306,1.1252113799999999,1.1281259300000002,1.1266941999999998,1.1266941999999998,1.1266941999999998,1.12702096,1.1302678899999998,1.13109051,1.1305012600000002,1.1311185199999998,1.1311185199999998,1.1311185199999998,1.1315637600000001,1.1318976600000001,1.13022944,1.1303440999999999,1.1315933200000001,1.1315933200000001,1.1315933200000001,1.13313504,1.13449198,1.13206152,1.13182907,1.1338012700000002,1.1338012700000002,1.1338012700000002,1.1331691400000001,1.13220549,1.12442139,1.1194513500000003,1.12467599,1.12467599,1.12467599,1.1253368,1.12703001,1.12277083,1.1770437400000002,1.1784233800000001,1.1784233800000001,1.1784233800000001,1.1818677199999998,1.18183884,1.17984338,1.1846272,1.1850865800000001,1.1850865800000001,1.1850865800000001,1.1840903000000003,1.18561278,1.1852533799999998,1.1865570799999998,1.18130574,1.18130574,1.18130574,1.17999492,1.17995794,1.1792561999999998,1.1787509600000001,1.1832228999999999,1.1832228999999999,1.1832228999999999,1.18561172,1.1876385399999998,1.18701628,1.18621964,1.18879204,1.18879204,1.18879204,1.18816518,1.1913027999999999,1.1906645999999999,1.18980406,1.1866313599999998,1.1866313599999998,1.1866313599999998,1.1887249000000002,1.19204736,1.19159386,1.1935807,1.20461372,1.20461372,1.20461372,1.20461372,1.20461372,1.20461372,1.20461372,1.20461372,1.20461372,1.20461372,1.20465408,1.2025567000000001,1.2030905,1.2050647599999997,1.2046251000000001,1.2046251000000001,1.2046251000000001,1.19841706,1.20030628,1.1976502999999998,1.20223748,1.2013468,1.2013468,1.2013468,1.20204348,1.20308278,1.20338386,1.2105820999999999,0.74650138
7,1.2601598100000002,1.2601598100000002,1.2601598100000002,1.25838213,1.26325234,1.25929092,1.25953478,1.26038804,1.26038804,1.26038804,1.26522816,1.26515172,1.2681790999999998,1.2723699500000003,1.2677620800000002,1.2677620800000002,1.2677620800000002,1.26827524,1.27330167,1.27553239,1.2739113599999998,1.2758707200000003,1.2758707200000003,1.2758707200000003,1.27626132,1.2750464400000001,1.27218548,1.2727808199999997,1.27322184,1.27322184,1.27322184,1.27658988,1.2765965600000002,1.27212564,1.27055457,1.27467845,1.27467845,1.27467845,1.2738322399999997,1.27326279,1.26089423,1.25334223,1.26209063,1.26209063,1.26209063,1.26239848,1.26445909,1.25750677,1.23693256,1.23905492,1.23905492,1.23905492,1.2447017,1.24453367,1.24195541,1.2490949700000002,1.2502814599999998,1.2502814599999998,1.2502814599999998,1.24866687,1.2511525700000001,1.25121188,1.2526849000000002,1.24464563,1.24464563,1.24464563,1.2432241300000002,1.2431928400000003,1.24163589,1.24026173,1.24712273,1.24712273,1.24712273,1.25080218,1.2534411300000001,1.25205794,1.25084118,1.2547560700000002,1.2547560700000002,1.2547560700000002,1.2538218100000003,1.25805223,1.2570745700000001,1.2558278,1.2506371600000001,1.2506371600000001,1.2506371600000001,1.25364537,1.25931208,1.25826225,1.26127289,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2779189700000002,1.27484228,1.2755307300000003,1.2780240299999999,1.2776627299999999,1.2776627299999999,1.2776627299999999,1.27390442,1.27678938,1.2730177100000002,1.27929642,1.2780113100000001,1.2780113100000001,1.2780113100000001,1.27914716,1.28070427,1.28122362,1.2921978500000002,0.59177343
8,1.2601598100000002,1.2601598100000002,1.2601598100000002,1.25838213,1.26325234,1.25929092,1.25953478,1.26038804,1.26038804,1.26038804,1.26522816,1.26515172,1.2681790999999998,1.2723699500000003,1.2677620800000002,1.2677620800000002,1.2677620800000002,1.26827524,1.27330167,1.27553239,1.2739113599999998,1.2758707200000003,1.2758707200000003,1.2758707200000003,1.27626132,1.2750464400000001,1.27218548,1.2727808199999997,1.27322184,1.27322184,1.27322184,1.27658988,1.2765965600000002,1.27212564,1.27055457,1.27467845,1.27467845,1.27467845,1.2738322399999997,1.27326279,1.26089423,1.25334223,1.26209063,1.26209063,1.26209063,1.26239848,1.26445909,1.25750677,1.23693256,1.23905492,1.23905492,1.23905492,1.2447017,1.24453367,1.24195541,1.2490949700000002,1.2502814599999998,1.2502814599999998,1.2502814599999998,1.24866687,1.2511525700000001,1.25121188,1.2526849000000002,1.24464563,1.24464563,1.24464563,1.2432241300000002,1.2431928400000003,1.24163589,1.24026173,1.24712273,1.24712273,1.24712273,1.25080218,1.2534411300000001,1.25205794,1.25084118,1.2547560700000002,1.2547560700000002,1.2547560700000002,1.2538218100000003,1.25805223,1.2570745700000001,1.2558278,1.2506371600000001,1.2506371600000001,1.2506371600000001,1.25364537,1.25931208,1.25826225,1.26127289,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2778225600000002,1.2779189700000002,1.27484228,1.2755307300000003,1.2780240299999999,1.2776627299999999,1.2776627299999999,1.2776627299999999,1.27390442,1.27678938,1.2730177100000002,1.27929642,1.2780113100000001,1.2780113100000001,1.2780113100000001,1.27914716,1.28070427,1.28122362,1.2921978500000002,0.59177343
9,1.12202975,1.12202975,1.12202975,1.12123775,1.12408304,1.1220766199999999,1.1225057999999999,1.1233290999999999,1.1233290999999999,1.1233290999999999,1.1259596199999997,1.12369734,1.1256665799999999,1.1285690300000002,1.1271497199999998,1.1271497199999998,1.1271497199999998,1.12744102,1.13072817,1.13153587,1.1309109,1.1315297999999998,1.1315297999999998,1.1315297999999998,1.13197984,1.13231722,1.1306471599999999,1.13070418,1.1319755800000002,1.1319755800000002,1.1319755800000002,1.13357996,1.1349562199999998,1.1324990799999999,1.13227945,1.1342756699999998,1.1342756699999998,1.1342756699999998,1.1336533,1.13260835,1.12473931,1.1196910700000002,1.12497601,1.12497601,1.12497601,1.12566712,1.1273640699999998,1.1230778099999998,1.1768901,1.17827068,1.17827068,1.17827068,1.1817153,1.1816864100000002,1.17969093,1.18447545,1.18493536,1.18493536,1.18493536,1.1839377899999999,1.18546135,1.1851025800000001,1.18640614,1.1811541499999998,1.1811541499999998,1.1811541499999998,1.1798437099999999,1.1798066200000001,1.17910523,1.17859987,1.18307269,1.18307269,1.18307269,1.1854614600000002,1.18748861,1.1868666399999999,1.18606946,1.18864269,1.18864269,1.18864269,1.18801583,1.1911534700000002,1.19051529,1.1896544599999996,1.1864812200000001,1.1864812200000001,1.1864812200000001,1.18857357,1.19189726,1.19144453,1.19343137,1.20446518,1.20446518,1.20446518,1.20446518,1.20446518,1.20446518,1.20446518,1.20446518,1.20446518,1.20446518,1.20450557,1.20240876,1.20294207,1.2049165499999999,1.2044759699999998,1.2044759699999998,1.2044759699999998,1.19826952,1.20015904,1.1975032300000001,1.20209104,1.2012011100000002,1.2012011100000002,1.2012011100000002,1.2018978799999998,1.2029384699999999,1.20323974,1.21043851,0.7463570900000001
