,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,999.616,999.5304008743173,1000.2782151963518,1000.6371301150735,1000.7645191756154,1000.4565480972697,1000.5604975008666,1000.6074139771425,1001.0573403889161,1001.1774297297571,1000.4256499485685,1000.7071658035119,1001.5679342375838,1001.7438100743641,1001.7764728811148,1002.0755336695223,1001.8913944207279,1001.8798123784065,1002.204006446747,1002.4831572684762,1002.85520699251,1003.1838499455116,1002.8117135271492,1002.7357944354756,1002.7144444924448,1002.9800854375059,1003.2161645674689,1003.3323885031738,1003.185529561654,1002.5255151819374,1000.5628699026913,1000.9624173895709,1001.1605827211613,1002.0586961948314,1002.0632748391606,1002.6826549503265,1002.4937867318463,1002.5525721034861,1001.7098370686309,1003.6703751694669,1004.9550541356884,1004.1337982938082,1003.9272917459925,1004.0049316704852,1004.633847568315,1005.1834171123489,1005.2791539261054,1005.3816630378295,1004.8028573378913,1004.7777743452897,1005.3016932185482,1005.7038062158316,1005.9951410047562,1005.8733499622753,1005.7353673283966,1006.409253423742,1005.9628353548243,1006.5882210089181,1006.4207127749795,1006.4268832152902,1005.4482456693548,1005.5478156944754,1005.9269386624457,1006.0144901791058,1006.3422458226305,1006.4327794297767,1006.5233233568488,1006.613877605023,1006.7044421754761,1008.3407010540648,1003.4269938150234,1003.395286562669,1003.6198170476013,1004.6156555915054,1003.5951978474773,1003.9551086548223,1004.579319867225,1003.9672456587376,1004.5820011914394,1005.3821369048788,1006.2194431244342,1007.4887693007191,1008.0250857631767,1008.6396934960596
1,1999.232,1999.0608017486345,2000.5564303927035,2001.274260230147,2001.5290383512308,2000.9130961945393,2001.1209950017333,2001.214827954285,2002.1146807778323,2002.3548594595143,2000.851299897137,2001.4143316070238,2003.1358684751676,2003.4876201487282,2003.5529457622297,2004.1510673390446,2003.7827888414558,2003.759624756813,2004.408012893494,2004.9663145369525,2005.71041398502,2006.3676998910232,2005.6234270542984,2005.471588870951,2005.4288889848897,2005.9601708750117,2006.4323291349378,2006.6647770063475,2006.371059123308,2005.0510303638748,2001.1257398053826,2001.9248347791417,2002.3211654423226,2004.1173923896629,2004.1265496783212,2005.365309900653,2004.9875734636926,2005.1051442069722,2003.4196741372618,2007.3407503389337,2009.9101082713769,2008.2675965876165,2007.854583491985,2008.0098633409705,2009.26769513663,2010.3668342246979,2010.5583078522109,2010.763326075659,2009.6057146757826,2009.5555486905794,2010.6033864370963,2011.4076124316632,2011.9902820095124,2011.7466999245505,2011.4707346567932,2012.818506847484,2011.9256707096486,2013.1764420178363,2012.841425549959,2012.8537664305804,2010.8964913387097,2011.0956313889508,2011.8538773248913,2012.0289803582116,2012.684491645261,2012.8655588595534,2013.0466467136976,2013.227755210046,2013.4088843509521,2016.6814021081295,2006.8539876300467,2006.790573125338,2007.2396340952025,2009.2313111830108,2007.1903956949545,2007.9102173096446,2009.15863973445,2007.9344913174752,2009.1640023828788,2010.7642738097577,2012.4388862488684,2014.9775386014383,2016.0501715263533,2017.2793869921193
2,4998.08,4997.6520043715855,5001.391075981758,5003.185650575367,5003.822595878076,5002.282740486347,5002.802487504332,5003.037069885712,5005.286701944581,5005.887148648786,5002.128249742843,5003.53582901756,5007.83967118792,5008.719050371821,5008.882364405575,5010.377668347612,5009.45697210364,5009.399061892033,5011.020032233735,5012.415786342381,5014.27603496255,5015.919249727558,5014.058567635746,5013.678972177378,5013.572222462224,5014.900427187529,5016.080822837344,5016.66194251587,5015.92764780827,5012.627575909688,5002.814349513457,5004.812086947856,5005.802913605808,5010.293480974159,5010.316374195805,5013.413274751634,5012.468933659233,5012.762860517431,5008.549185343156,5018.351875847336,5024.775270678443,5020.668991469042,5019.636458729964,5020.024658352428,5023.169237841576,5025.917085561747,5026.395769630529,5026.908315189149,5024.014286689458,5023.888871726451,5026.508466092742,5028.5190310791595,5029.975705023783,5029.366749811378,5028.676836641984,5032.0462671187115,5029.814176774123,5032.941105044592,5032.103563874899,5032.134416076452,5027.241228346776,5027.739078472378,5029.63469331223,5030.072450895531,5031.711229113154,5032.163897148885,5032.616616784245,5033.0693880251165,5033.522210877381,5041.703505270325,5017.134969075118,5016.976432813344,5018.099085238007,5023.0782779575275,5017.975989237386,5019.775543274111,5022.896599336125,5019.83622829369,5022.910005957197,5026.910684524395,5031.0972156221715,5037.4438465035955,5040.125428815884,5043.1984674803
3,9996.16,9995.304008743171,10002.782151963516,10006.371301150733,10007.645191756152,10004.565480972695,10005.604975008664,10006.074139771425,10010.573403889162,10011.774297297572,10004.256499485686,10007.07165803512,10015.67934237584,10017.438100743642,10017.76472881115,10020.755336695223,10018.91394420728,10018.798123784067,10022.04006446747,10024.831572684761,10028.5520699251,10031.838499455116,10028.117135271492,10027.357944354755,10027.144444924448,10029.800854375058,10032.161645674689,10033.32388503174,10031.85529561654,10025.255151819376,10005.628699026915,10009.624173895712,10011.605827211615,10020.586961948318,10020.63274839161,10026.826549503268,10024.937867318466,10025.525721034863,10017.098370686312,10036.703751694671,10049.550541356886,10041.337982938085,10039.272917459928,10040.049316704855,10046.338475683153,10051.834171123493,10052.791539261058,10053.816630378298,10048.028573378915,10047.777743452902,10053.016932185485,10057.038062158319,10059.951410047566,10058.733499622756,10057.353673283968,10064.092534237423,10059.628353548245,10065.882210089185,10064.207127749798,10064.268832152904,10054.482456693551,10055.478156944757,10059.26938662446,10060.144901791062,10063.422458226309,10064.32779429777,10065.23323356849,10066.138776050233,10067.044421754763,10083.40701054065,10034.269938150235,10033.952865626688,10036.198170476015,10046.156555915055,10035.951978474772,10039.551086548223,10045.79319867225,10039.67245658738,10045.820011914395,10053.82136904879,10062.194431244343,10074.887693007191,10080.250857631769,10086.3969349606
4,14994.24,14992.956013114757,15004.173227945275,15009.556951726103,15011.467787634232,15006.848221459046,15008.407462513002,15009.11120965714,15015.860105833744,15017.66144594636,15006.384749228531,15010.607487052683,15023.51901356376,15026.157151115465,15026.647093216725,15031.133005042839,15028.370916310923,15028.197185676103,15033.06009670121,15037.247359027147,15042.828104887654,15047.757749182678,15042.175702907243,15041.036916532137,15040.716667386676,15044.701281562591,15048.242468512037,15049.98582754761,15047.782943424812,15037.882727729064,15008.443048540374,15014.436260843566,15017.408740817424,15030.880442922477,15030.949122587414,15040.239824254902,15037.406800977697,15038.288581552293,15025.647556029466,15055.055627542004,15074.32581203533,15062.006974407126,15058.90937618989,15060.07397505728,15069.507713524725,15077.751256685235,15079.18730889158,15080.724945567443,15072.042860068368,15071.666615179343,15079.525398278223,15085.557093237472,15089.927115071343,15088.100249434126,15086.030509925946,15096.138801356126,15089.44253032236,15098.82331513377,15096.310691624689,15096.40324822935,15081.72368504032,15083.217235417127,15088.904079936683,15090.217352686584,15095.133687339456,15096.491691446647,15097.849850352728,15099.208164075344,15100.566632632139,15125.11051581097,15051.404907225346,15050.92929844003,15054.297255714013,15069.234833872577,15053.927967712156,15059.326629822333,15068.689798008372,15059.508684881062,15068.730017871589,15080.732053573181,15093.291646866512,15112.331539510784,15120.376286447647,15129.595402440893
5,19992.32,19990.608017486342,20005.564303927033,20012.742602301467,20015.290383512303,20009.13096194539,20011.209950017328,20012.14827954285,20021.146807778325,20023.548594595144,20008.51299897137,20014.14331607024,20031.35868475168,20034.876201487285,20035.5294576223,20041.510673390447,20037.82788841456,20037.596247568134,20044.08012893494,20049.663145369523,20057.1041398502,20063.676998910232,20056.234270542984,20054.71588870951,20054.288889848896,20059.601708750117,20064.323291349378,20066.64777006348,20063.71059123308,20050.51030363875,20011.25739805383,20019.248347791425,20023.21165442323,20041.173923896637,20041.26549678322,20053.653099006537,20049.87573463693,20051.051442069725,20034.196741372623,20073.407503389342,20099.101082713772,20082.67596587617,20078.545834919856,20080.09863340971,20092.676951366306,20103.668342246987,20105.583078522115,20107.633260756596,20096.05714675783,20095.555486905803,20106.03386437097,20114.076124316638,20119.902820095132,20117.466999245513,20114.707346567935,20128.185068474846,20119.25670709649,20131.76442017837,20128.414255499596,20128.537664305808,20108.964913387103,20110.956313889514,20118.53877324892,20120.289803582124,20126.844916452617,20128.65558859554,20130.46646713698,20132.277552100466,20134.088843509526,20166.8140210813,20068.53987630047,20067.905731253377,20072.39634095203,20092.31311183011,20071.903956949543,20079.102173096446,20091.5863973445,20079.34491317476,20091.64002382879,20107.64273809758,20124.388862488686,20149.775386014382,20160.501715263537,20172.7938699212
6,29863.2,29778.848616031544,29897.5857465651,29895.088751873613,29892.46191620083,29843.326908280425,29810.20835419796,29793.342072363193,29833.32796296818,29840.844051823045,29653.834534357047,29694.185739555924,29840.352495043968,29915.194746916917,29938.515001531934,29985.997872328833,29924.95914984201,29911.280844949255,29949.806385925647,30023.7647074672,30077.937540356008,30138.12600862693,30085.806320298816,30038.785500952246,29954.362313009224,30018.57560521794,30041.568428409446,30087.64327450967,30071.989611976824,29975.389833180772,29640.741169744826,29746.705385356014,29641.211034759326,29639.181878859163,29654.089897476642,29734.187955009456,29784.970839219677,29741.585160646213,29641.098206138966,29856.3466531218,29986.276425166903,29950.025366601763,29932.08361447298,29893.017373372073,30029.81623824968,30080.613113396066,30185.479221521353,30194.79165354892,30107.06872525896,30137.580383346576,30235.954465054863,30186.666631537053,30269.178152424356,30218.449376012846,30170.504272055994,30346.219929127168,30287.476788682157,30357.574906094378,30262.21057278585,30226.657388363834,30222.045359436997,30207.511788993637,30248.096484845308,30248.261224512997,30404.89683348822,30405.06718435049,30405.237554631058,30405.407944332128,30405.578353455927,30595.50783486024,30319.357974183295,30391.43826240517,30450.72968754434,30511.44139679138,30418.409554809314,30457.1334821401,30600.241507810886,30593.687700149305,30599.213589300158,30793.744131891704,30859.687138016445,30985.33716085782,30938.1895288395,30946.53633327265
7,49772.0,49493.25532803311,49817.738410230304,49829.064594791256,49833.363426106676,49649.9833937503,49629.41220062259,49543.52284406534,49623.08733630441,49714.35259562628,49293.65033166262,49318.22742918836,49728.03133795904,49839.76420915383,49927.973747004915,49920.73159673254,49823.34244274812,49744.71616474564,49702.4006687995,49984.843759955416,50224.54051138688,50287.54782027633,50138.78182235271,50050.965728900854,49934.05205563303,50235.86726065859,50286.95432246562,50577.677337212495,50486.75030128669,50191.60479444271,50098.01320763227,50203.99048912825,50049.50533198904,50098.33632172719,50276.795130129794,50490.68502696846,50445.75771425809,50227.163355489356,49988.883419599304,50235.11564522632,50393.46195288968,50192.88708065035,50163.04346924301,50050.15049763726,50249.55680445958,50476.671060056855,50575.35329766969,50574.545101263655,50528.623069179404,50650.906333602245,50555.93405305587,50434.427374982886,50564.385537724265,50530.44238958444,50551.7219931866,50774.44240834576,50701.808520640945,50803.158265859434,50688.22233953063,50688.353918600005,50880.74458021824,50786.000922350366,50811.92336709833,50812.20180581889,51132.005473107136,51132.29339572347,51132.58135116012,51132.8693394208,51133.15736050926,51605.50578270121,51502.69739706342,51742.14848141273,51888.64339988183,51947.322793198466,51800.16159873838,51881.92655023717,52270.44222403083,52469.6067381884,52405.54276662827,53035.15574691147,53149.89588987179,53651.03134139143,53276.83895393723,53392.89593186085
8,99544.0,98986.51065606622,99635.47682046061,99658.12918958251,99666.72685221335,99299.9667875006,99258.82440124518,99087.04568813067,99246.17467260882,99428.70519125256,98587.30066332524,98636.45485837672,99456.06267591807,99679.52841830766,99855.94749400983,99841.46319346508,99646.68488549624,99489.43232949128,99404.801337599,99969.68751991083,100449.08102277375,100575.09564055267,100277.56364470541,100101.93145780171,99868.10411126606,100471.73452131718,100573.90864493125,101155.35467442499,100973.50060257337,100383.20958888542,100196.02641526454,100407.9809782565,100099.01066397809,100196.67264345438,100553.59026025959,100981.37005393692,100891.51542851618,100454.32671097871,99977.76683919861,100470.23129045263,100786.92390577936,100385.7741613007,100326.08693848603,100100.30099527452,100499.11360891916,100953.34212011371,101150.70659533938,101149.09020252731,101057.24613835881,101301.81266720449,101111.86810611174,100868.85474996577,101128.77107544853,101060.88477916887,101103.4439863732,101548.88481669153,101403.61704128189,101606.31653171887,101376.44467906126,101376.70783720001,101761.48916043648,101572.00184470073,101623.84673419666,101624.40361163778,102264.01094621427,102264.58679144694,102265.16270232025,102265.7386788416,102266.31472101853,103211.01156540243,103005.39479412684,103484.29696282547,103777.28679976366,103894.64558639693,103600.32319747676,103763.85310047434,104540.88444806165,104939.2134763768,104811.08553325654,106070.31149382294,106299.79177974358,107302.06268278285,106553.67790787446,106785.7918637217
9,199088.0,198525.65744021029,199317.23831043392,199300.59167915737,199283.07944133884,198955.51272186943,198734.7223613197,198622.28048242122,198888.8530864545,198938.96034548696,197692.23022904698,197961.23826370612,198935.68330029305,199434.6316461127,199590.10001021286,199906.6524821922,199499.72766561335,199408.5389663283,199665.37590617093,200158.43138311463,200519.58360237337,200920.84005751283,200572.0421353254,200258.57000634828,199695.7487533948,200123.83736811957,200277.12285606295,200584.28849673114,200479.9307465121,199835.93222120515,197604.94113163213,198311.3692357067,197608.0735650621,197594.54585906104,197693.9326498442,198227.919700063,198566.47226146446,198277.23440430802,197607.32137425974,199042.31102081193,199908.50950111265,199666.83577734503,199547.2240964865,199286.7824891471,200198.7749216645,200537.42075597373,201236.5281434756,201298.6110236594,200713.79150172634,200917.2025556438,201573.0297670324,201244.44421024696,201794.52101616233,201456.3291734189,201136.69514703992,202308.13286084775,201916.51192454764,202383.8327072958,201748.07048523898,201511.04925575881,201480.3023962466,201383.41192662422,201653.97656563533,201655.0748300866,202699.31222325476,202700.4478956699,202701.58369754034,202702.71962888082,202703.85568970614,203970.05223240156,202129.0531612219,202609.5884160344,203004.8645836289,203409.6093119425,202789.39703206206,203047.55654760063,204001.61005207256,203957.91800099536,203994.75726200105,205291.6275459447,205731.24758677627,206568.91440571874,206254.59685892993,206310.24222181764
