,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,999.556,999.4704008743173,1000.2182151963518,1000.5771301150736,1000.7045191756155,1000.3965480972697,1000.5004975008667,1000.5474139771426,1000.9973403889162,1001.1174297297572,1000.3656499485686,1000.6471658035119,1001.5079342375839,1001.6838100743641,1001.7164728811149,1002.0155336695224,1001.831394420728,1001.8198123784066,1002.1440064467471,1002.4231572684763,1002.7952069925101,1003.1238499455117,1002.7517135271493,1002.6757944354756,1002.6544444924449,1002.9200854375059,1003.156164567469,1003.2723885031738,1003.125529561654,1002.4655151819375,1000.3346762902619,1000.7341998419292,1000.9323533022668,1001.8304129737302,1001.8349913437719,1002.4543343504762,1002.2654774462978,1002.3242592963529,1001.4815747462148,1003.4419953994458,1004.7265974059453,1003.9053907620539,1003.6988965851783,1003.7765318585894,1004.4054100807084,1004.9549467023387,1005.0506777809047,1005.1531807517384,1004.5744097256191,1004.5493282356343,1005.0732157231132,1005.4753046314954,1005.7666219677762,1005.6448382212851,1005.5068638533667,1006.1807095790259,1005.7343182531401,1006.3596664430056,1006.1921682437818,1006.1983383144474,1005.2197593945777,1005.3193234548761,1005.6984237111815,1005.785969982998,1006.1137059920583,1006.2042341757162,1006.2947726786819,1006.3853215021314,1006.4758806472413,1008.1120415044317,1002.9939320903126,1002.9622320476815,1003.1867114779646,1004.182323584076,1003.1620978758538,1003.5219268452249,1004.1459961219595,1003.5340610893794,1004.1486768364836,1004.9486306118308,1005.7857464413139,1007.054783993083,1007.5909785057357,1008.2054464866287
1,1999.112,1998.9408017486346,2000.4364303927036,2001.1542602301472,2001.409038351231,2000.7930961945394,2001.0009950017334,2001.0948279542852,2001.9946807778324,2002.2348594595144,2000.7312998971372,2001.2943316070239,2003.0158684751677,2003.3676201487283,2003.4329457622298,2004.0310673390447,2003.662788841456,2003.6396247568132,2004.2880128934942,2004.8463145369526,2005.5904139850202,2006.2476998910233,2005.5034270542985,2005.3515888709512,2005.3088889848898,2005.8401708750118,2006.312329134938,2006.5447770063477,2006.251059123308,2004.931030363875,2000.6693525805238,2001.4683996838585,2001.8647066045337,2003.6608259474604,2003.6699826875438,2004.9086687009524,2004.5309548925957,2004.6485185927058,2002.9631494924297,2006.8839907988915,2009.4531948118906,2007.8107815241078,2007.3977931703566,2007.5530637171787,2008.8108201614168,2009.9098934046774,2010.1013555618094,2010.3063615034769,2009.1488194512383,2009.0986564712687,2010.1464314462264,2010.9506092629908,2011.5332439355525,2011.2896764425702,2011.0137277067333,2012.3614191580518,2011.4686365062803,2012.7193328860112,2012.3843364875636,2012.3966766288947,2010.4395187891555,2010.6386469097522,2011.396847422363,2011.571939965996,2012.2274119841165,2012.4084683514325,2012.5895453573637,2012.7706430042629,2012.9517612944826,2016.2240830088633,2005.9878641806251,2005.924464095363,2006.3734229559293,2008.364647168152,2006.3241957517075,2007.0438536904499,2008.291992243919,2007.0681221787588,2008.2973536729671,2009.8972612236616,2011.5714928826278,2014.109567986166,2015.1819570114715,2016.4108929732574
2,4997.78,4997.352004371585,5001.091075981758,5002.8856505753665,5003.522595878076,5001.982740486347,5002.502487504332,5002.737069885712,5004.986701944581,5005.587148648786,5001.828249742843,5003.23582901756,5007.53967118792,5008.419050371821,5008.5823644055745,5010.0776683476115,5009.156972103639,5009.099061892033,5010.720032233735,5012.1157863423805,5013.976034962549,5015.619249727558,5013.758567635746,5013.378972177377,5013.272222462224,5014.600427187529,5015.780822837344,5016.3619425158695,5015.62764780827,5012.327575909688,5001.67338145131,5003.670999209647,5004.661766511334,5009.152064868651,5009.174956718859,5012.271671752382,5011.3273872314885,5011.621296481765,5007.407873731074,5017.209976997229,5023.632987029726,5019.526953810269,5018.494482925891,5018.882659292945,5022.027050403541,5024.774733511693,5025.253388904522,5025.765903758691,5022.872048628095,5022.746641178171,5025.366078615564,5027.376523157475,5028.833109838879,5028.224191106425,5027.5343192668315,5030.903547895128,5028.671591265699,5031.798332215027,5030.960841218907,5030.991691572236,5026.098796972888,5026.59661727438,5028.492118555907,5028.929849914989,5030.568529960291,5031.02117087858,5031.4738633934085,5031.926607510656,5032.379403236206,5040.560207522158,5014.969660451562,5014.811160238405,5015.933557389821,5020.911617920378,5015.810489379267,5017.6096342261235,5020.729980609795,5017.670305446894,5020.743384182416,5024.743153059151,5028.9287322065675,5035.2739199654125,5037.954892528677,5041.027232433141
3,9995.56,9994.70400874317,10002.182151963516,10005.771301150733,10007.045191756151,10003.965480972694,10005.004975008664,10005.474139771424,10009.973403889162,10011.174297297572,10003.656499485685,10006.47165803512,10015.07934237584,10016.838100743642,10017.164728811149,10020.155336695223,10018.313944207279,10018.198123784066,10021.44006446747,10024.231572684761,10027.952069925099,10031.238499455116,10027.517135271491,10026.757944354755,10026.544444924448,10029.200854375058,10031.561645674688,10032.723885031739,10031.25529561654,10024.655151819376,10003.34676290262,10007.341998419293,10009.323533022667,10018.304129737302,10018.349913437718,10024.543343504763,10022.654774462977,10023.24259296353,10014.815747462148,10034.419953994458,10047.265974059452,10039.053907620539,10036.988965851782,10037.76531858589,10044.054100807081,10049.549467023386,10050.506777809043,10051.531807517382,10045.74409725619,10045.493282356341,10050.732157231128,10054.75304631495,10057.666219677758,10056.44838221285,10055.068638533663,10061.807095790256,10057.343182531398,10063.596664430053,10061.921682437815,10061.983383144472,10052.197593945775,10053.19323454876,10056.984237111814,10057.859699829978,10061.137059920582,10062.04234175716,10062.947726786817,10063.853215021312,10064.758806472411,10081.120415044315,10029.939320903124,10029.62232047681,10031.867114779641,10041.823235840757,10031.620978758534,10035.219268452247,10041.45996121959,10035.340610893789,10041.486768364832,10049.486306118302,10057.857464413135,10070.547839930825,10075.909785057354,10082.054464866282
4,14993.34,14992.056013114758,15003.273227945276,15008.656951726103,15010.567787634232,15005.948221459046,15007.507462513002,15008.21120965714,15014.960105833745,15016.76144594636,15005.484749228532,15009.707487052683,15022.61901356376,15025.257151115466,15025.747093216725,15030.233005042839,15027.470916310924,15027.297185676103,15032.160096701211,15036.347359027148,15041.928104887655,15046.857749182678,15041.275702907244,15040.136916532138,15039.816667386676,15043.801281562592,15047.342468512037,15049.085827547611,15046.882943424813,15036.982727729064,15005.020144353932,15011.012997628945,15013.985299534008,15027.456194605957,15027.524870156583,15036.815015257149,15033.982161694472,15034.8638894453,15022.223621193229,15051.629930991692,15070.898961089182,15058.580861430813,15055.483448777679,15056.647977878842,15066.08115121063,15074.324200535084,15075.760166713573,15077.29771127608,15068.616145884289,15068.239923534516,15076.098235846699,15082.129569472432,15086.499329516644,15084.67257331928,15082.602957800502,15092.71064368539,15086.014773797102,15095.394996645084,15092.882523656728,15092.97507471671,15078.29639091867,15079.789851823145,15085.476355667726,15086.789549744972,15091.705589880876,15093.063512635745,15094.421590180229,15095.779822531971,15097.13820970862,15121.680622566477,15044.908981354693,15044.433480715223,15047.800672169473,15062.734853761141,15047.43146813781,15052.828902678377,15062.189941829392,15053.010916340694,15062.230152547256,15074.229459177464,15086.786196619712,15105.821759896247,15113.86467758604,15123.081697299433
5,19991.12,19989.40801748634,20004.364303927032,20011.542602301466,20014.090383512303,20007.93096194539,20010.009950017327,20010.94827954285,20019.946807778324,20022.348594595143,20007.31299897137,20012.94331607024,20030.15868475168,20033.676201487284,20034.329457622298,20040.310673390446,20036.627888414558,20036.396247568133,20042.88012893494,20048.463145369522,20055.904139850198,20062.47699891023,20055.034270542983,20053.51588870951,20053.088889848896,20058.401708750116,20063.123291349377,20065.447770063478,20062.51059123308,20049.31030363875,20006.69352580524,20014.683996838587,20018.647066045334,20036.608259474604,20036.699826875436,20049.086687009527,20045.309548925954,20046.48518592706,20029.631494924295,20068.839907988917,20094.531948118904,20078.107815241077,20073.977931703565,20075.53063717178,20088.108201614163,20099.09893404677,20101.013555618087,20103.063615034764,20091.48819451238,20090.986564712683,20101.464314462257,20109.5060926299,20115.332439355516,20112.8967644257,20110.137277067326,20123.614191580513,20114.686365062797,20127.193328860107,20123.84336487563,20123.966766288944,20104.39518789155,20106.38646909752,20113.968474223628,20115.719399659956,20122.274119841164,20124.08468351432,20125.895453573634,20127.706430042625,20129.517612944823,20162.24083008863,20059.87864180625,20059.24464095362,20063.734229559283,20083.646471681514,20063.241957517068,20070.438536904494,20082.91992243918,20070.681221787578,20082.973536729663,20098.972612236605,20115.71492882627,20141.09567986165,20151.81957011471,20164.108929732563
6,29886.24,29801.888616031538,29920.625746565092,29918.128751873606,29915.501916200825,29866.36690828042,29833.248354197953,29816.382072363187,29856.367962968172,29863.88405182304,29676.87453435704,29717.225739555917,29863.39249504396,29938.23474691691,29961.555001531928,30009.037872328827,29947.999149842002,29934.32084494925,29972.84638592564,30046.804707467192,30100.977540356,30161.166008626922,30108.84632029881,30061.82550095224,29977.402313009217,30041.615605217932,30064.60842840944,30110.683274509665,30095.029611976817,29998.429833180766,29679.88706913297,29785.93327603644,29680.35729771209,29678.326571724196,29693.246125629365,29773.40616015327,29824.228338329653,29780.809089481234,29680.244381789005,29895.659380264995,30025.689687286507,29989.410578958326,29971.454944148165,29932.358474997396,30069.263189907964,30120.09936984619,30225.04661958776,30234.36625723971,30146.575452108384,30177.110719017735,30275.560919046162,30226.234948378547,30308.81031370793,30258.04228519692,30210.06008304603,30385.911702561843,30327.12310879119,30397.275465601128,30301.837342807332,30266.256648612143,30261.64105106349,30247.09623506695,30287.712333894055,30287.877201031366,30444.634008997436,30444.804491671068,30444.974993778018,30445.145515320506,30445.31605630074,30635.392498294852,30374.69202225569,30446.86644729861,30506.235307009916,30567.02630571944,30473.8729641974,30512.647464958274,30655.94238964036,30649.380022709185,30654.913128668562,30849.697728053274,30915.72685571165,31041.540977421195,30994.3317706186,31002.689475974243
7,49805.0,49526.25532803311,49850.738410230304,49862.064594791256,49866.363426106676,49682.9833937503,49662.41220062259,49576.52284406534,49656.08733630441,49747.35259562628,49326.65033166262,49351.22742918836,49761.03133795904,49872.76420915383,49960.973747004915,49953.73159673254,49856.34244274812,49777.71616474564,49735.4006687995,50017.843759955416,50257.54051138688,50320.54782027633,50171.78182235271,50083.965728900854,49967.05205563303,50268.86726065859,50319.95432246562,50610.677337212495,50519.75030128669,50224.60479444271,50164.10066201328,50270.14743334739,50115.560979511276,50164.423987975744,50342.999812719325,50557.029958242405,50512.07318646644,50293.33549427387,50054.89931702775,50301.292998367324,50459.74313450347,50259.03674430853,50229.17356429464,50116.20656819787,50315.743626741554,50543.00680230199,50641.75374635587,50640.94502001138,50594.99287661902,50717.356322795255,50622.3217684454,50500.73541783061,50630.77879479492,50596.813389961615,50618.10694670722,50840.973400766205,50768.291886654784,50869.708087412524,50754.69679701698,50754.82846236341,50947.34527550906,50852.53949374675,50878.47893597251,50878.75755726675,51198.77092143301,51199.05903284166,51199.34717709213,51199.63535418817,51199.923564133525,51672.581707568854,51603.74616554264,51843.50808737198,51990.19317458229,52048.94874109646,51901.596512985525,51983.46760562603,52372.48762139549,52571.91067602224,52507.76354140802,53138.19383814946,53253.08292817757,53754.86891624134,53380.19078022987,53496.3984146379
8,99610.0,99052.51065606622,99701.47682046061,99724.12918958251,99732.72685221335,99365.9667875006,99324.82440124518,99153.04568813067,99312.17467260882,99494.70519125256,98653.30066332524,98702.45485837672,99522.06267591807,99745.52841830766,99921.94749400983,99907.46319346508,99712.68488549624,99555.43232949128,99470.801337599,100035.68751991083,100515.08102277375,100641.09564055267,100343.56364470541,100167.93145780171,99934.10411126606,100537.73452131718,100639.90864493125,101221.35467442499,101039.50060257337,100449.20958888542,100328.20132402657,100540.29486669478,100231.12195902255,100328.84797595149,100685.99962543865,101114.05991648481,101024.14637293288,100586.67098854775,100109.7986340555,100602.58599673465,100919.48626900694,100518.07348861705,100458.34712858927,100232.41313639574,100631.48725348311,101086.01360460398,101283.50749271174,101281.89004002276,101189.98575323804,101434.71264559051,101244.6435368908,101001.47083566122,101261.55758958984,101193.62677992323,101236.21389341445,101681.94680153241,101536.58377330957,101739.41617482505,101509.39359403396,101509.65692472682,101894.69055101812,101705.0789874935,101756.95787194502,101757.5151145335,102397.54184286602,102398.11806568332,102398.69435418426,102399.27070837634,102399.84712826705,103345.16341513771,103207.49233108528,103687.01617474396,103980.38634916458,104097.89748219292,103803.19302597105,103966.93521125206,104744.97524279098,105143.82135204448,105015.52708281604,106276.38767629892,106506.16585635515,107509.73783248269,106760.38156045973,106992.7968292758
9,199241.6,198679.2574402103,199470.83831043393,199454.19167915737,199436.67944133884,199109.11272186943,198888.3223613197,198775.88048242123,199042.4530864545,199092.56034548697,197845.830229047,198114.83826370613,199089.28330029306,199588.23164611272,199743.70001021287,200060.2524821922,199653.32766561335,199562.13896632832,199818.97590617093,200312.03138311463,200673.18360237338,201074.44005751284,200725.6421353254,200412.1700063483,199849.3487533948,200277.43736811957,200430.72285606296,200737.88849673115,200633.53074651212,199989.53222120515,197865.9137942198,198572.8885069096,197869.04865141396,197855.51047816133,197954.97417086246,198489.3744010218,198828.18892219767,198538.72726320825,197868.2958785934,199304.39586843332,200171.26458191007,199929.4038597222,199809.69962765445,199549.05649998266,200461.75459938645,200800.66246564128,201500.31079725176,201562.44171493142,200977.16968072258,201180.73812678494,201837.07279364107,201508.23298919035,202058.73542471955,201720.28190131285,201400.40055364024,202572.74468374564,202180.82072527465,202648.5031040075,202012.24895204895,201775.04432408098,201744.27367375663,201647.30823377968,201918.0822259604,201919.18134020912,202964.2267266496,202965.36327780713,202966.49995852014,202967.63676880338,202968.7737086716,204235.9499886324,202497.94681503798,202979.1096486574,203374.9020467328,203780.17537146297,203159.15309464937,203417.64976638855,204372.94926426912,204329.20015139465,204366.0875244571,205664.65152035523,206104.8457047444,206943.60651614136,206628.87847079066,206684.59650649497
