,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.11072,1000.2188019655105,1000.3265155282942,1000.432920259751,1000.5362649804138,1000.6413813204126,1000.7454780433114,1000.846953634785,1000.9469382454531,1001.0464824184617,1001.1463568260126,1001.252298133492,1001.3511117227948,1001.4511066448115,1001.5524334677818,1001.6516973294629,1001.7575618973536,1001.8599615553308,1001.9608087790609,1002.059311546172,1002.1580544707318,1002.2579796503431,1002.3585161482819,1002.4585615517786,1002.5581558098688,1002.6563162789041,1002.7548773947943,1002.8559149762407,1002.9571031380618,1003.0539486759409,1003.1507233209092,1003.2471261054203,1003.3425951019404,1003.441614982651,1003.5383668231676,1003.6359107524229,1003.7327515814513,1003.8233786115916,1003.9153689860076,1004.015700287984,1004.1143649108514,1004.2101875446948,1004.3084394694441,1004.40731363531,1004.5056651994611,1004.6083256784444,1004.7062950823646,1004.806725523621,1004.9047343716286,1005.0022704251467,1005.1169612842476,1005.2172619058142,1005.3141547976893,1005.4294944906692,1005.5278355495253,1005.6245974931403,1005.7243554532116,1005.8241937099774,1005.9286586107361,1006.0322592032863,1006.1410716524417,1006.2551479271457,1006.3684723819052,1006.4818095992649,1006.585306123746,1006.6893165834277,1006.7933075898308,1006.8973093385048,1007.0007176921738,1007.1044689761176,1007.208301446869,1007.3131014706345,1007.4249535174217,1007.532143532476,1007.6376119972609,1007.7436457031714,1007.8494789408431,1007.958407312527,1008.0611384334003,1008.1616118870679,1008.2637890664327,1008.3741334555081,1008.4731255441894,1008.5724198081305
1,2000.22144,2000.437603931021,2000.6530310565884,2000.865840519502,2001.0725299608275,2001.2827626408252,2001.4909560866229,2001.69390726957,2001.8938764909062,2002.0929648369233,2002.2927136520252,2002.504596266984,2002.7022234455897,2002.902213289623,2003.1048669355637,2003.3033946589258,2003.5151237947073,2003.7199231106615,2003.9216175581219,2004.118623092344,2004.3161089414637,2004.5159593006863,2004.7170322965637,2004.9171231035573,2005.1163116197376,2005.3126325578082,2005.5097547895887,2005.7118299524814,2005.9142062761237,2006.1078973518818,2006.3014466418183,2006.4942522108406,2006.685190203881,2006.883229965302,2007.0767336463352,2007.2718215048458,2007.4655031629027,2007.6467572231832,2007.8307379720152,2008.031400575968,2008.2287298217027,2008.4203750893896,2008.6168789388882,2008.81462727062,2009.0113303989222,2009.2166513568889,2009.4125901647292,2009.613451047242,2009.8094687432572,2010.0045408502933,2010.2339225684952,2010.4345238116284,2010.6283095953786,2010.8589889813384,2011.0556710990506,2011.2491949862806,2011.4487109064232,2011.6483874199548,2011.8573172214722,2012.0645184065727,2012.2821433048834,2012.5102958542914,2012.7369447638105,2012.9636191985298,2013.170612247492,2013.3786331668555,2013.5866151796615,2013.7946186770096,2014.0014353843476,2014.2089379522351,2014.416602893738,2014.626202941269,2014.8499070348435,2015.064287064952,2015.2752239945219,2015.4872914063428,2015.6989578816863,2015.916814625054,2016.1222768668006,2016.3232237741358,2016.5275781328653,2016.7482669110161,2016.9462510883789,2017.144839616261
2,5000.5536,5001.094009827552,5001.632577641471,5002.164601298754,5002.681324902068,5003.206906602062,5003.727390216556,5004.234768173924,5004.734691227264,5005.232412092307,5005.731784130061,5006.261490667458,5006.755558613972,5007.255533224055,5007.762167338907,5008.258486647312,5008.787809486766,5009.2998077766515,5009.804043895302,5010.296557730858,5010.790272353656,5011.289898251713,5011.792580741407,5012.29280775889,5012.790779049341,5013.281581394518,5013.774386973969,5014.2795748812005,5014.785515690306,5015.269743379701,5015.753616604542,5016.235630527098,5016.7129755096985,5017.208074913252,5017.691834115835,5018.179553762111,5018.663757907254,5019.116893057955,5019.576844930035,5020.078501439917,5020.571824554254,5021.050937723471,5021.5421973472185,5022.036568176547,5022.528325997303,5023.0416283922195,5023.531475411821,5024.033627618103,5024.523671858141,5025.011352125732,5025.584806421236,5026.086309529069,5026.570773988445,5027.147472453345,5027.639177747626,5028.1229874657,5028.621777266057,5029.120968549886,5029.643293053679,5030.161296016431,5030.705358262208,5031.275739635728,5031.8423619095265,5032.409047996325,5032.926530618731,5033.4465829171395,5033.966537949155,5034.486546692526,5035.0035884608715,5035.522344880591,5036.0415072343485,5036.565507353176,5037.124767587113,5037.660717662384,5038.188059986309,5038.7182285158615,5039.24739470422,5039.79203656264,5040.305692167006,5040.808059435344,5041.318945332168,5041.870667277545,5042.365627720952,5042.862099040657
3,10001.1072,10002.188019655105,10003.265155282941,10004.329202597508,10005.362649804136,10006.413813204124,10007.454780433112,10008.469536347848,10009.469382454528,10010.464824184613,10011.463568260122,10012.522981334916,10013.511117227945,10014.51106644811,10015.524334677813,10016.516973294623,10017.575618973531,10018.599615553303,10019.608087790604,10020.593115461716,10021.580544707313,10022.579796503425,10023.585161482813,10024.58561551778,10025.581558098682,10026.563162789036,10027.548773947938,10028.559149762401,10029.571031380612,10030.539486759402,10031.507233209084,10032.471261054196,10033.425951019397,10034.416149826504,10035.38366823167,10036.359107524222,10037.327515814508,10038.23378611591,10039.15368986007,10040.157002879834,10041.143649108508,10042.101875446942,10043.084394694437,10044.073136353094,10045.056651994606,10046.083256784439,10047.062950823642,10048.067255236207,10049.047343716282,10050.022704251463,10051.169612842472,10052.172619058138,10053.14154797689,10054.29494490669,10055.278355495251,10056.2459749314,10057.243554532113,10058.241937099772,10059.286586107359,10060.322592032862,10061.410716524417,10062.551479271457,10063.684723819053,10064.81809599265,10065.853061237462,10066.893165834279,10067.93307589831,10068.973093385051,10070.007176921743,10071.044689761182,10072.083014468697,10073.131014706352,10074.249535174225,10075.321435324768,10076.376119972618,10077.436457031723,10078.49478940844,10079.58407312528,10080.611384334012,10081.616118870688,10082.637890664337,10083.74133455509,10084.731255441904,10085.724198081314
4,15001.6608,15003.282029482656,15004.897732924412,15006.493803896263,15008.043974706205,15009.620719806187,15011.182170649668,15012.704304521772,15014.204073681794,15015.697236276923,15017.195352390187,15018.784472002377,15020.266675841918,15021.766599672168,15023.286502016723,15024.775459941937,15026.363428460298,15027.899423329955,15029.412131685907,15030.889673192572,15032.370817060968,15033.869694755138,15035.377742224218,15036.87842327667,15038.372337148023,15039.844744183552,15041.323160921906,15042.8387246436,15044.356547070916,15045.8092301391,15047.260849813625,15048.706891581292,15050.138926529095,15051.624224739753,15053.075502347503,15054.538661286331,15055.991273721758,15057.350679173862,15058.730534790102,15060.23550431975,15061.715473662758,15063.152813170409,15064.62659204165,15066.109704529636,15067.584977991903,15069.124885176654,15070.594426235457,15072.100882854304,15073.571015574416,15075.034056377188,15076.754419263701,15078.2589285872,15079.712321965326,15081.442417360026,15082.917533242868,15084.368962397091,15085.86533179816,15087.362905649648,15088.929879161029,15090.483888049284,15092.116074786616,15093.827218907176,15095.527085728569,15097.227143988963,15098.779591856179,15100.339748751405,15101.89961384745,15103.45964007756,15105.010765382596,15106.567034641754,15108.124521703025,15109.696522059508,15111.374302761318,15112.982152987131,15114.564179958907,15116.154685547564,15117.742184112642,15119.3761096879,15120.917076501,15122.424178306015,15123.956835996487,15125.612001832618,15127.096883162838,15128.586297121954
5,20002.2144,20004.37603931021,20006.530310565882,20008.658405195016,20010.72529960827,20012.82762640825,20014.909560866225,20016.939072695695,20018.938764909057,20020.929648369227,20022.927136520244,20025.045962669832,20027.02223445589,20029.02213289622,20031.048669355627,20033.033946589247,20035.151237947062,20037.199231106606,20039.21617558121,20041.18623092343,20043.161089414625,20045.15959300685,20047.170322965627,20049.17123103556,20051.163116197364,20053.126325578072,20055.097547895875,20057.118299524802,20059.142062761224,20061.078973518805,20063.014466418168,20064.94252210839,20066.851902038794,20068.832299653008,20070.76733646334,20072.718215048444,20074.655031629016,20076.46757223182,20078.30737972014,20080.31400575967,20082.287298217016,20084.203750893885,20086.168789388874,20088.146272706188,20090.113303989212,20092.166513568878,20094.125901647283,20096.134510472413,20098.094687432564,20100.045408502927,20102.339225684944,20104.345238116275,20106.28309595378,20108.58988981338,20110.556710990502,20112.4919498628,20114.487109064226,20116.483874199545,20118.573172214717,20120.645184065725,20122.821433048834,20125.102958542913,20127.369447638106,20129.6361919853,20131.706122474923,20133.786331668558,20135.86615179662,20137.946186770103,20140.014353843486,20142.089379522364,20144.166028937394,20146.262029412705,20148.49907034845,20150.642870649535,20152.752239945235,20154.872914063446,20156.98957881688,20159.16814625056,20161.222768668023,20163.232237741377,20165.275781328673,20167.48266911018,20169.462510883808,20171.44839616263
6,29945.26739136,29876.551428430386,30023.522008713335,30040.48323026733,30057.242970061772,30080.08644966595,30147.66098482514,30133.333891973612,30200.93613778342,30278.71533379585,30195.611498005346,30184.33382910026,30332.55570666283,30376.697441195072,30327.327594381248,30362.433068315353,30316.068701434946,30262.28072094956,30216.929788478345,30254.00671193978,30294.722629285738,30354.073101523136,30342.551087346124,30243.704403244774,30198.360344926936,30248.17877911609,30225.819160864165,30232.370912501254,30142.800543373844,29990.657712120395,30108.829876099066,30142.053860092048,30118.634614653653,30114.011309385067,30110.676816062965,30150.235635035904,30199.087759481554,30199.956208721676,30141.913051327414,30306.567629622295,30407.650014208193,30396.30156659231,30404.48644016085,30390.528305094616,30390.540377012912,30410.168547368135,30396.71491862995,30393.04147917637,30357.720687243316,30365.686561312556,30412.055747584564,30457.74605447046,30478.0221244746,30461.197776178306,30443.768577580347,30478.597525800047,30456.55085246104,30504.574664655374,30480.714303143257,30523.72313524159,30492.43955548863,30498.925764961285,30510.635415043835,30533.80028107611,30577.983908462425,30578.411703483092,30578.839418492433,30579.267177684727,30579.69249624337,30727.87678885417,30718.39418970503,30744.062993294523,30765.731658443146,30791.095898469648,30759.326033460486,30758.83799047685,30854.39206332535,30843.338916274944,30841.991947626077,30857.681512263865,30935.666809056333,30980.723249207404,31005.52881441638,31091.76772004189
7,49847.2015456,49660.96913821228,49835.67281297774,49861.700408800425,49816.637774013616,49914.528508918775,50139.532900738464,50175.86925035082,50363.42857535019,50564.47401486564,50416.21317220921,50395.013937056756,50744.94222295486,50789.08592823944,50633.24582477851,50712.044815762645,50683.42063338565,50608.20225675985,50567.13599732544,50563.82058576559,50735.066910593436,50819.5447795185,50865.30008322098,50644.23341069063,50661.620513269845,50812.43598436928,50781.41472245987,50730.258882702336,50386.322493286505,49933.05563707073,50196.774779643296,50223.245322596325,50223.76459266234,50215.51986568648,50181.97746470033,50269.25148658767,50423.6710696986,50448.165695334836,50354.920385930425,50684.50404299952,50749.98294787251,50677.62635995993,50718.54424684436,50757.077282607235,50808.09629584385,50738.61985270273,50738.15725695635,50769.085850947384,50741.94727730168,50705.269405210354,50793.06968624153,50987.70904310293,51108.74294293085,51105.62916085181,51063.86521997582,51207.073372626015,51173.88291330048,51383.93347106112,51397.01819717969,51438.34657272721,51295.77660250541,51281.48362450969,51295.10674100363,51358.171976875376,51493.14568163837,51493.65065242013,51494.155528756215,51494.66045724603,51495.16250480309,51902.40694013808,51909.05861342272,51865.367933819616,51918.17111668221,51978.42781173549,51980.0105945145,51996.255472215584,52123.18372671321,52021.84386143608,52129.27941449383,52159.54944691468,52233.48983506628,52353.5994397468,52383.49315928928,52500.0316736538
8,99694.4030912,99321.93827642455,99671.34562595548,99723.40081760085,99633.27554802723,99829.05701783755,100279.06580147693,100351.73850070164,100726.85715070038,101128.94802973128,100832.42634441842,100790.02787411351,101489.88444590972,101578.17185647888,101266.49164955702,101424.08963152529,101366.8412667713,101216.4045135197,101134.27199465087,101127.64117153118,101470.13382118687,101639.089559037,101730.60016644196,101288.46682138125,101323.24102653969,101624.87196873856,101562.82944491974,101460.51776540467,100772.64498657301,99866.11127414145,100393.54955928659,100446.49064519265,100447.52918532467,100431.03973137296,100363.95492940066,100538.50297317535,100847.3421393972,100896.33139066967,100709.84077186085,101369.00808599904,101499.96589574502,101355.25271991987,101437.08849368872,101514.15456521447,101616.1925916877,101477.23970540546,101476.3145139127,101538.17170189477,101483.89455460336,101410.53881042071,101586.13937248306,101975.41808620586,102217.4858858617,102211.25832170362,102127.73043995164,102414.14674525203,102347.76582660095,102767.86694212224,102794.03639435938,102876.69314545442,102591.55320501082,102562.96724901938,102590.21348200725,102716.34395375075,102986.29136327674,102987.30130484026,102988.31105751243,102989.32091449205,102990.32500960618,103804.81388027615,103818.11722684544,103730.73586763923,103836.34223336443,103956.85562347098,103960.021189029,103992.51094443117,104246.36745342641,104043.68772287216,104258.55882898766,104319.09889382936,104466.97967013255,104707.1988794936,104766.98631857857,105000.0633473076
9,199627.0519424,199157.52093937626,200157.31650697067,200275.5367246222,200390.58058186414,200546.23640588572,201002.85103684128,200903.71133509575,201364.38984678924,201894.2846085538,201323.56379862054,201249.82369971173,202266.2537171666,202567.1050652046,202229.69753230416,202468.6753913446,202150.5898112576,201786.32573241642,201479.33526158155,201733.39846069625,202016.62388685142,202424.46761481088,202343.79169382397,201671.1911774515,201361.5554587909,201700.32182251682,201551.76883702914,201596.28990780553,200989.23253809236,199944.35619320945,200748.77331311133,200974.0204355864,200815.34585352897,200794.0609545762,200772.76422336217,201044.96544863321,201374.82081258026,201378.7419787662,200982.59725061036,202109.76957307398,202805.40083491008,202729.30432984853,202786.10294198387,202689.25861325883,202690.54670943448,202823.43137528963,202740.56847814386,202715.0899092569,202470.44716667724,202528.44065857038,202841.3189664035,203150.64433152621,203289.6987242415,203172.63063795384,203050.00851155052,203287.67559806968,203135.479970328,203461.97364275466,203297.77870788367,203587.56107327144,203371.7914744503,203418.21698309388,203500.18000921278,203654.61244942792,203955.04660263134,203957.8985694358,203960.7500028314,203963.60173078004,203966.4371878376,204971.3552064803,204908.32032391505,205082.9990323903,205233.09524398373,205406.4712622066,205189.76494821263,205185.0836177902,205836.57466938562,205758.89638278962,205748.22909185744,205858.37268602056,206391.0169117559,206702.39567484785,206872.50752833864,207456.69775918004
