,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.11072,1000.2188019655105,1000.3265155282942,1000.432920259751,1000.5362649804138,1000.6413813204126,1000.7454780433114,1000.846953634785,1000.9469382454531,1001.0464824184617,1001.1463568260126,1001.252298133492,1001.3511117227948,1001.4511066448115,1001.5524334677818,1001.6516973294629,1001.7575618973536,1001.8599615553308,1001.9608087790609,1002.059311546172,1002.1580544707318,1002.2579796503431,1002.3585161482819,1002.4585615517786,1002.5581558098688,1002.6563162789041,1002.7548773947943,1002.8559149762407,1002.9571031380618,1003.0539486759409,1003.1507233209092,1003.2471261054203,1003.3425951019404,1003.441614982651,1003.5383668231676,1003.6359107524229,1003.7327515814513,1003.8233786115916,1003.9153689860076,1004.015700287984,1004.1143649108514,1004.2101875446948,1004.3084394694441,1004.40731363531,1004.5056651994611,1004.6083256784444,1004.7062950823646,1004.806725523621,1004.9047343716286,1005.0022704251467,1005.1169612842476,1005.2172619058142,1005.3141547976893,1005.4294944906692,1005.5278355495253,1005.6245974931403,1005.7243554532116,1005.8241937099774,1005.9286586107361,1006.0322592032863,1006.1410716524417,1006.2551479271457,1006.3684723819052,1006.4818095992649,1006.585306123746,1006.6893165834277,1006.7933075898308,1006.8973093385048,1007.0007176921738,1007.1044689761176,1007.208301446869,1007.3131014706345,1007.4249535174217,1007.532143532476,1007.6376119972609,1007.7436457031714,1007.8494789408431,1007.958407312527,1008.0611384334003,1008.1616118870679,1008.2637890664327,1008.3741334555081,1008.4731255441894,1008.5724198081305
1,2000.22144,2000.437603931021,2000.6530310565884,2000.865840519502,2001.0725299608275,2001.2827626408252,2001.4909560866229,2001.69390726957,2001.8938764909062,2002.0929648369233,2002.2927136520252,2002.504596266984,2002.7022234455897,2002.902213289623,2003.1048669355637,2003.3033946589258,2003.5151237947073,2003.7199231106615,2003.9216175581219,2004.118623092344,2004.3161089414637,2004.5159593006863,2004.7170322965637,2004.9171231035573,2005.1163116197376,2005.3126325578082,2005.5097547895887,2005.7118299524814,2005.9142062761237,2006.1078973518818,2006.3014466418183,2006.4942522108406,2006.685190203881,2006.883229965302,2007.0767336463352,2007.2718215048458,2007.4655031629027,2007.6467572231832,2007.8307379720152,2008.031400575968,2008.2287298217027,2008.4203750893896,2008.6168789388882,2008.81462727062,2009.0113303989222,2009.2166513568889,2009.4125901647292,2009.613451047242,2009.8094687432572,2010.0045408502933,2010.2339225684952,2010.4345238116284,2010.6283095953786,2010.8589889813384,2011.0556710990506,2011.2491949862806,2011.4487109064232,2011.6483874199548,2011.8573172214722,2012.0645184065727,2012.2821433048834,2012.5102958542914,2012.7369447638105,2012.9636191985298,2013.170612247492,2013.3786331668555,2013.5866151796615,2013.7946186770096,2014.0014353843476,2014.2089379522351,2014.416602893738,2014.626202941269,2014.8499070348435,2015.064287064952,2015.2752239945219,2015.4872914063428,2015.6989578816863,2015.916814625054,2016.1222768668006,2016.3232237741358,2016.5275781328653,2016.7482669110161,2016.9462510883789,2017.144839616261
2,5000.5536,5001.094009827552,5001.632577641471,5002.164601298754,5002.681324902068,5003.206906602062,5003.727390216556,5004.234768173924,5004.734691227264,5005.232412092307,5005.731784130061,5006.261490667458,5006.755558613972,5007.255533224055,5007.762167338907,5008.258486647312,5008.787809486766,5009.2998077766515,5009.804043895302,5010.296557730858,5010.790272353656,5011.289898251713,5011.792580741407,5012.29280775889,5012.790779049341,5013.281581394518,5013.774386973969,5014.2795748812005,5014.785515690306,5015.269743379701,5015.753616604542,5016.235630527098,5016.7129755096985,5017.208074913252,5017.691834115835,5018.179553762111,5018.663757907254,5019.116893057955,5019.576844930035,5020.078501439917,5020.571824554254,5021.050937723471,5021.5421973472185,5022.036568176547,5022.528325997303,5023.0416283922195,5023.531475411821,5024.033627618103,5024.523671858141,5025.011352125732,5025.584806421236,5026.086309529069,5026.570773988445,5027.147472453345,5027.639177747626,5028.1229874657,5028.621777266057,5029.120968549886,5029.643293053679,5030.161296016431,5030.705358262208,5031.275739635728,5031.8423619095265,5032.409047996325,5032.926530618731,5033.4465829171395,5033.966537949155,5034.486546692526,5035.0035884608715,5035.522344880591,5036.0415072343485,5036.565507353176,5037.124767587113,5037.660717662384,5038.188059986309,5038.7182285158615,5039.24739470422,5039.79203656264,5040.305692167006,5040.808059435344,5041.318945332168,5041.870667277545,5042.365627720952,5042.862099040657
3,10001.1072,10002.188019655105,10003.265155282941,10004.329202597508,10005.362649804136,10006.413813204124,10007.454780433112,10008.469536347848,10009.469382454528,10010.464824184613,10011.463568260122,10012.522981334916,10013.511117227945,10014.51106644811,10015.524334677813,10016.516973294623,10017.575618973531,10018.599615553303,10019.608087790604,10020.593115461716,10021.580544707313,10022.579796503425,10023.585161482813,10024.58561551778,10025.581558098682,10026.563162789036,10027.548773947938,10028.559149762401,10029.571031380612,10030.539486759402,10031.507233209084,10032.471261054196,10033.425951019397,10034.416149826504,10035.38366823167,10036.359107524222,10037.327515814508,10038.23378611591,10039.15368986007,10040.157002879834,10041.143649108508,10042.101875446942,10043.084394694437,10044.073136353094,10045.056651994606,10046.083256784439,10047.062950823642,10048.067255236207,10049.047343716282,10050.022704251463,10051.169612842472,10052.172619058138,10053.14154797689,10054.29494490669,10055.278355495251,10056.2459749314,10057.243554532113,10058.241937099772,10059.286586107359,10060.322592032862,10061.410716524417,10062.551479271457,10063.684723819053,10064.81809599265,10065.853061237462,10066.893165834279,10067.93307589831,10068.973093385051,10070.007176921743,10071.044689761182,10072.083014468697,10073.131014706352,10074.249535174225,10075.321435324768,10076.376119972618,10077.436457031723,10078.49478940844,10079.58407312528,10080.611384334012,10081.616118870688,10082.637890664337,10083.74133455509,10084.731255441904,10085.724198081314
4,15001.6608,15003.282029482656,15004.897732924412,15006.493803896263,15008.043974706205,15009.620719806187,15011.182170649668,15012.704304521772,15014.204073681794,15015.697236276923,15017.195352390187,15018.784472002377,15020.266675841918,15021.766599672168,15023.286502016723,15024.775459941937,15026.363428460298,15027.899423329955,15029.412131685907,15030.889673192572,15032.370817060968,15033.869694755138,15035.377742224218,15036.87842327667,15038.372337148023,15039.844744183552,15041.323160921906,15042.8387246436,15044.356547070916,15045.8092301391,15047.260849813625,15048.706891581292,15050.138926529095,15051.624224739753,15053.075502347503,15054.538661286331,15055.991273721758,15057.350679173862,15058.730534790102,15060.23550431975,15061.715473662758,15063.152813170409,15064.62659204165,15066.109704529636,15067.584977991903,15069.124885176654,15070.594426235457,15072.100882854304,15073.571015574416,15075.034056377188,15076.754419263701,15078.2589285872,15079.712321965326,15081.442417360026,15082.917533242868,15084.368962397091,15085.86533179816,15087.362905649648,15088.929879161029,15090.483888049284,15092.116074786616,15093.827218907176,15095.527085728569,15097.227143988963,15098.779591856179,15100.339748751405,15101.89961384745,15103.45964007756,15105.010765382596,15106.567034641754,15108.124521703025,15109.696522059508,15111.374302761318,15112.982152987131,15114.564179958907,15116.154685547564,15117.742184112642,15119.3761096879,15120.917076501,15122.424178306015,15123.956835996487,15125.612001832618,15127.096883162838,15128.586297121954
5,20002.2144,20004.37603931021,20006.530310565882,20008.658405195016,20010.72529960827,20012.82762640825,20014.909560866225,20016.939072695695,20018.938764909057,20020.929648369227,20022.927136520244,20025.045962669832,20027.02223445589,20029.02213289622,20031.048669355627,20033.033946589247,20035.151237947062,20037.199231106606,20039.21617558121,20041.18623092343,20043.161089414625,20045.15959300685,20047.170322965627,20049.17123103556,20051.163116197364,20053.126325578072,20055.097547895875,20057.118299524802,20059.142062761224,20061.078973518805,20063.014466418168,20064.94252210839,20066.851902038794,20068.832299653008,20070.76733646334,20072.718215048444,20074.655031629016,20076.46757223182,20078.30737972014,20080.31400575967,20082.287298217016,20084.203750893885,20086.168789388874,20088.146272706188,20090.113303989212,20092.166513568878,20094.125901647283,20096.134510472413,20098.094687432564,20100.045408502927,20102.339225684944,20104.345238116275,20106.28309595378,20108.58988981338,20110.556710990502,20112.4919498628,20114.487109064226,20116.483874199545,20118.573172214717,20120.645184065725,20122.821433048834,20125.102958542913,20127.369447638106,20129.6361919853,20131.706122474923,20133.786331668558,20135.86615179662,20137.946186770103,20140.014353843486,20142.089379522364,20144.166028937394,20146.262029412705,20148.49907034845,20150.642870649535,20152.752239945235,20154.872914063446,20156.98957881688,20159.16814625056,20161.222768668023,20163.232237741377,20165.275781328673,20167.48266911018,20169.462510883808,20171.44839616263
6,30001.64552064,29970.605153869234,29990.330631029577,29966.89055570298,29950.974987737158,29994.721274521704,30060.73573035868,30123.767433140056,30159.552068452216,30203.404430443577,30194.133264694963,30202.74630165634,30237.773181515593,30248.690178115834,30229.47587224836,30249.317486103002,30258.32476919902,30294.0420480014,30301.685354470403,30274.443690615968,30311.177576526672,30345.928839145578,30354.87454559912,30338.962770581034,30336.811618310494,30397.233683088296,30425.76973641882,30391.010963010965,30283.305440593344,30204.220975088756,30284.997703764762,30292.95273448334,30346.481904314445,30308.786970160232,30275.306738328243,30296.237674000626,30349.648764797275,30375.798670787,30398.437519822783,30460.437335877916,30428.44862615082,30420.64836795156,30443.861302596535,30443.643569097097,30441.26745002346,30402.801470826817,30361.56285129515,30376.20328252635,30376.420902710768,30364.01751605784,30436.86863075373,30480.384024203406,30476.832878837464,30479.373048897643,30508.407713107,30558.858630431154,30551.4089967458,30590.80516994739,30606.452410934864,30592.2487020079,30531.687588162706,30551.194635333766,30552.878863380403,30542.274251044953,30594.97587637746,30596.521679829253,30598.06719416641,30599.612868155207,30601.14972310744,30769.28595868657,30782.445825869938,30746.521591698318,30748.924288551047,30779.12295537631,30768.503344327844,30753.219660857212,30858.50619099747,30776.4143856379,30816.05553466514,30810.959497842825,30883.100369176653,30972.20804028735,30950.87755266682,31080.81745526651
7,50002.7419808,49950.97002253882,49983.85063255731,49944.772601684555,49918.21401843689,49991.16144406284,50101.25996310766,50206.371180208305,50266.04921237225,50339.16810455134,50323.71030894588,50338.070194160704,50396.47995310585,50414.68515410309,50382.63939108029,50415.724311142556,50430.73592031308,50490.30167955217,50503.05607938822,50457.620693869314,50518.88081657261,50576.83656121161,50591.75092260409,50565.21473738976,50561.62363231517,50662.38011599975,50709.97718531178,50652.007917877374,50472.41255480227,50340.51362164295,50475.20525872509,50488.468514561195,50577.73685345863,50514.900761464094,50459.06241808483,50493.96823642872,50583.02906343812,50626.638553547804,50664.40162856991,50767.798393500656,50714.45126405137,50701.43964796798,50740.14879439288,50739.7747042182,50735.80866068526,50671.644648864545,50602.89706650759,50627.30798971216,50627.67019997528,50606.99204788775,50728.46353211717,50801.02080627787,50795.09103956539,50799.324079633894,50847.73610822043,50931.87401980821,50919.44140491897,50985.13866763041,51011.232940242204,50987.53280743234,50886.52748048036,50919.054715341255,50921.861195463374,50904.154154970536,50992.037859580276,50994.613678614296,50997.18901588787,50999.76461919378,51002.3255270724,51282.701960548155,51304.65061331524,51244.74424578141,51248.75353459478,51299.10552329638,51345.13401389698,51312.09861530446,51463.46615325692,51219.61008657609,51402.749863831035,51382.13201411075,51444.54677708887,51656.29256499054,51556.067561436095,51791.39691468433
8,100005.4839616,99901.94004507764,99967.70126511462,99889.54520336911,99836.42803687378,99982.32288812568,100202.51992621532,100412.74236041661,100532.0984247445,100678.33620910268,100647.42061789177,100676.14038832141,100792.9599062117,100829.37030820618,100765.27878216057,100831.44862228511,100861.47184062617,100980.60335910434,101006.11215877644,100915.24138773863,101037.76163314522,101153.67312242322,101183.50184520819,101130.42947477952,101123.24726463034,101324.7602319995,101419.95437062356,101304.01583575475,100944.82510960454,100681.0272432859,100950.41051745017,100976.93702912239,101155.47370691726,101029.80152292819,100918.12483616966,100987.93647285744,101166.05812687625,101253.27710709561,101328.80325713982,101535.59678700131,101428.90252810274,101402.87929593596,101480.29758878576,101479.5494084364,101471.61732137052,101343.28929772909,101205.79413301518,101254.61597942431,101255.34039995055,101213.9840957755,101456.92706423435,101602.04161255574,101590.18207913078,101598.64815926779,101695.47221644086,101863.74803961642,101838.88280983795,101970.27733526082,102022.46588048441,101975.06561486468,101773.05496096073,101838.10943068251,101843.72239092675,101808.30830994107,101984.07571916055,101989.22735722859,101994.37803177573,101999.52923838756,102004.6510541448,102565.40392109631,102609.30122663049,102489.48849156282,102497.50706918957,102598.21104659275,102690.26802779397,102624.19723060892,102926.93230651385,102439.22017315218,102805.49972766207,102764.2640282215,102889.09355417774,103312.58512998107,103112.13512287219,103582.79382936866
9,200010.9679232,199803.8800901553,199935.40253022924,199779.09040673822,199672.85607374756,199964.64577625136,200405.03985243064,200825.48472083322,201064.196849489,201356.67241820536,201294.84123578353,201352.28077664282,201585.9198124234,201658.74061641237,201530.55756432115,201662.89724457022,201722.94368125233,201961.20671820868,202012.22431755287,201830.48277547726,202075.52326629043,202307.34624484644,202367.00369041637,202260.85894955904,202246.49452926067,202649.520463999,202839.9087412471,202608.0316715095,201889.65021920908,201362.0544865718,201900.82103490035,201953.87405824478,202310.9474138345,202059.60304585638,201836.24967233933,201975.8729457149,202332.1162537525,202506.55421419122,202657.60651427964,203071.19357400262,202857.80505620549,202805.7585918719,202960.59517757152,202959.0988168728,202943.23464274104,202686.57859545818,202411.58826603036,202509.23195884863,202510.6807999011,202427.968191551,202913.8541284687,203204.08322511148,203180.36415826157,203197.29631853558,203390.94443288172,203727.49607923283,203677.7656196759,203940.55467052164,204044.93176096882,203950.13122972936,203546.10992192145,203676.21886136502,203687.4447818535,203616.61661988214,203968.1514383211,203978.45471445718,203988.75606355147,203999.05847677513,204009.3021082896,205130.80784219262,205218.60245326097,204978.97698312564,204995.01413837913,205196.4220931855,205121.05622810673,205017.96634663845,205732.99949239002,205182.26869552382,205443.74939547337,205414.53786792248,205906.87534858347,206510.64117885352,206372.59822606147,207247.26823701934
