,2017/7/3,2017/7/4,2017/7/5,2017/7/6,2017/7/7,2017/7/10,2017/7/11,2017/7/12,2017/7/13,2017/7/14,2017/7/17,2017/7/18,2017/7/19,2017/7/20,2017/7/21,2017/7/24,2017/7/25,2017/7/26,2017/7/27,2017/7/28,2017/7/31,2017/8/1,2017/8/2,2017/8/3,2017/8/4,2017/8/7,2017/8/8,2017/8/9,2017/8/10,2017/8/11,2017/8/14,2017/8/15,2017/8/16,2017/8/17,2017/8/18,2017/8/21,2017/8/22,2017/8/23,2017/8/24,2017/8/25,2017/8/28,2017/8/29,2017/8/30,2017/8/31,2017/9/1,2017/9/4,2017/9/5,2017/9/6,2017/9/7,2017/9/8,2017/9/11,2017/9/12,2017/9/13,2017/9/14,2017/9/15,2017/9/18,2017/9/19,2017/9/20,2017/9/21,2017/9/22,2017/9/25,2017/9/26,2017/9/27,2017/9/28,2017/9/29,2017/9/30,2017/10/3,2017/10/4,2017/10/6,2017/10/9,2017/10/10,2017/10/11,2017/10/12,2017/10/13,2017/10/16,2017/10/17,2017/10/18,2017/10/19,2017/10/20,2017/10/23,2017/10/24,2017/10/25,2017/10/26,2017/10/27
0,1000.11072,1000.218802,1000.326516,1000.43292,1000.536265,1000.641381,1000.745478,1000.846954,1000.946938,1001.046482,1001.146357,1001.252298,1001.351112,1001.451107,1001.552433,1001.651697,1001.757562,1001.859962,1001.960809,1002.059312,1002.158054,1002.25798,1002.358516,1002.458562,1002.558156,1002.656316,1002.754877,1002.855915,1002.957103,1003.053949,1003.150723,1003.247126,1003.342595,1003.441615,1003.538367,1003.635911,1003.732752,1003.823379,1003.915369,1004.0157,1004.114365,1004.210188,1004.308439,1004.407314,1004.505665,1004.608326,1004.706295,1004.806726,1004.904734,1005.00227,1005.116961,1005.217262,1005.314155,1005.429494,1005.527836,1005.624597,1005.724355,1005.824194,1005.928659,1006.032259,1006.141072,1006.255148,1006.368472,1006.48181,1006.585306,1006.689317,1006.793308,1006.897309,1007.000718,1007.104469,1007.208301,1007.313101,1007.424954,1007.532144,1007.637612,1007.743646,1007.849479,1007.958407,1008.061138,1008.161612,1008.263789,1008.374133,1008.473126,1008.57242
1,2000.22144,2000.437604,2000.653031,2000.865841,2001.07253,2001.282763,2001.490956,2001.693907,2001.893876,2002.092965,2002.292714,2002.504596,2002.702223,2002.902213,2003.104867,2003.303395,2003.515124,2003.719923,2003.921618,2004.118623,2004.316109,2004.515959,2004.717032,2004.917123,2005.116312,2005.312633,2005.509755,2005.71183,2005.914206,2006.107897,2006.301447,2006.494252,2006.68519,2006.88323,2007.076734,2007.271822,2007.465503,2007.646757,2007.830738,2008.031401,2008.22873,2008.420375,2008.616879,2008.814627,2009.01133,2009.216651,2009.41259,2009.613451,2009.809469,2010.004541,2010.233923,2010.434524,2010.62831,2010.858989,2011.055671,2011.249195,2011.448711,2011.648387,2011.857317,2012.064518,2012.282143,2012.510296,2012.736945,2012.963619,2013.170612,2013.378633,2013.586615,2013.794619,2014.001435,2014.208938,2014.416603,2014.626203,2014.849907,2015.064287,2015.275224,2015.487291,2015.698958,2015.916815,2016.122277,2016.323224,2016.527578,2016.748267,2016.946251,2017.14484
2,5000.5536,5001.09401,5001.632578,5002.164601,5002.681325,5003.206907,5003.72739,5004.234768,5004.734691,5005.232412,5005.731784,5006.261491,5006.755559,5007.255533,5007.762167,5008.258487,5008.787809,5009.299808,5009.804044,5010.296558,5010.790272,5011.289898,5011.792581,5012.292808,5012.790779,5013.281581,5013.774387,5014.279575,5014.785516,5015.269743,5015.753617,5016.235631,5016.712976,5017.208075,5017.691834,5018.179554,5018.663758,5019.116893,5019.576845,5020.078501,5020.571825,5021.050938,5021.542197,5022.036568,5022.528326,5023.041628,5023.531475,5024.033628,5024.523672,5025.011352,5025.584806,5026.08631,5026.570774,5027.147472,5027.639178,5028.122987,5028.621777,5029.120969,5029.643293,5030.161296,5030.705358,5031.27574,5031.842362,5032.409048,5032.926531,5033.446583,5033.966538,5034.486547,5035.003588,5035.522345,5036.041507,5036.565507,5037.124768,5037.660718,5038.18806,5038.718229,5039.247395,5039.792037,5040.305692,5040.808059,5041.318945,5041.870667,5042.365628,5042.862099
3,10001.1072,10002.18802,10003.26516,10004.3292,10005.36265,10006.41381,10007.45478,10008.46954,10009.46938,10010.46482,10011.46357,10012.52298,10013.51112,10014.51107,10015.52433,10016.51697,10017.57562,10018.59962,10019.60809,10020.59312,10021.58054,10022.5798,10023.58516,10024.58562,10025.58156,10026.56316,10027.54877,10028.55915,10029.57103,10030.53949,10031.50723,10032.47126,10033.42595,10034.41615,10035.38367,10036.35911,10037.32752,10038.23379,10039.15369,10040.157,10041.14365,10042.10188,10043.08439,10044.07314,10045.05665,10046.08326,10047.06295,10048.06726,10049.04734,10050.0227,10051.16961,10052.17262,10053.14155,10054.29494,10055.27836,10056.24597,10057.24355,10058.24194,10059.28659,10060.32259,10061.41072,10062.55148,10063.68472,10064.8181,10065.85306,10066.89317,10067.93308,10068.97309,10070.00718,10071.04469,10072.08301,10073.13101,10074.24954,10075.32144,10076.37612,10077.43646,10078.49479,10079.58407,10080.61138,10081.61612,10082.63789,10083.74133,10084.73126,10085.7242
4,15001.6608,15003.28203,15004.89773,15006.4938,15008.04397,15009.62072,15011.18217,15012.7043,15014.20407,15015.69724,15017.19535,15018.78447,15020.26668,15021.7666,15023.2865,15024.77546,15026.36343,15027.89942,15029.41213,15030.88967,15032.37082,15033.86969,15035.37774,15036.87842,15038.37234,15039.84474,15041.32316,15042.83872,15044.35655,15045.80923,15047.26085,15048.70689,15050.13893,15051.62422,15053.0755,15054.53866,15055.99127,15057.35068,15058.73053,15060.2355,15061.71547,15063.15281,15064.62659,15066.1097,15067.58498,15069.12489,15070.59443,15072.10088,15073.57102,15075.03406,15076.75442,15078.25893,15079.71232,15081.44242,15082.91753,15084.36896,15085.86533,15087.36291,15088.92988,15090.48389,15092.11607,15093.82722,15095.52709,15097.22714,15098.77959,15100.33975,15101.89961,15103.45964,15105.01077,15106.56703,15108.12452,15109.69652,15111.3743,15112.98215,15114.56418,15116.15469,15117.74218,15119.37611,15120.91708,15122.42418,15123.95684,15125.612,15127.09688,15128.5863
5,20002.2144,20004.37604,20006.53031,20008.65841,20010.7253,20012.82763,20014.90956,20016.93907,20018.93876,20020.92965,20022.92714,20025.04596,20027.02223,20029.02213,20031.04867,20033.03395,20035.15124,20037.19923,20039.21618,20041.18623,20043.16109,20045.15959,20047.17032,20049.17123,20051.16312,20053.12633,20055.09755,20057.1183,20059.14206,20061.07897,20063.01447,20064.94252,20066.8519,20068.8323,20070.76734,20072.71822,20074.65503,20076.46757,20078.30738,20080.31401,20082.2873,20084.20375,20086.16879,20088.14627,20090.1133,20092.16651,20094.1259,20096.13451,20098.09469,20100.04541,20102.33923,20104.34524,20106.2831,20108.58989,20110.55671,20112.49195,20114.48711,20116.48387,20118.57317,20120.64518,20122.82143,20125.10296,20127.36945,20129.63619,20131.70612,20133.78633,20135.86615,20137.94619,20140.01435,20142.08938,20144.16603,20146.26203,20148.49907,20150.64287,20152.75224,20154.87291,20156.98958,20159.16815,20161.22277,20163.23224,20165.27578,20167.48267,20169.46251,20171.4484
6,30001.64552,29970.60515,29990.33063,29966.89056,29950.97499,29994.72127,30060.73573,30123.76743,30159.55207,30203.40443,30194.13326,30202.7463,30237.77318,30248.69018,30229.47587,30249.31749,30258.32477,30294.04205,30301.68535,30274.44369,30311.17758,30345.92884,30354.87455,30338.96277,30336.81162,30397.23368,30425.76974,30391.01096,30283.30544,30204.22098,30284.9977,30292.95273,30346.4819,30308.78697,30275.30674,30296.23767,30349.64876,30375.79867,30398.43752,30460.43734,30428.44863,30420.64837,30443.8613,30443.64357,30441.26745,30402.80147,30361.56285,30376.20328,30376.4209,30364.01752,30436.86863,30480.38402,30476.83288,30479.37305,30508.40771,30558.85863,30551.409,30590.80517,30606.45241,30592.2487,30531.68759,30551.19464,30552.87886,30542.27425,30594.97588,30596.52168,30598.06719,30599.61287,30601.14972,30769.28596,30782.44583,30746.52159,30748.92429,30779.12296,30768.50334,30753.21966,30858.50619,30776.41439,30816.05553,30810.9595,30883.10037,30972.20804,30950.87755,31080.81746
7,50002.74198,49950.97002,49983.85063,49944.7726,49918.21402,49991.16144,50101.25996,50206.37118,50266.04921,50339.1681,50323.71031,50338.07019,50396.47995,50414.68515,50382.63939,50415.72431,50430.73592,50490.30168,50503.05608,50457.62069,50518.88082,50576.83656,50591.75092,50565.21474,50561.62363,50662.38012,50709.97719,50652.00792,50472.41255,50340.51362,50475.20526,50488.46851,50577.73685,50514.90076,50459.06242,50493.96824,50583.02906,50626.63855,50664.40163,50767.79839,50714.45126,50701.43965,50740.14879,50739.7747,50735.80866,50671.64465,50602.89707,50627.30799,50627.6702,50606.99205,50728.46353,50801.02081,50795.09104,50799.32408,50847.73611,50931.87402,50919.4414,50985.13867,51011.23294,50987.53281,50886.52748,50919.05472,50921.8612,50904.15415,50992.03786,50994.61368,50997.18902,50999.76462,51002.32553,51282.70196,51304.65061,51244.74425,51248.75353,51299.10552,51345.13401,51312.09862,51463.46615,51219.61009,51402.74986,51382.13201,51444.54678,51656.29256,51556.06756,51791.39691
8,100005.484,99901.94005,99967.70127,99889.5452,99836.42804,99982.32289,100202.5199,100412.7424,100532.0984,100678.3362,100647.4206,100676.1404,100792.9599,100829.3703,100765.2788,100831.4486,100861.4718,100980.6034,101006.1122,100915.2414,101037.7616,101153.6731,101183.5018,101130.4295,101123.2473,101324.7602,101419.9544,101304.0158,100944.8251,100681.0272,100950.4105,100976.937,101155.4737,101029.8015,100918.1248,100987.9365,101166.0581,101253.2771,101328.8033,101535.5968,101428.9025,101402.8793,101480.2976,101479.5494,101471.6173,101343.2893,101205.7941,101254.616,101255.3404,101213.9841,101456.9271,101602.0416,101590.1821,101598.6482,101695.4722,101863.748,101838.8828,101970.2773,102022.4659,101975.0656,101773.055,101838.1094,101843.7224,101808.3083,101984.0757,101989.2274,101994.378,101999.5292,102004.6511,102565.4039,102609.3012,102489.4885,102497.5071,102598.211,102690.268,102624.1972,102926.9323,102439.2202,102805.4997,102764.264,102889.0936,103312.5851,103112.1351,103582.7938
9,200010.9679,199803.8801,199935.4025,199779.0904,199672.8561,199964.6458,200405.0399,200825.4847,201064.1968,201356.6724,201294.8412,201352.2808,201585.9198,201658.7406,201530.5576,201662.8972,201722.9437,201961.2067,202012.2243,201830.4828,202075.5233,202307.3462,202367.0037,202260.8589,202246.4945,202649.5205,202839.9087,202608.0317,201889.6502,201362.0545,201900.821,201953.8741,202310.9474,202059.603,201836.2497,201975.8729,202332.1163,202506.5542,202657.6065,203071.1936,202857.8051,202805.7586,202960.5952,202959.0988,202943.2346,202686.5786,202411.5883,202509.232,202510.6808,202427.9682,202913.8541,203204.0832,203180.3642,203197.2963,203390.9444,203727.4961,203677.7656,203940.5547,204044.9318,203950.1312,203546.1099,203676.2189,203687.4448,203616.6166,203968.1514,203978.4547,203988.7561,203999.0585,204009.3021,205130.8078,205218.6025,204978.977,204995.0141,205196.4221,205121.0562,205017.9663,205732.9995,205182.2687,205443.7494,205414.5379,205906.8753,206510.6412,206372.5982,207247.2682
