,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27
0,1000.102427,1000.2075527666142,1000.3166424037718,1000.4271263766086,1000.5380547368084,1000.648416085322,1000.7683618096613,1000.8763036843977,1000.9873018673526,1001.0952133034303,1001.2223684130433,1001.3423338760042,1001.4780918642617,1001.5867922963527,1001.697146127541,1001.8196607003924,1001.9311772541037,1002.0432612910407,1002.1544450051838,1002.2658555169894,1002.3847883924685,1002.494073394023,1002.6016951427781,1002.712950845083,1002.8245908996042,1002.9371770135999,1003.0791658385613,1003.1982032493297,1003.3097909918736,1003.427003661516,1003.5510192117525,1003.6659358389625,1003.774160133158,1003.979116763819,1004.0821501206768,1004.1913892381992,1004.3273296391346,1004.4520771367492,1004.5786391029204,1004.6892602889225,1004.8005728261377,1004.9114525693491,1005.0302843535269,1005.1416306537002,1005.2529440584453,1005.3644235941825,1005.4763498100968,1005.5868556828464,1005.6992159357529,1005.8137007116982,1005.9298792348263,1006.0428753381608,1006.176709221867,1006.2974946987488,1006.4103529753743,1006.5221712040519,1006.6398537763091,1006.7513008878004,1006.8687404405516,1006.9844477824656,1007.1000526180244,1007.2144299781003,1007.3270436018728,1007.4396698166368,1007.5500338250255,1007.6611746541566,1007.7715669588235,1007.8819784116996,1007.9922064321506,1008.1002349728984,1008.2126210113939,1008.3258271573316,1008.4390611393954,1008.5512106558239,1008.662960147067,1008.7749540128581,1008.887947904232,1008.9979691527268,1009.1080911910801,1009.2171899032511,1009.3248864972372,1009.433413146333,1009.5438542466319,1009.6521278249999
1,2000.204854,2000.4151055332284,2000.6332848075435,2000.8542527532172,2001.0761094736167,2001.296832170644,2001.5367236193226,2001.7526073687955,2001.9746037347052,2002.1904266068607,2002.4447368260867,2002.6846677520084,2002.9561837285235,2003.1735845927053,2003.394292255082,2003.6393214007849,2003.8623545082073,2004.0865225820814,2004.3088900103676,2004.5317110339788,2004.769576784937,2004.988146788046,2005.2033902855562,2005.425901690166,2005.6491817992085,2005.8743540271998,2006.1583316771225,2006.3964064986594,2006.6195819837471,2006.854007323032,2007.102038423505,2007.331871677925,2007.548320266316,2007.958233527638,2008.1643002413537,2008.3827784763985,2008.6546592782693,2008.9041542734983,2009.1572782058408,2009.378520577845,2009.6011456522754,2009.8229051386982,2010.0605687070538,2010.2832613074004,2010.5058881168907,2010.728847188365,2010.9526996201937,2011.1737113656927,2011.3984318715059,2011.6274014233963,2011.8597584696527,2012.0857506763216,2012.353418443734,2012.5949893974976,2012.8207059507486,2013.0443424081038,2013.2797075526182,2013.5026017756009,2013.7374808811032,2013.9688955649312,2014.2001052360488,2014.4288599562005,2014.6540872037456,2014.8793396332735,2015.100067650051,2015.3223493083133,2015.543133917647,2015.7639568233992,2015.9844128643012,2016.2004699457968,2016.4252420227879,2016.6516543146631,2016.878122278791,2017.1024213116477,2017.325920294134,2017.5499080257161,2017.775895808464,2017.9959383054536,2018.2161823821602,2018.4343798065022,2018.6497729944745,2018.866826292666,2019.0877084932638,2019.3042556499997
2,5000.512135,5001.03776383307,5001.583212018858,5002.135631883042,5002.690273684041,5003.242080426609,5003.841809048306,5004.3815184219875,5004.936509336762,5005.476066517152,5006.1118420652165,5006.711669380021,5007.390459321308,5007.933961481763,5008.485730637704,5009.098303501962,5009.655886270518,5010.216306455203,5010.7722250259185,5011.329277584947,5011.923941962342,5012.470366970114,5013.008475713889,5013.564754225414,5014.12295449802,5014.685885067998,5015.395829192805,5015.991016246647,5016.548954959366,5017.135018307578,5017.755096058761,5018.329679194811,5018.870800665789,5019.895583819094,5020.410750603383,5020.956946190995,5021.636648195672,5022.260385683744,5022.893195514601,5023.446301444611,5024.002864130687,5024.557262846744,5025.151421767633,5025.7081532685,5026.264720292225,5026.822117970912,5027.381749050483,5027.934278414231,5028.496079678764,5029.06850355849,5029.649396174131,5030.214376690803,5030.883546109334,5031.487473493743,5032.05176487687,5032.610856020258,5033.199268881544,5033.756504439001,5034.343702202757,5034.922238912327,5035.500263090121,5036.0721498905,5036.635218009364,5037.1983490831835,5037.750169125127,5038.305873270783,5038.8578347941175,5039.4098920584975,5039.961032160752,5040.501174864491,5041.063105056968,5041.629135786657,5042.195305696976,5042.756053279118,5043.314800735333,5043.874770064288,5044.439739521157,5044.989845763632,5045.540455955398,5046.085949516253,5046.624432486184,5047.167065731663,5047.719271233157,5048.2606391249965
3,10001.02427,10002.07552766614,10003.166424037716,10004.271263766084,10005.380547368082,10006.484160853219,10007.683618096611,10008.763036843975,10009.873018673525,10010.952133034303,10012.223684130433,10013.423338760042,10014.780918642617,10015.867922963525,10016.971461275409,10018.196607003923,10019.311772541036,10020.432612910407,10021.544450051837,10022.658555169894,10023.847883924684,10024.940733940228,10026.016951427779,10027.129508450827,10028.24590899604,10029.371770135996,10030.79165838561,10031.982032493293,10033.097909918732,10034.270036615157,10035.510192117523,10036.659358389623,10037.741601331578,10039.791167638188,10040.821501206767,10041.91389238199,10043.273296391344,10044.520771367488,10045.786391029202,10046.892602889222,10048.005728261374,10049.114525693489,10050.302843535266,10051.416306537,10052.52944058445,10053.644235941823,10054.763498100967,10055.868556828462,10056.992159357527,10058.13700711698,10059.298792348261,10060.428753381606,10061.767092218668,10062.974946987486,10064.10352975374,10065.221712040517,10066.398537763089,10067.513008878002,10068.687404405515,10069.844477824654,10071.000526180242,10072.144299781,10073.270436018727,10074.396698166367,10075.500338250255,10076.611746541566,10077.715669588235,10078.819784116995,10079.922064321505,10081.002349728982,10082.126210113936,10083.258271573313,10084.390611393952,10085.512106558235,10086.629601470666,10087.749540128576,10088.879479042314,10089.979691527264,10091.080911910796,10092.171899032506,10093.248864972367,10094.334131463325,10095.438542466314,10096.521278249993
4,15001.536405,15003.113291499212,15004.749636056576,15006.40689564913,15008.070821052126,15009.72624127983,15011.52542714492,15013.144555265966,15014.80952801029,15016.428199551458,15018.335526195651,15020.135008140065,15022.171377963929,15023.801884445293,15025.45719191312,15027.29491050589,15028.967658811558,15030.648919365614,15032.31667507776,15033.987832754845,15035.771825887032,15037.411100910349,15039.025427141676,15040.69426267625,15042.368863494068,15044.057655204004,15046.187487578423,15047.973048739948,15049.646864878106,15051.405054922743,15053.265288176292,15054.98903758444,15056.612401997374,15059.686751457288,15061.232251810156,15062.870838572991,15064.909944587022,15066.781157051239,15068.679586543809,15070.338904333841,15072.008592392069,15073.67178854024,15075.454265302906,15077.124459805504,15078.79416087668,15080.466353912738,15082.145247151453,15083.802835242695,15085.488239036295,15087.205510675474,15088.948188522396,15090.643130072413,15092.650638328007,15094.462420481233,15096.155294630615,15097.83256806078,15099.597806644637,15101.269513317005,15103.031106608272,15104.766716736982,15106.500789270363,15108.216449671501,15109.905654028089,15111.59504724955,15113.25050737538,15114.917619812348,15116.573504382352,15118.229676175491,15119.883096482255,15121.503524593472,15123.189315170905,15124.887407359969,15126.585917090928,15128.268159837353,15129.944402206,15131.624310192865,15133.319218563474,15134.969537290897,15136.621367866197,15138.257848548763,15139.873297458555,15141.50119719499,15143.157813699474,15144.781917374994
5,20002.04854,20004.15105533228,20006.33284807543,20008.54252753217,20010.761094736165,20012.968321706438,20015.367236193222,20017.52607368795,20019.74603734705,20021.904266068606,20024.447368260866,20026.846677520083,20029.561837285233,20031.73584592705,20033.942922550817,20036.393214007847,20038.62354508207,20040.865225820813,20043.088900103674,20045.317110339787,20047.695767849367,20049.881467880456,20052.033902855557,20054.259016901655,20056.49181799208,20058.743540271993,20061.58331677122,20063.964064986587,20066.195819837463,20068.540073230313,20071.020384235046,20073.318716779246,20075.483202663156,20079.582335276376,20081.643002413533,20083.82778476398,20086.546592782688,20089.041542734976,20091.572782058403,20093.785205778444,20096.01145652275,20098.229051386978,20100.605687070532,20102.832613074,20105.0588811689,20107.288471883647,20109.526996201934,20111.737113656924,20113.984318715055,20116.27401423396,20118.597584696523,20120.857506763212,20123.534184437336,20125.949893974972,20128.20705950748,20130.443424081033,20132.797075526178,20135.026017756005,20137.37480881103,20139.688955649308,20142.001052360483,20144.288599562,20146.540872037454,20148.793396332734,20151.00067650051,20153.223493083133,20155.43133917647,20157.63956823399,20159.84412864301,20162.004699457964,20164.252420227873,20166.516543146627,20168.781222787904,20171.02421311647,20173.25920294133,20175.499080257152,20177.75895808463,20179.959383054527,20182.161823821592,20184.343798065012,20186.497729944735,20188.66826292665,20190.87708493263,20193.042556499986
6,29904.212167225705,29723.700352525026,29896.525612581478,29875.664267312946,29828.87545475758,29955.84564658226,30227.233756363436,30380.10415928242,30544.760036132233,30651.08418294099,30669.903583939195,30786.363585326966,30911.910462910724,30916.958104612335,30817.193594230608,30974.91324578348,30938.775277514847,31065.76924243977,31034.948044593228,31063.519679149722,31190.608158046518,31204.53280615362,31188.953325800903,31185.167290884572,31260.287929187274,31524.479324868196,31651.885975867845,31395.07674734549,31199.256138206267,30525.20409362111,30734.602054222494,30703.69469237432,30436.5874883516,30641.04756154948,30434.926621790342,30697.03100677406,30737.665133149687,30389.381496119215,30330.14699272611,30689.96922222625,30945.997414534242,30856.00597515677,31142.673286354922,31256.225866210345,31679.154645040446,31874.12406204563,31674.237592420952,31806.096397981684,31539.048888687616,31650.611393641466,31967.77100284788,31938.87129472956,32007.97023747105,31808.211634495045,31366.12924781424,31436.94580913651,31418.290605587183,31684.49760448826,31354.426846801212,31231.93911900667,30889.629643530705,31086.676257994117,31245.025332045563,31246.650878091517,31203.465570693323,31205.06967801165,31206.66298179737,31208.256561951213,31209.847494605503,31233.795783327438,31101.083254541725,30956.17032533127,30823.470035004586,30894.291377837926,30930.50560855315,30710.266386789586,30534.819801281552,30432.603734037195,30637.730422407698,30598.59759856298,30677.496163311363,30699.41626843,30845.521749098807,30631.334950595174
7,49815.94357678993,49469.7410245004,49799.64795682776,49758.90969879122,49668.55385971621,49910.7040192657,50429.13845852608,50720.86867247218,51035.128697161024,51237.78914029276,51272.85968457893,51494.82660966908,51734.06501993473,51742.91889902239,51551.194066846656,51852.09576118764,51782.11681042318,52024.29970105272,51964.49728265338,52018.34613502881,52260.65915359065,52286.49556669299,52255.88578271582,52247.816784742696,52390.739190909575,52895.45665581754,53138.20773741955,52644.88633971528,52266.86267062965,50967.71392026816,51370.05064404914,51309.62650992999,50794.32997150997,51186.52510208948,50788.72953875486,51292.694880283874,51369.89683618667,50698.124377768516,50583.050920712274,51275.21158152077,51767.45791330845,51593.26840020122,52144.467521965635,52362.30333370597,53176.002797378576,53550.647671270664,53164.790452057525,53417.890893974625,52902.67707804971,53116.65550189213,53726.603955305225,53670.06156909985,53802.1036320334,53416.42360515299,52564.08599583534,52699.607887924605,52662.760034527295,53174.60985757521,52537.97267379207,52301.15715760172,51640.96231840155,52019.5853110405,52323.68998880381,52325.9426035301,52241.90645377907,52244.12935960005,52246.33729433072,52248.54561204095,52250.75026095541,52296.032677776464,52039.54993318429,51759.56263179942,51503.09684675944,51638.62536486973,51707.50316328839,51282.44569779373,50943.6517521471,50745.92410885621,51140.142631377326,51063.92149455268,51215.04159037208,51256.413809826714,51536.95407577614,51123.582681345906
8,99625.78464476657,98922.04215850064,99592.32223055194,99509.3533771121,99325.54807751847,99817.48168989386,100870.88079903863,101463.57777937045,102102.05621938701,102513.74048859316,102584.80779600656,103035.70837646232,103521.68360048256,103539.50164452131,103149.6893182554,103761.00160859535,103618.60645631583,104110.60380816288,103988.89053289642,104098.1456024459,104590.39636131901,104642.7263545564,104580.34579090262,104563.7680598108,104854.04320733607,105879.57775479532,106372.6815837993,105369.6754649049,104600.62417917643,101958.08866081067,102776.18988101368,102653.09807150537,101604.85345476415,102402.19016886273,101592.93939825104,102617.76799302571,102774.55792048428,101408.02912990798,101173.76637095385,102581.36274449455,103582.35254285167,103227.88038971598,104348.76138645929,104791.62805578136,106446.4208093902,107208.22092664195,106423.23642201157,106937.82918839544,105889.74579284023,106324.7615947389,107565.13726177879,107449.94379590507,107718.2764995757,106933.63733218395,105199.87760290483,105475.32533463466,105400.18058083157,106441.04165673809,105145.98685702402,104664.13158371122,103321.16602789494,104091.05230976018,104709.37891971774,104713.76913083647,104542.6606204246,104546.99293066713,104551.29606315179,104555.59994204063,104559.89667066635,104651.81293271593,104129.96216198409,103560.30412118704,103038.48640360619,103313.94704905394,103453.847593271,102589.13366206796,101899.86925212576,101497.5243963977,102299.13762969885,102143.92621029474,102451.10610462996,102535.0685767665,103105.47126280924,102264.5319325162
9,199300.38936003903,197983.60344266763,199240.43392336246,199086.43491507866,198743.57328590687,199666.37416433537,201640.93053689302,202752.43207912345,203949.72183289842,204722.18330774835,204856.9081709001,205702.97548692737,206614.93870651722,206649.69250854396,205920.96915220513,207067.522516761,206802.23021924304,207725.17235812225,207498.6133176526,207704.6645347571,208628.1682783967,208727.57093160768,208612.09777084214,208582.4601885382,209127.56779955584,211049.8399508748,211975.23428237197,210100.03044725797,208665.71958762466,203733.73709589854,205262.7646669686,205034.4878443166,203078.88540042238,204570.22551826795,203060.7491872923,204975.53438101234,205270.0698778056,202720.45944339683,202284.78462115215,204914.20579454605,206784.51222038444,206124.20044492857,208218.4409080045,209046.746327472,212137.68598407152,213561.43368432103,212097.38043032546,213059.58541213267,211104.33911671245,211918.02902094432,214235.32756396264,214021.771134699,214524.52602149057,213061.23564074753,209825.8559934373,210341.60087667796,210202.87685144407,212147.62371648732,209731.3559248193,208833.28753200267,206327.54713118786,207766.43013403623,208922.33162737478,208932.0298998481,208614.04642883735,208623.61679436977,208633.12270426704,208642.63026302157,208652.12202636251,208825.16786409164,207852.38462199975,206790.3573783968,205817.64715294482,206333.42056345934,206596.1014343727,204983.1963037672,203697.8642299315,202948.16390809865,204446.22356487653,204157.902679273,204732.83572826802,204891.03868803996,205957.4384836455,204388.87030871562
